date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,78.75,78.94,67.38,72.0,48.8262,3343600.0,0.0,1.0
2000-01-04,68.13,68.88,64.75,66.5,45.0965,3408500.0,0.0,1.0
2000-01-05,66.25,66.31,61.31,61.56,41.7464,4119200.0,0.0,1.0
2000-01-06,61.63,62.0,58.13,60.0,40.6885,1812900.0,0.0,1.0
2000-01-07,59.06,65.94,59.0,65.0,44.0792,2016900.0,0.0,1.0
2000-01-10,69.0,69.63,67.56,68.94,46.7511,1536800.0,0.0,1.0
2000-01-11,68.94,68.94,66.44,68.0,46.1137,1327600.0,0.0,1.0
2000-01-12,68.0,68.0,64.06,66.63,45.1846,1022800.0,0.0,1.0
2000-01-13,68.38,69.81,66.0,67.63,45.8628,811400.0,0.0,1.0
2000-01-14,67.0,69.38,67.0,68.38,46.3714,942000.0,0.0,1.0
2000-01-18,68.63,72.88,68.13,71.5,48.4872,1503400.0,0.0,1.0
2000-01-19,72.0,72.0,69.81,70.0,47.47,1877600.0,0.0,1.0
2000-01-20,70.75,70.88,67.5,68.13,46.2018,1436300.0,0.0,1.0
2000-01-21,69.13,69.38,66.44,68.75,46.6223,1372200.0,0.0,1.0
2000-01-24,68.5,71.81,68.0,68.5,46.4527,1499200.0,0.0,1.0
2000-01-25,68.75,69.63,66.44,67.69,45.9034,825300.0,0.0,1.0
2000-01-26,67.94,69.25,67.88,68.31,46.3239,731300.0,0.0,1.0
2000-01-27,69.88,70.5,67.25,68.44,46.4121,621300.0,0.0,1.0
2000-01-28,69.5,69.5,67.44,68.06,46.1544,1151100.0,0.0,1.0
2000-01-31,67.56,67.63,64.75,66.19,44.8862,744200.0,0.0,1.0
2000-02-01,66.25,72.0,66.25,71.0,48.1481,1004500.0,0.0,1.0
2000-02-02,71.88,76.5,71.56,76.5,51.8779,1391400.0,0.0,1.0
2000-02-03,75.19,77.75,73.81,77.75,52.7256,1272900.0,0.0,1.0
2000-02-04,77.75,77.75,75.0,76.25,51.7083,819500.0,0.0,1.0
2000-02-07,77.69,80.0,76.25,79.5,53.9123,911500.0,0.0,1.0
2000-02-08,80.75,82.19,78.25,79.0,53.5732,836700.0,0.0,1.0
2000-02-09,77.63,78.69,75.69,75.75,51.3693,846100.0,0.0,1.0
2000-02-10,77.0,78.81,75.31,76.69,52.0067,763100.0,0.0,1.0
2000-02-11,76.5,76.81,74.81,75.38,51.1184,537700.0,0.0,1.0
2000-02-14,75.25,76.94,74.81,76.44,51.8372,599200.0,0.0,1.0
2000-02-15,76.56,83.0,76.56,81.88,55.5263,1443200.0,0.0,1.0
2000-02-16,80.0,81.88,79.38,81.0,54.9295,1288800.0,0.0,1.0
2000-02-17,81.0,97.0,77.63,97.0,65.7798,675900.0,0.0,1.0
2000-02-18,88.5,95.88,88.06,93.75,63.5758,2904200.0,0.0,1.0
2000-02-22,96.0,97.38,90.0,91.5,62.05,1593700.0,0.0,1.0
2000-02-23,91.63,100.0,91.63,99.0,67.1361,1208900.0,0.0,1.0
2000-02-24,101.4,115.4,100.5,106.8,72.4256,2114700.0,0.0,1.0
2000-02-25,103.4,113.9,103.3,108.1,73.3072,1465100.0,0.0,1.0
2000-02-28,108.1,109.2,98.25,101.0,68.4924,1198400.0,0.0,1.0
2000-02-29,101.4,105.2,101.3,103.9,70.459,685300.0,0.0,1.0
2000-03-01,104.5,111.8,104.3,109.1,73.9853,742400.0,0.0,1.0
2000-03-02,109.9,110.0,102.5,105.3,71.4084,850000.0,0.0,1.0
2000-03-03,104.9,111.8,104.9,108.0,73.2394,869700.0,0.0,1.0
2000-03-06,113.0,162.0,112.5,159.0,107.8246,4072600.0,0.0,1.0
2000-03-07,156.0,161.0,131.0,142.0,96.2962,5515600.0,0.0,1.0
2000-03-08,146.0,152.0,140.0,152.0,103.0776,2828300.0,0.0,1.0
2000-03-09,147.0,154.0,145.0,153.0,103.7558,1798700.0,0.0,1.0
2000-03-10,153.0,154.9,140.0,142.0,96.2962,1773500.0,0.0,1.0
2000-03-13,130.1,138.9,129.5,131.3,89.0401,1878900.0,0.0,1.0
2000-03-14,133.0,136.0,118.9,130.0,88.1585,2520000.0,0.0,1.0
2000-03-15,128.1,128.1,113.3,114.3,77.5117,2179000.0,0.0,1.0
2000-03-16,116.0,123.0,112.0,118.1,80.0886,1981100.0,0.0,1.0
2000-03-17,119.3,127.0,118.1,121.1,82.123,1118600.0,0.0,1.0
2000-03-20,120.4,121.5,113.0,113.8,77.1726,1016200.0,0.0,1.0
2000-03-21,110.8,115.0,105.8,115.0,77.9864,1808500.0,0.0,1.0
2000-03-22,113.6,120.9,109.1,119.4,80.9702,1407700.0,0.0,1.0
2000-03-23,119.3,123.8,117.0,119.7,81.1736,1396200.0,0.0,1.0
2000-03-24,118.75,121.0,116.25,120.0,81.3771,880200.0,0.0,1.0
2000-03-27,118.2,119.5,113.2,114.3,77.5117,605700.0,0.0,1.0
2000-03-28,114.0,121.9,113.5,119.1,80.7667,996100.0,0.0,1.0
2000-03-29,119.0,121.0,110.0,112.0,75.9519,894400.0,0.0,1.0
2000-03-30,108.2,112.5,99.13,105.0,71.2049,1455100.0,0.0,1.0
2000-03-31,106.0,106.0,90.0,104.0,70.5268,2670200.0,0.0,1.0
2000-04-03,103.0,103.3,91.75,98.0,66.4579,1452700.0,0.0,1.0
2000-04-04,98.0,102.4,82.0,93.5,63.4063,2517800.0,0.0,1.0
2000-04-05,92.75,99.88,90.13,96.94,65.7391,1508700.0,0.0,1.0
2000-04-06,98.38,105.0,97.06,105.0,71.2049,983600.0,0.0,1.0
2000-04-07,107.5,125.0,107.1,122.0,82.7334,2128200.0,0.0,1.0
2000-04-10,122.0,122.0,105.4,107.9,73.1716,2114500.0,0.0,1.0
2000-04-11,101.0,104.9,99.56,100.9,68.4246,1356300.0,0.0,1.0
2000-04-12,98.0,99.25,83.0,86.0,58.3202,3112700.0,0.0,1.0
2000-04-13,88.0,97.0,87.0,90.0,61.0328,2672800.0,0.0,1.0
2000-04-14,87.75,89.44,81.0,82.69,56.0756,2047700.0,0.0,1.0
2000-04-17,80.06,82.63,73.06,79.5,53.9123,1972500.0,0.0,1.0
2000-04-18,78.0,88.0,75.13,87.0,58.9984,2688300.0,0.0,1.0
2000-04-19,87.0,89.94,84.0,87.25,59.1679,1733900.0,0.0,1.0
2000-04-20,87.88,91.75,87.38,89.94,60.9921,1039400.0,0.0,1.0
2000-04-24,87.13,92.38,85.06,91.63,62.1382,1215000.0,0.0,1.0
2000-04-25,94.63,95.56,90.0,90.0,61.0328,803500.0,0.0,1.0
2000-04-26,95.13,95.19,91.63,91.88,62.3077,698500.0,0.0,1.0
2000-04-27,89.13,93.25,89.0,90.75,61.5414,1631800.0,0.0,1.0
2000-04-28,90.0,90.06,86.94,88.63,60.1037,1272800.0,0.0,1.0
2000-05-01,88.63,96.25,88.63,95.38,64.6812,1356000.0,0.0,1.0
2000-05-02,98.25,104.1,97.44,100.8,68.3567,3046800.0,0.0,1.0
2000-05-03,97.5,98.0,89.63,91.5,62.05,1664800.0,0.0,1.0
2000-05-04,91.5,91.5,88.25,90.25,61.2023,850000.0,0.0,1.0
2000-05-05,90.19,93.44,89.63,91.44,62.0093,903700.0,0.0,1.0
2000-05-08,91.88,91.88,84.56,84.75,57.4726,771300.0,0.0,1.0
2000-05-09,85.5,86.5,78.56,80.19,54.3802,1229300.0,0.0,1.0
2000-05-10,79.0,79.69,75.75,77.0,52.217,1145500.0,0.0,1.0
2000-05-11,77.5,79.38,76.0,76.56,51.9186,1203100.0,0.0,1.0
2000-05-12,84.0,98.0,82.25,90.56,61.4126,9703800.0,0.0,1.0
2000-05-15,90.0,91.0,85.25,88.19,59.8054,3178000.0,0.0,1.0
2000-05-16,90.13,96.94,88.0,89.5,60.6937,4127900.0,0.0,1.0
2000-05-17,83.25,83.75,76.81,78.0,52.8951,8906100.0,0.0,1.0
2000-05-18,78.0,78.94,71.0,71.0,48.1481,4401600.0,0.0,1.0
2000-05-19,72.69,74.69,66.13,66.63,45.1846,3763300.0,0.0,1.0
2000-05-22,67.0,68.0,59.94,62.38,42.3025,5594200.0,0.0,1.0
2000-05-23,61.94,63.25,56.56,58.0,39.3323,3730100.0,0.0,1.0
2000-05-24,57.75,59.94,54.0,59.0,40.0104,5691900.0,0.0,1.0
2000-05-25,59.25,68.75,58.25,68.75,46.6223,5492200.0,0.0,1.0
2000-05-26,67.0,68.5,64.31,65.0,44.0792,3545300.0,0.0,1.0
2000-05-30,66.19,76.44,66.06,75.38,51.1184,3818900.0,0.0,1.0
2000-05-31,74.0,78.19,72.75,73.63,49.9316,3153300.0,0.0,1.0
2000-06-01,74.44,76.31,72.75,73.0,49.5044,2824200.0,0.0,1.0
2000-06-02,73.5,82.0,73.5,81.75,55.4381,12222000.0,0.0,1.0
2000-06-05,81.0,83.75,76.5,79.0,53.5732,7613100.0,0.0,1.0
2000-06-06,75.19,75.5,69.06,71.0,48.1481,8713000.0,0.0,1.0
2000-06-07,70.0,72.25,65.5,67.0,45.4355,8170500.0,0.0,1.0
2000-06-08,67.0,69.81,66.81,69.13,46.88,6846400.0,0.0,1.0
2000-06-09,69.75,72.81,69.75,70.88,48.0667,6631000.0,0.0,1.0
2000-06-12,72.63,72.63,65.25,66.0,44.7574,4059300.0,0.0,1.0
2000-06-13,64.5,71.75,64.5,69.06,46.8325,5521000.0,0.0,1.0
2000-06-14,70.75,71.5,67.0,67.75,45.9441,4013500.0,0.0,1.0
2000-06-15,67.94,67.94,64.81,65.94,44.7167,4862500.0,0.0,1.0
2000-06-16,66.19,66.56,62.0,62.63,42.472,4640700.0,0.0,1.0
2000-06-19,62.13,69.0,62.13,68.0,46.1137,4872300.0,0.0,1.0
2000-06-20,68.94,75.88,68.38,73.63,49.9316,8382100.0,0.0,1.0
2000-06-21,73.38,79.94,73.31,78.5,53.2342,6421800.0,0.0,1.0
2000-06-22,79.75,79.81,74.38,75.75,51.3693,4816700.0,0.0,1.0
2000-06-23,73.94,77.5,73.88,75.13,50.9488,2839400.0,0.0,1.0
2000-06-26,75.0,76.31,74.06,75.13,50.9488,2735600.0,0.0,1.0
2000-06-27,74.88,76.81,74.13,75.44,51.1591,2940000.0,0.0,1.0
2000-06-28,78.75,80.19,77.75,79.5,53.9123,7078100.0,0.0,1.0
2000-06-29,79.88,79.94,75.0,75.88,51.4574,6195100.0,0.0,1.0
2000-06-30,76.69,79.5,73.65,73.75,50.013,5922900.0,0.0,1.0
2000-07-03,74.0,74.19,71.75,73.69,49.9723,2285900.0,0.0,1.0
2000-07-05,72.13,72.69,69.63,70.25,47.6395,3862600.0,0.0,1.0
2000-07-06,70.0,70.44,68.31,69.13,46.88,3005300.0,0.0,1.0
2000-07-07,70.0,70.44,66.75,67.5,45.7746,4286300.0,0.0,1.0
2000-07-10,67.75,70.25,67.63,68.5,46.4527,3836000.0,0.0,1.0
2000-07-11,68.0,68.56,66.13,67.31,45.6458,2987600.0,0.0,1.0
2000-07-12,69.44,70.63,68.06,69.0,46.7918,2712800.0,0.0,1.0
2000-07-13,69.0,72.5,68.75,71.0,48.1481,4177800.0,0.0,1.0
2000-07-14,71.5,78.25,71.5,77.06,52.2576,5438900.0,0.0,1.0
2000-07-17,76.88,80.94,76.25,78.25,53.0646,4410700.0,0.0,1.0
2000-07-18,78.0,78.0,74.0,76.63,51.966,2619100.0,0.0,1.0
2000-07-19,76.0,76.06,72.75,74.06,50.2232,2531500.0,0.0,1.0
2000-07-20,73.88,76.31,54.0,54.0,36.6197,2540500.0,0.0,1.0
2000-07-21,51.5,51.5,46.25,48.06,32.5915,26067300.0,0.0,1.0
2000-07-24,50.0,50.19,47.75,49.5,33.568,10005100.0,0.0,1.0
2000-07-25,49.06,49.5,44.75,44.75,30.3469,6534900.0,0.0,1.0
2000-07-26,45.94,46.63,42.81,43.0,29.1601,8144000.0,0.0,1.0
2000-07-27,44.25,44.94,40.38,40.75,27.6343,7045500.0,0.0,1.0
2000-07-28,41.75,41.88,39.5,41.25,27.9734,6879100.0,0.0,1.0
2000-07-31,41.06,42.19,40.13,40.75,27.6343,5760500.0,0.0,1.0
2000-08-01,40.69,41.19,39.5,40.5,27.4648,4242500.0,0.0,1.0
2000-08-02,40.13,41.19,39.5,40.13,27.2138,4827500.0,0.0,1.0
2000-08-03,39.13,41.0,38.56,41.0,27.8038,6146000.0,0.0,1.0
2000-08-04,40.5,41.44,39.63,40.06,27.1664,3685600.0,0.0,1.0
2000-08-07,40.63,41.25,38.94,39.75,26.9562,3977700.0,0.0,1.0
2000-08-08,39.69,39.69,38.19,38.81,26.3187,3659600.0,0.0,1.0
2000-08-09,38.75,39.88,38.5,39.31,26.6578,3348000.0,0.0,1.0
2000-08-10,39.06,39.81,38.69,39.0,26.4475,2234400.0,0.0,1.0
2000-08-11,39.75,40.81,38.94,40.63,27.5529,2454400.0,0.0,1.0
