date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-11-29,40.2,43.4,40.15,41.7,13.2564,123700.0,0.0,1.0
2001-11-30,41.7,42.85,41.65,42.85,13.622,55100.0,0.0,1.0
2001-12-03,42.7,42.7,41.35,41.35,13.1451,42500.0,0.0,1.0
2001-12-04,41.35,41.35,39.7,39.7,12.6206,31800.0,0.0,1.0
2001-12-05,40.3,44.35,40.3,44.0,13.9876,199400.0,0.0,1.0
2001-12-06,44.2,44.2,43.71,43.72,13.8986,52400.0,0.0,1.0
2001-12-07,44.0,44.0,43.4,44.0,13.9876,71700.0,0.0,1.0
2001-12-10,43.9,43.92,43.76,43.85,13.9399,39700.0,0.0,1.0
2001-12-11,43.8,44.13,43.76,43.76,13.9113,126200.0,0.0,1.0
2001-12-12,43.75,43.75,42.11,42.3,13.4471,38200.0,0.0,1.0
2001-12-13,42.25,42.8,41.9,41.9,13.32,37900.0,0.0,1.0
2001-12-14,41.85,41.85,40.55,40.89,12.9989,77800.0,0.0,1.0
2001-12-17,40.99,42.0,40.99,41.0,13.0339,35400.0,0.0,1.0
2001-12-18,41.05,41.6,41.0,41.0,13.0339,33800.0,0.0,1.0
2001-12-19,41.0,41.05,40.74,41.05,13.0498,52600.0,0.0,1.0
2001-12-20,41.2,42.69,41.2,42.3,13.4471,32400.0,0.0,1.0
2001-12-21,42.55,45.9,42.5,45.34,14.4136,219800.0,0.0,1.0
2001-12-24,45.3,46.05,45.2,45.8,14.5598,16900.0,0.0,1.0
2001-12-26,45.9,46.96,45.8,46.0,14.6234,126000.0,0.0,1.0
2001-12-27,47.25,47.65,46.2,46.95,14.9254,116400.0,0.0,1.0
2001-12-28,47.2,47.2,46.9,47.05,14.9572,98500.0,0.0,1.0
2001-12-31,47.1,49.75,46.7,49.75,15.8155,85300.0,0.0,1.0
2002-01-02,48.5,48.5,47.65,47.78,15.1892,44100.0,0.0,1.0
2002-01-03,47.71,47.71,45.3,45.3,14.4008,29900.0,0.0,1.0
2002-01-04,45.6,45.6,41.0,42.5,13.5107,115500.0,0.0,1.0
2002-01-07,42.5,43.1,39.85,41.8,13.2882,200500.0,0.0,1.0
2002-01-08,41.55,41.8,40.5,41.1,13.0657,147400.0,0.0,1.0
2002-01-09,41.15,41.6,41.1,41.2,13.0975,20000.0,0.0,1.0
2002-01-10,41.2,42.4,41.2,42.1,13.3836,72100.0,0.0,1.0
2002-01-11,43.0,44.25,42.95,43.5,13.8286,113600.0,0.0,1.0
2002-01-14,43.5,43.7,42.9,42.9,13.6379,76900.0,0.0,1.0
2002-01-15,44.25,46.35,44.25,46.01,14.6265,343400.0,0.0,1.0
2002-01-16,45.93,47.35,45.5,46.9,14.9095,175400.0,0.0,1.0
2002-01-17,47.0,47.8,47.0,47.2,15.0048,14300.0,0.0,1.0
2002-01-18,47.1,48.0,46.7,47.3,15.0366,23500.0,0.0,1.0
2002-01-22,47.31,47.31,45.7,46.7,14.8459,43600.0,0.0,1.0
2002-01-23,47.15,47.15,46.7,46.9,14.9095,12900.0,0.0,1.0
2002-01-24,47.0,47.2,46.0,46.25,14.7028,41700.0,0.0,1.0
2002-01-25,46.4,47.3,45.95,46.9,14.9095,29600.0,0.0,1.0
2002-01-28,47.7,47.7,45.78,46.3,14.7187,25100.0,0.0,1.0
2002-01-29,46.35,46.6,46.3,46.36,14.7378,9100.0,0.0,1.0
2002-01-30,46.4,46.7,46.1,46.65,14.83,22600.0,0.0,1.0
2002-01-31,46.75,47.1,46.45,46.85,14.8936,12200.0,0.0,1.0
2002-02-01,47.2,47.2,46.95,47.1,14.9731,3000.0,0.0,1.0
2002-02-04,47.0,47.0,46.3,46.33,14.7283,4400.0,0.0,1.0
2002-02-05,46.15,46.15,45.85,45.89,14.5884,13100.0,0.0,1.0
2002-02-06,45.79,45.8,45.5,45.7,14.528,18100.0,0.0,1.0
2002-02-07,44.5,44.85,43.8,44.7,14.2101,72000.0,0.0,1.0
2002-02-08,44.65,44.85,44.5,44.8,14.2419,23700.0,0.0,1.0
2002-02-11,44.7,45.5,44.6,45.4,14.4326,7200.0,0.0,1.0
2002-02-12,45.5,46.2,45.5,46.2,14.687,4700.0,0.0,1.0
2002-02-13,46.0,46.1,44.9,45.0,14.3055,24700.0,0.0,1.0
2002-02-14,45.1,45.1,44.4,44.65,14.1942,19500.0,0.0,1.0
2002-02-15,44.6,44.6,44.5,44.6,14.1783,5700.0,0.0,1.0
2002-02-19,44.7,44.79,44.45,44.5,14.1465,3300.0,0.0,1.0
2002-02-20,45.75,45.75,43.9,44.2,14.0512,29500.0,0.0,1.0
2002-02-21,44.0,44.38,43.8,44.38,14.1084,44100.0,0.0,1.0
2002-02-22,44.38,44.95,44.38,44.9,14.2737,15200.0,0.0,1.0
2002-02-25,44.8,45.3,44.8,45.0,14.3055,8600.0,0.0,1.0
2002-02-26,45.1,45.3,45.0,45.1,14.3373,29600.0,0.0,1.0
2002-02-27,45.15,45.6,44.95,45.1,14.3373,42400.0,0.0,1.0
2002-02-28,45.2,45.2,44.5,44.8,14.2419,7500.0,0.0,1.0
2002-03-01,44.8,44.8,43.55,43.9,13.9558,73000.0,0.0,1.0
2002-03-04,43.8,44.2,43.55,43.9,13.9558,43100.0,0.0,1.0
2002-03-05,43.9,43.9,43.2,43.7,13.8922,89700.0,0.0,1.0
2002-03-06,43.6,43.99,43.35,43.6,13.8604,167000.0,0.0,1.0
2002-03-07,41.5,42.2,40.8,40.9,13.0021,4510100.0,0.0,1.0
2002-03-08,41.01,41.59,40.52,41.5,13.1928,1045000.0,0.0,1.0
2002-03-11,41.5,42.2,41.0,41.99,13.3486,1049200.0,0.0,1.0
2002-03-12,41.95,41.95,41.4,41.8,13.2882,552600.0,0.0,1.0
2002-03-13,41.5,41.85,41.5,41.7,13.2564,259300.0,0.0,1.0
