date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,35.25,36.0,34.75,35.0,9.4936,10635000.0,0.0,1.0
2000-01-04,34.44,34.75,33.75,34.0,9.2223,10734600.0,0.0,1.0
2000-01-05,33.56,34.88,33.56,33.81,9.1708,11722500.0,0.0,1.0
2000-01-06,34.0,35.25,33.81,35.13,9.5288,17479500.0,0.0,1.0
2000-01-07,34.5,36.25,34.5,35.5,9.6292,15755900.0,0.0,1.0
2000-01-10,36.0,36.06,34.88,35.25,9.5614,10442000.0,0.0,1.0
2000-01-11,34.38,35.19,34.38,34.75,9.4257,9533100.0,0.0,1.0
2000-01-12,34.81,35.0,34.0,34.06,9.2593,8329900.0,0.0763,1.0
2000-01-13,34.06,34.38,33.69,33.75,9.175,10615800.0,0.0,1.0
2000-01-14,34.5,34.63,34.0,34.5,9.3789,11217500.0,0.0,1.0
2000-01-18,33.81,34.5,33.13,33.75,9.175,11348600.0,0.0,1.0
2000-01-19,32.88,33.44,32.88,33.06,8.9874,16849700.0,0.0,1.0
2000-01-20,32.69,32.88,31.69,32.05,8.7129,15429100.0,0.0,1.0
2000-01-21,31.5,31.63,30.75,31.19,8.4791,18903500.0,0.0,1.0
2000-01-24,30.63,30.88,30.0,30.0,8.1556,20606500.0,0.0,1.0
2000-01-25,30.0,30.56,29.38,29.63,8.055,22725300.0,0.0,1.0
2000-01-26,29.81,30.0,29.44,29.69,8.0713,14037300.0,0.0,1.0
2000-01-27,29.75,31.19,29.63,30.81,8.3758,16105600.0,0.0,1.0
2000-01-28,31.19,32.19,31.06,31.88,8.6666,13831100.0,0.0,1.0
2000-01-31,31.88,32.88,30.94,32.56,8.8515,11452000.0,0.0,1.0
2000-02-01,32.38,32.88,31.88,32.88,8.9385,8050600.0,0.0,1.0
2000-02-02,32.75,33.25,32.75,33.06,8.9874,10301700.0,0.0,1.0
2000-02-03,33.0,33.44,32.94,33.25,9.0391,8176100.0,0.0,1.0
2000-02-04,33.81,35.06,33.81,34.44,9.3626,13315300.0,0.0,1.0
2000-02-07,34.5,34.56,33.38,33.81,9.1913,5931600.0,0.0,1.0
2000-02-08,34.19,34.5,33.5,34.13,9.2783,10834000.0,0.0,1.0
2000-02-09,34.69,36.5,34.56,36.06,9.803,14133800.0,0.0,1.0
2000-02-10,36.0,36.0,34.69,35.13,9.5502,14272400.0,0.0,1.0
2000-02-11,35.19,35.19,34.0,34.0,9.243,6960800.0,0.0,1.0
2000-02-14,34.75,35.19,34.38,35.06,9.5311,6156500.0,0.0,1.0
2000-02-15,35.19,35.38,34.56,35.13,9.5502,8322400.0,0.0,1.0
2000-02-16,34.75,35.13,34.56,34.69,9.4306,5104000.0,0.0,1.0
2000-02-17,34.94,35.25,34.13,34.25,9.3109,9944300.0,0.0,1.0
2000-02-18,34.0,34.44,32.38,32.63,8.8705,9892600.0,0.0,1.0
2000-02-22,33.44,33.5,32.81,33.38,9.0744,8656100.0,0.0,1.0
2000-02-23,32.38,33.0,31.81,32.13,8.7346,8071400.0,0.0,1.0
2000-02-24,32.25,32.56,31.0,31.75,8.6313,7740500.0,0.0,1.0
2000-02-25,31.88,32.75,31.75,32.06,8.7156,9544800.0,0.0,1.0
2000-02-28,33.5,33.69,32.63,33.13,9.0065,9246300.0,0.0,1.0
2000-02-29,33.13,33.56,32.63,33.0,8.9711,8257800.0,0.0,1.0
2000-03-01,33.13,34.0,32.75,33.81,9.1913,8537000.0,0.0,1.0
2000-03-02,33.81,33.94,32.94,33.5,9.107,7037700.0,0.0,1.0
2000-03-03,32.75,33.13,31.88,32.44,8.8189,11829500.0,0.0,1.0
2000-03-06,32.19,32.19,31.0,31.25,8.4954,9772800.0,0.0,1.0
2000-03-07,31.19,31.25,29.5,29.63,8.055,15393700.0,0.0,1.0
2000-03-08,30.13,31.44,30.06,31.0,8.4274,16825900.0,0.0,1.0
2000-03-09,30.25,31.44,30.06,31.25,8.4954,11917600.0,0.0,1.0
2000-03-10,31.44,31.94,30.5,30.94,8.4111,8180200.0,0.0,1.0
2000-03-13,30.0,30.69,29.88,30.56,8.3078,7070400.0,0.0,1.0
2000-03-14,30.88,31.44,30.75,31.13,8.4628,8679000.0,0.0,1.0
2000-03-15,30.94,32.5,30.63,32.5,8.8352,9056800.0,0.0,1.0
2000-03-16,33.5,34.88,33.25,34.5,9.3789,12571200.0,0.0,1.0
2000-03-17,34.5,34.88,33.38,33.5,9.107,8273400.0,0.0,1.0
2000-03-20,34.25,34.44,33.5,33.88,9.2104,5535000.0,0.0,1.0
2000-03-21,34.38,34.44,32.94,33.69,9.1587,8819200.0,0.0,1.0
2000-03-22,33.5,34.44,33.44,34.31,9.3272,5635600.0,0.0,1.0
2000-03-23,34.25,34.31,33.5,33.81,9.1913,6320300.0,0.0,1.0
2000-03-24,33.87,34.12,33.5,33.62,9.1397,6335300.0,0.0,1.0
2000-03-27,33.5,33.88,33.13,33.25,9.0391,7046800.0,0.0,1.0
2000-03-28,33.06,34.0,32.56,33.88,9.2104,10095200.0,0.0,1.0
2000-03-29,34.13,35.5,33.94,34.88,9.4822,11370100.0,0.0,1.0
2000-03-30,35.38,36.0,34.75,35.5,9.6508,10572500.0,0.0,1.0
2000-03-31,35.5,35.94,34.44,35.19,9.5665,7390100.0,0.0,1.0
2000-04-03,35.56,37.38,35.38,37.0,10.0585,9708000.0,0.0,1.0
2000-04-04,37.19,39.75,36.94,39.44,10.7218,15373200.0,0.0,1.0
2000-04-05,38.63,38.69,37.0,37.13,10.0939,8360700.0,0.0,1.0
2000-04-06,37.13,38.5,37.13,37.81,10.2787,7079400.0,0.0,1.0
2000-04-07,37.81,38.0,36.44,36.63,9.9579,6845100.0,0.0,1.0
2000-04-10,36.25,38.0,35.56,36.81,10.0069,11166100.0,0.0,1.0
2000-04-11,36.94,38.5,36.94,38.06,10.3467,8703800.0,0.0,1.0
2000-04-12,38.75,40.06,38.25,39.63,10.7967,15842200.0,0.0853,1.0
2000-04-13,39.25,39.88,38.56,39.19,10.6768,8913900.0,0.0,1.0
2000-04-14,38.81,39.0,36.5,36.81,10.0284,11353400.0,0.0,1.0
2000-04-17,37.0,37.88,36.56,37.69,10.2682,7666900.0,0.0,1.0
2000-04-18,37.69,38.63,37.13,38.19,10.4044,6324500.0,0.0,1.0
2000-04-19,38.44,38.81,37.69,38.38,10.4561,6056800.0,0.0,1.0
2000-04-20,38.56,39.38,38.25,39.25,10.6932,6094800.0,0.0,1.0
2000-04-24,38.75,40.25,38.63,40.06,10.9138,9178800.0,0.0,1.0
2000-04-25,40.0,40.13,39.0,39.75,10.8294,5514700.0,0.0,1.0
2000-04-26,38.56,39.0,38.44,39.0,10.6251,4376100.0,0.0,1.0
2000-04-27,38.5,39.06,38.31,39.0,10.6251,8515600.0,0.0,1.0
2000-04-28,38.75,38.75,37.69,38.44,10.4725,6870100.0,0.0,1.0
2000-05-01,38.13,38.19,37.31,38.06,10.369,8625200.0,0.0,1.0
