date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,53.5,53.94,51.94,52.0,28.0501,2698900.0,0.0,1.0
2000-01-04,51.63,53.0,51.5,52.0,28.0501,3141100.0,0.0,1.0
2000-01-05,51.94,51.94,50.69,51.56,27.8127,3008800.0,0.0,1.0
2000-01-06,51.88,52.94,51.31,52.19,28.1526,2121700.0,0.0,1.0
2000-01-07,53.38,53.81,52.5,53.38,28.7945,1892300.0,0.0,1.0
2000-01-10,53.0,54.75,52.88,54.69,29.5011,1722200.0,0.0,1.0
2000-01-11,54.13,54.38,53.31,53.63,28.9294,1087900.0,0.0,1.0
2000-01-12,53.63,53.88,52.75,53.13,28.6596,1108900.0,0.0,1.0
2000-01-13,53.13,53.13,52.44,52.81,28.487,1314600.0,0.0,1.0
2000-01-14,51.88,52.88,51.0,52.25,28.1849,2138500.0,0.0,1.0
2000-01-18,51.75,52.06,49.06,49.25,26.5667,2826300.0,0.0,1.0
2000-01-19,49.38,54.5,49.31,54.06,29.1613,4264400.0,0.0,1.0
2000-01-20,53.38,54.0,50.38,50.81,27.4082,3220200.0,0.0,1.0
2000-01-21,51.56,51.56,50.0,50.56,27.2733,2826200.0,0.0,1.0
2000-01-24,51.0,51.0,49.75,50.0,26.9712,2919500.0,0.0,1.0
2000-01-25,50.5,51.31,50.19,51.06,27.543,2439700.0,0.0,1.0
2000-01-26,51.88,51.88,50.06,51.0,27.5107,1759300.0,0.0,1.0
2000-01-27,51.25,51.69,47.56,50.19,27.0737,2568300.0,0.0,1.0
2000-01-28,49.94,50.0,48.25,48.94,26.3995,1732100.0,0.0,1.0
2000-01-31,48.94,48.94,46.81,47.44,25.5903,2152300.0,0.0,1.0
2000-02-01,47.5,48.63,46.69,48.19,25.9949,1747500.0,0.0,1.0
2000-02-02,48.25,48.25,44.25,45.56,24.5762,2998300.0,0.0,1.0
2000-02-03,46.0,49.0,45.81,48.63,26.2322,3202300.0,0.0,1.0
2000-02-04,48.56,49.25,47.88,48.0,25.8924,1296600.0,0.0,1.0
2000-02-07,48.0,48.25,46.5,46.5,25.0833,1554500.0,0.0,1.0
2000-02-08,47.0,47.0,46.0,46.56,25.1156,2684900.0,0.0,1.0
2000-02-09,46.56,46.94,44.81,45.0,24.2741,2266800.0,0.0,1.0
2000-02-10,45.19,47.88,45.06,47.38,25.5579,2229900.0,0.0,1.0
2000-02-11,47.0,47.0,45.5,45.81,24.7111,1208300.0,0.0,1.0
2000-02-14,45.94,47.75,45.63,46.31,24.9808,1729900.0,0.0,1.0
2000-02-15,46.56,47.0,45.44,46.06,24.8459,2317100.0,0.0,1.0
2000-02-16,46.25,46.31,45.5,45.88,24.7488,2399200.0,0.0,1.0
2000-02-17,45.94,46.06,45.06,45.44,24.5115,1387600.0,0.0,1.0
2000-02-18,45.44,45.56,43.63,44.5,24.0044,1585800.0,0.0,1.0
2000-02-22,44.5,44.56,40.0,41.88,22.5911,4049700.0,0.0,1.0
2000-02-23,41.94,44.44,41.81,43.44,23.4326,2999700.0,0.0,1.0
2000-02-24,44.38,45.06,44.06,44.63,24.0745,2610800.0,0.0,1.0
2000-02-25,44.63,45.06,42.94,42.94,23.1629,2241700.0,0.0,1.0
2000-02-28,42.88,45.0,42.75,44.5,24.0044,2535600.0,0.0,1.0
2000-02-29,44.88,45.31,43.19,43.56,23.4973,2114100.0,0.0,1.0
2000-03-01,43.56,44.94,43.56,44.25,23.8696,1471600.0,0.0,1.0
2000-03-02,44.19,44.31,43.25,43.25,23.3301,1323400.0,0.0,1.0
2000-03-03,42.5,44.5,42.5,43.19,23.2978,2809500.0,0.0,1.0
2000-03-06,43.19,44.38,43.19,43.94,23.7023,2528900.0,0.0,1.0
2000-03-07,44.0,44.88,43.44,43.5,23.465,2734600.0,0.0,1.0
2000-03-08,43.38,44.13,43.25,43.25,23.3773,2231500.0,0.0875,1.0
2000-03-09,43.25,44.13,43.13,44.0,23.7827,3092700.0,0.0,1.0
2000-03-10,44.06,44.75,43.63,44.13,23.853,2254100.0,0.0,1.0
2000-03-13,44.0,45.38,43.81,45.06,24.3557,1792900.0,0.0,1.0
2000-03-14,48.0,48.0,46.25,47.25,25.5394,2700300.0,0.0,1.0
2000-03-15,47.25,49.5,47.19,49.13,26.5556,4394400.0,0.0,1.0
2000-03-16,50.0,55.44,50.0,54.75,29.5933,6838200.0,0.0,1.0
2000-03-17,54.75,54.75,53.0,54.0,29.1879,3553700.0,0.0,1.0
2000-03-20,53.5,53.69,51.25,52.25,28.242,2472200.0,0.0,1.0
2000-03-21,51.13,53.0,51.13,52.5,28.3771,2277100.0,0.0,1.0
2000-03-22,51.75,52.5,50.31,51.38,27.7717,2591800.0,0.0,1.0
2000-03-23,50.38,51.94,50.38,51.44,27.8042,2529000.0,0.0,1.0
2000-03-24,51.0,52.94,51.0,52.0,28.1068,2204400.0,0.0,1.0
2000-03-27,51.75,53.5,51.75,51.94,28.0744,2425500.0,0.0,1.0
2000-03-28,51.94,52.19,48.44,48.44,26.1826,2987500.0,0.0,1.0
2000-03-29,49.13,49.75,47.0,47.63,25.7448,2327200.0,0.0,1.0
