date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,32.56,32.62,31.56,32.31,12.5046,700800.0,0.0,1.0
2000-01-04,32.31,32.5,32.19,32.31,12.5046,455600.0,0.0,1.0
2000-01-05,32.31,33.31,32.31,33.25,12.8684,1293200.0,0.0,1.0
2000-01-06,33.56,33.69,33.25,33.44,12.9419,320400.0,0.0,1.0
2000-01-07,33.5,34.0,33.44,33.94,13.1354,312700.0,0.0,1.0
2000-01-10,33.94,34.25,33.63,33.69,13.0387,483300.0,0.0,1.0
2000-01-11,33.63,33.69,33.44,33.63,13.0155,479200.0,0.0,1.0
2000-01-12,33.75,33.88,33.31,33.81,13.0851,240400.0,0.0,1.0
2000-01-13,33.75,34.06,33.63,33.94,13.1354,235100.0,0.0,1.0
2000-01-14,33.88,33.88,33.19,33.44,12.9419,280900.0,0.0,1.0
2000-01-18,33.44,33.44,32.31,32.31,12.5046,416000.0,0.0,1.0
2000-01-19,32.44,33.19,32.38,33.13,12.8219,406200.0,0.0,1.0
2000-01-20,32.94,33.06,32.75,33.0,12.7716,212300.0,0.0,1.0
2000-01-21,33.06,33.25,32.81,33.25,12.8684,407000.0,0.0,1.0
2000-01-24,33.25,33.94,33.25,33.44,12.9419,342400.0,0.0,1.0
2000-01-25,33.38,33.5,32.44,32.63,12.6284,405900.0,0.0,1.0
2000-01-26,32.75,33.25,32.69,33.0,12.7716,324600.0,0.0,1.0
2000-01-27,32.88,33.13,32.75,32.94,12.7484,291100.0,0.0,1.0
2000-01-28,32.69,32.81,32.25,32.31,12.5046,610400.0,0.0,1.0
2000-01-31,32.38,32.81,32.0,32.56,12.6013,256700.0,0.0,1.0
2000-02-01,32.81,32.81,32.31,32.56,12.6013,185200.0,0.0,1.0
2000-02-02,32.81,33.19,32.56,32.56,12.6013,418500.0,0.0,1.0
2000-02-03,32.56,33.44,32.56,32.94,12.7484,434400.0,0.0,1.0
2000-02-04,33.0,33.19,31.75,31.94,12.3614,378700.0,0.0,1.0
2000-02-07,31.94,31.94,31.63,31.75,12.2879,234900.0,0.0,1.0
2000-02-08,31.75,32.44,31.75,31.88,12.3382,309900.0,0.0,1.0
2000-02-09,32.5,32.5,31.5,31.56,12.2143,328900.0,0.0,1.0
2000-02-10,31.56,31.81,31.0,31.13,12.0479,367100.0,0.0,1.0
2000-02-11,31.13,31.38,31.0,31.0,11.9976,446200.0,0.0,1.0
2000-02-14,31.25,31.5,30.88,31.25,12.0943,261500.0,0.0,1.0
2000-02-15,31.25,31.31,31.0,31.13,12.0479,199700.0,0.0,1.0
2000-02-16,31.0,31.19,30.81,30.94,11.9744,154000.0,0.0,1.0
2000-02-17,30.94,30.94,30.44,30.5,11.8041,186900.0,0.0,1.0
2000-02-18,30.5,30.5,29.56,30.25,11.7073,463200.0,0.0,1.0
2000-02-22,30.5,30.63,30.13,30.44,11.7809,209700.0,0.0,1.0
2000-02-23,30.38,30.44,29.69,30.25,11.7073,292300.0,0.0,1.0
2000-02-24,30.25,30.25,28.5,28.88,11.1771,397900.0,0.0,1.0
2000-02-25,28.88,29.19,28.5,28.88,11.1771,297400.0,0.0,1.0
2000-02-28,29.13,30.13,28.88,30.06,11.6338,652300.0,0.0,1.0
2000-02-29,29.94,30.06,29.69,30.0,11.6106,767000.0,0.0,1.0
2000-03-01,29.81,29.94,29.0,29.5,11.4171,317700.0,0.0,1.0
2000-03-02,28.81,29.13,28.56,28.94,11.2003,580800.0,0.0,1.0
2000-03-03,29.0,29.5,28.81,29.19,11.2971,273600.0,0.0,1.0
2000-03-06,29.0,29.0,28.0,28.19,10.9101,2242900.0,0.0,1.0
2000-03-07,27.75,28.38,27.63,27.88,11.0359,294700.0,0.635,1.0
2000-03-08,27.94,28.38,27.75,28.0,11.0834,489500.0,0.0,1.0
2000-03-09,28.0,28.25,27.75,28.06,11.1071,379700.0,0.0,1.0
2000-03-10,28.31,28.31,28.0,28.13,11.1348,216800.0,0.0,1.0
2000-03-13,28.25,28.25,27.88,28.13,11.1348,252800.0,0.0,1.0
2000-03-14,28.13,28.13,27.56,27.81,11.0081,299800.0,0.0,1.0
2000-03-15,27.81,29.19,27.81,29.06,11.5029,446000.0,0.0,1.0
2000-03-16,29.31,30.75,29.19,30.63,12.1244,483700.0,0.0,1.0
2000-03-17,30.38,30.5,30.0,30.13,11.9265,806100.0,0.0,1.0
2000-03-20,30.13,30.5,30.0,30.25,11.974,448600.0,0.0,1.0
2000-03-21,30.25,30.5,30.25,30.44,12.0492,508100.0,0.0,1.0
2000-03-22,30.44,30.44,29.75,30.13,11.9265,646400.0,0.0,1.0
2000-03-23,29.88,30.69,29.88,30.19,11.9502,321900.0,0.0,1.0
2000-03-24,30.06,30.5,29.88,30.5,12.0729,338500.0,0.0,1.0
2000-03-27,30.63,31.06,30.56,30.94,12.2471,229200.0,0.0,1.0
2000-03-28,31.0,31.13,30.31,30.31,11.9977,353500.0,0.0,1.0
2000-03-29,30.38,31.19,30.38,30.69,12.1481,369900.0,0.0,1.0
2000-03-30,30.94,31.19,30.31,30.63,12.1244,453500.0,0.0,1.0
2000-03-31,30.94,30.94,30.31,30.94,12.2471,320500.0,0.0,1.0
2000-04-03,30.88,31.19,30.63,31.13,12.3223,496600.0,0.0,1.0
2000-04-04,31.06,32.13,31.06,31.94,12.6429,640600.0,0.0,1.0
2000-04-05,31.88,33.0,31.88,32.56,12.8884,376900.0,0.0,1.0
2000-04-06,32.63,32.81,31.94,32.19,12.7419,366700.0,0.0,1.0
2000-04-07,32.19,32.56,31.56,31.63,12.5202,308300.0,0.0,1.0
2000-04-10,31.38,32.38,31.19,31.81,12.5915,370900.0,0.0,1.0
2000-04-11,32.06,32.56,31.75,32.0,12.6667,164700.0,0.0,1.0
2000-04-12,32.25,33.0,32.25,32.38,12.8171,190400.0,0.0,1.0
2000-04-13,32.38,33.88,32.0,33.25,13.1615,879500.0,0.0,1.0
2000-04-14,33.25,33.81,32.56,32.88,13.015,220800.0,0.0,1.0
