date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,74.75,74.75,71.25,72.5,27.2542,667200.0,0.0,1.0
2000-01-04,71.88,71.94,69.25,69.63,26.1753,742400.0,0.0,1.0
2000-01-05,69.69,70.25,68.5,70.06,26.337,784900.0,0.0,1.0
2000-01-06,70.63,71.63,70.0,70.94,26.6678,854200.0,0.0,1.0
2000-01-07,70.69,72.31,70.19,72.31,27.1828,724700.0,0.0,1.0
2000-01-10,72.5,75.94,72.5,75.56,28.4045,1728900.0,0.0,1.0
2000-01-11,75.94,76.63,74.56,75.94,28.5474,1305000.0,0.0,1.0
2000-01-12,76.0,78.94,76.0,77.5,29.1338,1410000.0,0.0,1.0
2000-01-13,77.38,80.69,76.75,78.81,29.6263,1661300.0,0.0,1.0
2000-01-14,81.0,83.38,80.63,83.25,31.2953,1066300.0,0.0,1.0
2000-01-18,81.75,81.75,77.75,77.94,29.2992,937200.0,0.0,1.0
2000-01-19,78.0,79.38,77.63,78.38,29.4646,1174000.0,0.0,1.0
2000-01-20,79.0,79.0,77.5,77.69,29.2052,734900.0,0.0,1.0
2000-01-21,78.5,80.0,78.13,80.0,30.0736,824400.0,0.0,1.0
2000-01-24,80.0,81.44,79.44,80.0,30.0736,1738800.0,0.0,1.0
2000-01-25,80.0,80.56,75.88,76.0,28.5699,1027300.0,0.0,1.0
2000-01-26,75.75,75.75,72.44,72.44,27.2316,1461100.0,0.0,1.0
2000-01-27,73.5,77.56,73.44,75.88,28.5248,1142400.0,0.0,1.0
2000-01-28,76.13,76.69,74.88,76.38,28.7128,635200.0,0.0,1.0
2000-01-31,78.0,80.94,77.06,80.13,30.1225,918700.0,0.0,1.0
2000-02-01,80.13,81.5,78.38,80.75,30.3555,1016100.0,0.0,1.0
2000-02-02,80.69,81.38,77.5,79.31,29.8142,939800.0,0.0,1.0
2000-02-03,79.81,82.81,78.81,80.38,30.2165,1303700.0,0.0,1.0
2000-02-04,80.38,80.38,72.63,75.25,28.288,2203800.0,0.0,1.0
2000-02-07,77.0,80.5,76.5,80.0,30.0736,1297800.0,0.0,1.0
2000-02-08,81.25,85.88,80.75,84.44,31.7427,1554600.0,0.0,1.0
2000-02-09,84.44,86.5,83.19,85.88,32.284,1046600.0,0.0,1.0
2000-02-10,85.0,85.75,82.38,82.88,31.1563,792300.0,0.0,1.0
2000-02-11,81.5,82.56,80.75,82.0,30.8254,523300.0,0.0,1.0
2000-02-14,82.0,85.69,81.38,85.5,32.1412,965900.0,0.0,1.0
2000-02-15,85.5,87.69,84.63,86.38,32.472,914000.0,0.0,1.0
2000-02-16,86.13,89.38,85.75,88.19,33.1524,993000.0,0.0,1.0
2000-02-17,88.25,89.44,87.25,87.94,33.0584,541200.0,0.0,1.0
2000-02-18,88.0,89.0,87.38,88.0,33.081,669600.0,0.0,1.0
2000-02-22,87.75,88.0,84.69,85.94,32.3066,562500.0,0.0,1.0
2000-02-23,85.5,85.5,82.0,84.19,31.6487,943100.0,0.0,1.0
2000-02-24,85.0,85.44,83.31,84.88,31.9081,817100.0,0.0,1.0
2000-02-25,84.88,85.0,82.75,84.5,31.7652,486200.0,0.0,1.0
2000-02-28,84.75,85.81,84.5,85.81,32.2577,581400.0,0.0,1.0
2000-02-29,85.81,86.44,83.31,83.81,31.5059,790000.0,0.0,1.0
2000-03-01,83.81,84.38,80.88,81.94,30.8029,848800.0,0.0,1.0
2000-03-02,82.5,87.44,82.38,87.13,32.7539,973600.0,0.0,1.0
2000-03-03,87.75,88.5,86.0,86.94,32.6825,1086200.0,0.0,1.0
2000-03-06,85.0,85.0,74.0,81.38,30.5924,3498400.0,0.0,1.0
2000-03-07,82.13,83.25,79.38,79.63,29.9345,1254700.0,0.0,1.0
2000-03-08,79.63,79.75,77.38,78.25,29.4157,1376900.0,0.0,1.0
2000-03-09,79.75,79.75,74.75,75.56,28.4045,1085400.0,0.0,1.0
2000-03-10,72.0,78.0,69.5,73.0,27.4422,1864900.0,0.0,1.0
2000-03-13,71.75,74.0,70.31,73.0,27.4422,1289600.0,0.0,1.0
2000-03-14,73.75,74.0,70.13,71.88,27.0211,899700.0,0.0,1.0
2000-03-15,71.63,74.75,71.06,74.38,27.9609,1018400.0,0.0,1.0
2000-03-16,76.75,82.0,75.88,80.13,30.1225,1437700.0,0.0,1.0
2000-03-17,80.0,80.06,74.75,77.88,29.2767,1937100.0,0.0,1.0
2000-03-20,77.88,79.69,75.06,76.88,28.9007,967200.0,0.0,1.0
2000-03-21,76.5,76.5,74.5,74.63,28.0549,829800.0,0.0,1.0
2000-03-22,74.75,74.88,70.63,72.19,27.1377,1797500.0,0.0,1.0
2000-03-23,73.19,75.25,73.06,73.81,27.7467,1315400.0,0.0,1.0
2000-03-24,73.62,75.75,72.5,75.75,28.4759,1148100.0,0.0,1.0
2000-03-27,76.0,76.88,74.06,74.31,27.9346,575500.0,0.0,1.0
2000-03-28,72.0,74.44,71.25,72.81,27.3707,1079200.0,0.0,1.0
2000-03-29,72.0,76.69,72.0,75.38,28.3369,855300.0,0.0,1.0
2000-03-30,75.38,84.5,74.25,79.63,29.9345,1616200.0,0.0,1.0
2000-03-31,79.63,80.81,77.44,78.75,29.6037,1166200.0,0.0,1.0
2000-04-03,78.81,79.63,75.31,77.88,29.2767,821500.0,0.0,1.0
2000-04-04,77.88,80.38,71.25,74.31,27.9346,1389700.0,0.0,1.0
2000-04-05,75.5,77.75,74.69,75.56,28.4045,753900.0,0.0,1.0
2000-04-06,75.63,77.0,75.0,75.63,28.4308,538800.0,0.0,1.0
2000-04-07,76.25,77.63,75.06,77.0,28.9458,486100.0,0.0,1.0
2000-04-10,77.0,80.94,77.0,79.44,29.8631,784700.0,0.0,1.0
2000-04-11,79.31,79.31,76.38,78.0,29.3218,583600.0,0.0,1.0
2000-04-12,78.0,78.0,76.06,76.56,28.7804,745700.0,0.0,1.0
2000-04-13,76.75,77.25,75.56,76.44,28.7353,580700.0,0.0,1.0
2000-04-14,75.75,77.31,72.5,73.88,27.773,1036200.0,0.0,1.0
2000-04-17,74.5,75.0,71.19,74.31,27.9346,966100.0,0.0,1.0
2000-04-18,74.38,78.5,73.63,77.0,28.9458,1014000.0,0.0,1.0
2000-04-19,78.25,79.44,77.75,79.44,29.8631,586900.0,0.0,1.0
2000-04-20,81.0,87.0,80.06,86.13,32.378,1826600.0,0.0,1.0
2000-04-24,86.0,87.13,83.06,83.81,31.5059,1101500.0,0.0,1.0
2000-04-25,83.81,84.38,82.19,83.19,31.2728,724200.0,0.0,1.0
2000-04-26,83.19,86.19,83.06,85.5,32.1412,1058100.0,0.0,1.0
2000-04-27,84.75,84.75,82.38,84.44,31.7427,455900.0,0.0,1.0
2000-04-28,84.44,91.38,83.81,89.94,33.8103,1603900.0,0.0,1.0
2000-05-01,90.88,92.5,86.25,87.88,33.0359,1187700.0,0.0,1.0
2000-05-02,87.88,88.94,84.63,85.0,31.9532,767600.0,0.0,1.0
2000-05-03,85.0,86.0,83.63,85.56,32.1637,962400.0,0.0,1.0
2000-05-04,85.75,87.56,83.5,85.13,32.0021,971600.0,0.0,1.0
2000-05-05,85.06,86.38,84.75,86.0,32.3291,489500.0,0.0,1.0
2000-05-08,84.5,84.5,80.31,81.19,30.521,2276800.0,0.0,1.0
2000-05-09,81.13,81.13,78.56,78.94,29.6751,1386000.0,0.0,1.0
2000-05-10,78.38,78.38,73.44,73.63,27.679,2707300.0,0.0,1.0
2000-05-11,74.25,77.13,72.0,74.38,27.9609,4223100.0,0.0,1.0
2000-05-12,75.38,78.75,75.38,78.25,29.4157,7229600.0,0.0,1.0
2000-05-15,77.63,82.44,77.38,82.13,30.8743,2805200.0,0.0,1.0
2000-05-16,81.63,81.69,80.0,80.69,30.333,1412700.0,0.0,1.0
2000-05-17,79.75,82.56,78.81,82.06,30.848,1585000.0,0.0,1.0
2000-05-18,82.56,82.88,81.56,82.5,31.0134,982700.0,0.0,1.0
2000-05-19,82.13,83.06,81.63,82.81,31.1299,988300.0,0.0,1.0
2000-05-22,82.81,83.5,81.31,83.5,31.3893,1336400.0,0.0,1.0
2000-05-23,83.75,85.31,82.88,83.81,31.5059,1300100.0,0.0,1.0
2000-05-24,83.69,83.94,80.25,81.94,30.8029,1530200.0,0.0,1.0
2000-05-25,83.5,85.13,82.06,83.63,31.4382,1249800.0,0.0,1.0
2000-05-26,84.5,86.81,84.38,85.94,32.3066,930600.0,0.0,1.0
2000-05-30,85.88,86.94,84.19,86.38,32.472,830700.0,0.0,1.0
2000-05-31,86.25,87.63,85.81,87.25,32.799,1191700.0,0.0,1.0
2000-06-01,87.25,89.75,86.5,89.38,33.5997,1546300.0,0.0,1.0
2000-06-02,44.75,46.38,44.69,46.0,34.5846,1055100.0,0.0,2.0
2000-06-05,45.75,46.0,43.5,43.88,32.9907,1445300.0,0.0,1.0
2000-06-06,43.88,45.44,43.75,45.0,33.8328,2200000.0,0.0,1.0
2000-06-07,47.75,47.75,45.25,46.25,34.7726,2550200.0,0.0,1.0
2000-06-08,46.25,47.81,46.13,47.19,35.4793,2118800.0,0.0,1.0
2000-06-09,47.44,49.25,47.0,48.0,36.0883,1360000.0,0.0,1.0
2000-06-12,48.0,48.31,46.75,47.81,35.9455,2183600.0,0.0,1.0
2000-06-13,47.88,49.63,47.75,48.88,36.7499,2833800.0,0.0,1.0
2000-06-14,47.0,47.31,43.56,43.69,32.8479,4344900.0,0.0,1.0
2000-06-15,44.5,45.88,44.25,45.25,34.0208,2302100.0,0.0,1.0
2000-06-16,45.5,46.44,44.31,46.25,34.7726,1853400.0,0.0,1.0
2000-06-19,46.25,46.25,44.75,45.38,34.1185,1219800.0,0.0,1.0
2000-06-20,45.88,46.88,44.81,44.88,33.7426,1507600.0,0.0,1.0
2000-06-21,44.94,44.94,43.63,44.25,33.2689,1575800.0,0.0,1.0
2000-06-22,44.25,44.5,42.0,42.25,31.7652,2713300.0,0.0,1.0
2000-06-23,42.31,43.13,40.5,40.88,30.7352,1900100.0,0.0,1.0
2000-06-26,41.5,46.25,41.19,46.06,34.6298,2337500.0,0.0,1.0
2000-06-27,44.88,46.19,44.81,45.63,34.3065,2312000.0,0.0,1.0
2000-06-28,45.0,46.56,44.69,46.48,34.9455,1022500.0,0.0,1.0
2000-06-29,46.13,46.19,44.0,44.5,33.4569,1323300.0,0.0,1.0
2000-06-30,44.5,45.94,44.38,45.63,34.3065,1680100.0,0.0,1.0
2000-07-03,45.25,47.0,45.13,47.0,35.3365,337500.0,0.0,1.0
2000-07-05,46.75,47.38,46.0,46.94,35.2914,1399800.0,0.0,1.0
2000-07-06,46.19,47.5,46.06,46.19,34.7275,1343200.0,0.0,1.0
2000-07-07,46.5,48.19,46.44,48.0,36.0883,1742200.0,0.0,1.0
2000-07-10,48.06,49.81,48.06,49.25,37.0281,2016200.0,0.0,1.0
2000-07-11,49.0,49.81,48.75,49.69,37.3589,1398700.0,0.0,1.0
2000-07-12,49.94,51.25,49.81,50.5,37.9679,2531900.0,0.0,1.0
2000-07-13,50.25,53.63,49.88,53.25,40.0355,2704900.0,0.0,1.0
2000-07-14,52.13,52.69,49.25,50.38,37.8777,2118400.0,0.0,1.0
2000-07-17,50.5,54.0,49.63,54.0,40.5994,2377500.0,0.0,1.0
2000-07-18,53.75,53.75,51.25,52.44,39.4265,1511800.0,0.0,1.0
2000-07-19,52.44,52.63,50.69,50.69,38.1108,1199600.0,0.0,1.0
2000-07-20,50.94,53.0,50.94,52.88,39.7573,1745200.0,0.0,1.0
2000-07-21,53.0,53.0,52.19,52.25,39.2836,1111100.0,0.0,1.0
2000-07-24,52.25,52.38,51.69,52.38,39.3814,1158400.0,0.0,1.0
2000-07-25,52.81,53.56,52.69,53.44,40.1783,1540900.0,0.0,1.0
2000-07-26,53.63,53.63,51.63,51.75,38.9077,995300.0,0.0,1.0
2000-07-27,52.75,53.44,52.0,52.69,39.6145,2772200.0,0.0,1.0
2000-07-28,52.94,53.94,50.5,50.94,38.2987,1455200.0,0.0,1.0
2000-07-31,51.25,54.44,51.25,53.44,40.1783,2040300.0,0.0,1.0
2000-08-01,53.44,56.19,53.38,55.75,41.9151,1982400.0,0.0,1.0
2000-08-02,55.44,55.81,53.94,54.44,40.9302,2162600.0,0.0,1.0
2000-08-03,54.25,54.25,52.38,52.69,39.6145,2000000.0,0.0,1.0
2000-08-04,52.69,53.38,51.25,52.81,39.7047,1799800.0,0.0,1.0
2000-08-07,53.5,54.81,53.38,54.7,41.1257,1772100.0,0.0,1.0
2000-08-08,56.5,57.94,55.75,57.75,43.4188,2029500.0,0.0,1.0
2000-08-09,57.75,58.81,55.56,55.61,41.8098,1709500.0,0.0,1.0
2000-08-10,55.13,55.19,53.19,53.83,40.4716,1803600.0,0.0,1.0
2000-08-11,53.88,55.0,53.63,54.7,41.1257,1119200.0,0.0,1.0
2000-08-14,55.63,59.69,55.31,58.75,44.1706,2753100.0,0.0,1.0
2000-08-15,57.25,57.5,56.5,56.88,42.7647,1718700.0,0.0,1.0
2000-08-16,57.0,57.06,56.31,56.63,42.5767,1402300.0,0.0,1.0
2000-08-17,57.13,58.69,57.0,58.63,44.0804,1903300.0,0.0,1.0
2000-08-18,58.5,59.75,58.31,58.75,44.1706,1896100.0,0.0,1.0
2000-08-21,58.13,58.19,57.0,57.38,43.1406,1588200.0,0.0,1.0
2000-08-22,57.88,58.5,57.06,57.56,43.2759,1685400.0,0.0,1.0
2000-08-23,58.19,59.44,57.75,59.13,44.4563,2105600.0,0.0,1.0
2000-08-24,59.0,59.06,57.5,58.75,44.1706,1420200.0,0.0,1.0
2000-08-25,58.5,58.63,57.0,57.19,42.9977,1999200.0,0.0,1.0
2000-08-28,57.25,59.31,57.19,58.94,44.3135,1237200.0,0.0,1.0
2000-08-29,58.13,58.75,58.0,58.5,43.9826,1325700.0,0.0,1.0
2000-08-30,60.5,63.0,59.88,61.63,46.3359,3408900.0,0.0,1.0
2000-08-31,61.0,63.94,61.0,63.64,47.8471,2561700.0,0.0,1.0
2000-09-01,63.75,67.02,63.44,67.0,50.3733,1662300.0,0.0,1.0
2000-09-05,66.75,66.75,62.38,65.25,49.0576,2423500.0,0.0,1.0
2000-09-06,63.0,63.25,60.25,61.75,46.4261,3269300.0,0.0,1.0
2000-09-07,61.75,62.63,60.81,61.38,46.1479,1532700.0,0.0,1.0
2000-09-08,61.5,61.69,59.63,61.02,45.8773,2264100.0,0.0,1.0
2000-09-11,61.0,65.5,61.0,64.58,48.5538,2345500.0,0.0,1.0
2000-09-12,64.75,65.88,63.75,65.69,49.3884,1947400.0,0.0,1.0
2000-09-13,66.69,67.5,64.56,65.25,49.0576,2346700.0,0.0,1.0
2000-09-14,66.0,66.31,64.88,65.94,49.5763,1837500.0,0.0,1.0
2000-09-15,66.25,70.25,66.13,67.5,50.7492,3383200.0,0.0,1.0
2000-09-18,67.75,67.88,64.19,64.48,48.4787,1551400.0,0.0,1.0
2000-09-19,64.38,65.13,62.56,63.63,47.8396,2759700.0,0.0,1.0
2000-09-20,63.13,63.38,61.5,62.5,46.99,1928400.0,0.0,1.0
2000-09-21,62.5,63.75,61.56,62.0,46.6141,1197900.0,0.0,1.0
2000-09-22,62.38,65.25,62.38,65.13,48.9673,1868300.0,0.0,1.0
2000-09-25,65.0,65.88,64.56,65.69,49.3884,1462300.0,0.0,1.0
2000-09-26,65.44,67.0,65.19,66.81,50.2304,2323900.0,0.0,1.0
2000-09-27,66.88,70.0,66.5,69.14,51.9822,2665800.0,0.0,1.0
2000-09-28,68.5,68.56,66.75,68.38,51.4108,2567500.0,0.0,1.0
2000-09-29,68.13,69.38,67.31,68.52,51.5161,1276400.0,0.0,1.0
2000-10-02,68.69,71.75,67.56,70.63,53.1025,2526500.0,0.0,1.0
2000-10-03,70.63,72.81,69.63,70.25,52.8168,2909900.0,0.0,1.0
2000-10-04,70.25,71.38,66.0,67.25,50.5612,2658500.0,0.0,1.0
2000-10-05,68.0,68.81,65.06,65.56,49.2906,3000600.0,0.0,1.0
2000-10-06,65.63,66.44,64.13,64.75,48.6816,2111800.0,0.0,1.0
2000-10-09,65.25,67.88,65.06,67.5,50.7492,1419300.0,0.0,1.0
2000-10-10,67.38,69.75,66.5,69.31,52.11,2331300.0,0.0,1.0
2000-10-11,70.75,70.88,65.0,65.13,48.9673,2477400.0,0.0,1.0
2000-10-12,65.63,65.88,60.0,60.25,45.2984,3287800.0,0.0,1.0
2000-10-13,60.75,60.75,58.31,58.75,44.1706,2685600.0,0.0,1.0
2000-10-16,59.0,61.0,58.5,59.06,44.4037,2320400.0,0.0,1.0
2000-10-17,60.06,60.44,58.25,58.94,44.3135,1387700.0,0.0,1.0
2000-10-18,57.5,58.19,52.13,54.13,40.6971,4286100.0,0.0,1.0
2000-10-19,53.88,56.75,53.19,55.69,41.87,3729700.0,0.0,1.0
2000-10-20,55.94,58.0,55.5,57.44,43.1857,3137300.0,0.0,1.0
2000-10-23,57.56,58.38,55.38,55.63,41.8249,2364200.0,0.0,1.0
2000-10-24,55.88,57.75,54.5,54.94,41.3061,2541200.0,0.0,1.0
2000-10-25,54.94,54.94,49.5,51.5,38.7198,3085300.0,0.0,1.0
2000-10-26,51.38,52.25,49.88,51.0,38.3438,3044600.0,0.0,1.0
2000-10-27,52.0,54.56,51.63,54.25,40.7873,4841300.0,0.0,1.0
2000-10-30,54.31,56.31,53.5,55.88,42.0128,1949100.0,0.0,1.0
2000-10-31,55.88,57.44,54.81,56.5,42.479,2418500.0,0.0,1.0
2000-11-01,57.75,60.81,57.5,60.69,45.6292,2184300.0,0.0,1.0
2000-11-02,61.5,62.56,59.56,60.88,45.772,2117300.0,0.0,1.0
2000-11-03,60.88,62.25,57.81,61.25,46.0502,1814400.0,0.0,1.0
2000-11-06,61.94,64.0,61.0,62.81,47.2231,1366400.0,0.0,1.0
2000-11-07,62.81,64.5,62.81,64.19,48.2606,1316100.0,0.0,1.0
2000-11-08,64.13,64.56,62.88,63.5,47.7418,1196500.0,0.0,1.0
2000-11-09,63.56,63.88,60.63,62.44,46.9449,1512900.0,0.0,1.0
2000-11-10,62.5,64.0,61.13,61.63,46.3359,1245000.0,0.0,1.0
2000-11-13,60.0,60.13,57.44,58.5,43.9826,2275900.0,0.0,1.0
2000-11-14,58.5,59.25,55.63,56.38,42.3887,2573500.0,0.0,1.0
2000-11-15,56.31,57.44,54.94,57.0,42.8549,2048600.0,0.0,1.0
2000-11-16,57.13,57.5,56.5,57.5,43.2308,1985200.0,0.0,1.0
2000-11-17,57.5,59.25,56.75,59.0,44.3586,2206300.0,0.0,1.0
2000-11-20,59.0,59.0,57.0,57.38,43.1406,1239000.0,0.0,1.0
2000-11-21,57.25,57.81,53.0,53.75,40.4114,2293900.0,0.0,1.0
2000-11-22,49.0,56.5,49.0,54.31,40.8324,2814800.0,0.0,1.0
2000-11-24,55.25,56.31,54.88,55.88,42.0128,531700.0,0.0,1.0
2000-11-27,56.13,56.88,56.06,56.56,42.5241,1250300.0,0.0,1.0
2000-11-28,56.56,57.13,55.31,55.69,41.87,1582100.0,0.0,1.0
2000-11-29,55.88,56.44,55.06,55.44,41.682,1465000.0,0.0,1.0
2000-11-30,52.5,52.63,51.0,51.88,39.0055,3171500.0,0.0,1.0
2000-12-01,52.75,52.75,51.63,51.69,38.8626,1897900.0,0.0,1.0
2000-12-04,51.75,53.31,48.63,49.06,36.8853,3918600.0,0.0,1.0
2000-12-05,49.06,49.69,47.38,48.5,36.4642,4389900.0,0.0,1.0
2000-12-06,49.0,49.44,47.44,47.63,35.8101,2789400.0,0.0,1.0
2000-12-07,47.88,48.81,45.0,45.5,34.2087,4827900.0,0.0,1.0
2000-12-08,45.25,49.25,45.0,48.25,36.2763,4159200.0,0.0,1.0
2000-12-11,49.0,51.38,49.0,50.81,38.201,3304600.0,0.0,1.0
2000-12-12,50.81,51.31,49.13,49.94,37.5469,2457500.0,0.0,1.0
2000-12-13,50.0,51.88,49.63,51.44,38.6747,2857900.0,0.0,1.0
2000-12-14,50.88,50.88,48.13,49.44,37.171,3156100.0,0.0,1.0
2000-12-15,49.0,50.25,46.81,49.94,37.5469,3379000.0,0.0,1.0
2000-12-18,51.06,53.06,50.38,52.44,39.4265,3124600.0,0.0,1.0
2000-12-19,52.5,54.19,52.44,53.0,39.8475,2311100.0,0.0,1.0
2000-12-20,52.0,52.75,51.38,52.69,39.6145,2610900.0,0.0,1.0
2000-12-21,52.0,52.31,50.06,50.5,37.9679,3238700.0,0.0,1.0
2000-12-22,50.5,52.5,49.5,52.5,39.4716,2829400.0,0.0,1.0
2000-12-26,53.12,55.88,52.88,55.81,41.9602,1990600.0,0.0,1.0
2000-12-27,55.75,55.94,54.56,55.94,42.0579,2007100.0,0.0,1.0
2000-12-28,55.94,56.44,54.75,56.13,42.2008,2080900.0,0.0,1.0
2000-12-29,56.63,56.88,54.81,55.38,41.6369,2252300.0,0.0,1.0
2001-01-02,55.63,55.63,51.56,51.75,38.9077,1254200.0,0.0,1.0
2001-01-03,51.88,52.44,48.44,49.94,37.5469,2873500.0,0.0,1.0
2001-01-04,50.0,50.44,45.88,49.81,37.4492,6884200.0,0.0,1.0
2001-01-05,49.81,53.0,49.25,51.38,38.6295,2533700.0,0.0,1.0
2001-01-08,52.25,52.81,51.44,52.5,39.4716,1854300.0,0.0,1.0
2001-01-09,53.5,53.5,52.81,53.31,40.0806,2160800.0,0.0,1.0
2001-01-10,53.31,53.81,50.69,52.38,39.3814,2537900.0,0.0,1.0
2001-01-11,53.38,53.38,49.69,50.88,38.2536,2293300.0,0.0,1.0
2001-01-12,51.5,52.81,49.56,52.63,39.5693,2326100.0,0.0,1.0
2001-01-16,52.88,52.88,50.31,51.06,38.389,2768600.0,0.0,1.0
2001-01-17,51.06,53.19,50.94,51.69,38.8626,2563300.0,0.0,1.0
2001-01-18,52.5,53.19,52.0,52.69,39.6145,2386300.0,0.0,1.0
2001-01-19,52.69,54.19,51.63,53.19,39.9904,2738700.0,0.0,1.0
2001-01-22,53.5,54.25,53.19,53.94,40.5543,2269500.0,0.0,1.0
2001-01-23,54.19,56.81,54.19,56.5,42.479,2199200.0,0.0,1.0
2001-01-24,57.0,59.13,56.5,57.0,42.8549,3362800.0,0.0,1.0
2001-01-25,56.25,57.5,55.31,56.13,42.2008,1810700.0,0.0,1.0
2001-01-26,56.25,59.25,56.25,58.69,44.1255,1966300.0,0.0,1.0
2001-01-29,58.94,59.96,58.6,59.7,44.8849,1744700.0,0.0,1.0
2001-01-30,57.0,57.25,55.8,56.4,42.4038,4119700.0,0.0,1.0
2001-01-31,57.5,57.95,55.61,57.63,43.3285,7427700.0,0.0,1.0
2001-02-01,57.51,57.63,56.2,56.75,42.6669,2398300.0,0.0,1.0
2001-02-02,56.75,58.45,56.66,58.0,43.6067,1674100.0,0.0,1.0
2001-02-05,58.25,58.48,56.21,56.75,42.6669,1433200.0,0.0,1.0
2001-02-06,57.75,57.75,54.75,55.3,41.5768,2769200.0,0.0,1.0
2001-02-07,55.75,57.49,55.55,57.12,42.9451,1990600.0,0.0,1.0
2001-02-08,57.12,58.88,57.02,57.69,43.3737,1359300.0,0.0,1.0
2001-02-09,57.69,60.0,57.55,59.58,44.7946,1392200.0,0.0,1.0
2001-02-12,59.58,59.58,55.0,56.75,42.6669,2418400.0,0.0,1.0
2001-02-13,57.0,58.39,56.35,57.19,42.9977,1339800.0,0.0,1.0
2001-02-14,57.19,57.33,56.53,56.88,42.7647,1127400.0,0.0,1.0
2001-02-15,56.9,57.6,55.0,57.08,42.915,1937000.0,0.0,1.0
2001-02-16,57.3,58.18,57.25,57.98,43.5917,1432500.0,0.0,1.0
2001-02-20,57.99,58.77,57.77,58.59,44.0503,1433400.0,0.0,1.0
2001-02-21,58.59,60.15,58.35,58.36,43.8774,2314200.0,0.0,1.0
2001-02-22,57.8,58.49,56.24,56.58,42.5391,2553000.0,0.0,1.0
2001-02-23,55.95,55.96,53.5,53.6,40.2986,3053800.0,0.0,1.0
2001-02-26,53.9,55.3,53.6,55.2,41.5016,1749900.0,0.0,1.0
2001-02-27,55.3,56.4,53.82,55.01,41.3587,1224700.0,0.0,1.0
2001-02-28,55.65,55.65,53.51,53.97,40.5768,1193600.0,0.0,1.0
2001-03-01,54.1,54.88,53.35,54.65,41.0881,2593600.0,0.0,1.0
2001-03-02,55.2,56.5,54.2,55.84,41.9828,1581800.0,0.0,1.0
2001-03-05,56.75,57.27,56.24,56.6,42.5542,1927700.0,0.0,1.0
2001-03-06,57.6,57.69,56.75,57.01,42.8624,1367300.0,0.0,1.0
2001-03-07,57.02,57.75,56.62,57.0,42.8549,1649300.0,0.0,1.0
2001-03-08,57.25,58.39,57.01,58.02,43.6218,1882800.0,0.0,1.0
2001-03-09,59.02,59.02,54.9,55.85,41.9903,4301500.0,0.0,1.0
2001-03-12,55.85,55.85,52.25,52.25,39.2836,2295400.0,0.0,1.0
2001-03-13,53.3,53.3,49.0,49.26,37.0356,3548600.0,0.0,1.0
2001-03-14,48.5,50.15,48.1,48.86,36.7349,6291600.0,0.0,1.0
2001-03-15,49.5,50.3,49.25,49.64,37.3213,2548600.0,0.0,1.0
2001-03-16,48.75,49.3,47.41,47.51,35.7199,3965200.0,0.0,1.0
2001-03-19,47.51,47.9,46.6,46.65,35.0733,2289400.0,0.0,1.0
2001-03-20,47.5,49.35,47.2,48.01,36.0958,3491100.0,0.0,1.0
2001-03-21,48.35,48.98,47.55,47.55,35.75,2063000.0,0.0,1.0
2001-03-22,47.56,47.95,41.3,43.2,32.4795,5104000.0,0.0,1.0
2001-03-23,43.9,44.65,42.75,43.98,33.0659,5105700.0,0.0,1.0
2001-03-26,45.0,47.38,44.7,46.47,34.938,3942400.0,0.0,1.0
2001-03-27,47.75,49.6,47.32,49.6,37.2913,6396100.0,0.0,1.0
