date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,55.38,55.81,55.06,55.56,6.1246,721300.0,0.0,1.0
2000-01-04,55.0,55.06,54.38,54.62,6.021,1686700.0,0.0,1.0
2000-01-05,54.56,55.38,54.25,54.25,5.9802,844400.0,0.0,1.0
2000-01-06,54.25,54.69,53.75,54.31,5.9868,2137200.0,0.0,1.0
2000-01-07,54.25,58.19,54.25,57.88,6.3803,2320500.0,0.0,1.0
2000-01-10,56.75,56.94,56.31,56.81,6.2624,1376000.0,0.0,1.0
2000-01-11,56.81,58.62,56.38,56.88,6.2701,1262700.0,0.0,1.0
2000-01-12,57.5,58.31,56.62,56.69,6.2491,651900.0,0.0,1.0
2000-01-13,56.94,58.0,56.31,57.31,6.3175,811200.0,0.0,1.0
2000-01-14,57.31,57.44,56.06,56.25,6.2006,901000.0,0.0,1.0
2000-01-18,55.75,56.88,55.5,56.25,6.2006,762500.0,0.0,1.0
2000-01-19,56.12,56.94,55.94,56.0,6.1731,632300.0,0.0,1.0
2000-01-20,56.12,56.25,55.62,55.62,6.1312,688200.0,0.0,1.0
2000-01-21,56.0,56.0,55.44,55.69,6.1389,753100.0,0.0,1.0
2000-01-24,56.0,56.0,55.25,55.38,6.1047,773200.0,0.0,1.0
2000-01-25,55.62,55.62,55.12,55.31,6.097,921900.0,0.0,1.0
2000-01-26,55.38,55.5,55.0,55.25,6.1345,601300.0,0.4,1.0
2000-01-27,55.75,55.94,53.25,53.56,5.9469,647400.0,0.0,1.0
2000-01-28,53.69,54.12,53.25,53.5,5.9402,561300.0,0.0,1.0
2000-01-31,53.25,53.5,53.0,53.25,5.9124,497300.0,0.0,1.0
2000-02-01,54.88,57.88,54.56,56.62,6.2866,1752400.0,0.0,1.0
2000-02-02,56.5,56.75,54.75,55.38,6.1489,1102700.0,0.0,1.0
2000-02-03,55.62,55.88,55.12,55.75,6.19,737800.0,0.0,1.0
2000-02-04,55.5,56.5,55.25,56.0,6.2178,480700.0,0.0,1.0
2000-02-07,55.75,57.12,55.38,55.75,6.19,723000.0,0.0,1.0
2000-02-08,49.0,49.88,45.75,46.0,5.1075,5044300.0,0.0,1.0
2000-02-09,45.75,45.75,41.0,42.5,4.7188,4067700.0,0.0,1.0
2000-02-10,42.06,42.44,39.44,40.25,4.469,4121800.0,0.0,1.0
2000-02-11,40.5,41.19,39.75,40.0,4.4413,1878400.0,0.0,1.0
2000-02-14,40.0,40.94,38.81,39.0,4.3302,1623400.0,0.0,1.0
2000-02-15,39.25,40.25,38.56,40.0,4.4413,1362500.0,0.0,1.0
2000-02-16,40.19,42.81,40.06,41.38,4.5945,1320400.0,0.0,1.0
2000-02-17,41.12,41.88,40.12,40.31,4.4757,790600.0,0.0,1.0
2000-02-18,39.81,40.12,38.5,38.69,4.2958,864500.0,0.0,1.0
2000-02-22,38.69,39.75,38.56,39.25,4.358,627000.0,0.0,1.0
2000-02-23,38.88,40.75,38.5,40.25,4.469,1245300.0,0.0,1.0
2000-02-24,40.5,41.12,38.94,40.56,4.5034,1534100.0,0.0,1.0
2000-02-25,41.38,43.0,39.31,41.12,4.5656,3350600.0,0.0,1.0
2000-02-28,40.88,41.25,39.0,39.5,4.3858,1700900.0,0.0,1.0
