date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,46.94,47.12,44.31,44.75,7.954,597200.0,0.0,1.0
2000-01-04,43.25,45.13,43.25,43.56,7.7425,679100.0,0.0,1.0
2000-01-05,43.63,44.19,43.31,43.56,7.7425,338700.0,0.0,1.0
2000-01-06,43.13,44.44,42.88,44.19,7.8545,506800.0,0.0,1.0
2000-01-07,44.13,45.13,43.88,45.06,8.0091,565500.0,0.0,1.0
2000-01-10,44.94,45.0,41.81,42.38,7.5328,1381700.0,0.0,1.0
2000-01-11,42.0,42.31,41.06,41.5,7.3764,1642400.0,0.0,1.0
2000-01-12,41.31,41.44,39.56,40.81,7.2537,1469400.0,0.0,1.0
2000-01-13,41.19,42.0,41.0,41.75,7.4208,1893800.0,0.0,1.0
2000-01-14,42.19,43.5,42.19,42.94,7.6323,1430000.0,0.0,1.0
2000-01-18,42.56,42.56,39.88,40.0,7.1097,1548100.0,0.0,1.0
2000-01-19,39.56,39.75,37.5,37.63,6.6885,1771700.0,0.0,1.0
2000-01-20,38.56,41.31,38.0,40.69,7.2324,4229400.0,0.0,1.0
2000-01-21,40.69,40.69,38.38,38.75,6.8876,1187500.0,0.0,1.0
2000-01-24,38.94,39.31,37.88,38.31,6.8094,996500.0,0.0,1.0
2000-01-25,38.25,40.19,38.13,39.94,7.0991,1310000.0,0.0,1.0
2000-01-26,40.25,42.0,39.88,41.94,7.4546,1206300.0,0.0,1.0
2000-01-27,43.0,43.0,40.63,41.19,7.3213,762300.0,0.0,1.0
2000-01-28,40.69,42.88,40.5,42.0,7.4652,1295200.0,0.0,1.0
2000-01-31,42.06,43.88,41.06,43.44,7.7212,1171200.0,0.0,1.0
2000-02-01,43.88,44.69,43.81,44.31,7.8758,1389300.0,0.0,1.0
2000-02-02,44.12,44.38,43.25,44.38,7.8883,843800.0,0.0,1.0
2000-02-03,44.0,45.06,42.63,44.94,7.9878,945000.0,0.0,1.0
2000-02-04,44.25,44.25,43.44,43.94,7.81,768000.0,0.0,1.0
2000-02-07,43.69,43.69,41.88,42.75,7.5985,618400.0,0.0,1.0
2000-02-08,42.06,42.88,41.75,41.94,7.4546,1042300.0,0.0,1.0
2000-02-09,41.94,41.94,41.19,41.31,7.3426,454800.0,0.0,1.0
2000-02-10,41.06,41.31,40.13,41.25,7.3319,1100800.0,0.0,1.0
2000-02-11,41.13,41.44,39.69,39.88,7.0884,873700.0,0.0,1.0
