date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,63.75,63.88,63.13,63.63,16.5847,64600.0,0.0,1.0
2000-01-04,63.0,63.0,60.13,60.75,15.8341,35100.0,0.0,1.0
2000-01-05,59.88,61.31,59.5,61.31,15.98,44400.0,0.0,1.0
2000-01-06,61.0,61.5,60.63,60.89,15.8705,53700.0,0.0,1.0
2000-01-07,62.0,63.63,60.75,63.25,16.4857,58900.0,0.0,1.0
2000-01-10,62.0,62.38,60.88,60.94,15.8836,53000.0,0.0,1.0
2000-01-11,60.94,60.94,59.25,60.56,15.7845,34200.0,0.0,1.0
2000-01-12,60.31,60.88,60.0,60.06,15.6542,18200.0,0.0,1.0
2000-01-13,59.81,60.0,59.38,59.94,15.6229,34100.0,0.0,1.0
2000-01-14,59.94,60.38,59.44,59.63,15.5421,39300.0,0.0,1.0
2000-01-18,60.5,60.5,60.06,60.06,15.6542,49900.0,0.0,1.0
2000-01-19,59.88,60.38,59.63,60.0,15.6386,59600.0,0.0,1.0
2000-01-20,60.25,60.25,59.63,59.94,15.6229,44300.0,0.0,1.0
2000-01-21,59.69,59.69,57.13,57.13,14.8905,65200.0,0.0,1.0
2000-01-24,56.88,57.75,56.38,56.56,14.742,102700.0,0.0,1.0
2000-01-25,56.56,56.56,55.75,55.75,14.5308,49100.0,0.0,1.0
2000-01-26,56.0,57.06,56.0,56.94,14.841,40600.0,0.0,1.0
2000-01-27,57.19,57.19,55.31,55.38,14.4344,58400.0,0.0,1.0
2000-01-28,55.0,56.25,54.06,54.06,14.0904,36200.0,0.0,1.0
2000-01-31,54.56,54.69,53.38,53.75,14.0096,40400.0,0.0,1.0
2000-02-01,54.0,54.69,53.69,54.56,14.2207,34500.0,0.0,1.0
2000-02-02,54.81,55.25,54.63,54.81,14.2858,33500.0,0.0,1.0
2000-02-03,55.25,59.13,55.25,58.88,15.3467,134500.0,0.0,1.0
2000-02-04,59.5,59.5,57.94,58.69,15.2971,35900.0,0.0,1.0
2000-02-07,58.63,59.13,56.0,56.0,14.596,28300.0,0.0,1.0
2000-02-08,55.75,55.81,54.94,55.69,14.5152,56700.0,0.0,1.0
2000-02-09,55.75,56.13,55.44,56.13,14.6299,38600.0,0.0,1.0
2000-02-10,56.13,59.0,56.13,56.5,14.7263,70700.0,0.0,1.0
2000-02-11,56.13,56.69,54.0,54.25,14.1399,32600.0,0.0,1.0
