date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,11.56,11.56,10.5,10.75,4.4659,109100.0,0.0,1.0
2000-01-04,10.81,10.81,10.31,10.44,4.3371,94100.0,0.0,1.0
2000-01-05,10.44,10.44,10.06,10.31,4.2831,59400.0,0.0,1.0
2000-01-06,10.44,10.44,10.06,10.13,4.2083,172400.0,0.0,1.0
2000-01-07,10.13,10.13,9.938,10.0,4.1543,163300.0,0.0,1.0
2000-01-10,10.0,10.0,9.75,9.875,4.1024,190300.0,0.0,1.0
2000-01-11,10.0,10.44,10.0,10.44,4.3371,464600.0,0.0,1.0
2000-01-12,10.25,10.31,9.938,10.13,4.2083,458700.0,0.0,1.0
2000-01-13,10.06,10.5,10.06,10.44,4.3371,196500.0,0.0,1.0
2000-01-14,10.5,10.5,9.813,10.0,4.1543,523200.0,0.0,1.0
2000-01-18,10.13,10.44,10.0,10.44,4.3371,199200.0,0.0,1.0
2000-01-19,10.56,10.56,10.13,10.5,4.362,348800.0,0.0,1.0
2000-01-20,10.56,11.06,10.31,11.0,4.5698,327400.0,0.0,1.0
2000-01-21,11.06,11.5,10.88,11.31,4.6985,356500.0,0.0,1.0
2000-01-24,11.44,11.44,11.0,11.06,4.5947,373800.0,0.0,1.0
2000-01-25,11.5,12.44,11.5,12.38,5.143,380400.0,0.0,1.0
2000-01-26,12.5,13.0,12.5,12.75,5.2968,231200.0,0.0,1.0
2000-01-27,12.75,12.75,11.94,11.94,4.9603,126200.0,0.0,1.0
2000-01-28,11.81,12.06,11.31,11.56,4.8024,314100.0,0.0,1.0
2000-01-31,11.56,11.56,11.0,11.0,4.5698,122600.0,0.0,1.0
2000-02-01,10.94,11.13,10.75,11.0,4.5698,180600.0,0.0,1.0
2000-02-02,10.94,11.44,10.88,10.94,4.5448,272300.0,0.0,1.0
2000-02-03,11.0,11.13,10.75,10.88,4.5199,81400.0,0.0,1.0
2000-02-04,10.94,10.94,10.56,10.75,4.4659,124800.0,0.0,1.0
