date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,21.81,21.88,21.44,21.69,2.6094,28300.0,0.0,1.0
2000-01-04,21.62,22.0,21.38,21.38,2.5721,41100.0,0.0,1.0
2000-01-05,21.5,21.5,20.94,21.31,2.5637,47100.0,0.0,1.0
2000-01-06,21.25,21.31,21.0,21.0,2.5264,40300.0,0.0,1.0
2000-01-07,21.13,21.88,21.13,21.88,2.6323,26500.0,0.0,1.0
2000-01-10,22.12,22.12,21.75,22.12,2.6611,32100.0,0.0,1.0
2000-01-11,22.06,22.12,21.88,21.88,2.6323,31800.0,0.0,1.0
2000-01-12,21.75,21.75,21.13,21.13,2.542,30700.0,0.0,1.0
2000-01-13,21.13,21.56,21.0,21.44,2.5793,26500.0,0.0,1.0
2000-01-14,21.56,21.88,21.5,21.88,2.6323,13800.0,0.0,1.0
2000-01-18,21.75,21.75,21.5,21.56,2.5938,7500.0,0.0,1.0
2000-01-19,22.0,22.0,21.62,21.94,2.6395,24300.0,0.0,1.0
2000-01-20,22.06,22.06,21.38,21.56,2.5938,36400.0,0.0,1.0
2000-01-21,21.5,22.31,21.25,22.31,2.684,143200.0,0.0,1.0
2000-01-24,22.44,23.12,22.37,22.5,2.7068,45000.0,0.0,1.0
2000-01-25,22.25,22.25,21.31,21.38,2.5721,62800.0,0.0,1.0
2000-01-26,21.38,21.38,20.94,20.94,2.5192,35200.0,0.0,1.0
2000-01-27,20.81,20.81,20.25,20.31,2.453,55900.0,0.08,1.0
2000-01-28,20.31,20.56,19.88,19.88,2.4011,48100.0,0.0,1.0
2000-01-31,19.88,20.25,19.69,19.75,2.3854,67000.0,0.0,1.0
2000-02-01,19.69,19.69,19.37,19.44,2.3479,42000.0,0.0,1.0
2000-02-02,19.56,19.69,19.44,19.63,2.3709,42900.0,0.0,1.0
2000-02-03,19.75,19.75,18.88,18.94,2.2875,49300.0,0.0,1.0
2000-02-04,18.81,19.12,18.44,18.88,2.2803,85200.0,0.0,1.0
2000-02-07,19.31,19.31,18.75,19.12,2.3093,100600.0,0.0,1.0
2000-02-08,19.12,19.19,18.0,18.06,2.1813,128800.0,0.0,1.0
2000-02-09,18.0,18.0,17.44,17.75,2.1438,55600.0,0.0,1.0
2000-02-10,17.94,17.94,17.31,17.56,2.1209,51900.0,0.0,1.0
2000-02-11,17.44,17.81,17.44,17.56,2.1209,47400.0,0.0,1.0
2000-02-14,17.5,17.5,17.19,17.31,2.0907,18400.0,0.0,1.0
2000-02-15,17.25,17.25,16.69,17.19,2.0762,78000.0,0.0,1.0
2000-02-16,17.19,17.19,16.88,17.19,2.0762,43800.0,0.0,1.0
2000-02-17,17.38,17.94,17.38,17.38,2.0991,68100.0,0.0,1.0
2000-02-18,17.44,17.44,17.0,17.12,2.0677,26500.0,0.0,1.0
2000-02-22,17.38,17.56,17.19,17.5,2.1136,45900.0,0.0,1.0
2000-02-23,17.5,17.75,17.44,17.62,2.1281,108000.0,0.0,1.0
2000-02-24,17.62,17.75,17.38,17.69,2.1366,87900.0,0.0,1.0
2000-02-25,17.87,18.0,17.56,17.62,2.1281,56700.0,0.0,1.0
2000-02-28,17.75,17.75,17.31,17.56,2.1209,25300.0,0.0,1.0
2000-02-29,17.5,17.87,17.25,17.25,2.0834,36900.0,0.0,1.0
2000-03-01,17.25,17.31,16.69,16.69,2.0158,75000.0,0.0,1.0
2000-03-02,16.69,16.75,15.88,16.37,1.9771,160000.0,0.0,1.0
2000-03-03,16.5,16.5,16.19,16.37,1.9771,65500.0,0.0,1.0
2000-03-06,16.25,16.31,16.19,16.25,1.9626,32800.0,0.0,1.0
2000-03-07,16.25,16.25,16.0,16.06,1.9397,24000.0,0.0,1.0
2000-03-08,16.31,16.37,15.5,16.37,1.9771,95400.0,0.0,1.0
2000-03-09,16.31,16.31,15.75,16.0,1.9325,57300.0,0.0,1.0
2000-03-10,15.88,16.0,15.75,15.94,1.9252,42300.0,0.0,1.0
2000-03-13,16.12,16.12,15.88,15.88,1.918,46300.0,0.0,1.0
2000-03-14,16.0,16.12,15.0,15.0,1.8117,121500.0,0.0,1.0
2000-03-15,15.62,15.69,14.94,15.25,1.8419,134200.0,0.0,1.0
2000-03-16,16.12,16.5,16.12,16.37,1.9771,127200.0,0.0,1.0
2000-03-17,16.25,16.5,16.19,16.31,1.9699,105900.0,0.0,1.0
2000-03-20,16.5,17.0,16.5,16.81,2.0303,26800.0,0.0,1.0
2000-03-21,16.88,17.12,16.69,17.12,2.0677,37200.0,0.0,1.0
2000-03-22,17.25,17.75,17.19,17.25,2.0834,89400.0,0.0,1.0
2000-03-23,17.31,17.38,16.88,17.31,2.0907,42300.0,0.0,1.0
2000-03-24,17.25,17.25,16.88,17.12,2.0677,78900.0,0.0,1.0
2000-03-27,17.0,17.19,17.0,17.19,2.0762,29500.0,0.0,1.0
2000-03-28,17.38,17.56,17.25,17.25,2.0834,36600.0,0.0,1.0
2000-03-29,17.25,17.38,17.12,17.31,2.0907,53100.0,0.0,1.0
2000-03-30,17.25,18.0,17.25,17.75,2.1438,42600.0,0.0,1.0
2000-03-31,17.94,18.13,17.94,18.0,2.174,56500.0,0.0,1.0
2000-04-03,18.19,18.56,18.13,18.38,2.2199,39400.0,0.0,1.0
2000-04-04,18.38,18.62,18.06,18.13,2.1897,76800.0,0.0,1.0
2000-04-05,18.19,18.19,17.81,18.0,2.174,35800.0,0.0,1.0
2000-04-06,18.0,18.69,17.94,18.06,2.1813,46500.0,0.0,1.0
2000-04-07,18.13,18.62,18.13,18.62,2.2489,18600.0,0.0,1.0
2000-04-10,18.56,18.69,18.44,18.5,2.2344,30100.0,0.0,1.0
2000-04-11,18.44,18.56,18.25,18.5,2.2344,19200.0,0.0,1.0
2000-04-12,18.38,18.94,18.38,18.5,2.2344,39900.0,0.0,1.0
2000-04-13,18.44,19.12,18.38,19.12,2.3093,72700.0,0.0,1.0
2000-04-14,19.25,20.87,19.19,20.62,2.4904,132900.0,0.0,1.0
2000-04-17,20.5,20.75,20.12,20.5,2.476,73900.0,0.0,1.0
2000-04-18,20.31,20.31,19.06,19.06,2.302,109800.0,0.0,1.0
2000-04-19,18.88,19.06,18.25,18.44,2.2272,72400.0,0.0,1.0
2000-04-20,18.44,19.25,18.25,19.25,2.325,52000.0,0.0,1.0
2000-04-24,19.44,19.5,18.25,18.25,2.2042,51300.0,0.0,1.0
2000-04-25,18.5,19.19,18.44,19.12,2.3093,30300.0,0.0,1.0
2000-04-26,18.94,20.06,18.94,20.06,2.4325,47500.0,0.08,1.0
2000-04-27,20.0,20.25,19.88,20.0,2.4252,32700.0,0.0,1.0
2000-04-28,20.0,20.56,20.0,20.56,2.4931,19000.0,0.0,1.0
2000-05-01,20.56,21.5,20.56,21.44,2.5998,45600.0,0.0,1.0
2000-05-02,21.44,21.94,21.31,21.5,2.6071,48900.0,0.0,1.0
2000-05-03,21.5,21.5,21.0,21.06,2.5537,46200.0,0.0,1.0
2000-05-04,21.06,21.88,21.06,21.88,2.6532,23700.0,0.0,1.0
2000-05-05,21.88,22.31,21.88,22.31,2.7053,25300.0,0.0,1.0
2000-05-08,22.25,22.31,22.06,22.12,2.6823,9700.0,0.0,1.0
2000-05-09,22.06,22.12,21.69,21.69,2.6301,39900.0,0.0,1.0
2000-05-10,21.75,21.75,20.69,20.75,2.5161,22200.0,0.0,1.0
2000-05-11,20.87,22.25,20.87,22.25,2.698,48100.0,0.0,1.0
2000-05-12,22.25,22.37,22.06,22.06,2.675,16200.0,0.0,1.0
2000-05-15,22.06,22.63,22.06,22.63,2.7441,24300.0,0.0,1.0
