date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,36.69,36.69,34.06,34.13,12.2296,541200.0,0.0,1.0
2000-01-04,33.0,33.63,32.25,32.63,11.6922,1479700.0,0.0,1.0
2000-01-05,32.88,33.69,32.63,33.13,11.8713,1084900.0,0.0,1.0
2000-01-06,34.5,37.0,34.06,36.75,13.1685,1207900.0,0.0,1.0
2000-01-07,37.25,38.0,35.94,36.63,13.1255,854400.0,0.0,1.0
2000-01-10,36.0,36.0,35.0,35.19,12.6095,810900.0,0.0,1.0
2000-01-11,35.19,35.69,34.88,35.31,12.6525,864700.0,0.0,1.0
2000-01-12,35.0,35.5,34.69,35.13,12.588,494700.0,0.0,1.0
2000-01-13,35.06,36.5,35.06,35.88,12.8567,746300.0,0.0,1.0
2000-01-14,36.13,36.25,35.06,35.56,12.7421,1056500.0,0.0,1.0
2000-01-18,36.75,39.5,36.25,38.88,13.9317,1645600.0,0.0,1.0
2000-01-19,39.75,39.75,38.56,38.63,13.8421,1114700.0,0.0,1.0
2000-01-20,39.5,39.5,38.31,38.88,13.9317,1122800.0,0.0,1.0
2000-01-21,39.63,41.88,39.19,40.25,14.4226,1564700.0,0.0,1.0
2000-01-24,40.25,40.88,38.0,39.19,14.0428,1125500.0,0.0,1.0
2000-01-25,39.75,40.25,39.25,39.63,14.2004,1048800.0,0.0,1.0
2000-01-26,40.25,40.25,39.13,39.19,14.0428,726400.0,0.0,1.0
2000-01-27,39.0,39.25,37.31,37.38,13.3942,842600.0,0.0,1.0
2000-01-28,37.0,37.88,36.81,37.13,13.3046,649200.0,0.0,1.0
2000-01-31,37.38,37.38,35.75,36.5,13.0789,1458000.0,0.0,1.0
2000-02-01,36.5,38.25,36.25,37.94,13.5949,1017900.0,0.0,1.0
2000-02-02,37.94,38.63,37.88,37.88,13.5734,865000.0,0.0,1.0
2000-02-03,39.0,39.0,38.0,38.06,13.6379,510000.0,0.0,1.0
2000-02-04,39.0,39.63,36.88,37.0,13.258,699000.0,0.0,1.0
2000-02-07,36.88,38.38,36.63,38.25,13.7059,668300.0,0.0,1.0
2000-02-08,38.0,38.75,36.5,36.94,13.2365,655800.0,0.0,1.0
2000-02-09,36.69,36.69,35.0,35.06,12.5629,1091900.0,0.0,1.0
2000-02-10,36.0,37.5,35.56,36.63,13.1255,785000.0,0.0,1.0
2000-02-11,37.0,37.25,35.69,35.75,12.8101,249200.0,0.0,1.0
2000-02-14,35.63,38.38,35.5,37.75,13.5268,830100.0,0.0,1.0
2000-02-15,38.63,40.13,38.56,40.0,14.333,926400.0,0.0,1.0
2000-02-16,40.06,40.94,39.94,40.13,14.3796,1110500.0,0.0,1.0
2000-02-17,40.5,40.88,38.63,39.38,14.1109,941300.0,0.0,1.0
2000-02-18,39.13,39.19,37.38,37.38,13.3942,642400.0,0.0,1.0
2000-02-22,37.69,37.69,36.44,36.5,13.0789,740700.0,0.0,1.0
2000-02-23,36.75,36.75,35.44,35.56,12.7421,790700.0,0.0,1.0
2000-02-24,35.56,35.63,33.0,33.5,12.0039,2080800.0,0.0,1.0
2000-02-25,33.75,33.75,32.13,32.69,11.7137,1429900.0,0.0,1.0
2000-02-28,32.75,34.25,32.69,34.25,12.2726,1702600.0,0.0,1.0
2000-02-29,34.06,36.56,34.06,36.5,13.0789,1389800.0,0.0,1.0
2000-03-01,36.75,36.75,34.25,35.88,12.8567,2152400.0,0.0,1.0
2000-03-02,36.0,37.88,35.94,37.69,13.5053,2607200.0,0.0,1.0
2000-03-03,39.0,39.0,36.69,38.0,13.6164,1340900.0,0.0,1.0
2000-03-06,37.75,40.88,37.69,39.13,14.0213,1624200.0,0.0,1.0
2000-03-07,40.0,43.5,39.75,42.94,15.3865,2458100.0,0.0,1.0
2000-03-08,43.5,43.63,41.94,42.31,15.1607,1969600.0,0.0,1.0
2000-03-09,42.38,42.5,40.5,41.5,14.8705,1028300.0,0.0,1.0
2000-03-10,41.63,43.94,40.31,40.75,14.6018,1457000.0,0.0,1.0
2000-03-13,40.13,42.88,39.75,41.19,14.7594,839700.0,0.0,1.0
2000-03-14,41.0,41.56,40.0,41.31,14.8024,748600.0,0.0,1.0
2000-03-15,41.56,41.56,39.56,40.25,14.4226,448600.0,0.0,1.0
2000-03-16,39.5,43.94,39.5,42.31,15.1607,1320100.0,0.0,1.0
2000-03-17,43.13,43.13,41.06,41.13,14.7379,782700.0,0.0,1.0
2000-03-20,41.75,41.75,40.13,40.5,14.5122,652900.0,0.0,1.0
2000-03-21,40.75,42.25,40.75,41.56,14.892,755500.0,0.0,1.0
2000-03-22,41.38,43.38,41.31,43.25,15.4976,1223200.0,0.0,1.0
2000-03-23,42.63,43.0,42.06,42.69,15.2969,1061700.0,0.0,1.0
2000-03-24,42.69,43.31,42.38,42.69,15.2969,757100.0,0.0,1.0
2000-03-27,42.81,42.88,40.5,42.63,15.2754,924700.0,0.0,1.0
2000-03-28,43.0,45.0,42.81,44.31,15.8774,975000.0,0.0,1.0
2000-03-29,43.25,47.81,43.25,47.75,17.1319,2496200.0,0.061,1.0
2000-03-30,49.13,51.5,48.5,49.5,17.7598,3131300.0,0.0,1.0
2000-03-31,50.5,51.13,47.06,49.75,17.8495,2496800.0,0.0,1.0
2000-04-03,49.5,49.88,48.56,48.88,17.5373,1185000.0,0.0,1.0
2000-04-04,49.25,49.44,45.75,47.81,17.1534,1342100.0,0.0,1.0
2000-04-05,47.0,47.63,46.63,46.63,16.7301,938000.0,0.0,1.0
2000-04-06,47.13,48.63,46.88,48.19,17.2898,780100.0,0.0,1.0
2000-04-07,47.94,49.25,47.19,48.75,17.4907,1076900.0,0.0,1.0
2000-04-10,48.38,48.38,46.38,46.44,16.6619,1048800.0,0.0,1.0
2000-04-11,47.25,48.38,46.81,48.31,17.3328,1413700.0,0.0,1.0
2000-04-12,49.0,50.13,48.81,50.0,17.9392,1188100.0,0.0,1.0
2000-04-13,49.75,50.94,48.0,49.19,17.6485,1149500.0,0.0,1.0
2000-04-14,48.31,49.38,45.94,48.06,17.2431,1004500.0,0.0,1.0
2000-04-17,46.75,47.25,44.88,45.25,16.2349,2025900.0,0.0,1.0
2000-04-18,45.0,47.5,44.0,46.5,16.6834,1951400.0,0.0,1.0
2000-04-19,46.75,48.63,46.63,48.5,17.401,1833300.0,0.0,1.0
2000-04-20,48.0,48.0,46.38,47.31,16.974,1238900.0,0.0,1.0
2000-04-24,47.56,49.75,47.13,49.0,17.5804,1030800.0,0.0,1.0
2000-04-25,49.06,49.81,47.19,47.88,17.1785,756600.0,0.0,1.0
2000-04-26,47.25,49.63,47.0,48.06,17.2431,917500.0,0.0,1.0
2000-04-27,48.0,48.69,47.0,47.88,17.1785,2035900.0,0.0,1.0
2000-04-28,47.88,50.75,47.38,48.44,17.3795,1046400.0,0.0,1.0
2000-05-01,49.0,51.0,49.0,50.31,18.0504,995000.0,0.0,1.0
2000-05-02,50.06,51.19,49.38,50.63,18.1652,2036500.0,0.0,1.0
2000-05-03,50.88,51.13,48.38,49.13,17.627,1191700.0,0.0,1.0
2000-05-04,49.25,53.63,49.19,53.25,19.1052,1981400.0,0.0,1.0
2000-05-05,53.75,56.63,53.63,56.0,20.0919,3781400.0,0.0,1.0
2000-05-08,55.63,58.44,55.13,57.25,20.5403,2395700.0,0.0,1.0
2000-05-09,57.25,57.25,55.5,56.0,20.0919,1542500.0,0.0,1.0
2000-05-10,56.0,56.5,54.69,56.0,20.0919,1667900.0,0.0,1.0
2000-05-11,57.0,58.13,56.5,57.69,20.6982,1433500.0,0.0,1.0
2000-05-12,58.25,60.0,57.75,59.63,21.3942,2017700.0,0.0,1.0
2000-05-15,59.88,60.63,59.25,59.5,21.3476,2340400.0,0.0,1.0
