date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,67.44,67.75,66.62,67.25,1.9659,131300.0,0.0,1.0
2000-01-04,66.88,66.94,64.75,64.94,1.8984,210200.0,0.0,1.0
2000-01-05,64.69,64.69,62.06,62.44,1.8253,227800.0,0.0,1.0
2000-01-06,63.25,63.25,61.56,61.75,1.8051,97600.0,0.0,1.0
2000-01-07,62.0,62.38,60.63,62.38,1.8236,226400.0,0.0,1.0
2000-01-10,62.5,65.5,62.5,65.31,1.9092,95400.0,0.0,1.0
2000-01-11,65.38,67.13,65.38,66.88,1.9551,155200.0,0.0,1.0
2000-01-12,67.75,78.0,67.75,76.13,2.2255,1630400.0,0.0,1.0
2000-01-13,76.38,77.81,74.0,75.13,2.1963,345600.0,0.0,1.0
2000-01-14,75.0,78.0,75.0,76.69,2.2419,144000.0,0.0,1.0
2000-01-18,78.81,81.0,78.38,78.75,2.3021,320200.0,0.0,1.0
2000-01-19,78.5,80.0,76.63,78.0,2.2802,239800.0,0.0,1.0
2000-01-20,79.25,80.88,77.5,77.56,2.2673,195400.0,0.0,1.0
2000-01-21,77.56,78.0,74.5,74.56,2.1796,147600.0,0.0,1.0
2000-01-24,74.81,77.25,73.0,74.0,2.1632,187600.0,0.0,1.0
2000-01-25,74.0,74.0,71.13,71.94,2.103,101600.0,0.0,1.0
2000-01-26,71.94,73.56,70.0,73.0,2.134,168000.0,0.0,1.0
2000-01-27,73.25,74.44,71.69,71.94,2.103,137600.0,0.0,1.0
2000-01-28,71.94,72.56,68.38,68.56,2.0042,69000.0,0.0,1.0
2000-01-31,68.56,69.5,66.81,67.88,1.9843,168000.0,0.0,1.0
2000-02-01,67.88,68.19,66.88,67.44,1.9715,101600.0,0.0,1.0
2000-02-02,67.44,70.5,67.44,68.88,2.0136,88800.0,0.0,1.0
2000-02-03,69.5,69.69,68.94,69.19,2.0226,90600.0,0.0,1.0
2000-02-04,70.19,70.19,69.38,70.19,2.0519,57800.0,0.0,1.0
2000-02-07,69.5,70.06,68.75,69.06,2.0188,50800.0,0.0,1.0
2000-02-08,69.75,71.5,69.75,69.75,2.039,129000.0,0.0,1.0
2000-02-09,69.81,69.81,67.5,67.69,1.9788,72800.0,0.0,1.0
2000-02-10,67.88,68.0,66.31,66.69,1.9495,58200.0,0.0,1.0
2000-02-11,66.75,67.38,65.5,66.25,1.9367,86000.0,0.0,1.0
2000-02-14,66.25,82.0,65.94,81.94,2.3953,1514000.0,0.0,1.0
2000-02-15,81.75,81.75,73.63,75.13,2.1963,510400.0,0.0,1.0
2000-02-16,75.19,78.38,75.19,78.0,2.2802,307600.0,0.0,1.0
2000-02-17,77.13,77.38,75.13,75.81,2.2161,126800.0,0.0,1.0
2000-02-18,75.94,76.0,71.88,72.69,2.1249,133200.0,0.0,1.0
2000-02-22,71.69,72.0,69.19,71.31,2.0846,188600.0,0.0,1.0
2000-02-23,71.81,72.75,68.5,72.5,2.1194,181800.0,0.0,1.0
2000-02-24,72.75,74.75,72.63,73.94,2.1615,155600.0,0.0,1.0
2000-02-25,74.0,76.63,73.44,73.94,2.1615,228800.0,0.0,1.0
2000-02-28,74.25,75.0,73.06,75.0,2.1925,245600.0,0.0,1.0
2000-02-29,75.0,81.25,75.0,79.94,2.3369,251000.0,0.0,1.0
2000-03-01,80.0,85.5,79.56,85.5,2.4994,262200.0,0.0,1.0
2000-03-02,85.25,85.25,81.38,82.25,2.4044,231400.0,0.0,1.0
2000-03-03,83.0,84.5,82.0,82.06,2.3989,91800.0,0.0,1.0
2000-03-06,82.13,83.88,81.63,82.5,2.4117,226600.0,0.0,1.0
2000-03-07,82.5,83.13,78.0,78.56,2.2965,96200.0,0.0,1.0
2000-03-08,77.5,78.06,73.38,76.13,2.2255,183000.0,0.0,1.0
2000-03-09,75.88,77.25,75.25,76.88,2.2474,77800.0,0.0,1.0
2000-03-10,84.75,88.0,83.63,86.13,2.5178,801000.0,0.0,1.0
2000-03-13,83.75,85.25,82.38,83.25,2.4336,188400.0,0.0,1.0
2000-03-14,83.88,85.5,80.31,80.75,2.3606,160600.0,0.0,1.0
2000-03-15,86.0,89.94,83.25,86.13,2.5178,770200.0,0.0,1.0
2000-03-16,86.63,88.75,85.19,88.38,2.5836,205200.0,0.0,1.0
2000-03-17,87.75,95.0,87.0,94.94,2.7754,428000.0,0.0,1.0
2000-03-20,94.94,95.5,92.75,93.06,2.7204,285000.0,0.0,1.0
2000-03-21,92.81,94.0,91.31,92.75,2.7114,248200.0,0.0,1.0
2000-03-22,93.0,94.5,93.0,93.81,2.7423,91600.0,0.0,1.0
2000-03-23,94.0,98.38,94.0,98.13,2.8686,164000.0,0.0,1.0
2000-03-24,97.88,103.75,96.5,96.5,2.821,209400.0,0.0,1.0
2000-03-27,95.5,104.3,95.13,103.3,3.0198,294800.0,0.0,1.0
2000-03-28,103.1,103.1,99.13,99.88,2.9198,161000.0,0.0,1.0
2000-03-29,100.8,102.6,96.25,96.38,2.8175,199600.0,0.0,1.0
2000-03-30,96.25,97.56,95.38,96.38,2.8175,272600.0,0.0,1.0
2000-03-31,97.25,102.7,96.81,102.3,2.9905,285600.0,0.0,1.0
2000-04-03,101.8,101.8,100.3,100.7,2.9438,264000.0,0.0,1.0
2000-04-04,100.1,102.0,90.5,101.0,2.9525,411400.0,0.0,1.0
2000-04-05,100.8,104.0,99.63,104.0,3.0402,198400.0,0.0,1.0
2000-04-06,106.0,111.0,104.9,110.5,3.2302,328200.0,0.0,1.0
2000-04-07,112.3,120.3,110.6,118.6,3.467,420200.0,0.0,1.0
2000-04-10,120.0,120.0,115.4,117.4,3.4319,350200.0,0.0,1.0
2000-04-11,115.0,117.4,110.8,117.3,3.429,249400.0,0.0,1.0
2000-04-12,117.3,119.5,113.5,115.3,3.3706,456000.0,0.0,1.0
2000-04-13,113.8,114.8,107.6,113.4,3.315,472800.0,0.0,1.0
2000-04-14,111.0,111.0,92.0,92.63,2.7078,359000.0,0.0,1.0
2000-04-17,93.5,100.0,93.0,97.0,2.8356,508400.0,0.0,1.0
2000-04-18,99.0,114.0,99.0,112.3,3.2829,445200.0,0.0,1.0
2000-04-19,117.0,117.5,112.5,115.3,3.3706,220200.0,0.0,1.0
2000-04-20,115.2,116.1,111.1,113.0,3.3033,157000.0,0.0,1.0
2000-04-24,111.5,112.2,108.5,110.1,3.2185,171000.0,0.0,1.0
2000-04-25,115.0,121.06,113.88,120.0,3.508,439400.0,0.0,1.0
2000-04-26,60.0,63.5,58.0,58.19,3.4021,267100.0,0.0,2.0
