date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,31.81,31.81,31.25,31.25,16.1174,48500.0,0.0,1.0
2000-01-04,31.13,31.13,30.5,30.56,15.7615,25200.0,0.0,1.0
2000-01-05,30.5,30.56,30.0,30.06,15.5036,12900.0,0.0,1.0
2000-01-06,29.88,29.88,29.38,29.44,15.1839,20300.0,0.0,1.0
2000-01-07,29.38,30.0,29.38,30.0,15.4727,18700.0,0.0,1.0
2000-01-10,30.13,30.5,30.0,30.38,15.6687,19600.0,0.0,1.0
2000-01-11,30.44,30.44,30.25,30.44,15.6996,18500.0,0.0,1.0
2000-01-12,30.38,30.38,29.81,30.0,15.4727,43900.0,0.0,1.0
2000-01-13,30.0,30.13,29.5,30.13,15.5398,10500.0,0.0,1.0
2000-01-14,30.25,30.38,30.13,30.31,15.6326,4500.0,0.0,1.0
2000-01-18,30.31,30.38,30.0,30.38,15.6687,101800.0,0.0,1.0
2000-01-19,30.63,30.63,30.19,30.25,15.6016,26800.0,0.0,1.0
2000-01-20,30.13,30.38,30.13,30.25,15.6016,14300.0,0.0,1.0
2000-01-21,30.13,30.19,30.06,30.13,15.5398,7600.0,0.0,1.0
2000-01-24,30.19,30.25,30.0,30.0,15.4727,18600.0,0.0,1.0
2000-01-25,30.0,30.0,29.88,29.94,15.4418,11600.0,0.0,1.0
2000-01-26,29.88,30.25,29.63,29.69,15.3128,33700.0,0.0,1.0
2000-01-27,29.75,30.19,29.56,30.06,15.5036,22400.0,0.0,1.0
2000-01-28,30.13,30.19,29.5,29.56,15.2458,7900.0,0.0,1.0
2000-01-31,29.63,29.69,29.5,29.5,15.2148,14300.0,0.0,1.0
2000-02-01,29.56,29.75,29.56,29.75,15.3438,6600.0,0.0,1.0
2000-02-02,29.81,29.94,29.75,29.81,15.3747,8100.0,0.0,1.0
2000-02-03,29.88,29.88,29.5,29.5,15.2148,33100.0,0.0,1.0
2000-02-04,29.69,29.69,29.5,29.56,15.2458,3600.0,0.0,1.0
2000-02-07,29.56,29.56,29.44,29.44,15.1839,67000.0,0.0,1.0
