date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,82.0,83.5626,80.375,80.9376,67.0431,1551600.0,0.0,1.0
2000-01-04,80.5,81.8126,80.3126,81.3126,67.3538,2234800.0,0.0,1.0
2000-01-05,82.0,86.5,81.0,86.0,71.2365,3121600.0,0.0,1.0
2000-01-06,85.875,86.375,84.8126,84.875,70.3046,4494700.0,0.0,1.0
2000-01-07,86.0,86.875,84.5626,84.625,70.0975,4534700.0,0.0,1.0
2000-01-10,87.125,87.25,84.375,84.375,69.8904,3835800.0,0.0,1.0
2000-01-11,82.0,84.5,82.0,83.875,69.4763,2231600.0,0.0,1.0
2000-01-12,83.5626,83.875,82.75,83.125,68.855,1873600.0,0.0,1.0
2000-01-13,83.125,83.1876,81.3126,81.625,67.6125,2095400.0,0.0,1.0
2000-01-14,81.625,81.625,79.25,80.0,66.2665,1878500.0,0.0,1.0
2000-01-18,80.625,80.625,77.9376,78.0,64.6098,2460400.0,0.0,1.0
2000-01-19,78.0,79.0,77.625,78.125,64.7134,2494300.0,0.0,1.0
2000-01-20,75.625,76.0626,72.5,73.5,60.8823,5177700.0,0.0,1.0
2000-01-21,74.25,77.0,73.625,75.375,62.4355,3672400.0,0.0,1.0
2000-01-24,76.0,76.375,72.75,73.4376,60.8307,1836100.0,0.0,1.0
2000-01-25,73.4376,74.375,71.8126,72.3126,59.8988,2519500.0,0.0,1.0
2000-01-26,72.375,72.75,70.8126,71.1876,58.9669,3142800.0,0.0,1.0
2000-01-27,72.0,72.1876,70.125,70.5,58.3973,2262600.0,0.0,1.0
2000-01-28,71.25,72.125,69.1876,69.5,57.569,3043200.0,0.0,1.0
2000-01-31,69.875,70.875,69.25,69.6876,57.7244,1789000.0,0.0,1.0
2000-02-01,70.75,72.8126,70.3126,72.125,59.7434,2229700.0,0.0,1.0
2000-02-02,71.6876,75.5626,71.5626,74.5626,61.9696,2792500.0,0.25,1.0
2000-02-03,74.5626,74.5626,71.375,72.25,60.0476,1442500.0,0.0,1.0
2000-02-04,72.5,72.5,69.75,70.5,58.5931,1474700.0,0.0,1.0
2000-02-07,70.8126,70.8126,68.125,68.125,56.6193,2473500.0,0.0,1.0
2000-02-08,69.0,69.0626,65.875,65.9376,54.8013,3408100.0,0.0,1.0
2000-02-09,65.875,66.75,64.4376,64.625,53.7104,5228500.0,0.0,1.0
2000-02-10,65.0,67.5626,64.6876,65.5,54.4376,2705600.0,0.0,1.0
2000-02-11,66.375,68.75,66.3126,67.6876,56.2557,2455400.0,0.0,1.0
2000-02-14,68.5,72.5,68.1876,72.25,60.0476,2064500.0,0.0,1.0
2000-02-15,71.8126,74.1876,71.8126,73.875,61.3981,2590500.0,0.0,1.0
2000-02-16,73.6876,75.4376,73.1876,73.75,61.2943,3501500.0,0.0,1.0
2000-02-17,74.0,77.4376,74.0,76.9376,63.9435,2806400.0,0.0,1.0
2000-02-18,76.625,77.0,75.125,75.125,62.437,5050500.0,0.0,1.0
2000-02-22,74.625,74.6876,72.0,72.5,60.2554,2127800.0,0.0,1.0
2000-02-23,73.0,73.125,71.125,71.125,59.1126,1631700.0,0.0,1.0
2000-02-24,71.5,72.5,69.5626,69.6876,57.918,2006200.0,0.0,1.0
2000-02-25,69.625,70.8126,69.0626,70.1876,58.3335,1365000.0,0.0,1.0
2000-02-28,69.625,74.375,69.1876,71.0626,59.0607,2069400.0,0.0,1.0
2000-02-29,71.0,71.0,67.6876,68.5,56.9309,2347600.0,0.0,1.0
2000-03-01,68.4376,70.8126,66.125,69.75,57.9698,2390300.0,0.0,1.0
2000-03-02,69.0,69.1876,66.25,66.8126,55.5285,2346900.0,0.0,1.0
2000-03-03,66.375,69.4376,65.75,67.9376,56.4635,3581200.0,0.0,1.0
2000-03-06,68.5,68.5,66.0,66.75,55.4765,1504900.0,0.0,1.0
2000-03-07,66.5,67.5,64.625,64.9376,53.9702,1709400.0,0.0,1.0
2000-03-08,65.4376,68.375,64.25,67.375,55.9959,2255400.0,0.0,1.0
