date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,15.75,16.5,14.0,16.44,1.2459,602150.0,0.0,1.0
2000-01-04,16.12,16.25,14.25,15.94,1.208,355200.0,0.0,1.0
2000-01-05,15.81,16.37,15.75,16.0,1.2126,282417.0,0.0,1.0
2000-01-06,15.88,16.0,15.56,15.69,1.1891,202417.0,0.0,1.0
2000-01-07,15.88,16.25,15.5,16.12,1.2217,1295750.0,0.0,1.0
2000-01-10,16.25,17.0,15.88,16.94,1.2838,912550.0,0.0,1.0
2000-01-11,17.0,18.25,16.88,17.69,1.3406,892550.0,0.0,1.0
2000-01-12,17.25,17.25,16.37,16.94,1.2838,224017.0,0.0,1.0
2000-01-13,16.88,17.25,16.5,17.12,1.2974,272267.0,0.0,1.0
2000-01-14,16.88,17.12,16.69,16.94,1.2838,212817.0,0.0,1.0
2000-01-18,17.0,17.44,16.94,17.0,1.2884,205067.0,0.0,1.0
2000-01-19,17.12,17.12,16.69,16.75,1.2694,299467.0,0.0,1.0
2000-01-20,16.63,17.0,15.62,15.81,1.1982,444967.0,0.0,1.0
2000-01-21,15.78,15.81,14.87,15.13,1.1466,955033.0,0.0,1.0
2000-01-24,15.03,15.19,14.75,15.0,1.1368,421350.0,0.0,1.0
2000-01-25,15.13,15.13,13.59,14.5,1.0989,509433.0,0.0,1.0
2000-01-26,14.75,16.5,14.5,15.88,1.2035,978833.0,0.0,1.0
2000-01-27,17.25,17.62,16.25,17.19,1.3028,779033.0,0.0,1.0
2000-01-28,16.75,17.0,16.12,16.37,1.2406,242833.0,0.0,1.0
2000-01-31,16.56,16.63,15.5,15.62,1.1838,122400.0,0.0,1.0
2000-02-01,15.78,17.5,15.75,16.88,1.2793,192967.0,0.0,1.0
2000-02-02,17.0,17.69,16.5,17.38,1.3172,515567.0,0.0,1.0
2000-02-03,17.44,17.62,17.19,17.56,1.3308,541767.0,0.0,1.0
2000-02-04,17.53,17.56,15.0,15.75,1.1936,2108267.0,0.0,1.0
2000-02-07,15.13,15.31,14.94,15.0,1.1368,856633.0,0.0,1.0
2000-02-08,15.13,15.25,14.25,14.75,1.1178,603750.0,0.0,1.0
2000-02-09,14.75,14.94,14.38,14.53,1.1012,210833.0,0.0,1.0
2000-02-10,14.87,14.87,14.38,14.44,1.0943,216633.0,0.0,1.0
2000-02-11,14.75,15.0,14.56,14.87,1.1269,148967.0,0.0,1.0
2000-02-14,14.87,15.0,14.25,14.38,1.0898,180367.0,0.0,1.0
2000-02-15,14.56,14.56,14.0,14.0,1.061,206233.0,0.0,1.0
2000-02-16,14.38,14.69,14.0,14.02,1.0625,235033.0,0.0,1.0
2000-02-17,14.38,14.56,14.0,14.03,1.0633,203200.0,0.0,1.0
2000-02-18,14.25,14.5,12.62,13.5,1.0231,464550.0,0.0,1.0
2000-02-22,13.5,13.81,13.06,13.37,1.0133,116433.0,0.0,1.0
2000-02-23,13.5,13.5,12.88,13.06,0.9898,106150.0,0.0,1.0
2000-02-24,13.25,13.25,12.75,13.12,0.9943,133617.0,0.0,1.0
2000-02-25,13.25,13.25,12.62,12.75,0.9663,248800.0,0.0,1.0
2000-02-28,12.69,12.88,12.5,12.56,0.9519,230233.0,0.0,1.0
2000-02-29,12.5,12.88,12.5,12.69,0.9617,232800.0,0.0,1.0
2000-03-01,12.88,15.0,12.75,14.5,1.0989,1367033.0,0.0,1.0
2000-03-02,14.78,15.0,14.12,14.5,1.0989,203200.0,0.0,1.0
2000-03-03,14.5,15.06,14.12,14.81,1.1224,1026667.0,0.0,1.0
2000-03-06,15.0,15.0,14.25,14.38,1.0898,184817.0,0.0,1.0
2000-03-07,14.5,14.81,13.19,13.75,1.042,229867.0,0.0,1.0
2000-03-08,13.75,13.75,13.14,13.19,0.9996,160367.0,0.0,1.0
2000-03-09,13.5,14.44,13.44,14.44,1.0943,169767.0,0.0,1.0
2000-03-10,14.44,14.81,14.25,14.31,1.0845,431200.0,0.0,1.0
2000-03-13,14.5,14.5,13.5,13.56,1.0277,136017.0,0.0,1.0
2000-03-14,13.81,14.06,13.0,13.88,1.0519,223750.0,0.0,1.0
2000-03-15,14.0,14.0,12.81,13.0,0.9852,615567.0,0.0,1.0
2000-03-16,13.75,13.75,12.94,13.0,0.9852,168550.0,0.0,1.0
2000-03-17,12.88,13.63,12.88,13.09,0.992,272800.0,0.0,1.0
2000-03-20,13.25,14.12,13.16,13.5,1.0231,188967.0,0.0,1.0
2000-03-21,13.81,14.0,13.25,13.44,1.0186,70033.0,0.0,1.0
2000-03-22,13.63,13.94,13.31,13.37,1.0133,96367.0,0.0,1.0
2000-03-23,13.31,13.5,12.62,12.88,0.9761,188800.0,0.0,1.0
2000-03-24,13.0,13.63,12.75,13.63,1.033,383217.0,0.0,1.0
2000-03-27,13.37,13.63,13.12,13.12,0.9943,219467.0,0.0,1.0
2000-03-28,13.25,13.5,13.12,13.19,0.9996,149233.0,0.0,1.0
2000-03-29,13.25,13.5,12.75,13.12,0.9943,185867.0,0.0,1.0
2000-03-30,13.0,13.0,12.81,12.88,0.9761,222033.0,0.0,1.0
2000-03-31,13.0,13.0,11.62,12.06,0.914,441967.0,0.0,1.0
2000-04-03,12.16,12.16,10.63,11.12,0.8427,455833.0,0.0,1.0
2000-04-04,11.12,11.12,10.25,10.63,0.8056,611633.0,0.0,1.0
2000-04-05,10.37,11.25,10.19,10.69,0.8101,434033.0,0.0,1.0
2000-04-06,10.75,11.38,10.69,11.06,0.8382,215200.0,0.0,1.0
2000-04-07,11.0,11.06,7.63,8.06,0.6108,8546567.0,0.0,1.0
2000-04-10,8.87,8.87,8.0,8.06,0.6108,1724633.0,0.0,1.0
2000-04-11,8.06,8.12,6.75,7.03,0.5328,624267.0,0.0,1.0
2000-04-12,7.19,7.31,6.31,6.94,0.526,753067.0,0.0,1.0
2000-04-13,7.06,7.12,6.81,6.88,0.5214,222150.0,0.0,1.0
2000-04-14,6.69,6.75,6.38,6.5,0.4926,531033.0,0.0,1.0
2000-04-17,6.5,6.56,5.87,6.38,0.4835,1138767.0,0.0,1.0
2000-04-18,6.31,6.56,6.0,6.31,0.4782,442667.0,0.0,1.0
2000-04-19,6.62,6.69,6.19,6.22,0.4714,232800.0,0.0,1.0
2000-04-20,6.25,6.69,6.25,6.69,0.507,1061767.0,0.0,1.0
2000-04-24,6.62,6.75,6.31,6.56,0.4972,296817.0,0.0,1.0
2000-04-25,6.69,7.0,6.25,6.91,0.5237,2629967.0,0.0,1.0
2000-04-26,7.06,7.31,6.66,6.67,0.5055,460550.0,0.0,1.0
2000-04-27,6.75,6.78,6.62,6.75,0.5116,460433.0,0.0,1.0
2000-04-28,6.97,7.0,6.13,6.25,0.4737,774767.0,0.0,1.0
2000-05-01,6.5,6.97,6.25,6.25,0.4737,1034400.0,0.0,1.0
2000-05-02,6.56,7.12,6.44,6.81,0.5161,369600.0,0.0,1.0
2000-05-03,6.59,6.75,6.47,6.59,0.4994,299367.0,0.0,1.0
2000-05-04,6.62,6.94,6.62,6.91,0.5237,102950.0,0.0,1.0
2000-05-05,6.88,7.5,6.69,7.37,0.5585,273067.0,0.0,1.0
2000-05-08,7.56,8.12,7.5,7.5,0.5684,536267.0,0.0,1.0
2000-05-09,7.56,7.88,7.06,7.28,0.5517,220167.0,0.0,1.0
2000-05-10,5.75,6.25,5.5,6.13,0.4646,1973233.0,0.0,1.0
2000-05-11,6.16,6.75,6.0,6.75,0.5116,569600.0,0.0,1.0
2000-05-12,6.56,7.12,6.5,6.88,0.5214,696017.0,0.0,1.0
2000-05-15,7.0,7.34,6.69,7.3,0.5532,513867.0,0.0,1.0
2000-05-16,7.25,7.31,6.88,7.12,0.5396,439217.0,0.0,1.0
2000-05-17,6.94,7.0,6.62,7.0,0.5305,475833.0,0.0,1.0
2000-05-18,7.0,7.06,6.56,6.69,0.507,530150.0,0.0,1.0
2000-05-19,6.5,6.81,6.5,6.75,0.5116,192800.0,0.0,1.0
2000-05-22,6.75,6.78,6.03,6.13,0.4646,241433.0,0.0,1.0
2000-05-23,6.16,6.31,6.16,6.28,0.4759,114417.0,0.0,1.0
2000-05-24,6.28,6.5,6.06,6.5,0.4926,296367.0,0.0,1.0
2000-05-25,6.56,6.62,6.19,6.31,0.4782,233067.0,0.0,1.0
2000-05-26,6.28,6.5,5.94,6.13,0.4646,145967.0,0.0,1.0
2000-05-30,6.13,6.44,6.13,6.38,0.4835,200800.0,0.0,1.0
2000-05-31,6.41,6.41,6.13,6.19,0.4691,131467.0,0.0,1.0
2000-06-01,6.19,6.28,6.16,6.19,0.4691,207633.0,0.0,1.0
2000-06-02,6.34,7.06,6.13,7.06,0.535,1171567.0,0.0,1.0
2000-06-05,6.75,7.0,5.94,6.88,0.5214,253767.0,0.0,1.0
2000-06-06,6.75,6.75,6.5,6.69,0.507,296817.0,0.0,1.0
2000-06-07,6.52,6.66,6.5,6.62,0.5017,183750.0,0.0,1.0
2000-06-08,6.62,6.69,6.22,6.69,0.507,211567.0,0.0,1.0
2000-06-09,6.62,6.69,6.5,6.56,0.4972,174400.0,0.0,1.0
2000-06-12,6.59,6.62,6.28,6.31,0.4782,126833.0,0.0,1.0
2000-06-13,6.34,6.69,6.13,6.2,0.4699,145767.0,0.0,1.0
2000-06-14,6.38,6.38,6.19,6.22,0.4714,475567.0,0.0,1.0
2000-06-15,6.25,6.34,6.16,6.19,0.4691,100633.0,0.0,1.0
2000-06-16,6.34,6.38,5.94,6.13,0.4646,259033.0,0.0,1.0
2000-06-19,6.06,6.25,5.97,6.25,0.4737,129433.0,0.0,1.0
2000-06-20,6.0,6.13,5.97,6.13,0.4646,308367.0,0.0,1.0
2000-06-21,6.06,6.19,6.0,6.09,0.4615,113617.0,0.0,1.0
2000-06-22,6.06,6.09,5.97,6.03,0.457,160550.0,0.0,1.0
2000-06-23,6.0,6.03,5.38,5.87,0.4449,317967.0,0.0,1.0
2000-06-26,5.94,6.25,5.87,6.25,0.4737,280633.0,0.0,1.0
2000-06-27,6.06,6.31,5.97,6.25,0.4737,150033.0,0.0,1.0
2000-06-28,6.27,6.34,6.03,6.06,0.4593,60550.0,0.0,1.0
2000-06-29,6.03,6.03,5.5,5.66,0.4289,300367.0,0.0,1.0
2000-06-30,5.66,6.75,5.62,6.5,0.4926,619633.0,0.0,1.0
2000-07-03,6.5,6.56,6.38,6.44,0.4881,231367.0,0.0,1.0
2000-07-05,6.5,6.62,6.34,6.38,0.4835,124367.0,0.0,1.0
2000-07-06,6.44,6.94,6.31,6.5,0.4926,126767.0,0.0,1.0
2000-07-07,6.44,7.22,6.41,7.22,0.5472,189433.0,0.0,1.0
2000-07-10,7.06,8.0,6.94,7.88,0.5972,311217.0,0.0,1.0
