date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,34.19,34.25,33.81,33.94,15.6138,61900.0,0.0,1.0
2000-01-04,33.75,33.81,32.94,33.19,15.2688,112300.0,0.0,1.0
2000-01-05,33.19,33.25,32.63,33.19,15.2688,259300.0,0.0,1.0
2000-01-06,33.38,34.63,33.31,34.63,15.9313,126500.0,0.0,1.0
2000-01-07,35.0,36.0,34.69,35.5,16.3315,139100.0,0.0,1.0
2000-01-10,35.5,35.94,35.38,35.94,16.5339,110500.0,0.0,1.0
2000-01-11,35.75,35.94,35.19,35.19,16.1889,76500.0,0.0,1.0
2000-01-12,35.06,35.38,35.06,35.13,16.1613,25000.0,0.0,1.0
2000-01-13,35.13,35.19,34.69,35.0,16.1015,58100.0,0.0,1.0
2000-01-14,35.13,35.25,34.94,35.0,16.1015,252900.0,0.0,1.0
2000-01-18,35.0,35.44,34.38,34.38,15.8163,194400.0,0.0,1.0
2000-01-19,34.63,35.56,34.63,35.56,16.3591,68200.0,0.0,1.0
2000-01-20,35.31,35.38,35.06,35.19,16.1889,49700.0,0.0,1.0
2000-01-21,35.25,35.5,35.13,35.25,16.2165,87100.0,0.0,1.0
2000-01-24,35.06,35.31,35.0,35.25,16.2165,61400.0,0.0,1.0
2000-01-25,35.25,35.31,35.13,35.25,16.2165,161200.0,0.0,1.0
2000-01-26,35.13,35.25,35.0,35.13,16.1613,117900.0,0.0,1.0
2000-01-27,35.13,35.19,34.63,35.19,16.1889,131200.0,0.0,1.0
2000-01-28,35.06,35.13,34.63,34.75,15.9865,107600.0,0.0,1.0
2000-01-31,34.63,34.75,34.38,34.5,15.8715,58100.0,0.0,1.0
2000-02-01,34.5,34.63,34.38,34.5,15.8715,60300.0,0.0,1.0
2000-02-02,34.5,34.5,34.38,34.5,15.8715,95700.0,0.0,1.0
2000-02-03,34.5,34.63,34.06,34.38,15.8163,121100.0,0.0,1.0
2000-02-04,34.31,34.69,34.31,34.56,15.8991,59300.0,0.0,1.0
2000-02-07,34.44,34.56,34.25,34.5,15.8715,48800.0,0.0,1.0
2000-02-08,34.5,34.56,34.31,34.38,15.8163,88500.0,0.0,1.0
2000-02-09,34.38,34.69,34.06,34.31,15.7841,351000.0,0.0,1.0
2000-02-10,34.44,34.44,34.13,34.31,15.7841,192300.0,0.0,1.0
2000-02-11,34.25,34.5,33.94,34.25,15.7565,115600.0,0.0,1.0
2000-02-14,34.13,34.38,33.94,34.38,15.8163,73000.0,0.0,1.0
2000-02-15,34.13,34.25,33.94,34.25,15.7565,99800.0,0.0,1.0
2000-02-16,34.13,34.19,34.0,34.13,15.7013,183200.0,0.0,1.0
2000-02-17,34.0,34.25,34.0,34.25,15.7565,95400.0,0.0,1.0
2000-02-18,34.25,34.25,34.0,34.19,15.7289,66400.0,0.0,1.0
2000-02-22,34.06,34.19,33.94,34.19,15.7289,56500.0,0.0,1.0
2000-02-23,34.06,34.06,33.94,34.0,15.6414,79700.0,0.0,1.0
2000-02-24,33.94,33.94,33.81,33.94,15.6138,44900.0,0.0,1.0
2000-02-25,33.88,34.0,33.88,34.0,15.6414,35700.0,0.0,1.0
2000-02-28,34.0,34.0,33.63,33.75,15.5264,61300.0,0.0,1.0
2000-02-29,33.25,33.88,33.25,33.75,15.5264,289100.0,0.0,1.0
2000-03-01,33.44,34.25,33.44,34.25,15.7565,280300.0,0.0,1.0
2000-03-02,34.13,34.38,33.94,33.94,15.6138,84200.0,0.0,1.0
2000-03-03,34.06,34.25,34.06,34.25,15.7565,104800.0,0.0,1.0
2000-03-06,34.25,34.25,34.0,34.13,15.7013,118700.0,0.0,1.0
2000-03-07,34.13,34.5,34.0,34.5,15.8715,74300.0,0.0,1.0
2000-03-08,34.5,34.5,33.94,34.13,15.7013,51300.0,0.0,1.0
2000-03-09,34.25,34.38,33.94,34.0,15.6414,70500.0,0.0,1.0
2000-03-10,33.94,34.44,33.94,34.44,15.8439,48000.0,0.0,1.0
2000-03-13,34.44,34.5,34.19,34.25,15.7565,180600.0,0.0,1.0
2000-03-14,34.25,34.25,34.0,34.0,15.6414,88000.0,0.0,1.0
