date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-08-06,16.5,16.91,15.56,16.18,14.3041,24197800.0,0.0,1.0
2009-08-07,16.15,16.76,16.03,16.43,14.5252,2454300.0,0.0,1.0
2009-08-10,16.63,16.63,15.61,15.97,14.1185,2421000.0,0.0,1.0
2009-08-11,15.98,16.0,15.5,15.67,13.8533,2305400.0,0.0,1.0
2009-08-12,16.15,16.2,15.66,16.0,14.145,1451300.0,0.0,1.0
2009-08-13,16.0,16.72,16.0,16.55,14.6312,1150600.0,0.0,1.0
2009-08-14,16.5,17.0,16.25,16.6,14.6754,637800.0,0.0,1.0
2009-08-17,16.27,16.37,16.2,16.22,14.3395,254400.0,0.0,1.0
2009-08-18,16.48,17.2,16.35,17.07,15.091,1446700.0,0.0,1.0
2009-08-19,16.84,17.94,16.8,17.89,15.8159,2070800.0,0.0,1.0
2009-08-20,17.95,17.95,17.29,17.76,15.701,1882100.0,0.0,1.0
2009-08-21,17.79,17.97,17.58,17.82,15.754,863600.0,0.0,1.0
2009-08-24,17.52,17.85,17.3,17.5,15.4711,1021600.0,0.0,1.0
2009-08-25,17.65,17.9,17.55,17.85,15.7805,530800.0,0.0,1.0
2009-08-26,17.69,17.85,17.15,17.85,15.7805,708600.0,0.0,1.0
2009-08-27,17.85,18.21,17.55,18.16,16.0546,1161100.0,0.0,1.0
2009-08-28,18.1,19.0,18.0,18.47,16.3286,1295000.0,0.0,1.0
2009-08-31,18.35,18.4,17.81,18.2,16.0899,1004800.0,0.0,1.0
2009-09-01,18.25,18.44,16.94,17.85,15.7805,1383500.0,0.0,1.0
2009-09-02,17.76,18.25,17.48,17.68,15.6302,1293400.0,0.0,1.0
2009-09-03,17.97,17.97,17.0,17.45,15.4269,3657700.0,0.0,1.0
2009-09-04,17.75,17.9989,17.49,17.76,15.701,1158600.0,0.0,1.0
2009-09-08,17.76,17.93,17.45,17.7,15.6479,574900.0,0.0,1.0
2009-09-09,17.85,17.85,17.22,17.26,15.2589,551200.0,0.0,1.0
2009-09-10,17.01,17.46,16.95,17.05,15.0733,415200.0,0.0,1.0
2009-09-11,17.0,17.33,16.54,16.88,14.923,620300.0,0.0,1.0
2009-09-14,16.64,16.8999,16.31,16.65,14.7196,1614500.0,0.0,1.0
2009-09-15,17.25,17.35,16.63,17.18,15.1882,1986900.0,0.0,1.0
2009-09-16,17.4,17.75,17.11,17.58,15.5418,2021100.0,0.0,1.0
2009-09-17,17.66,17.9,16.53,16.64,14.7108,1446400.0,0.0,1.0
2009-09-18,16.57,17.02,16.18,16.2,14.3218,899900.0,0.0,1.0
2009-09-21,16.28,16.63,15.87,16.61,14.6843,553000.0,0.0,1.0
2009-09-22,16.96,17.37,16.82,17.25,15.2501,1114100.0,0.0,1.0
2009-09-23,17.62,17.79,17.3,17.4,15.3827,530300.0,0.0,1.0
2009-09-24,17.33,17.8488,16.75,17.49,15.4623,778800.0,0.0,1.0
2009-09-25,17.48,17.48,17.1,17.13,15.144,468500.0,0.0,1.0
2009-09-28,17.32,17.85,17.03,17.65,15.6037,233600.0,0.0,1.0
2009-09-29,17.55,17.84,16.95,17.03,15.0556,356700.0,0.0,1.0
2009-09-30,17.0,17.33,16.96,17.07,15.091,512600.0,0.0,1.0
2009-10-01,17.0,17.09,16.21,16.31,14.4191,660500.0,0.0,1.0
2009-10-02,16.2,16.36,15.9002,16.09,14.2246,629600.0,0.0,1.0
2009-10-05,16.1,16.53,16.0,16.49,14.5782,188900.0,0.0,1.0
2009-10-06,16.74,17.1993,16.44,16.47,14.5605,469400.0,0.0,1.0
2009-10-07,16.57,16.61,15.92,16.13,14.2599,291700.0,0.0,1.0
2009-10-08,16.11,16.18,15.94,16.01,14.1538,557300.0,0.0,1.0
2009-10-09,15.98,16.45,15.94,16.25,14.366,870500.0,0.0,1.0
2009-10-12,16.22,16.45,16.04,16.34,14.4456,1288800.0,0.0,1.0
2009-10-13,16.19,16.67,16.15,16.53,14.6136,557300.0,0.0,1.0
2009-10-14,16.84,17.0,16.54,16.86,14.9053,695500.0,0.0,1.0
2009-10-15,17.4,17.95,17.1,17.16,15.1705,2092000.0,0.0,1.0
2009-10-16,17.23,17.23,16.21,16.43,14.5252,1263800.0,0.0,1.0
2009-10-19,16.46,16.64,16.06,16.24,14.3572,2142900.0,0.0,1.0
2009-10-20,16.34,16.73,16.27,16.53,14.6136,489000.0,0.0,1.0
2009-10-21,16.37,16.91,16.11,16.49,14.5782,233800.0,0.0,1.0
2009-10-22,16.33,16.33,15.61,16.28,14.3925,983400.0,0.0,1.0
2009-10-23,16.13,16.41,15.92,16.05,14.1892,1134100.0,0.0,1.0
2009-10-26,15.91,16.12,15.81,15.84,14.0036,162400.0,0.0,1.0
2009-10-27,15.95,15.988,15.26,15.45,13.6588,328800.0,0.0,1.0
2009-10-28,15.5,15.5,14.89,14.93,13.1991,622000.0,0.0,1.0
2009-10-29,14.95,15.2,14.7184,15.04,13.2963,1183300.0,0.0,1.0
2009-10-30,15.1,15.187,14.87,15.0,13.2609,278100.0,0.0,1.0
2009-11-02,15.1,15.1,14.7201,14.87,13.146,276600.0,0.0,1.0
2009-11-03,14.68,14.82,14.44,14.49,12.8101,363700.0,0.0,1.0
2009-11-04,14.6,15.25,14.33,14.78,13.0664,805300.0,0.0,1.0
