date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,50.25,50.25,48.0,48.44,14.1756,6852900.0,0.0,1.0
2000-01-04,47.75,47.94,44.94,45.56,13.3328,13646700.0,0.0,1.0
2000-01-05,45.06,46.44,44.5,46.06,13.4791,11427800.0,0.0,1.0
2000-01-06,46.94,50.0,46.75,50.0,14.6321,8653500.0,0.0,1.0
2000-01-07,49.63,49.63,48.0,48.69,14.2488,5816400.0,0.0,1.0
2000-01-10,48.94,48.94,46.69,47.0,13.7542,5576400.0,0.0,1.0
2000-01-11,45.56,46.94,45.56,46.0,13.4616,5532200.0,0.0,1.0
2000-01-12,46.0,47.06,46.0,46.5,13.6079,5533800.0,0.0,1.0
2000-01-13,47.0,47.88,46.88,47.56,13.9181,6161000.0,0.0,1.0
2000-01-14,49.94,50.56,48.81,50.5,14.7785,10219300.0,0.0,1.0
2000-01-18,50.0,50.0,47.81,48.0,14.0469,8558000.0,0.0,1.0
2000-01-19,47.88,49.19,46.69,48.0,14.0469,7734200.0,0.0,1.0
2000-01-20,47.5,48.0,46.0,47.08,13.7776,6124500.0,0.0,1.0
2000-01-21,46.5,46.69,45.56,45.69,13.3709,6419700.0,0.0,1.0
2000-01-24,45.75,46.25,44.5,44.56,13.0402,6307400.0,0.0,1.0
2000-01-25,44.94,45.69,44.69,45.13,13.207,7815500.0,0.0,1.0
2000-01-26,45.75,47.31,45.38,47.13,13.7923,7720600.0,0.0,1.0
2000-01-27,47.56,48.38,47.06,48.13,14.0849,6384700.0,0.0,1.0
2000-01-28,47.88,47.88,45.75,45.75,13.3884,6758500.0,0.0,1.0
2000-01-31,46.5,48.44,46.31,48.44,14.1756,8455000.0,0.0,1.0
2000-02-01,48.13,49.0,48.0,49.0,14.3395,4482600.0,0.0,1.0
2000-02-02,47.5,48.5,47.38,47.75,13.9737,5858700.0,0.0,1.0
2000-02-03,47.69,48.06,45.44,46.44,13.5903,11399000.0,0.0,1.0
2000-02-04,46.94,47.13,45.31,45.88,13.4265,6700000.0,0.0,1.0
2000-02-07,45.31,45.5,44.88,45.31,13.2597,5182200.0,0.0,1.0
2000-02-08,45.81,47.25,45.69,47.13,13.7923,5410900.0,0.0,1.0
2000-02-09,47.13,47.25,46.06,46.06,13.4791,4647100.0,0.0,1.0
2000-02-10,46.06,46.5,44.69,44.88,13.1338,5789700.0,0.0,1.0
2000-02-11,45.0,46.63,45.0,45.19,13.2245,6755200.0,0.0,1.0
2000-02-14,45.69,45.94,44.06,44.25,12.9494,6713400.0,0.0,1.0
2000-02-15,44.06,46.0,44.06,45.63,13.3533,6917000.0,0.0,1.0
2000-02-16,46.25,46.5,45.13,45.19,13.2245,5969800.0,0.0,1.0
2000-02-17,45.44,46.31,44.31,44.63,13.0607,6128400.0,0.0,1.0
2000-02-18,44.56,44.69,43.38,43.75,12.8031,7499000.0,0.0,1.0
2000-02-22,43.19,45.88,43.0,44.75,13.0958,6581400.0,0.0,1.0
2000-02-23,45.0,46.63,44.44,45.75,13.3884,6866000.0,0.0,1.0
2000-02-24,45.88,46.25,43.88,44.81,13.1133,5733900.0,0.0,1.0
2000-02-25,44.75,45.81,44.13,44.13,12.9143,5301900.0,0.0,1.0
2000-02-28,44.75,46.94,44.56,45.94,13.444,6880000.0,0.0,1.0
2000-02-29,45.94,46.44,45.06,46.0,13.4616,5896400.0,0.0,1.0
2000-03-01,46.0,46.19,44.81,45.56,13.4791,4898300.0,0.5,1.0
2000-03-02,45.56,45.56,44.63,45.06,13.3312,5306500.0,0.0,1.0
2000-03-03,45.75,46.13,44.63,45.0,13.3135,6412900.0,0.0,1.0
2000-03-06,45.0,45.94,44.0,44.5,13.1655,4913900.0,0.0,1.0
2000-03-07,45.0,45.19,43.75,44.0,13.0176,4455600.0,0.0,1.0
2000-03-08,44.0,44.63,43.56,43.63,12.9081,4063200.0,0.0,1.0
2000-03-09,43.63,44.0,42.81,43.06,12.7395,6546800.0,0.0,1.0
2000-03-10,42.94,43.25,42.31,42.88,12.6862,6067200.0,0.0,1.0
2000-03-13,42.88,44.06,42.5,43.19,12.778,5325400.0,0.0,1.0
2000-03-14,43.56,43.81,42.5,42.63,12.6123,4116600.0,0.0,1.0
2000-03-15,42.88,46.06,42.63,45.88,13.5738,10210900.0,0.0,1.0
2000-03-16,47.0,49.5,46.63,49.25,14.5708,13603600.0,0.0,1.0
2000-03-17,49.38,50.75,49.0,50.0,14.7927,10419900.0,0.0,1.0
2000-03-20,50.0,50.25,48.38,49.63,14.6833,5374900.0,0.0,1.0
2000-03-21,49.63,51.75,49.5,51.0,15.0886,6895600.0,0.0,1.0
2000-03-22,51.44,51.94,50.06,51.44,15.2188,5593100.0,0.0,1.0
2000-03-23,52.25,54.19,51.13,54.19,16.0324,7712700.0,0.0,1.0
2000-03-24,53.94,55.19,53.25,54.63,16.1625,8288100.0,0.0,1.0
2000-03-27,54.5,55.0,53.19,54.13,16.0146,5343400.0,0.0,1.0
2000-03-28,52.63,54.69,52.63,53.56,15.846,5366500.0,0.0,1.0
2000-03-29,53.0,53.13,51.88,52.0,15.3844,5814300.0,0.0,1.0
2000-03-30,52.25,52.44,50.44,50.81,15.0324,5195100.0,0.0,1.0
2000-03-31,51.0,53.25,50.63,52.44,15.5146,5120900.0,0.0,1.0
2000-04-03,52.06,55.56,52.06,55.5,16.4199,8549500.0,0.0,1.0
2000-04-04,55.63,56.56,53.31,54.19,16.0324,9230800.0,0.0,1.0
2000-04-05,53.94,55.25,53.63,54.0,15.9761,4593400.0,0.0,1.0
2000-04-06,54.25,54.56,53.0,53.44,15.8105,4035500.0,0.0,1.0
2000-04-07,53.06,53.81,52.0,52.31,15.4762,3876400.0,0.0,1.0
2000-04-10,52.31,53.88,52.13,52.81,15.6241,5147600.0,0.0,1.0
2000-04-11,52.75,53.38,51.81,52.34,15.485,3794300.0,0.0,1.0
2000-04-12,53.13,56.0,53.13,54.56,16.1418,7845000.0,0.0,1.0
2000-04-13,54.63,55.25,52.56,52.81,15.6241,6083500.0,0.0,1.0
2000-04-14,51.88,51.88,48.63,49.94,14.775,9945200.0,0.0,1.0
2000-04-17,49.94,51.0,48.13,50.31,14.8844,6973700.0,0.0,1.0
2000-04-18,51.0,51.19,49.75,51.0,15.0886,5653200.0,0.0,1.0
2000-04-19,50.94,50.94,48.94,49.44,14.627,3956800.0,0.0,1.0
2000-04-20,50.13,50.19,49.44,49.56,14.6626,3219200.0,0.0,1.0
2000-04-24,49.56,51.5,49.38,51.5,15.2365,4356800.0,0.0,1.0
2000-04-25,51.06,53.69,51.0,53.44,15.8105,4883900.0,0.0,1.0
2000-04-26,52.69,52.94,51.19,51.75,15.3105,3871200.0,0.0,1.0
2000-04-27,50.5,51.63,50.06,51.25,15.1625,4480700.0,0.0,1.0
2000-04-28,51.13,51.38,48.38,49.0,14.4969,6915600.0,0.0,1.0
2000-05-01,49.06,50.94,48.31,50.0,14.7927,4712400.0,0.0,1.0
2000-05-02,49.31,50.94,49.31,49.63,14.6833,4426700.0,0.0,1.0
2000-05-03,49.63,50.81,48.31,49.0,14.4969,3886100.0,0.0,1.0
2000-05-04,48.69,48.94,47.69,48.0,14.201,5013200.0,0.0,1.0
2000-05-05,47.25,48.56,47.13,47.56,14.0708,4136100.0,0.0,1.0
2000-05-08,47.19,48.81,47.19,48.19,14.2572,4727200.0,0.0,1.0
2000-05-09,48.5,49.69,47.63,48.19,14.2572,4813700.0,0.0,1.0
2000-05-10,47.94,48.44,46.38,46.5,13.7572,6742200.0,0.0,1.0
2000-05-11,47.75,47.94,46.56,47.38,14.0176,6767800.0,0.0,1.0
2000-05-12,47.38,48.94,46.31,48.59,14.3756,5874900.0,0.0,1.0
2000-05-15,48.63,50.88,48.56,50.63,14.9791,5379600.0,0.0,1.0
2000-05-16,50.94,51.63,49.19,49.69,14.701,5354200.0,0.0,1.0
2000-05-17,49.06,49.81,48.56,49.31,14.5886,3047400.0,0.0,1.0
2000-05-18,49.38,50.81,49.31,50.31,14.8844,4653300.0,0.0,1.0
2000-05-19,49.56,50.19,49.13,49.75,14.7188,4563100.0,0.0,1.0
2000-05-22,49.75,50.31,48.75,50.25,14.8667,4091400.0,0.0,1.0
2000-05-23,50.44,53.13,50.25,52.56,15.5501,7225500.0,0.0,1.0
2000-05-24,53.5,56.13,53.38,55.94,16.5501,11224800.0,0.0,1.0
2000-05-25,55.0,56.06,54.5,55.31,16.3637,7277800.0,0.0,1.0
2000-05-26,55.0,55.25,53.88,54.63,16.1625,5307700.0,0.0,1.0
2000-05-30,54.94,55.19,54.31,54.94,16.2542,4040200.0,0.0,1.0
2000-05-31,54.13,55.94,54.13,55.44,16.5501,5541100.0,0.5,1.0
2000-06-01,55.5,57.75,55.31,56.81,16.9591,6873500.0,0.0,1.0
2000-06-02,59.94,61.0,59.25,61.0,18.2099,8994200.0,0.0,1.0
2000-06-05,59.25,59.5,58.0,59.25,17.6875,4458800.0,0.0,1.0
2000-06-06,57.38,57.69,56.13,56.75,16.9412,6425500.0,0.0,1.0
2000-06-07,56.69,57.94,56.13,57.81,17.2576,4050100.0,0.0,1.0
2000-06-08,57.44,57.44,56.63,56.75,16.9412,3449500.0,0.0,1.0
2000-06-09,56.94,57.44,55.69,56.0,16.7173,3056800.0,0.0,1.0
2000-06-12,56.0,56.75,55.94,56.47,16.8576,2605600.0,0.0,1.0
2000-06-13,56.44,56.56,55.56,55.69,16.6247,3777700.0,0.0,1.0
2000-06-14,55.69,56.0,54.94,55.31,16.5113,4494000.0,0.0,1.0
2000-06-15,55.56,55.56,51.19,51.94,15.5053,10636500.0,0.0,1.0
2000-06-16,52.19,52.25,46.5,48.0,14.3291,17353800.0,0.0,1.0
2000-06-19,47.63,49.31,47.44,48.38,14.4425,10351700.0,0.0,1.0
2000-06-20,49.19,49.63,48.0,48.5,14.4784,5107200.0,0.0,1.0
2000-06-21,48.38,48.56,46.25,47.63,14.2186,5406100.0,0.0,1.0
2000-06-22,47.06,47.5,46.13,47.0,14.0306,3710600.0,0.0,1.0
2000-06-23,48.5,48.56,47.25,47.38,14.144,4518200.0,0.0,1.0
2000-06-26,48.31,48.75,47.19,47.94,14.3112,3763600.0,0.0,1.0
2000-06-27,47.13,47.75,46.0,47.0,14.0306,7495500.0,0.0,1.0
2000-06-28,47.06,47.13,45.25,45.42,13.5589,5752100.0,0.0,1.0
2000-06-29,45.38,46.25,45.13,45.44,13.5649,3974800.0,0.0,1.0
2000-06-30,45.19,45.38,42.98,43.0,12.8365,7345500.0,0.0,1.0
2000-07-03,43.75,45.25,43.63,45.0,13.4335,2998900.0,0.0,1.0
2000-07-05,45.06,46.25,45.06,45.31,13.5261,4468400.0,0.0,1.0
