date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,61.56,62.13,60.31,61.38,11.9995,1053300.0,0.0,1.0
2000-01-04,60.38,61.0,59.75,60.0,11.7297,472700.0,0.0,1.0
2000-01-05,60.0,63.38,59.5,63.13,12.3416,1140800.0,0.0,1.0
2000-01-06,61.88,64.5,61.88,63.94,12.4999,910000.0,0.0,1.0
2000-01-07,64.38,67.69,64.13,67.56,13.2076,1214000.0,0.0,1.0
2000-01-10,67.75,67.75,64.75,65.0,12.7072,520500.0,0.0,1.0
2000-01-11,64.25,65.63,63.81,65.0,12.7072,662300.0,0.0,1.0
2000-01-12,65.19,65.38,64.25,64.25,12.5605,505800.0,0.0,1.0
2000-01-13,64.75,66.88,64.5,65.75,12.8538,745200.0,0.0,1.0
2000-01-14,65.0,65.5,62.31,63.75,12.4628,1149000.0,0.0,1.0
2000-01-18,63.5,64.0,62.5,62.94,12.3044,646700.0,0.0,1.0
2000-01-19,62.94,63.38,62.31,62.81,12.279,707200.0,0.0,1.0
2000-01-20,62.56,62.88,60.5,61.0,11.9252,1447700.0,0.0,1.0
2000-01-21,61.0,61.0,60.38,60.75,11.8763,1626500.0,0.0,1.0
2000-01-24,60.75,60.94,58.88,59.31,11.5948,927100.0,0.0,1.0
2000-01-25,59.13,59.19,56.25,58.0,11.3387,1943500.0,0.0,1.0
2000-01-26,57.75,58.88,56.0,58.0,11.3387,2675400.0,0.0,1.0
2000-01-27,59.5,64.0,59.0,63.06,12.3279,3051500.0,0.0,1.0
2000-01-28,63.06,66.44,62.0,62.69,12.2556,2061200.0,0.0,1.0
2000-01-31,64.0,64.38,62.94,63.88,12.4882,2156800.0,0.0,1.0
2000-02-01,63.88,63.88,62.63,63.13,12.3416,806000.0,0.0,1.0
2000-02-02,62.88,63.5,62.13,63.38,12.3905,1273800.0,0.0,1.0
2000-02-03,63.5,63.75,62.81,63.5,12.4139,974100.0,0.0,1.0
2000-02-04,63.25,63.88,63.25,63.5,12.4139,1273100.0,0.0,1.0
2000-02-07,63.25,63.63,62.5,63.06,12.3279,873500.0,0.0,1.0
2000-02-08,62.81,63.81,62.44,62.94,12.3044,744200.0,0.0,1.0
2000-02-09,62.0,63.0,60.13,62.88,12.2927,1235900.0,0.0,1.0
2000-02-10,62.88,62.88,59.63,60.56,11.8392,846900.0,0.0,1.0
2000-02-11,60.38,60.44,59.0,59.25,11.5831,717900.0,0.0,1.0
2000-02-14,59.63,60.56,59.0,59.75,11.6808,734800.0,0.0,1.0
2000-02-15,59.25,59.75,58.25,59.13,11.5596,1506800.0,0.0,1.0
2000-02-16,59.0,59.13,57.5,57.88,11.3152,1125300.0,0.0,1.0
2000-02-17,57.88,58.0,57.06,57.69,11.2781,1107900.0,0.0,1.0
2000-02-18,57.44,57.44,55.56,55.88,10.9243,1157900.0,0.0,1.0
2000-02-22,55.63,58.13,55.19,57.0,11.1432,1476500.0,0.0,1.0
2000-02-23,56.88,57.5,55.88,56.69,11.0826,893700.0,0.0,1.0
2000-02-24,56.69,56.69,54.0,55.13,10.7776,1196100.0,0.0,1.0
2000-02-25,55.63,57.69,53.75,54.19,10.5939,1345300.0,0.0,1.0
2000-02-28,54.69,56.19,54.25,54.88,10.7288,818600.0,0.0,1.0
2000-02-29,55.38,56.38,54.5,54.5,10.6545,970900.0,0.0,1.0
2000-03-01,54.81,57.38,54.81,56.06,10.9594,1304300.0,0.0,1.0
2000-03-02,56.31,57.5,55.63,56.81,11.1061,2085800.0,0.0,1.0
2000-03-03,57.06,58.63,56.63,56.63,11.0709,2304000.0,0.0,1.0
2000-03-06,56.75,56.75,54.38,54.38,10.631,947700.0,0.0,1.0
