date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,26.91,26.97,25.42,25.61,13.5209,571300.0,0.0,1.0
2000-01-04,25.61,25.67,24.55,24.86,13.1249,766700.0,0.0,1.0
2000-01-05,24.93,25.49,24.74,25.18,13.2939,620200.0,0.0,1.0
2000-01-06,25.24,26.48,25.11,26.35,13.9116,691500.0,0.0,1.0
2000-01-07,27.04,27.04,26.23,26.54,14.0119,579500.0,0.0,1.0
2000-01-10,26.66,26.79,25.49,25.86,13.6529,477600.0,0.0,1.0
2000-01-11,25.61,25.73,25.05,25.18,13.2939,319700.0,0.0,1.0
2000-01-12,25.5,26.38,25.44,26.0,13.8324,515300.0,0.2,1.0
2000-01-13,26.56,28.63,26.56,28.12,14.9603,1989500.0,0.0,1.0
2000-01-14,28.25,29.25,28.25,29.19,15.5295,1026700.0,0.0,1.0
2000-01-18,29.0,29.0,27.69,27.88,14.8326,1078700.0,0.0,1.0
2000-01-19,28.37,28.5,27.31,27.5,14.6304,573600.0,0.0,1.0
2000-01-20,27.5,27.62,26.38,26.5,14.0984,431300.0,0.0,1.0
2000-01-21,27.19,27.19,26.44,26.75,14.2314,502800.0,0.0,1.0
2000-01-24,26.75,26.75,25.75,26.0,13.8324,407500.0,0.0,1.0
2000-01-25,25.88,26.44,25.63,26.0,13.8324,456600.0,0.0,1.0
2000-01-26,26.06,27.62,25.94,27.62,14.6943,695100.0,0.0,1.0
2000-01-27,28.5,28.69,27.62,28.0,14.8964,667200.0,0.0,1.0
2000-01-28,27.75,27.75,26.87,27.62,14.6943,684300.0,0.0,1.0
2000-01-31,27.38,28.12,27.0,28.12,14.9603,831700.0,0.0,1.0
2000-02-01,28.12,28.75,27.62,28.5,15.1624,635100.0,0.0,1.0
2000-02-02,29.12,29.12,28.0,28.19,14.9975,614000.0,0.0,1.0
2000-02-03,28.12,28.63,27.81,28.5,15.1624,819600.0,0.0,1.0
2000-02-04,28.44,28.44,27.38,27.5,14.6304,394100.0,0.0,1.0
2000-02-07,25.06,26.25,25.06,26.25,13.9654,2087800.0,0.0,1.0
2000-02-08,26.19,26.38,25.94,26.06,13.8643,970000.0,0.0,1.0
2000-02-09,26.19,26.19,25.69,25.94,13.8005,1075600.0,0.0,1.0
2000-02-10,25.75,25.94,25.0,25.25,13.4334,376800.0,0.0,1.0
2000-02-11,25.25,25.88,25.0,25.37,13.4972,603600.0,0.0,1.0
2000-02-14,25.44,25.5,24.69,25.0,13.3004,680400.0,0.0,1.0
2000-02-15,25.0,25.88,24.81,25.75,13.6994,779500.0,0.0,1.0
2000-02-16,25.63,25.75,24.94,25.0,13.3004,491500.0,0.0,1.0
2000-02-17,25.0,25.12,23.69,24.06,12.8003,642800.0,0.0,1.0
2000-02-18,24.13,24.25,23.38,23.56,12.5343,655500.0,0.0,1.0
2000-02-22,23.75,24.13,23.38,23.94,12.7364,422700.0,0.0,1.0
2000-02-23,23.94,23.94,23.06,23.06,12.2683,430000.0,0.0,1.0
2000-02-24,23.19,23.38,22.06,22.63,12.0395,794900.0,0.0,1.0
2000-02-25,23.12,23.25,22.5,22.69,12.0714,505000.0,0.0,1.0
2000-02-28,22.81,23.62,22.69,23.31,12.4013,509100.0,0.0,1.0
2000-02-29,23.06,23.5,22.56,23.5,12.5024,574800.0,0.0,1.0
2000-03-01,23.44,23.5,22.63,23.12,12.3002,432100.0,0.0,1.0
2000-03-02,22.94,23.0,22.37,23.0,12.2363,549600.0,0.0,1.0
2000-03-03,22.5,23.56,22.5,23.38,12.4385,564500.0,0.0,1.0
2000-03-06,23.25,23.25,22.19,22.63,12.0395,471200.0,0.0,1.0
2000-03-07,22.75,22.75,22.0,22.0,11.7043,491700.0,0.0,1.0
2000-03-08,21.75,22.31,21.69,22.12,11.7682,455000.0,0.0,1.0
2000-03-09,22.12,22.94,22.0,22.94,12.2044,519400.0,0.0,1.0
2000-03-10,22.94,22.94,22.31,22.56,12.0023,470100.0,0.0,1.0
2000-03-13,22.0,22.88,22.0,22.88,12.1725,460300.0,0.0,1.0
2000-03-14,22.63,22.63,21.69,22.37,11.9012,457300.0,0.0,1.0
2000-03-15,22.12,25.0,21.94,24.81,13.1993,1193500.0,0.0,1.0
2000-03-16,24.75,27.31,24.44,27.31,14.5293,1192300.0,0.0,1.0
2000-03-17,27.56,27.56,25.81,26.75,14.2314,1020300.0,0.0,1.0
2000-03-20,26.56,26.69,25.0,26.12,13.8962,1024800.0,0.0,1.0
2000-03-21,26.0,27.62,26.0,27.62,14.6943,1026300.0,0.0,1.0
2000-03-22,27.5,27.88,27.13,27.75,14.7634,441800.0,0.0,1.0
2000-03-23,27.5,28.63,27.19,28.63,15.2316,612000.0,0.0,1.0
2000-03-24,28.25,28.81,27.62,28.37,15.0933,661500.0,0.0,1.0
2000-03-27,27.88,27.94,27.0,27.5,14.6304,394400.0,0.0,1.0
2000-03-28,27.38,28.0,27.19,27.56,14.6623,397600.0,0.0,1.0
2000-03-29,28.75,28.75,27.69,28.19,14.9975,461700.0,0.0,1.0
2000-03-30,27.69,27.94,27.13,27.31,14.5293,393200.0,0.0,1.0
2000-03-31,26.75,28.06,26.69,28.06,14.9283,598600.0,0.0,1.0
2000-04-03,27.88,29.38,27.88,29.31,15.5934,561500.0,0.0,1.0
2000-04-04,29.62,30.0,28.5,29.69,15.7955,1073400.0,0.0,1.0
2000-04-05,29.38,29.62,28.81,28.94,15.3965,341900.0,0.0,1.0
2000-04-06,29.5,29.5,28.12,28.75,15.2954,293800.0,0.0,1.0
2000-04-07,28.37,28.56,27.88,27.88,14.8326,296300.0,0.0,1.0
2000-04-10,27.75,28.37,27.13,28.19,14.9975,389700.0,0.0,1.0
2000-04-11,28.44,28.44,27.75,28.0,14.8964,333800.0,0.0,1.0
2000-04-12,28.0,29.87,28.0,28.69,15.3699,643200.0,0.2,1.0
2000-04-13,27.75,28.5,27.75,27.94,14.9681,371300.0,0.0,1.0
2000-04-14,27.38,27.44,25.75,26.06,13.961,679000.0,0.0,1.0
2000-04-17,25.94,26.75,25.88,26.62,14.261,590600.0,0.0,1.0
2000-04-18,26.12,26.94,26.0,26.87,14.3949,427400.0,0.0,1.0
2000-04-19,27.13,27.13,25.81,26.25,14.0628,283400.0,0.0,1.0
2000-04-20,26.38,26.69,25.75,26.44,14.1645,659400.0,0.0,1.0
2000-04-24,26.44,27.44,26.06,26.94,14.4324,325100.0,0.0,1.0
2000-04-25,26.69,28.37,26.69,28.06,15.0324,530400.0,0.0,1.0
2000-04-26,28.37,28.37,27.19,27.19,14.5663,524300.0,0.0,1.0
2000-04-27,26.69,26.87,26.0,26.25,14.0628,423600.0,0.0,1.0
2000-04-28,26.62,26.75,26.0,26.62,14.261,1025500.0,0.0,1.0
2000-05-01,26.75,27.44,26.25,26.94,14.4324,560900.0,0.0,1.0
2000-05-02,27.06,27.06,26.38,26.87,14.3949,609500.0,0.0,1.0
2000-05-03,26.81,27.25,26.44,26.5,14.1967,665400.0,0.0,1.0
2000-05-04,26.38,26.38,25.88,26.06,13.961,511200.0,0.0,1.0
2000-05-05,25.94,26.19,25.81,25.94,13.8967,241900.0,0.0,1.0
2000-05-08,25.81,27.0,25.81,26.31,14.0949,337400.0,0.0,1.0
2000-05-09,26.25,26.94,26.25,26.56,14.2288,344200.0,0.0,1.0
2000-05-10,26.56,26.81,26.12,26.31,14.0949,597300.0,0.0,1.0
2000-05-11,26.38,27.44,26.38,27.13,14.5342,597700.0,0.0,1.0
2000-05-12,26.69,27.69,26.62,27.44,14.7003,515000.0,0.0,1.0
2000-05-15,27.25,27.94,27.13,27.81,14.8985,570500.0,0.0,1.0
2000-05-16,27.88,27.88,27.06,27.25,14.5985,380400.0,0.0,1.0
2000-05-17,27.0,27.13,26.62,27.06,14.4967,207600.0,0.0,1.0
2000-05-18,27.0,27.94,27.0,27.62,14.7967,518100.0,0.0,1.0
2000-05-19,27.44,27.5,26.5,26.62,14.261,321700.0,0.0,1.0
2000-05-22,27.06,27.44,26.69,27.44,14.7003,442500.0,0.0,1.0
2000-05-23,27.38,28.44,27.38,28.12,15.0646,492200.0,0.0,1.0
2000-05-24,28.37,29.19,28.31,28.88,15.4717,451000.0,0.0,1.0
2000-05-25,29.19,29.22,27.88,28.06,15.0324,603800.0,0.0,1.0
2000-05-26,28.75,29.44,28.37,28.75,15.4021,416500.0,0.0,1.0
2000-05-30,28.56,29.0,28.56,28.94,15.5038,438000.0,0.0,1.0
2000-05-31,28.94,29.31,28.69,29.31,15.7021,364700.0,0.0,1.0
2000-06-01,29.06,30.44,29.0,30.44,16.3074,917000.0,0.0,1.0
2000-06-02,30.94,31.88,30.69,31.75,17.0092,943800.0,0.0,1.0
2000-06-05,31.12,31.19,30.12,30.25,16.2056,382000.0,0.0,1.0
2000-06-06,29.69,29.88,28.88,29.44,15.7717,480000.0,0.0,1.0
2000-06-07,29.38,30.0,29.31,29.62,15.8681,320100.0,0.0,1.0
2000-06-08,29.56,29.69,28.5,29.0,15.536,313100.0,0.0,1.0
2000-06-09,29.31,29.31,28.25,28.31,15.1663,308200.0,0.0,1.0
2000-06-12,28.06,28.88,28.06,28.53,15.2842,301900.0,0.0,1.0
2000-06-13,28.44,28.75,28.25,28.69,15.3699,224300.0,0.0,1.0
2000-06-14,28.56,28.94,28.56,28.88,15.4717,323300.0,0.0,1.0
2000-06-15,28.31,28.5,26.56,26.88,14.4003,773000.0,0.0,1.0
2000-06-16,27.12,27.12,25.19,25.53,13.677,814100.0,0.0,1.0
2000-06-19,25.25,26.44,25.25,26.0,13.9288,692400.0,0.0,1.0
2000-06-20,25.88,26.25,25.81,26.12,13.9931,690000.0,0.0,1.0
2000-06-21,26.0,26.06,25.25,25.56,13.6931,316300.0,0.0,1.0
2000-06-22,25.44,26.0,25.25,26.0,13.9288,542300.0,0.0,1.0
2000-06-23,26.0,26.31,25.81,25.94,13.8967,604400.0,0.0,1.0
2000-06-26,25.69,26.12,25.56,26.0,13.9288,882800.0,0.0,1.0
2000-06-27,26.12,26.25,25.88,26.0,13.9288,498200.0,0.0,1.0
2000-06-28,26.0,26.44,25.81,25.83,13.8377,485000.0,0.0,1.0
2000-06-29,25.56,25.69,24.88,25.0,13.3931,781100.0,0.0,1.0
2000-06-30,24.88,24.88,23.88,23.88,12.7931,886400.0,0.0,1.0
2000-07-03,24.0,25.44,24.0,25.38,13.5967,513400.0,0.0,1.0
2000-07-05,25.31,26.19,25.12,25.62,13.7252,621400.0,0.0,1.0
2000-07-06,25.62,26.62,25.62,25.94,13.8967,3257600.0,0.0,1.0
2000-07-07,25.94,26.94,25.88,26.75,14.3306,876700.0,0.0,1.0
2000-07-10,26.75,27.19,26.62,26.88,14.4003,803700.0,0.0,1.0
2000-07-11,27.12,27.62,27.06,27.62,14.7967,1021800.0,0.0,1.0
2000-07-12,27.5,27.75,26.75,26.88,14.5235,1065200.0,0.23,1.0
2000-07-13,26.56,26.62,26.0,26.31,14.2155,430100.0,0.0,1.0
2000-07-14,26.25,27.0,26.25,26.75,14.4532,640000.0,0.0,1.0
2000-07-17,26.81,26.88,25.75,26.0,14.048,714500.0,0.0,1.0
2000-07-18,25.94,25.94,25.19,25.5,13.7779,846000.0,0.0,1.0
2000-07-19,25.56,25.81,25.25,25.38,13.713,489400.0,0.0,1.0
2000-07-20,25.25,26.38,25.25,26.12,14.1128,617600.0,0.0,1.0
2000-07-21,25.5,26.19,25.31,25.38,13.713,517000.0,0.0,1.0
2000-07-24,25.12,25.75,25.0,25.69,13.8805,492800.0,0.0,1.0
2000-07-25,25.88,26.06,25.44,25.62,13.8427,271000.0,0.0,1.0
2000-07-26,25.0,25.44,24.75,25.0,13.5077,702100.0,0.0,1.0
2000-07-27,24.88,25.25,24.19,24.88,13.4429,818100.0,0.0,1.0
2000-07-28,24.5,24.62,23.88,24.06,12.9998,628300.0,0.0,1.0
2000-07-31,23.81,24.94,23.81,24.94,13.4753,1058300.0,0.0,1.0
2000-08-01,25.0,25.06,24.62,25.0,13.5077,380800.0,0.0,1.0
2000-08-02,25.0,25.62,24.81,25.56,13.8103,667600.0,0.0,1.0
2000-08-03,25.56,26.5,25.44,26.5,14.3182,633900.0,0.0,1.0
2000-08-04,26.44,27.31,26.44,27.12,14.6531,714600.0,0.0,1.0
2000-08-07,27.12,27.12,26.44,27.0,14.5883,479500.0,0.0,1.0
2000-08-08,26.94,27.0,26.44,26.94,14.5559,378100.0,0.0,1.0
2000-08-09,26.88,26.94,25.94,26.94,14.5559,658800.0,0.0,1.0
2000-08-10,27.0,27.44,26.88,27.12,14.6531,668100.0,0.0,1.0
2000-08-11,27.44,27.5,27.12,27.44,14.826,350100.0,0.0,1.0
2000-08-14,27.38,27.38,26.75,27.31,14.7558,334800.0,0.0,1.0
2000-08-15,26.94,27.12,26.69,26.94,14.5559,297300.0,0.0,1.0
2000-08-16,26.81,27.12,26.44,26.56,14.3506,279300.0,0.0,1.0
2000-08-17,26.81,26.94,26.44,26.81,14.4857,390100.0,0.0,1.0
2000-08-18,26.56,26.56,26.25,26.38,14.2533,389600.0,0.0,1.0
2000-08-21,26.25,26.44,26.06,26.25,14.1831,363200.0,0.0,1.0
2000-08-22,26.31,26.88,26.25,26.81,14.4857,370500.0,0.0,1.0
2000-08-23,26.62,26.69,26.25,26.38,14.2533,439300.0,0.0,1.0
2000-08-24,26.19,26.38,26.12,26.19,14.1507,380100.0,0.0,1.0
2000-08-25,26.31,26.56,26.19,26.44,14.2857,383500.0,0.0,1.0
2000-08-28,26.31,26.88,26.31,26.69,14.4208,397400.0,0.0,1.0
2000-08-29,26.56,26.56,26.25,26.31,14.2155,416400.0,0.0,1.0
2000-08-30,26.06,26.88,26.06,26.69,14.4208,565700.0,0.0,1.0
2000-08-31,26.44,27.44,26.38,27.08,14.6315,539700.0,0.0,1.0
2000-09-01,26.88,27.25,26.25,26.69,14.4208,473900.0,0.0,1.0
2000-09-05,26.94,27.25,26.56,26.88,14.5235,511800.0,0.0,1.0
2000-09-06,27.12,27.56,27.12,27.44,14.826,813100.0,0.0,1.0
2000-09-07,27.5,27.81,27.38,27.75,14.9935,644200.0,0.0,1.0
2000-09-08,27.81,28.81,27.75,28.69,15.5014,983600.0,0.0,1.0
2000-09-11,28.62,29.31,28.56,29.19,15.7716,888300.0,0.0,1.0
2000-09-12,29.25,29.38,29.12,29.25,15.804,1006800.0,0.0,1.0
2000-09-13,29.31,29.94,29.31,29.94,16.1768,1234600.0,0.0,1.0
2000-09-14,29.94,30.19,29.75,29.94,16.1768,1184400.0,0.0,1.0
2000-09-15,30.0,30.19,29.69,29.81,16.1066,1786000.0,0.0,1.0
2000-09-18,29.75,29.75,29.06,29.06,15.7013,935200.0,0.0,1.0
2000-09-19,29.06,29.44,28.88,29.25,15.804,491800.0,0.0,1.0
2000-09-20,29.12,29.12,28.69,29.12,15.7338,460800.0,0.0,1.0
2000-09-21,28.94,29.06,28.5,28.88,15.6041,363100.0,0.0,1.0
2000-09-22,28.88,29.12,28.38,29.06,15.7013,793500.0,0.0,1.0
2000-09-25,28.94,29.5,28.88,29.44,15.9067,401800.0,0.0,1.0
2000-09-26,29.0,29.75,28.94,29.62,16.0039,593800.0,0.0,1.0
2000-09-27,29.62,29.94,29.19,29.88,16.1444,603000.0,0.0,1.0
2000-09-28,29.94,30.44,29.88,30.44,16.447,897000.0,0.0,1.0
2000-09-29,30.44,30.44,29.81,30.12,16.2741,454600.0,0.0,1.0
2000-10-02,29.94,30.5,29.25,30.5,16.4794,467200.0,0.0,1.0
2000-10-03,30.31,31.25,30.31,31.0,16.7495,883300.0,0.0,1.0
2000-10-04,30.81,31.19,30.12,30.5,16.4794,696100.0,0.0,1.0
2000-10-05,30.5,30.94,30.38,30.44,16.447,432800.0,0.0,1.0
2000-10-06,30.19,30.44,28.81,29.38,15.8742,635300.0,0.0,1.0
2000-10-09,29.44,29.56,29.0,29.06,15.7013,330100.0,0.0,1.0
2000-10-10,29.12,29.19,28.06,28.31,15.2961,472000.0,0.0,1.0
2000-10-11,28.06,28.06,26.56,27.81,15.1502,771000.0,0.23,1.0
2000-10-12,27.88,27.94,26.56,27.38,14.916,864000.0,0.0,1.0
2000-10-13,27.12,28.44,27.12,28.38,15.4608,730100.0,0.0,1.0
2000-10-16,28.38,28.69,28.06,28.62,15.5915,508600.0,0.0,1.0
2000-10-17,28.75,29.0,27.81,27.94,15.2211,981500.0,0.0,1.0
2000-10-18,27.94,28.19,27.06,28.0,15.2537,845000.0,0.0,1.0
2000-10-19,28.0,28.81,27.81,28.69,15.6296,531300.0,0.0,1.0
2000-10-20,28.56,29.0,28.56,28.88,15.7331,358100.0,0.0,1.0
2000-10-23,28.94,28.94,28.69,28.75,15.6623,317600.0,0.0,1.0
2000-10-24,28.75,29.44,28.75,29.44,16.0382,602400.0,0.0,1.0
2000-10-25,29.44,30.12,29.25,29.94,16.3106,812900.0,0.0,1.0
2000-10-26,30.0,30.31,29.56,29.88,16.2779,829500.0,0.0,1.0
2000-10-27,29.88,30.94,29.81,30.56,16.6484,573900.0,0.0,1.0
2000-10-30,30.62,31.44,30.62,31.44,17.1278,830500.0,0.0,1.0
2000-10-31,31.5,31.88,31.0,31.88,17.3675,724700.0,0.0,1.0
2000-11-01,31.88,31.88,31.19,31.5,17.1605,791200.0,0.0,1.0
2000-11-02,31.81,32.69,31.81,32.44,17.6725,1093000.0,0.0,1.0
2000-11-03,32.25,33.0,32.25,32.75,17.8414,796100.0,0.0,1.0
2000-11-06,32.62,32.84,32.44,32.62,17.7706,616200.0,0.0,1.0
2000-11-07,32.5,32.75,32.19,32.56,17.7379,427000.0,0.0,1.0
2000-11-08,32.56,32.56,31.69,32.44,17.6725,352400.0,0.0,1.0
2000-11-09,31.62,33.0,31.62,33.0,17.9776,732600.0,0.0,1.0
2000-11-10,32.94,33.0,32.12,32.38,17.6399,583600.0,0.0,1.0
2000-11-13,31.94,32.06,31.19,31.56,17.1931,659400.0,0.0,1.0
2000-11-14,31.38,32.12,31.31,31.62,17.2258,525700.0,0.0,1.0
2000-11-15,31.38,31.44,30.56,31.25,17.0243,649400.0,0.0,1.0
2000-11-16,31.25,31.38,30.88,31.19,16.9916,428600.0,0.0,1.0
2000-11-17,31.06,31.56,30.44,30.81,16.7846,629300.0,0.0,1.0
2000-11-20,30.88,30.88,29.88,30.31,16.5122,404000.0,0.0,1.0
2000-11-21,30.38,30.94,30.06,30.94,16.8554,436800.0,0.0,1.0
2000-11-22,30.94,30.94,30.12,30.38,16.5503,328900.0,0.0,1.0
2000-11-24,30.5,30.88,30.5,30.69,16.7192,160600.0,0.0,1.0
2000-11-27,30.75,31.5,30.75,31.31,17.0569,324500.0,0.0,1.0
2000-11-28,31.31,32.19,31.31,32.06,17.4655,782700.0,0.0,1.0
2000-11-29,32.06,33.06,32.06,33.0,17.9776,597800.0,0.0,1.0
2000-11-30,32.5,33.62,32.19,33.38,18.1846,1152800.0,0.0,1.0
