date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,57.75,57.88,54.88,57.5,12.5865,8641244.0,0.0,1.0
2000-01-04,56.75,58.63,55.0,57.38,12.5602,5122444.0,0.0,1.0
2000-01-05,57.0,58.38,52.5,56.69,12.4091,4938444.0,0.0,1.0
2000-01-06,56.19,58.13,55.38,56.5,12.3676,2652444.0,0.0,1.0
2000-01-07,56.5,58.25,56.25,58.25,12.7506,2549600.0,0.0,1.0
2000-01-10,59.06,59.69,56.88,57.63,12.6149,1686400.0,0.0,1.0
2000-01-11,57.06,57.25,55.5,55.88,12.2318,2337644.0,0.0,1.0
2000-01-12,55.0,56.13,53.06,54.44,11.9166,1816267.0,0.0,1.0
2000-01-13,54.44,55.56,53.0,53.0,11.6014,1221067.0,0.0,1.0
2000-01-14,55.31,55.63,54.63,54.81,11.9976,1964178.0,0.0,1.0
2000-01-18,54.19,54.75,53.69,54.56,11.9429,1088978.0,0.0,1.0
2000-01-19,54.94,58.0,54.69,56.75,12.4223,2585867.0,0.0,1.0
2000-01-20,57.0,57.0,54.75,54.88,12.0129,2067378.0,0.0,1.0
2000-01-21,55.0,55.13,53.38,54.05,11.8313,2437467.0,0.0,1.0
2000-01-24,54.94,55.13,51.19,51.63,11.3015,1382444.0,0.0,1.0
2000-01-25,51.63,53.5,50.75,53.5,11.7109,1552267.0,0.0,1.0
2000-01-26,53.25,53.44,51.63,51.81,11.3409,1123778.0,0.0,1.0
2000-01-27,52.06,52.63,50.19,51.13,11.1921,963867.0,0.0,1.0
2000-01-28,51.25,51.25,48.75,50.0,10.9447,1505067.0,0.0,1.0
2000-01-31,49.25,49.44,47.25,47.75,10.4522,1746444.0,0.0,1.0
2000-02-01,47.75,50.25,47.25,49.69,10.8769,2692800.0,0.0,1.0
2000-02-02,49.5,50.0,47.75,49.75,10.89,1512267.0,0.0,1.0
2000-02-03,50.5,52.38,50.0,52.06,11.3957,2310578.0,0.0,1.0
2000-02-04,56.88,57.06,53.94,56.88,12.4507,4108400.0,0.0,1.0
2000-02-07,55.63,55.88,53.94,55.0,12.0392,1726000.0,0.0,1.0
2000-02-08,55.0,57.75,55.0,57.25,12.5317,1671600.0,0.0,1.0
2000-02-09,57.88,57.88,54.0,54.81,11.9976,1396000.0,0.0,1.0
2000-02-10,54.88,55.38,53.81,54.44,11.9166,1264000.0,0.0,1.0
2000-02-11,54.94,54.94,53.38,53.69,11.7525,1005467.0,0.0,1.0
2000-02-14,54.0,54.25,52.81,53.0,11.6014,1325467.0,0.0,1.0
