date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,26.19,26.25,26.0,26.19,19.5852,776300.0,0.0,1.0
2000-01-04,25.5,26.0,25.5,25.5,19.0692,633300.0,0.0,1.0
2000-01-05,25.75,25.94,25.25,25.69,19.2113,749800.0,0.0,1.0
2000-01-06,25.69,27.31,25.63,26.75,20.004,427900.0,0.0,1.0
2000-01-07,27.0,28.38,26.94,28.25,21.1257,896300.0,0.0,1.0
2000-01-10,28.13,28.19,27.56,27.63,20.6621,513600.0,0.0,1.0
2000-01-11,27.88,28.19,27.13,27.19,20.333,572300.0,0.0,1.0
2000-01-12,26.69,26.75,26.13,26.31,19.6749,839900.0,0.0,1.0
2000-01-13,26.44,28.5,26.38,28.13,21.036,680700.0,0.0,1.0
2000-01-14,28.0,28.0,26.88,27.38,20.4751,631700.0,0.0,1.0
2000-01-18,27.19,27.94,26.75,27.44,20.52,904700.0,0.0,1.0
2000-01-19,27.19,28.63,27.0,28.38,21.2229,888800.0,0.0,1.0
2000-01-20,28.38,28.63,27.63,27.81,20.7967,752100.0,0.0,1.0
2000-01-21,29.0,29.44,28.38,28.81,21.5445,1278900.0,0.0,1.0
2000-01-24,28.69,28.69,27.13,27.88,20.849,857100.0,0.0,1.0
2000-01-25,27.63,28.0,26.81,27.19,20.333,677300.0,0.0,1.0
2000-01-26,27.38,27.88,26.81,26.81,20.0488,706500.0,0.0,1.0
2000-01-27,26.94,27.88,26.69,27.88,20.849,850800.0,0.0,1.0
2000-01-28,27.63,27.63,26.38,26.5,19.817,810600.0,0.0,1.0
2000-01-31,26.44,26.81,25.81,26.19,19.5852,751100.0,0.0,1.0
2000-02-01,26.31,27.13,26.13,27.13,20.2881,469300.0,0.0,1.0
2000-02-02,26.88,26.88,26.0,26.31,19.6749,816100.0,0.0,1.0
2000-02-03,26.31,26.31,25.63,26.0,19.4431,660200.0,0.0,1.0
2000-02-04,26.25,26.44,25.94,26.0,19.4431,667000.0,0.0,1.0
2000-02-07,26.25,26.44,25.94,26.0,19.4431,552500.0,0.0,1.0
2000-02-08,26.0,26.0,25.25,25.69,19.2113,780600.0,0.0,1.0
2000-02-09,25.44,25.94,24.75,25.88,19.3534,1487800.0,0.0,1.0
2000-02-10,25.81,25.94,24.81,25.13,18.7925,853200.0,0.0,1.0
2000-02-11,25.38,25.44,24.81,25.0,18.6953,732700.0,0.0,1.0
2000-02-14,25.19,25.88,25.0,25.81,19.301,767800.0,0.0,1.0
2000-02-15,25.38,25.5,24.0,25.13,18.7925,810500.0,0.0,1.0
2000-02-16,25.0,25.75,24.81,25.44,19.0243,894400.0,0.0,1.0
2000-02-17,25.5,26.44,25.0,26.31,19.6749,887100.0,0.0,1.0
2000-02-18,26.56,31.88,26.56,30.56,22.8531,4358000.0,0.0,1.0
2000-02-22,30.25,30.25,28.31,29.06,21.7314,1977400.0,0.0,1.0
2000-02-23,28.81,30.63,28.69,30.0,22.4344,2633800.0,0.0,1.0
2000-02-24,29.38,32.0,28.88,32.0,23.93,2466900.0,0.0,1.0
2000-02-25,32.0,34.44,31.88,34.13,25.5228,3712000.0,0.0,1.0
2000-02-28,33.38,33.44,30.75,31.0,23.1822,2058300.0,0.0,1.0
2000-02-29,31.0,31.88,30.25,31.0,23.1822,1528100.0,0.0,1.0
2000-03-01,30.94,32.31,30.56,31.31,23.414,2458500.0,0.0,1.0
2000-03-02,31.94,32.38,30.75,31.44,23.5112,1741700.0,0.0,1.0
2000-03-03,31.5,31.94,30.81,31.5,23.5561,1670300.0,0.0,1.0
2000-03-06,31.56,31.56,30.31,30.81,23.0401,1004300.0,0.0,1.0
2000-03-07,30.25,30.25,28.75,29.63,22.1577,1824600.0,0.0,1.0
