date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-07-05,40.8,40.82,37.25,37.25,36.464,5883326.0,17.5,1.0
2017-07-06,38.09,38.09,36.52,37.01,36.229,5088097.0,0.0,1.0
2017-07-07,38.14,38.59,36.12,37.91,37.1101,6014535.0,0.0,1.0
2017-07-10,37.63,38.17,36.8,37.23,36.4444,4721508.0,0.0,1.0
2017-07-11,37.31,37.78,36.89,37.35,36.5619,2791176.0,0.0,1.0
2017-07-12,37.77,37.99,37.25,37.37,36.5814,3260591.0,0.0,1.0
2017-07-13,37.45,37.65,36.69,36.84,36.0626,3860643.0,0.0,1.0
2017-07-14,37.0,37.495,36.91,37.35,36.5619,2872910.0,0.0,1.0
2017-07-17,37.71,38.37,37.64,37.64,36.8457,3917588.0,0.0,1.0
2017-07-18,37.52,37.78,36.73,36.75,35.9745,3198593.0,0.0,1.0
2017-07-19,36.59,37.09,36.36,36.54,35.769,4230853.0,0.0,1.0
2017-07-20,36.59,36.9,34.86,34.97,34.2321,6397004.0,0.0,1.0
2017-07-21,34.73,34.88,33.44,34.12,33.4,7737292.0,0.0,1.0
2017-07-24,34.26,34.46,33.88,34.36,33.635,2850884.0,0.0,1.0
2017-07-25,34.81,35.28,34.77,35.25,34.5062,2871897.0,0.0,1.0
2017-07-26,35.58,36.18,35.22,36.05,35.2893,3826003.0,0.0,1.0
2017-07-27,35.97,37.04,35.7,36.16,35.397,4593651.0,0.0,1.0
2017-07-28,34.85,37.5,34.2257,37.1,36.3171,4261445.0,0.0,1.0
2017-07-31,37.14,37.17,36.43,36.89,36.1116,3318805.0,0.0,1.0
2017-08-01,35.42,35.54,35.06,35.23,34.4866,2955189.0,0.0,1.0
2017-08-02,35.36,35.55,35.035,35.35,34.6041,3405697.0,0.0,1.0
2017-08-03,35.26,35.51,35.07,35.31,34.5649,3181029.0,0.0,1.0
2017-08-04,35.42,35.54,35.06,35.23,34.4866,3110626.0,0.0,1.0
2017-08-07,35.1,35.27,34.4,34.56,33.8307,2054097.0,0.0,1.0
2017-08-08,34.75,35.47,34.6442,34.94,34.2027,2155678.0,0.0,1.0
2017-08-09,34.79,35.29,34.76,35.02,34.4474,2252626.0,0.17,1.0
2017-08-10,35.01,35.29,34.57,34.7,34.1327,1971691.0,0.0,1.0
2017-08-11,34.51,34.89,34.28,34.29,33.7294,1185973.0,0.0,1.0
2017-08-14,34.51,34.54,34.135,34.26,33.6999,1927835.0,0.0,1.0
2017-08-15,34.03,34.42,34.03,34.31,33.7491,2153221.0,0.0,1.0
2017-08-16,34.37,34.51,33.76,33.83,33.2769,1367515.0,0.0,1.0
2017-08-17,33.79,34.09,32.75,32.8,32.2637,2200268.0,0.0,1.0
2017-08-18,32.74,33.13,32.4301,32.77,32.2342,3179783.0,0.0,1.0
2017-08-21,32.77,32.99,32.46,32.54,32.008,2340815.0,0.0,1.0
2017-08-22,32.62,32.945,32.43,32.69,32.1555,1872479.0,0.0,1.0
2017-08-23,32.51,33.24,32.51,33.04,32.4998,1565407.0,0.0,1.0
2017-08-24,33.09,33.09,32.54,32.82,32.2834,1781949.0,0.0,1.0
2017-08-25,32.88,33.41,32.8701,33.26,32.7162,2035870.0,0.0,1.0
2017-08-28,33.27,33.4,32.82,33.25,32.7064,2510523.0,0.0,1.0
2017-08-29,33.1,33.81,33.1,33.75,33.1982,2192874.0,0.0,1.0
2017-08-30,33.6,33.73,33.2376,33.51,32.9621,1637279.0,0.0,1.0
2017-08-31,33.99,34.35,33.46,33.9,33.3458,3592925.0,0.0,1.0
2017-09-01,33.97,34.44,33.73,34.3,33.7392,1723282.0,0.0,1.0
2017-09-05,34.83,35.45,34.49,34.97,34.3983,4386834.0,0.0,1.0
2017-09-06,35.39,35.74,34.72,34.74,34.172,3285802.0,0.0,1.0
2017-09-07,34.77,35.25,34.29,34.75,34.1819,2064761.0,0.0,1.0
2017-09-08,34.77,34.98,34.06,34.42,33.8573,3018954.0,0.0,1.0
2017-09-11,34.52,35.6,34.37,35.48,34.8999,2825224.0,0.0,1.0
2017-09-12,35.38,36.4,35.24,35.96,35.3721,3537032.0,0.0,1.0
2017-09-13,35.94,36.73,35.9,36.09,35.5,4296996.0,0.0,1.0
