date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,38.25,38.38,36.38,37.0,24.8999,2569000.0,0.0,1.0
2000-01-04,36.94,36.94,34.88,35.94,24.1865,2837900.0,0.0,1.0
2000-01-05,35.5,36.19,34.63,35.38,23.8097,3077800.0,0.0,1.0
2000-01-06,35.06,36.25,34.75,36.0,24.2269,3495100.0,0.0,1.0
2000-01-07,35.63,37.88,35.63,37.88,25.4921,2220500.0,0.0,1.0
2000-01-10,38.0,38.0,36.0,36.19,24.3548,1436500.0,0.0,1.0
2000-01-11,35.5,35.81,35.06,35.31,23.7626,1678600.0,0.0,1.0
2000-01-12,35.31,36.63,35.31,36.44,24.523,1508000.0,0.0,1.0
2000-01-13,38.0,38.06,37.19,37.38,25.1556,1688400.0,0.0,1.0
2000-01-14,39.0,40.0,38.44,39.13,26.3333,2143000.0,0.0,1.0
2000-01-18,38.0,38.56,37.31,37.38,25.1556,1518900.0,0.0,1.0
2000-01-19,37.5,38.69,37.06,37.13,25.1015,2153600.0,0.1696,1.0
2000-01-20,37.75,37.75,36.75,36.75,24.8446,1368500.0,0.0,1.0
2000-01-21,38.0,38.0,36.25,36.38,24.5945,1647800.0,0.0,1.0
2000-01-24,36.81,37.31,35.75,36.25,24.5066,1068000.0,0.0,1.0
2000-01-25,36.25,37.25,35.81,36.31,24.5471,1504400.0,0.0,1.0
2000-01-26,36.38,39.5,36.19,39.44,26.6632,2116300.0,0.0,1.0
2000-01-27,39.88,40.38,38.75,39.06,26.4063,2499300.0,0.0,1.0
2000-01-28,38.0,38.38,37.5,37.75,25.5206,1849500.0,0.0,1.0
2000-01-31,37.69,40.63,37.31,40.63,27.4677,2061600.0,0.0,1.0
2000-02-01,40.69,40.94,39.63,40.88,27.6367,2132100.0,0.0,1.0
2000-02-02,40.63,40.69,39.56,39.88,26.9606,1475100.0,0.0,1.0
2000-02-03,40.25,40.5,38.5,39.56,26.7443,1303100.0,0.0,1.0
2000-02-04,40.13,40.13,37.88,37.94,25.6491,1376700.0,0.0,1.0
