date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,39.25,40.06,38.94,39.81,2.0848,204600.0,0.0,1.0
2000-01-04,39.56,40.31,38.44,38.5,2.0162,152900.0,0.0,1.0
2000-01-05,38.38,39.63,38.38,39.31,2.0586,72800.0,0.0,1.0
2000-01-06,39.31,40.5,39.31,39.81,2.0848,67100.0,0.0,1.0
2000-01-07,39.94,40.38,38.38,38.69,2.0261,125800.0,0.0,1.0
2000-01-10,42.19,42.19,39.75,39.94,2.0916,473900.0,0.0,1.0
2000-01-11,40.0,40.94,39.81,40.69,2.1308,309700.0,0.0,1.0
2000-01-12,40.69,40.75,38.94,38.94,2.0392,169600.0,0.0,1.0
2000-01-13,39.63,41.75,39.5,39.81,2.0848,276200.0,0.0,1.0
2000-01-14,41.75,42.44,41.44,42.06,2.2026,195900.0,0.0,1.0
2000-01-18,42.31,43.25,41.94,42.38,2.2194,177400.0,0.0,1.0
2000-01-19,42.63,42.63,41.38,41.69,2.1832,255900.0,0.0,1.0
2000-01-20,41.94,42.31,41.56,41.94,2.1963,211400.0,0.0,1.0
2000-01-21,42.63,42.88,41.0,41.0,2.1471,268100.0,0.0,1.0
2000-01-24,41.25,41.31,39.0,39.38,2.0622,165900.0,0.0,1.0
2000-01-25,39.25,39.38,37.5,37.5,1.9638,200400.0,0.0,1.0
2000-01-26,37.0,38.44,37.0,38.0,1.99,180300.0,0.0,1.0
2000-01-27,38.06,38.19,37.19,37.44,1.9607,230000.0,0.0,1.0
2000-01-28,37.5,37.5,36.0,36.0,1.8852,153700.0,0.0,1.0
2000-01-31,36.06,36.81,35.31,36.38,1.9051,139600.0,0.0,1.0
2000-02-01,36.13,36.56,35.5,35.94,1.8821,65700.0,0.0,1.0
2000-02-02,36.13,36.19,35.0,35.31,1.8491,112600.0,0.0,1.0
2000-02-03,36.13,36.25,35.06,35.44,1.8559,114500.0,0.0,1.0
2000-02-04,35.31,35.31,34.5,34.75,1.8198,133700.0,0.0,1.0
2000-02-07,34.94,35.0,33.94,34.0,1.7805,110400.0,0.0,1.0
2000-02-08,34.13,34.31,32.94,32.94,1.725,87600.0,0.0,1.0
2000-02-09,33.0,33.75,32.38,33.13,1.7349,206900.0,0.0,1.0
2000-02-10,33.13,33.13,32.31,32.56,1.7051,84500.0,0.0,1.0
2000-02-11,32.56,32.75,31.69,32.31,1.692,103700.0,0.0,1.0
2000-02-14,32.31,32.81,32.19,32.56,1.7051,87800.0,0.0,1.0
2000-02-15,32.31,32.88,32.06,32.06,1.6789,173500.0,0.0,1.0
2000-02-16,32.5,32.56,31.19,31.63,1.6564,126500.0,0.0,1.0
