date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,64.25,64.88,63.63,64.44,32.3741,3568500.0,0.0,1.0
2000-01-04,60.88,61.06,58.94,59.56,29.9224,10592000.0,0.0,1.0
2000-01-05,60.0,60.25,58.5,58.94,29.734,7222700.0,0.245,1.0
2000-01-06,59.0,60.06,58.25,59.75,30.1426,7321900.0,0.0,1.0
2000-01-07,61.5,69.5,61.25,68.5,34.5568,10913500.0,0.0,1.0
2000-01-10,68.63,68.63,66.75,67.75,34.1785,7113400.0,0.0,1.0
2000-01-11,67.75,68.0,66.5,66.81,33.7043,5687500.0,0.0,1.0
2000-01-12,66.81,67.63,66.56,66.63,33.6134,3727900.0,0.0,1.0
2000-01-13,67.25,67.31,65.06,65.38,32.9828,4402000.0,0.0,1.0
2000-01-14,67.38,67.38,65.75,67.19,33.896,4535900.0,0.0,1.0
2000-01-18,65.63,66.63,65.0,65.31,32.9475,3782300.0,0.0,1.0
2000-01-19,65.31,66.06,63.69,64.06,32.3169,4188400.0,0.0,1.0
2000-01-20,64.25,64.44,61.44,61.88,31.2172,4610500.0,0.0,1.0
2000-01-21,61.0,61.88,59.5,61.19,30.8691,5863700.0,0.0,1.0
2000-01-24,63.0,63.13,58.0,58.69,29.6079,5113200.0,0.0,1.0
2000-01-25,59.38,60.75,59.19,59.88,30.2082,6337700.0,0.0,1.0
2000-01-26,59.88,61.75,59.5,61.5,31.0255,6858700.0,0.0,1.0
2000-01-27,62.5,62.81,61.81,62.25,31.4038,7669300.0,0.0,1.0
2000-01-28,63.38,65.75,62.88,64.25,32.4128,7592600.0,0.0,1.0
2000-01-31,64.25,67.0,62.19,66.25,33.4217,5492700.0,0.0,1.0
2000-02-01,64.25,65.25,63.25,64.63,32.6045,4424100.0,0.0,1.0
2000-02-02,65.0,65.19,64.38,64.81,32.6953,3455700.0,0.0,1.0
2000-02-03,65.25,65.56,63.81,65.38,32.9828,3094300.0,0.0,1.0
2000-02-04,64.69,64.88,63.94,64.69,32.6348,3108900.0,0.0,1.0
2000-02-07,64.25,64.69,62.63,64.25,32.4128,3378500.0,0.0,1.0
2000-02-08,64.44,64.5,62.31,63.75,32.1605,4707000.0,0.0,1.0
2000-02-09,63.25,63.5,62.0,62.5,31.5299,3549100.0,0.0,1.0
2000-02-10,62.63,62.63,60.38,61.38,30.9649,4034400.0,0.0,1.0
2000-02-11,60.38,60.75,59.75,60.0,30.2688,3590300.0,0.0,1.0
2000-02-14,60.13,61.88,60.13,61.13,30.8388,3320500.0,0.0,1.0
2000-02-15,61.5,62.25,60.69,62.06,31.308,4936100.0,0.0,1.0
2000-02-16,62.06,63.81,62.0,63.56,32.0647,4526600.0,0.0,1.0
2000-02-17,64.25,64.25,63.0,63.5,32.0344,4479600.0,0.0,1.0
2000-02-18,62.75,62.75,59.75,59.75,30.1426,6121400.0,0.0,1.0
2000-02-22,60.5,61.0,59.38,59.94,30.2385,5817400.0,0.0,1.0
2000-02-23,60.5,60.94,59.63,59.94,30.2385,4156400.0,0.0,1.0
2000-02-24,59.13,59.63,57.25,57.88,29.1993,6051200.0,0.0,1.0
2000-02-25,58.0,58.19,55.38,56.63,28.5687,5300100.0,0.0,1.0
2000-02-28,55.5,57.19,55.5,56.31,28.4072,5603400.0,0.0,1.0
2000-02-29,57.13,59.13,56.63,57.25,28.8814,5050900.0,0.0,1.0
2000-03-01,56.69,57.0,50.25,51.25,25.8546,15580300.0,0.0,1.0
2000-03-02,52.06,53.56,51.63,52.7,26.5861,11046200.0,0.0,1.0
2000-03-03,52.5,52.56,50.25,51.5,25.9807,9444500.0,0.0,1.0
2000-03-06,50.5,50.5,45.75,46.44,23.428,18310000.0,0.0,1.0
2000-03-07,46.44,47.25,42.44,43.5,21.9448,18039300.0,0.0,1.0
2000-03-08,44.25,48.88,44.25,47.75,24.0889,17237300.0,0.0,1.0
2000-03-09,48.94,54.13,48.31,53.75,27.1158,15570200.0,0.0,1.0
2000-03-10,52.75,53.75,51.88,52.38,26.4246,12927600.0,0.0,1.0
2000-03-13,50.5,52.25,50.25,50.94,25.6982,5942100.0,0.0,1.0
2000-03-14,47.5,49.56,47.5,47.94,24.1847,10250400.0,0.0,1.0
2000-03-15,49.25,51.38,48.56,50.5,25.4762,10702000.0,0.0,1.0
2000-03-16,51.13,56.38,51.06,55.69,28.0944,15903500.0,0.0,1.0
2000-03-17,55.0,56.06,53.19,53.5,26.9896,7595300.0,0.0,1.0
2000-03-20,53.5,53.75,52.69,52.94,26.7071,3490200.0,0.0,1.0
2000-03-21,52.63,53.75,51.81,53.25,26.8635,5994400.0,0.0,1.0
2000-03-22,54.75,55.13,53.75,54.63,27.5597,6072700.0,0.0,1.0
2000-03-23,54.63,56.81,54.63,56.0,28.2508,5630700.0,0.0,1.0
2000-03-24,55.63,56.38,54.81,55.0,27.7464,5618000.0,0.0,1.0
2000-03-27,55.0,55.06,54.19,54.63,27.5597,4762500.0,0.0,1.0
2000-03-28,54.13,55.5,53.94,55.06,27.7766,4531100.0,0.0,1.0
2000-03-29,57.5,58.44,56.56,57.88,29.1993,5682600.0,0.0,1.0
2000-03-30,58.0,59.25,57.25,57.25,28.8814,5367000.0,0.0,1.0
2000-03-31,57.31,60.25,56.13,57.13,28.8209,5796200.0,0.0,1.0
2000-04-03,59.63,61.75,58.75,61.69,31.1213,6674100.0,0.0,1.0
2000-04-04,62.0,66.13,61.88,66.0,33.2956,11793000.0,0.0,1.0
2000-04-05,64.25,65.44,62.88,64.44,32.6322,6372800.0,0.245,1.0
2000-04-06,62.5,63.0,60.0,60.5,30.637,7921000.0,0.0,1.0
2000-04-07,59.88,60.13,58.63,59.5,30.1306,7172200.0,0.0,1.0
2000-04-10,59.5,61.88,59.19,61.38,31.0827,4655900.0,0.0,1.0
2000-04-11,63.5,64.81,62.75,64.25,32.536,5486700.0,0.0,1.0
2000-04-12,64.25,66.25,63.75,64.81,32.8196,5900400.0,0.0,1.0
2000-04-13,64.38,67.63,63.75,66.5,33.6754,5467800.0,0.0,1.0
2000-04-14,66.0,66.38,62.5,63.38,32.0955,6039800.0,0.0,1.0
2000-04-17,63.38,65.0,62.75,64.88,32.855,6027700.0,0.0,1.0
2000-04-18,64.75,65.25,62.63,65.13,32.9816,4406700.0,0.0,1.0
2000-04-19,65.25,66.38,46.0,50.5,25.5731,34887600.0,0.0,1.0
2000-04-20,50.63,50.63,49.0,50.0,25.3199,40810300.0,0.0,1.0
2000-04-24,49.06,50.13,49.06,49.5,25.0667,16044600.0,0.0,1.0
2000-04-25,50.0,52.0,49.56,50.75,25.6997,18162700.0,0.0,1.0
2000-04-26,51.75,52.69,51.0,51.56,26.1098,13249300.0,0.0,1.0
2000-04-27,51.0,53.0,50.94,52.25,26.4593,11965900.0,0.0,1.0
2000-04-28,53.5,53.56,51.94,52.44,26.5555,9276000.0,0.0,1.0
2000-05-01,52.44,52.44,51.06,51.5,26.0795,6677500.0,0.0,1.0
2000-05-02,51.0,52.06,50.75,51.56,26.1098,4929300.0,0.0,1.0
2000-05-03,51.31,52.06,50.75,50.75,25.6997,5164700.0,0.0,1.0
2000-05-04,51.06,52.69,51.06,52.06,26.363,5050900.0,0.0,1.0
2000-05-05,51.81,53.75,51.56,52.88,26.7783,4518400.0,0.0,1.0
2000-05-08,52.13,54.44,52.0,54.13,27.4113,5783400.0,0.0,1.0
2000-05-09,54.63,54.75,52.56,53.63,27.1581,4889000.0,0.0,1.0
2000-05-10,53.13,53.88,52.63,53.69,27.1885,4867000.0,0.0,1.0
2000-05-11,54.94,55.0,53.13,53.38,27.0315,5560700.0,0.0,1.0
2000-05-12,53.94,54.88,52.69,54.44,27.5683,3181200.0,0.0,1.0
2000-05-15,55.0,56.13,54.5,55.69,28.2013,3947800.0,0.0,1.0
2000-05-16,56.88,57.31,55.56,56.44,28.5811,5063600.0,0.0,1.0
2000-05-17,57.0,57.25,56.31,56.81,28.7684,5145100.0,0.0,1.0
2000-05-18,57.38,57.63,56.13,56.81,28.7684,4051300.0,0.0,1.0
2000-05-19,56.75,57.69,56.5,57.06,28.895,5241700.0,0.0,1.0
2000-05-22,57.75,58.0,57.19,57.5,29.1178,5414100.0,0.0,1.0
2000-05-23,58.5,58.5,57.25,57.38,29.0571,5064600.0,0.0,1.0
2000-05-24,56.63,57.88,56.56,56.81,28.7684,4640100.0,0.0,1.0
2000-05-25,56.81,56.81,55.63,55.88,28.2975,5090700.0,0.0,1.0
2000-05-26,56.0,57.0,55.25,56.25,28.4848,3206000.0,0.0,1.0
2000-05-30,56.13,57.19,55.63,56.25,28.4848,3014700.0,0.0,1.0
2000-05-31,56.5,56.69,55.88,56.13,28.4241,3163200.0,0.0,1.0
2000-06-01,54.75,54.94,52.63,53.31,26.996,6136700.0,0.0,1.0
2000-06-02,53.31,53.38,50.88,50.88,25.7655,8845700.0,0.0,1.0
2000-06-05,51.25,51.63,50.38,51.38,26.0187,7129500.0,0.0,1.0
2000-06-06,52.38,52.88,51.38,52.44,26.5555,5305300.0,0.0,1.0
2000-06-07,53.0,53.75,52.0,52.56,26.6162,4059000.0,0.0,1.0
2000-06-08,51.56,51.94,51.25,51.56,26.1098,4338500.0,0.0,1.0
2000-06-09,51.56,52.06,51.0,51.69,26.1757,2985200.0,0.0,1.0
2000-06-12,52.63,52.81,51.88,52.06,26.363,3876100.0,0.0,1.0
2000-06-13,51.0,53.69,51.0,53.25,26.9657,4942800.0,0.0,1.0
2000-06-14,53.25,55.25,53.19,54.5,27.5986,5308000.0,0.0,1.0
2000-06-15,55.0,55.75,54.81,55.06,27.8822,4218300.0,0.0,1.0
2000-06-16,54.13,55.0,53.06,53.13,26.9049,6085100.0,0.0,1.0
2000-06-19,53.63,55.0,53.13,55.0,27.8518,3947400.0,0.0,1.0
2000-06-20,54.25,54.94,52.5,53.25,26.9657,4790100.0,0.0,1.0
2000-06-21,53.0,54.5,53.0,54.13,27.4113,3763500.0,0.0,1.0
2000-06-22,54.25,54.25,53.5,53.75,27.2188,3503800.0,0.0,1.0
2000-06-23,53.75,54.13,53.5,53.88,27.2847,3589000.0,0.0,1.0
2000-06-26,53.88,54.81,53.69,54.25,27.472,4620000.0,0.0,1.0
2000-06-27,54.63,56.81,54.38,56.25,28.4848,6483600.0,0.0,1.0
2000-06-28,56.75,56.75,53.88,54.3,27.4974,6621800.0,0.0,1.0
2000-06-29,54.75,58.25,53.63,57.88,29.3103,8592300.0,0.0,1.0
2000-06-30,56.63,58.35,56.0,58.25,29.4976,8301400.0,0.0,1.0
2000-07-03,58.25,58.25,56.44,57.75,29.2444,1585300.0,0.0,1.0
2000-07-05,58.0,59.44,57.44,58.94,29.9711,3982000.0,0.245,1.0
2000-07-06,58.75,59.25,57.94,58.25,29.6203,3563500.0,0.0,1.0
2000-07-07,59.13,59.13,57.13,58.0,29.4931,4009100.0,0.0,1.0
2000-07-10,57.88,59.13,57.63,58.81,29.905,3965400.0,0.0,1.0
2000-07-11,58.75,59.44,58.0,58.69,29.844,3575100.0,0.0,1.0
2000-07-12,57.69,58.0,55.38,56.02,28.4863,5016900.0,0.0,1.0
2000-07-13,55.25,55.31,52.5,54.0,27.4591,8274100.0,0.0,1.0
2000-07-14,52.63,54.94,51.88,54.88,27.9066,8708600.0,0.0,1.0
2000-07-17,53.0,55.44,52.63,55.05,27.993,7371200.0,0.0,1.0
2000-07-18,55.0,55.13,52.56,53.06,26.9811,4890500.0,0.0,1.0
2000-07-19,52.81,53.44,51.75,52.38,26.6353,4322000.0,0.0,1.0
2000-07-20,52.0,52.88,50.25,50.98,25.9234,6981000.0,0.0,1.0
2000-07-21,50.81,51.25,49.81,50.06,25.4556,8469600.0,0.0,1.0
2000-07-24,50.38,50.88,49.81,50.0,25.4251,7213700.0,0.0,1.0
2000-07-25,49.75,50.06,48.06,48.81,24.82,9213900.0,0.0,1.0
2000-07-26,48.0,49.0,47.75,47.75,24.281,11614600.0,0.0,1.0
2000-07-27,48.13,51.25,48.06,50.5,25.6794,6384200.0,0.0,1.0
2000-07-28,50.75,51.69,49.75,50.25,25.5522,5307500.0,0.0,1.0
2000-07-31,50.25,51.63,49.25,51.63,26.254,3873300.0,0.0,1.0
2000-08-01,49.75,52.75,49.75,52.06,26.4726,5415600.0,0.0,1.0
2000-08-02,52.88,53.75,52.88,53.25,27.0777,8099400.0,0.0,1.0
2000-08-03,54.0,54.44,53.56,54.19,27.5557,7633300.0,0.0,1.0
2000-08-04,53.75,53.75,51.81,52.38,26.6353,4529200.0,0.0,1.0
2000-08-07,52.31,52.75,51.81,52.11,26.498,3549400.0,0.0,1.0
2000-08-08,50.25,51.75,50.25,51.36,26.1167,4997900.0,0.0,1.0
2000-08-09,51.0,53.75,50.75,52.0,26.4421,7426400.0,0.0,1.0
2000-08-10,52.0,52.69,50.75,51.25,26.0607,4609500.0,0.0,1.0
2000-08-11,51.88,51.88,50.88,50.95,25.9082,6384300.0,0.0,1.0
2000-08-14,50.5,51.25,50.5,50.63,25.7455,2824600.0,0.0,1.0
2000-08-15,54.25,54.25,52.5,52.5,26.6964,8431400.0,0.0,1.0
2000-08-16,52.56,53.19,51.81,52.56,26.7269,3821400.0,0.0,1.0
2000-08-17,52.31,53.13,52.06,53.0,26.9506,2608500.0,0.0,1.0
2000-08-18,52.25,52.5,51.0,51.0,25.9336,3700000.0,0.0,1.0
2000-08-21,53.0,53.81,52.25,53.69,27.3015,4358500.0,0.0,1.0
2000-08-22,54.38,55.75,54.13,55.13,28.0337,6222400.0,0.0,1.0
2000-08-23,55.31,56.13,55.06,56.13,28.5422,4384600.0,0.0,1.0
2000-08-24,56.0,56.06,55.0,55.88,28.4151,3506400.0,0.0,1.0
2000-08-25,55.81,56.44,55.56,56.44,28.6999,2584700.0,0.0,1.0
2000-08-28,55.75,56.44,55.38,55.44,28.1914,2931000.0,0.0,1.0
2000-08-29,55.19,55.31,53.31,53.5,27.2049,4377200.0,0.0,1.0
2000-08-30,53.13,53.63,53.0,53.13,27.0167,3768700.0,0.0,1.0
2000-08-31,52.63,53.63,52.63,53.02,26.9608,3845900.0,0.0,1.0
2000-09-01,53.88,54.0,53.06,53.25,27.0777,3055400.0,0.0,1.0
2000-09-05,53.38,53.81,51.69,53.0,26.9506,4114800.0,0.0,1.0
2000-09-06,53.88,53.88,49.94,50.94,25.9031,7822400.0,0.0,1.0
2000-09-07,50.75,51.88,50.5,50.75,25.8065,8422800.0,0.0,1.0
2000-09-08,51.63,52.0,51.13,51.66,26.2692,4117500.0,0.0,1.0
2000-09-11,50.5,52.06,50.5,51.81,26.3455,3468400.0,0.0,1.0
2000-09-12,52.0,52.44,51.25,52.33,26.6099,3824700.0,0.0,1.0
2000-09-13,52.06,53.5,51.69,52.25,26.5692,3917600.0,0.0,1.0
2000-09-14,52.25,53.63,51.81,53.31,27.1083,6411300.0,0.0,1.0
2000-09-15,54.0,54.94,52.56,53.44,27.1744,8730800.0,0.0,1.0
2000-09-18,52.94,54.19,52.56,53.5,27.2049,3411000.0,0.0,1.0
2000-09-19,53.69,55.0,53.56,54.88,27.9066,4755000.0,0.0,1.0
2000-09-20,54.88,55.94,54.88,55.83,28.3897,4493800.0,0.0,1.0
2000-09-21,56.0,57.5,55.81,56.5,28.7304,5719000.0,0.0,1.0
2000-09-22,58.88,58.88,57.0,58.06,29.5236,6823600.0,0.0,1.0
2000-09-25,57.75,57.75,56.75,57.42,29.1982,3654300.0,0.0,1.0
2000-09-26,57.63,57.94,55.88,57.19,29.0812,5392400.0,0.0,1.0
2000-09-27,57.5,57.5,55.69,56.5,28.7304,4969900.0,0.0,1.0
2000-09-28,57.25,59.44,57.0,58.0,29.4931,8982300.0,0.0,1.0
2000-09-29,57.38,57.5,56.5,57.5,29.2389,8592900.0,0.0,1.0
2000-10-02,57.25,57.5,56.25,57.0,28.9846,4220200.0,0.0,1.0
2000-10-03,56.13,57.94,56.06,56.63,28.7965,3939200.0,0.0,1.0
2000-10-04,56.44,57.5,55.25,55.5,28.3465,4482400.0,0.245,1.0
2000-10-05,55.56,57.06,55.5,56.56,28.8878,3748000.0,0.0,1.0
2000-10-06,57.5,57.5,55.38,56.25,28.7295,3271800.0,0.0,1.0
2000-10-09,57.63,57.75,56.25,56.44,28.8266,3159200.0,0.0,1.0
