date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,40.63,40.63,38.56,38.69,4.0732,84400.0,0.0,1.0
2000-01-04,38.94,39.38,38.63,38.69,4.0732,76700.0,0.0,1.0
2000-01-05,38.88,39.44,38.75,38.88,4.0932,53500.0,0.0,1.0
2000-01-06,38.88,38.94,38.25,38.38,4.0405,88300.0,0.0,1.0
2000-01-07,38.44,39.5,38.44,39.44,4.1521,403600.0,0.0,1.0
2000-01-10,39.5,39.75,38.81,39.0,4.1058,111200.0,0.0,1.0
2000-01-11,39.0,39.5,38.88,38.88,4.0932,250500.0,0.0,1.0
2000-01-12,38.94,39.25,38.75,38.81,4.0858,86800.0,0.0,1.0
2000-01-13,39.06,39.19,38.94,39.06,4.1121,75300.0,0.0,1.0
2000-01-14,39.13,39.25,38.75,38.75,4.0795,108100.0,0.0,1.0
2000-01-18,38.88,38.88,37.81,38.06,4.0069,113100.0,0.0,1.0
2000-01-19,38.0,38.19,37.25,37.63,3.9616,105400.0,0.0,1.0
2000-01-20,37.81,37.94,37.38,37.44,3.9416,137000.0,0.0,1.0
2000-01-21,37.5,37.88,37.38,37.38,3.9353,188500.0,0.0,1.0
2000-01-24,37.88,37.88,36.5,36.56,3.8489,216700.0,0.0,1.0
2000-01-25,36.63,36.63,35.19,35.69,3.7573,173300.0,0.0,1.0
2000-01-26,35.56,36.0,35.25,35.5,3.7373,95500.0,0.0,1.0
2000-01-27,35.5,35.75,34.5,34.75,3.6584,125700.0,0.0,1.0
2000-01-28,34.56,34.56,33.56,33.81,3.5752,127700.0,0.15,1.0
2000-01-31,34.0,34.63,33.31,33.63,3.5562,182500.0,0.0,1.0
2000-02-01,33.88,33.88,31.25,32.44,3.4303,448300.0,0.0,1.0
2000-02-02,32.75,33.13,32.25,32.5,3.4367,264000.0,0.0,1.0
2000-02-03,33.0,34.0,32.88,33.5,3.5424,205300.0,0.0,1.0
2000-02-04,33.75,34.13,33.0,33.13,3.5033,71800.0,0.0,1.0
2000-02-07,33.0,33.13,32.56,32.69,3.4568,84100.0,0.0,1.0
2000-02-08,32.88,33.5,32.5,33.0,3.4896,224200.0,0.0,1.0
2000-02-09,33.0,33.5,33.0,33.31,3.5223,188700.0,0.0,1.0
2000-02-10,33.06,34.06,33.06,33.63,3.5562,271100.0,0.0,1.0
2000-02-11,33.88,34.06,33.31,33.31,3.5223,181900.0,0.0,1.0
2000-02-14,33.25,34.0,33.06,33.69,3.5625,209500.0,0.0,1.0
2000-02-15,33.81,34.13,33.31,34.0,3.5953,168100.0,0.0,1.0
2000-02-16,33.88,33.94,32.94,33.0,3.4896,147900.0,0.0,1.0
2000-02-17,33.13,33.13,32.13,32.19,3.4039,157500.0,0.0,1.0
2000-02-18,32.44,32.44,31.44,31.44,3.3246,142200.0,0.0,1.0
2000-02-22,31.5,31.5,31.06,31.5,3.3309,128000.0,0.0,1.0
2000-02-23,31.44,31.44,30.75,31.0,3.2781,112700.0,0.0,1.0
2000-02-24,30.75,30.84,29.75,30.06,3.1787,116400.0,0.0,1.0
2000-02-25,30.31,31.0,29.75,31.0,3.2781,194500.0,0.0,1.0
2000-02-28,30.94,31.19,30.13,31.06,3.2844,96300.0,0.0,1.0
2000-02-29,31.0,32.0,30.56,32.0,3.3838,137400.0,0.0,1.0
2000-03-01,31.88,32.69,31.5,32.5,3.4367,108100.0,0.0,1.0
2000-03-02,32.25,33.19,32.25,33.0,3.4896,123000.0,0.0,1.0
2000-03-03,33.25,33.25,32.5,32.63,3.4504,104400.0,0.0,1.0
2000-03-06,32.88,33.5,32.5,32.69,3.4568,94700.0,0.0,1.0
2000-03-07,32.69,32.81,31.88,31.94,3.3775,131600.0,0.0,1.0
2000-03-08,32.0,32.19,31.25,31.31,3.3109,141900.0,0.0,1.0
2000-03-09,31.31,31.31,30.81,31.0,3.2781,187400.0,0.0,1.0
2000-03-10,31.0,32.38,31.0,31.75,3.3574,111900.0,0.0,1.0
2000-03-13,31.0,33.13,31.0,32.44,3.4303,191100.0,0.0,1.0
2000-03-14,32.5,33.69,32.25,32.56,3.443,190400.0,0.0,1.0
2000-03-15,32.56,33.75,32.5,33.25,3.516,250700.0,0.0,1.0
2000-03-16,33.63,35.19,33.63,34.75,3.6746,174900.0,0.0,1.0
2000-03-17,34.56,36.63,34.56,36.5,3.8597,193600.0,0.0,1.0
2000-03-20,35.75,37.25,35.75,36.19,3.8269,278300.0,0.0,1.0
2000-03-21,36.25,37.0,36.25,36.75,3.8861,89100.0,0.0,1.0
