date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,71.69,71.69,69.75,70.0,52.4975,3176300.0,0.0,1.0
2000-01-04,69.13,70.56,67.81,70.0,52.4975,2568200.0,0.0,1.0
2000-01-05,65.25,65.25,61.88,63.94,47.9527,5085700.0,0.0,1.0
2000-01-06,63.25,63.75,58.56,59.0,44.2479,3903700.0,0.0,1.0
2000-01-07,60.0,60.56,58.63,58.75,44.0604,2984000.0,0.0,1.0
2000-01-10,60.25,64.0,60.13,62.69,47.0153,3171300.0,0.0,1.0
2000-01-11,63.25,66.38,63.0,65.44,49.0777,2538200.0,0.0,1.0
2000-01-12,67.0,68.75,65.5,68.56,51.4176,2695000.0,0.0,1.0
2000-01-13,68.56,68.56,64.0,64.0,47.9977,1342000.0,0.0,1.0
2000-01-14,66.0,66.75,64.81,65.56,49.1677,1830400.0,0.0,1.0
2000-01-18,66.13,66.38,63.75,64.0,47.9977,2053500.0,0.0,1.0
2000-01-19,64.13,65.31,63.88,64.0,47.9977,1888400.0,0.0,1.0
2000-01-20,65.25,69.44,65.13,69.25,51.935,3729000.0,0.0,1.0
2000-01-21,69.94,71.25,68.13,70.81,53.105,3247400.0,0.0,1.0
2000-01-24,72.81,77.0,71.88,74.0,55.4974,4893800.0,0.0,1.0
2000-01-25,72.75,75.0,71.13,74.69,56.0149,3539300.0,0.0,1.0
2000-01-26,74.88,76.69,73.63,75.0,56.2473,2815500.0,0.0,1.0
2000-01-27,74.56,79.44,71.5,72.5,54.3724,5171300.0,0.0,1.0
2000-01-28,71.25,72.38,67.31,68.75,51.5601,3291900.0,0.0,1.0
2000-01-31,68.0,70.25,65.56,68.5,51.3726,2867100.0,0.0,1.0
2000-02-01,68.75,70.56,66.88,70.38,52.7825,1950100.0,0.0,1.0
2000-02-02,71.25,71.44,69.31,70.0,52.4975,2208000.0,0.0,1.0
2000-02-03,70.88,71.38,69.63,70.25,52.685,2074700.0,0.0,1.0
2000-02-04,70.5,71.31,70.31,70.75,53.06,2035400.0,0.0,1.0
2000-02-07,71.25,71.69,69.0,69.25,51.935,1616200.0,0.0,1.0
2000-02-08,71.19,71.94,70.31,70.81,53.105,3181600.0,0.0,1.0
2000-02-09,72.5,72.5,69.88,70.25,52.685,1944700.0,0.0,1.0
2000-02-10,70.31,71.69,68.63,68.63,51.4701,2361100.0,0.0,1.0
2000-02-11,69.63,70.25,69.06,69.75,52.31,2083500.0,0.0,1.0
2000-02-14,68.06,69.88,66.81,69.31,51.98,4667900.0,0.0,1.0
2000-02-15,70.63,73.5,69.5,73.0,54.7474,4200500.0,0.0,1.0
2000-02-16,73.75,74.38,72.63,72.75,54.5599,2689500.0,0.0,1.0
2000-02-17,72.75,73.75,71.38,72.38,54.2824,2488800.0,0.0,1.0
2000-02-18,73.75,74.25,71.25,71.25,53.435,2811200.0,0.0,1.0
2000-02-22,71.5,71.81,67.56,69.56,52.1675,2438700.0,0.0,1.0
2000-02-23,70.38,70.38,67.75,68.0,50.9976,2727900.0,0.0,1.0
2000-02-24,69.38,70.25,65.5,67.81,50.8551,2791800.0,0.0,1.0
2000-02-25,68.25,68.25,64.94,65.81,49.3552,2415600.0,0.0,1.0
2000-02-28,65.88,66.06,63.63,64.44,48.3277,2124200.0,0.0,1.0
2000-02-29,65.75,66.38,64.06,64.25,48.1852,2526200.0,0.0,1.0
2000-03-01,66.0,67.25,65.81,66.31,49.7302,3100200.0,0.0,1.0
2000-03-02,66.31,66.31,64.63,64.88,48.6577,2232800.0,0.0,1.0
2000-03-03,65.13,65.81,64.88,65.19,48.8902,2233700.0,0.0,1.0
2000-03-06,66.25,66.56,63.19,63.81,47.8552,3251000.0,0.0,1.0
2000-03-07,63.94,64.63,62.69,63.0,47.2478,3036500.0,0.0,1.0
2000-03-08,62.75,64.19,59.75,60.25,45.1854,2976900.0,0.0,1.0
2000-03-09,60.25,66.06,60.25,66.0,49.4977,5062400.0,0.0,1.0
2000-03-10,66.13,68.0,65.38,66.5,49.8726,1866400.0,0.0,1.0
2000-03-13,64.31,65.44,64.0,64.81,48.6052,2775600.0,0.0,1.0
2000-03-14,65.25,66.25,62.0,62.25,46.6853,2455100.0,0.0,1.0
2000-03-15,64.0,64.13,61.88,62.81,47.1053,2981900.0,0.0,1.0
2000-03-16,62.56,64.56,61.5,64.13,48.0952,2794600.0,0.0,1.0
2000-03-17,64.0,65.56,63.06,65.56,49.1677,2845800.0,0.0,1.0
2000-03-20,66.25,67.81,64.0,64.0,47.9977,2291100.0,0.0,1.0
2000-03-21,65.31,66.25,64.63,66.0,49.4977,2025100.0,0.0,1.0
2000-03-22,66.0,68.25,66.0,66.0,49.4977,2438700.0,0.0,1.0
2000-03-23,66.06,66.25,64.38,65.38,49.0327,2413500.0,0.0,1.0
2000-03-24,65.5,66.56,64.88,66.56,49.9176,3025900.0,0.0,1.0
2000-03-27,66.63,66.63,64.63,65.44,49.0777,3051500.0,0.0,1.0
2000-03-28,64.25,64.63,63.0,63.0,47.2478,2182700.0,0.0,1.0
2000-03-29,62.88,63.0,60.69,61.63,46.2203,2354600.0,0.0,1.0
2000-03-30,60.06,60.75,55.75,57.13,42.8455,6038600.0,0.0,1.0
2000-03-31,58.5,60.06,58.0,58.5,43.8729,6097600.0,0.0,1.0
2000-04-03,58.38,58.38,55.5,58.38,43.7829,4795300.0,0.0,1.0
2000-04-04,58.25,58.31,53.38,57.0,42.748,4438900.0,0.0,1.0
2000-04-05,56.63,58.0,55.0,57.06,42.793,2869000.0,0.0,1.0
2000-04-06,57.25,60.38,57.19,58.44,43.8279,3809500.0,0.0,1.0
2000-04-07,60.63,62.63,60.25,61.62,46.2128,4703700.0,0.0,1.0
2000-04-10,62.44,63.0,58.31,59.94,44.9529,3498100.0,0.0,1.0
2000-04-11,59.69,60.44,57.88,59.2,44.3979,3244500.0,0.0,1.0
2000-04-12,58.0,58.56,55.25,55.5,41.623,3300700.0,0.0,1.0
2000-04-13,55.5,57.19,54.13,55.0,41.2481,2619300.0,0.0,1.0
2000-04-14,53.31,54.0,50.5,53.0,39.7481,3790200.0,0.0,1.0
2000-04-17,52.5,53.94,50.5,52.38,39.2831,2733300.0,0.0,1.0
2000-04-18,52.63,52.88,50.56,51.5,38.6232,4914400.0,0.0,1.0
2000-04-19,51.06,51.5,48.0,50.13,37.5957,6098100.0,0.0,1.0
2000-04-20,51.13,52.56,50.38,52.06,39.0432,3241700.0,0.0,1.0
2000-04-24,50.38,50.75,48.0,50.13,37.5957,2804000.0,0.0,1.0
2000-04-25,50.06,51.81,49.0,51.0,38.2482,3085800.0,0.0,1.0
2000-04-26,51.75,55.13,51.63,54.88,41.1581,3107900.0,0.0,1.0
2000-04-27,53.63,56.5,53.13,55.44,41.578,2392800.0,0.0,1.0
2000-04-28,56.44,56.75,54.81,55.81,41.8555,1405100.0,0.0,1.0
2000-05-01,56.06,56.88,54.75,54.94,41.2031,1625900.0,0.0,1.0
2000-05-02,53.81,54.25,52.94,53.06,39.7931,2448100.0,0.0,1.0
2000-05-03,53.0,53.0,48.81,50.0,37.4982,2725900.0,0.0,1.0
2000-05-04,50.25,51.44,49.5,51.06,38.2932,3138200.0,0.0,1.0
2000-05-05,50.94,53.75,50.81,53.06,39.7931,2303500.0,0.0,1.0
2000-05-08,52.06,52.13,44.94,46.88,35.1583,7736100.0,0.0,1.0
2000-05-09,47.5,48.38,45.69,45.88,34.4084,8114100.0,0.0,1.0
2000-05-10,45.63,45.88,42.88,44.5,33.3734,5247600.0,0.0,1.0
2000-05-11,46.25,52.13,44.69,51.5,38.6232,6260600.0,0.0,1.0
2000-05-12,51.0,52.94,48.69,49.5,37.1232,3468100.0,0.0,1.0
2000-05-15,49.0,53.0,48.25,52.06,39.0432,4119900.0,0.0,1.0
2000-05-16,53.5,55.69,53.31,55.0,41.2481,5991200.0,0.0,1.0
2000-05-17,54.0,54.25,53.0,53.56,40.1681,1997500.0,0.0,1.0
2000-05-18,51.88,53.5,51.31,51.75,38.8107,1896100.0,0.0,1.0
2000-05-19,50.25,51.0,49.25,49.44,37.0783,2829300.0,0.0,1.0
2000-05-22,49.38,50.88,46.13,50.5,37.8732,3359300.0,0.0,1.0
2000-05-23,50.5,51.94,49.81,49.88,37.4082,2352300.0,0.0,1.0
2000-05-24,49.88,51.19,49.0,51.0,38.2482,2003800.0,0.0,1.0
2000-05-25,51.94,52.56,50.38,50.5,37.8732,1946300.0,0.0,1.0
2000-05-26,50.75,51.88,50.25,50.88,38.1582,1370700.0,0.0,1.0
2000-05-30,51.75,53.69,51.69,52.88,39.6581,2209700.0,0.0,1.0
2000-05-31,53.31,53.5,51.5,51.5,38.6232,1809100.0,0.0,1.0
2000-06-01,52.75,54.75,52.38,54.19,40.6406,1338700.0,0.0,1.0
2000-06-02,56.94,57.5,56.38,57.0,42.748,2599800.0,0.0,1.0
2000-06-05,55.75,56.63,55.63,56.19,42.1405,2052100.0,0.0,1.0
2000-06-06,56.0,56.69,53.69,53.75,40.3106,2027200.0,0.0,1.0
2000-06-07,54.19,54.69,52.31,53.88,40.4081,2538000.0,0.0,1.0
2000-06-08,54.5,55.44,54.0,54.75,41.0606,1887800.0,0.0,1.0
2000-06-09,55.5,59.25,55.38,58.88,44.1579,3860700.0,0.0,1.0
2000-06-12,58.0,58.44,49.0,50.0,37.4982,4812800.0,0.0,1.0
2000-06-13,53.5,53.5,49.5,52.5,39.3731,9285500.0,0.0,1.0
2000-06-14,52.38,52.81,51.5,52.25,39.1857,2442500.0,0.0,1.0
2000-06-15,52.5,54.69,51.56,54.0,40.4981,2685800.0,0.0,1.0
2000-06-16,54.0,56.13,53.5,55.44,41.578,2878900.0,0.0,1.0
2000-06-19,55.5,56.69,54.63,55.63,41.7205,2320400.0,0.0,1.0
2000-06-20,55.0,58.25,54.75,54.94,41.2031,3530500.0,0.0,1.0
2000-06-21,54.38,55.44,53.75,54.38,40.8131,3085000.0,0.04,1.0
2000-06-22,54.5,54.5,51.13,51.13,38.3739,3132800.0,0.0,1.0
2000-06-23,52.13,52.38,49.81,50.13,37.6234,2572600.0,0.0,1.0
2000-06-26,50.88,52.44,50.38,52.38,39.312,1564900.0,0.0,1.0
2000-06-27,51.75,53.13,51.38,52.81,39.6348,2047600.0,0.0,1.0
2000-06-28,53.0,54.44,52.06,54.36,40.7981,2508600.0,0.0,1.0
2000-06-29,54.31,54.31,51.69,52.31,39.2595,2182900.0,0.0,1.0
2000-06-30,52.31,52.44,50.38,51.19,38.4189,2399100.0,0.0,1.0
2000-07-03,52.19,52.19,50.31,51.13,38.3739,867700.0,0.0,1.0
2000-07-05,29.0,32.0,28.5,29.44,22.0952,39379000.0,0.0,1.0
2000-07-06,29.88,31.0,29.56,30.75,23.0784,15171300.0,0.0,1.0
2000-07-07,30.88,31.0,30.0,31.0,23.266,8394500.0,0.0,1.0
2000-07-10,30.88,31.0,29.88,30.0,22.5155,5589700.0,0.0,1.0
2000-07-11,29.94,29.94,28.63,28.88,21.6749,6770000.0,0.0,1.0
