date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,22.5,22.94,21.94,22.88,9.2897,1663700.0,0.0,1.0
2000-01-04,22.25,22.63,22.19,22.44,9.1111,2176900.0,0.0,1.0
2000-01-05,22.38,22.5,22.0,22.06,8.9568,1195100.0,0.0,1.0
2000-01-06,22.0,22.75,21.88,22.69,9.2126,1544600.0,0.0,1.0
2000-01-07,23.69,23.88,23.0,23.19,9.4156,1326400.0,0.0,1.0
2000-01-10,23.19,23.81,22.75,23.0,9.3384,926100.0,0.0,1.0
2000-01-11,22.63,23.94,22.63,23.75,9.6429,1294200.0,0.0,1.0
2000-01-12,23.56,24.44,23.56,23.81,9.6673,1401700.0,0.0,1.0
2000-01-13,23.56,23.69,23.0,23.13,9.3912,744800.0,0.0,1.0
2000-01-14,22.88,22.94,22.25,22.38,9.0867,1624800.0,0.0,1.0
2000-01-18,22.38,22.63,22.06,22.44,9.1111,1496800.0,0.0,1.0
2000-01-19,22.19,22.81,22.19,22.75,9.2369,1374400.0,0.0,1.0
2000-01-20,22.63,23.19,22.5,23.06,9.3628,1663400.0,0.0,1.0
2000-01-21,23.19,23.5,22.69,23.13,9.3912,1556200.0,0.0,1.0
2000-01-24,23.06,23.25,22.38,22.5,9.1354,787700.0,0.0,1.0
2000-01-25,22.25,22.63,21.94,21.94,8.908,1230800.0,0.0,1.0
2000-01-26,21.75,22.06,21.0,21.25,8.7105,1752700.0,0.2035,1.0
2000-01-27,21.75,21.88,20.94,21.06,8.6326,992600.0,0.0,1.0
2000-01-28,21.06,21.06,20.38,20.69,8.481,987800.0,0.0,1.0
2000-01-31,20.69,21.75,20.06,21.44,8.7884,1008200.0,0.0,1.0
2000-02-01,21.13,21.25,20.69,21.06,8.6326,1002000.0,0.0,1.0
2000-02-02,20.81,21.0,20.13,20.25,8.3006,1327000.0,0.0,1.0
2000-02-03,20.25,20.88,19.88,20.56,8.4277,1678500.0,0.0,1.0
2000-02-04,20.56,21.06,20.38,21.0,8.608,1440900.0,0.0,1.0
2000-02-07,21.0,21.0,20.19,20.5,8.4031,897400.0,0.0,1.0
2000-02-08,20.5,20.56,20.19,20.56,8.4277,671600.0,0.0,1.0
2000-02-09,20.5,20.56,19.81,19.88,8.1489,1535300.0,0.0,1.0
2000-02-10,19.88,20.31,18.94,19.06,7.8128,1704900.0,0.0,1.0
2000-02-11,19.31,19.5,18.56,18.88,7.739,1340700.0,0.0,1.0
2000-02-14,19.0,19.19,18.31,18.56,7.6079,880200.0,0.0,1.0
2000-02-15,18.56,19.13,18.19,18.56,7.6079,2080700.0,0.0,1.0
2000-02-16,18.56,18.69,17.88,18.25,7.4808,2976500.0,0.0,1.0
2000-02-17,18.63,18.69,17.75,17.88,7.3291,1549300.0,0.0,1.0
2000-02-18,17.5,18.0,17.38,17.88,7.3291,2963900.0,0.0,1.0
2000-02-22,17.0,18.13,17.0,17.88,7.3291,1328700.0,0.0,1.0
2000-02-23,17.69,17.81,16.81,16.88,6.9192,1226400.0,0.0,1.0
2000-02-24,16.88,16.94,15.88,16.38,6.7143,1940800.0,0.0,1.0
2000-02-25,16.94,16.94,16.0,16.13,6.6118,1325500.0,0.0,1.0
2000-02-28,16.13,16.69,16.06,16.44,6.7389,1137300.0,0.0,1.0
2000-02-29,16.38,16.88,16.06,16.38,6.7143,1539900.0,0.0,1.0
2000-03-01,16.63,17.0,16.44,16.75,6.8659,2300300.0,0.0,1.0
2000-03-02,16.75,16.88,16.0,16.13,6.6118,3144700.0,0.0,1.0
2000-03-03,16.13,16.75,16.06,16.25,6.661,2658600.0,0.0,1.0
2000-03-06,16.19,16.25,15.69,16.0,6.5585,2590700.0,0.0,1.0
2000-03-07,15.88,16.0,15.19,15.5,6.3536,4455000.0,0.0,1.0
2000-03-08,15.25,16.0,15.25,15.81,6.4806,1720000.0,0.0,1.0
2000-03-09,15.88,15.94,15.5,15.81,6.4806,1391500.0,0.0,1.0
2000-03-10,15.63,15.94,15.25,15.63,6.4068,1814700.0,0.0,1.0
2000-03-13,15.75,15.75,15.13,15.5,6.3536,1265500.0,0.0,1.0
2000-03-14,15.63,15.69,15.38,15.63,6.4068,1369000.0,0.0,1.0
2000-03-15,15.38,15.75,15.06,15.63,6.4068,3302300.0,0.0,1.0
2000-03-16,15.81,17.5,15.81,17.06,6.993,2801700.0,0.0,1.0
2000-03-17,17.56,17.56,17.0,17.0,6.9684,1847900.0,0.0,1.0
2000-03-20,17.25,17.56,17.06,17.5,7.1734,1238000.0,0.0,1.0
2000-03-21,17.31,17.94,17.31,17.69,7.2512,1343700.0,0.0,1.0
