date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,48.75,49.56,48.75,49.31,18.6304,815067.0,0.0,1.0
2000-01-04,49.75,50.5,48.5,48.75,18.4189,1300800.0,0.0,1.0
2000-01-05,49.0,51.0,48.56,50.0,18.8911,1777467.0,0.0,1.0
2000-01-06,52.19,54.5,51.56,54.0,20.4024,1251067.0,0.0,1.0
2000-01-07,55.5,59.25,55.5,58.88,22.2462,2260200.0,0.0,1.0
2000-01-10,60.0,60.88,55.06,56.0,21.1581,1359067.0,0.0,1.0
2000-01-11,56.5,57.63,55.88,56.38,21.3017,1122467.0,0.0,1.0
2000-01-12,56.13,57.81,56.0,57.38,21.6795,665467.0,0.0,1.0
2000-01-13,58.0,60.75,57.88,58.69,22.1744,1877400.0,0.0,1.0
2000-01-14,59.25,59.75,58.0,59.38,22.4351,1233667.0,0.0,1.0
2000-01-18,59.44,59.44,56.0,56.5,21.347,1041800.0,0.0,1.0
2000-01-19,56.25,58.94,56.13,58.31,22.0309,1418867.0,0.0,1.0
2000-01-20,57.75,57.75,51.0,53.5,20.2135,2371600.0,0.0,1.0
2000-01-21,53.5,53.69,51.0,52.13,19.6959,1619000.0,0.0,1.0
2000-01-24,52.5,52.63,50.25,51.0,19.269,1815000.0,0.0,1.0
2000-01-25,50.75,51.0,49.0,49.44,18.6796,2103067.0,0.0,1.0
2000-01-26,49.5,50.75,49.13,49.38,18.6569,2226200.0,0.0,1.0
2000-01-27,49.38,50.75,48.5,49.56,18.7249,1102067.0,0.0,1.0
2000-01-28,49.38,49.5,48.0,48.75,18.4189,935200.0,0.0,1.0
2000-01-31,48.25,48.31,45.5,47.69,18.0184,1472067.0,0.0,1.0
2000-02-01,48.25,50.19,47.88,49.94,18.8685,1442600.0,0.0,1.0
2000-02-02,49.94,49.94,47.69,47.75,18.041,1267400.0,0.0,1.0
2000-02-03,48.0,48.5,47.0,47.81,18.0637,996267.0,0.0,1.0
2000-02-04,48.0,49.81,48.0,49.25,18.6078,954267.0,0.0,1.0
2000-02-07,49.25,50.06,48.5,49.5,18.7022,866200.0,0.0,1.0
2000-02-08,50.0,51.25,49.69,51.25,19.3634,1011200.0,0.0,1.0
2000-02-09,51.25,51.25,49.81,50.06,18.9138,544067.0,0.0,1.0
2000-02-10,51.0,51.5,49.06,49.19,18.5851,924000.0,0.0,1.0
2000-02-11,49.19,49.38,46.56,47.06,17.7803,985800.0,0.0,1.0
2000-02-14,47.38,47.5,45.25,45.88,17.3345,1468200.0,0.0,1.0
2000-02-15,45.38,45.81,43.94,44.44,16.7904,1719667.0,0.0,1.0
2000-02-16,44.44,45.94,44.25,45.19,17.0738,1160867.0,0.0,1.0
2000-02-17,45.19,45.38,44.56,44.69,16.8849,1366200.0,0.0,1.0
2000-02-18,44.56,44.94,43.38,44.0,16.6242,909800.0,0.0,1.0
2000-02-22,44.06,45.38,43.81,45.06,17.0247,1082467.0,0.0,1.0
