date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,56.19,56.19,54.06,54.13,14.1808,524300.0,0.0,1.0
2000-01-04,53.81,53.88,52.0,52.19,13.6726,754600.0,0.0,1.0
2000-01-05,52.19,53.38,52.13,52.94,13.8691,377500.0,0.0,1.0
2000-01-06,52.75,53.75,52.75,53.56,14.0315,317400.0,0.0,1.0
2000-01-07,53.75,57.0,53.63,56.81,14.8829,422400.0,0.0,1.0
2000-01-10,57.0,57.13,55.75,56.0,14.6707,444000.0,0.0,1.0
2000-01-11,56.0,56.38,55.5,55.81,14.6209,662700.0,0.0,1.0
2000-01-12,55.81,57.13,55.56,56.5,14.8017,568700.0,0.0,1.0
2000-01-13,56.75,57.75,56.63,57.31,15.0139,575600.0,0.0,1.0
2000-01-14,57.5,57.75,56.69,57.19,14.9825,766500.0,0.0,1.0
2000-01-18,56.38,56.75,55.19,55.94,14.655,871400.0,0.0,1.0
2000-01-19,56.19,56.88,56.0,56.81,14.8829,1104000.0,0.0,1.0
2000-01-20,56.88,56.88,55.81,56.13,14.7048,898200.0,0.0,1.0
2000-01-21,57.25,57.25,55.88,55.88,14.6393,855400.0,0.0,1.0
2000-01-24,56.13,58.0,55.0,55.31,14.4899,369800.0,0.0,1.0
2000-01-25,55.31,55.88,55.0,55.19,14.4585,318400.0,0.0,1.0
2000-01-26,55.19,56.5,54.88,55.88,14.6393,324100.0,0.0,1.0
2000-01-27,55.75,56.94,55.63,56.38,14.7703,693700.0,0.0,1.0
2000-01-28,56.13,56.13,54.5,54.88,14.3773,696400.0,0.0,1.0
2000-01-31,55.13,56.25,55.0,56.0,14.6707,321100.0,0.0,1.0
2000-02-01,56.25,57.5,55.5,57.0,14.9327,567400.0,0.0,1.0
2000-02-02,57.25,57.38,56.06,56.19,14.7205,467100.0,0.0,1.0
2000-02-03,56.19,57.06,55.5,56.19,14.7205,530600.0,0.0,1.0
2000-02-04,57.25,57.25,56.44,57.25,14.9982,556700.0,0.0,1.0
2000-02-07,57.38,57.38,55.38,55.81,14.6209,623700.0,0.0,1.0
2000-02-08,55.56,55.75,54.25,54.88,14.3773,511200.0,0.0,1.0
2000-02-09,54.0,54.0,51.88,52.38,13.7223,681600.0,0.0,1.0
2000-02-10,51.5,51.94,50.0,50.0,13.0988,592100.0,0.0,1.0
2000-02-11,50.0,50.19,46.75,49.38,12.9364,1308000.0,0.0,1.0
2000-02-14,49.44,49.69,48.25,48.94,12.8211,551000.0,0.0,1.0
2000-02-15,48.56,51.06,48.38,50.88,13.3294,628200.0,0.0,1.0
2000-02-16,50.75,52.13,50.69,52.06,13.6385,976800.0,0.0,1.0
2000-02-17,52.25,53.25,52.13,53.06,13.9005,697600.0,0.0,1.0
2000-02-18,52.94,53.0,50.44,51.06,13.3765,810400.0,0.0,1.0
2000-02-22,50.69,51.06,50.06,50.63,13.2639,449200.0,0.0,1.0
2000-02-23,50.0,50.81,49.38,50.75,13.2953,295700.0,0.0,1.0
2000-02-24,50.25,50.25,48.5,49.44,12.9521,381700.0,0.0,1.0
2000-02-25,49.63,50.69,49.25,49.5,12.9679,443300.0,0.0,1.0
2000-02-28,49.25,50.94,49.19,49.75,13.0333,645400.0,0.0,1.0
2000-02-29,49.5,49.56,48.88,49.19,12.8866,637800.0,0.0,1.0
2000-03-01,47.63,49.5,47.56,48.88,12.8054,587400.0,0.0,1.0
2000-03-02,49.13,49.25,46.69,48.06,12.5906,540200.0,0.0,1.0
2000-03-03,47.25,49.0,46.94,47.63,12.478,459700.0,0.0,1.0
2000-03-06,47.63,47.63,45.0,45.38,11.8885,442700.0,0.0,1.0
2000-03-07,46.75,46.88,45.31,45.81,12.0012,683500.0,0.0,1.0
2000-03-08,43.88,46.13,43.25,44.75,11.7235,927900.0,0.0,1.0
2000-03-09,45.63,46.0,44.56,45.5,11.9199,773400.0,0.0,1.0
2000-03-10,45.63,45.94,44.81,45.31,11.8702,368300.0,0.0,1.0
2000-03-13,44.5,45.5,44.25,45.13,11.823,417300.0,0.0,1.0
2000-03-14,45.13,45.75,44.44,44.81,11.7392,787700.0,0.0,1.0
2000-03-15,44.75,50.13,44.75,49.63,13.0019,888400.0,0.0,1.0
2000-03-16,50.13,55.25,50.13,55.19,14.4585,868300.0,0.0,1.0
2000-03-17,55.31,55.5,52.19,53.25,13.9503,979300.0,0.0,1.0
