date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,31.69,32.13,30.0,30.53,26.2054,1084800.0,0.0,1.0
2000-01-04,30.44,30.87,29.94,30.5,26.1796,983500.0,0.0,1.0
2000-01-05,30.56,30.56,29.81,30.06,25.802,701200.0,0.0,1.0
2000-01-06,29.87,29.94,28.19,29.0,24.8921,843300.0,0.0,1.0
2000-01-07,29.5,30.5,29.0,30.5,26.1796,597200.0,0.0,1.0
2000-01-10,32.75,34.13,31.75,31.94,27.4156,1136600.0,0.0,1.0
2000-01-11,32.19,32.25,30.25,30.44,26.1281,450600.0,0.0,1.0
2000-01-12,31.12,31.12,29.69,30.0,25.7504,471800.0,0.0,1.0
2000-01-13,30.12,30.25,29.94,30.0,25.7504,1046000.0,0.0,1.0
2000-01-14,30.12,30.25,28.5,28.87,24.7805,1402600.0,0.0,1.0
2000-01-18,29.03,30.25,29.0,30.06,25.802,1920200.0,0.0,1.0
2000-01-19,30.25,30.5,29.31,30.0,25.7504,1027100.0,0.0,1.0
2000-01-20,30.06,30.25,29.69,30.19,25.9135,1357500.0,0.0,1.0
2000-01-21,30.37,31.31,30.25,31.0,26.6088,2206200.0,0.0,1.0
2000-01-24,31.5,35.63,31.5,34.13,29.2954,2574500.0,0.0,1.0
2000-01-25,34.38,34.38,33.0,33.75,28.9693,1161100.0,0.0,1.0
2000-01-26,33.78,34.25,33.5,34.0,29.1838,1422300.0,0.0,1.0
2000-01-27,34.25,34.38,32.63,32.88,28.2225,1616200.0,0.0,1.0
2000-01-28,33.0,33.94,32.19,33.13,28.4371,1236000.0,0.0,1.0
2000-01-31,32.88,33.25,30.25,31.62,27.141,970700.0,0.0,1.0
2000-02-01,31.44,32.38,31.31,31.87,27.3556,1085900.0,0.0,1.0
2000-02-02,31.94,33.25,31.87,33.25,28.5401,1175200.0,0.0,1.0
2000-02-03,33.44,33.75,33.06,33.06,28.377,2666500.0,0.0,1.0
2000-02-04,33.25,33.25,31.37,32.09,27.5444,730500.0,0.0,1.0
2000-02-07,32.13,32.13,31.25,31.62,27.141,949200.0,0.0,1.0
2000-02-08,31.56,32.38,31.5,32.38,27.7933,1040500.0,0.0,1.0
2000-02-09,32.88,33.88,32.63,33.81,29.0208,2288000.0,0.0,1.0
2000-02-10,33.88,40.13,33.81,39.94,34.2824,2879400.0,0.0,1.0
2000-02-11,39.38,39.5,35.38,38.97,33.4498,2731600.0,0.0,1.0
2000-02-14,38.94,39.0,35.75,36.94,31.7074,1256700.0,0.0,1.0
2000-02-15,37.0,37.0,34.69,35.75,30.686,1697000.0,0.0,1.0
2000-02-16,36.0,36.0,34.0,34.06,29.2353,755900.0,0.0,1.0
2000-02-17,34.38,35.25,33.38,33.69,28.9178,1919400.0,0.0,1.0
2000-02-18,34.13,34.13,32.38,32.75,28.1109,1610600.0,0.0,1.0
2000-02-22,33.06,34.0,32.88,33.56,28.8062,888900.0,0.0,1.0
2000-02-23,33.88,34.13,31.5,31.81,27.3041,1781000.0,0.0,1.0
2000-02-24,32.38,32.63,31.75,32.13,27.5787,1451000.0,0.0,1.0
2000-02-25,33.13,34.0,32.5,33.13,28.4371,1500000.0,0.0,1.0
2000-02-28,33.56,33.88,30.25,31.37,26.9264,1745600.0,0.0,1.0
2000-02-29,31.62,33.0,31.0,32.25,27.6817,3442800.0,0.0,1.0
2000-03-01,33.13,33.63,32.38,33.38,28.6517,6139900.0,0.0,1.0
2000-03-02,34.5,40.63,34.5,40.0,34.3339,5387300.0,0.0,1.0
2000-03-03,39.88,42.63,37.88,42.44,36.4283,2669800.0,0.0,1.0
2000-03-06,42.69,42.69,40.25,40.69,34.9262,2229000.0,0.0,1.0
2000-03-07,40.88,41.13,39.88,40.06,34.3854,3402000.0,0.0,1.0
2000-03-08,40.13,40.13,39.13,39.75,34.1193,2693000.0,0.0,1.0
2000-03-09,39.88,41.19,39.5,40.81,35.0292,5372400.0,0.0,1.0
2000-03-10,41.0,41.94,40.88,41.5,35.6215,5832800.0,0.0,1.0
2000-03-13,40.88,42.38,39.88,41.5,35.6215,3704300.0,0.0,1.0
2000-03-14,41.88,41.88,40.75,41.0,35.1923,2173900.0,0.0,1.0
2000-03-15,40.69,40.75,39.38,40.06,34.3854,2546400.0,0.0,1.0
2000-03-16,39.88,40.38,39.81,40.31,34.6,1027000.0,0.0,1.0
2000-03-17,40.31,42.13,39.0,40.5,34.7631,2675200.0,0.0,1.0
2000-03-20,42.0,42.19,39.75,40.0,34.3339,1415200.0,0.0,1.0
2000-03-21,40.38,40.38,39.5,39.75,34.1193,849600.0,0.0,1.0
2000-03-22,40.38,42.19,40.0,41.88,35.9476,869000.0,0.0,1.0
2000-03-23,41.81,44.75,41.5,42.25,36.2652,2041200.0,0.0,1.0
2000-03-24,42.5,43.13,40.0,41.63,35.733,1149200.0,0.0,1.0
2000-03-27,42.0,42.0,39.5,39.94,34.2824,980200.0,0.0,1.0
2000-03-28,39.69,39.75,37.75,38.5,33.0464,851300.0,0.0,1.0
