date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-08-11,16.25,16.55,16.0,16.2,2.6899,15334300.0,0.0,1.0
2005-08-12,16.25,18.0,16.25,17.93,2.9771,5822700.0,0.0,1.0
2005-08-15,17.75,17.85,17.26,17.3,2.8725,2119300.0,0.0,1.0
2005-08-16,16.9,17.3,16.9,17.15,2.8476,1028200.0,0.0,1.0
2005-08-17,17.15,17.2,16.8,16.85,2.7978,1284700.0,0.0,1.0
2005-08-18,16.95,16.98,16.25,16.35,2.7148,2545400.0,0.0,1.0
2005-08-19,16.49,16.69,16.25,16.6,2.7563,605900.0,0.0,1.0
2005-08-22,16.65,17.02,16.41,17.0,2.8227,581900.0,0.0,1.0
2005-08-23,17.5,17.94,17.3,17.56,2.9157,2693200.0,0.0,1.0
2005-08-24,17.5,17.75,17.33,17.5,2.9057,616600.0,0.0,1.0
2005-08-25,17.7,17.74,17.4,17.46,2.8991,933400.0,0.0,1.0
2005-08-26,17.55,17.61,17.4,17.47,2.9007,540800.0,0.0,1.0
2005-08-29,16.9,17.18,16.84,17.0,2.8227,1091600.0,0.0,1.0
2005-08-30,17.11,17.39,16.95,17.03,2.8277,516200.0,0.0,1.0
2005-08-31,17.06,17.06,16.61,16.79,2.7878,600900.0,0.0,1.0
2005-09-01,16.85,16.85,15.53,16.25,2.6982,2493700.0,0.0,1.0
2005-09-02,16.41,16.58,16.01,16.07,2.6683,1149700.0,0.0,1.0
2005-09-06,16.2,16.45,16.17,16.4,2.7231,545300.0,0.0,1.0
2005-09-07,16.41,16.43,16.02,16.19,2.6882,728700.0,0.0,1.0
2005-09-08,16.25,16.52,16.25,16.32,2.7098,511700.0,0.0,1.0
2005-09-09,16.55,16.6,16.42,16.57,2.7513,493700.0,0.0,1.0
2005-09-12,16.45,16.52,16.01,16.09,2.6716,660100.0,0.0,1.0
2005-09-13,16.12,16.12,15.7,15.88,2.6367,759700.0,0.0,1.0
2005-09-14,15.75,15.87,15.65,15.72,2.6102,411100.0,0.0,1.0
2005-09-15,15.75,15.81,15.03,15.1,2.5072,1200800.0,0.0,1.0
2005-09-16,15.06,15.34,14.55,15.32,2.5437,1911000.0,0.0,1.0
2005-09-19,15.25,15.95,15.19,15.5,2.5736,1111800.0,0.0,1.0
2005-09-20,15.5,16.03,15.45,15.8,2.6234,835600.0,0.0,1.0
2005-09-21,15.7,15.7,14.7,15.0,2.4906,1662700.0,0.0,1.0
2005-09-22,15.0,15.07,14.5,14.51,2.4092,1436800.0,0.0,1.0
2005-09-23,14.5,15.7,14.48,15.59,2.5886,966100.0,0.0,1.0
2005-09-26,15.6,15.8,15.25,15.5,2.5736,1565300.0,0.0,1.0
2005-09-27,15.45,15.56,15.34,15.46,2.567,901000.0,0.0,1.0
2005-09-28,15.38,15.38,14.98,15.15,2.5155,611000.0,0.0,1.0
2005-09-29,15.19,15.5,14.82,15.0,2.4906,1228200.0,0.0,1.0
2005-09-30,15.05,15.1,14.66,14.81,2.4591,2421800.0,0.0,1.0
2005-10-03,14.85,14.85,14.35,14.5,2.4076,855800.0,0.0,1.0
2005-10-04,14.45,14.5,14.03,14.07,2.3362,400400.0,0.0,1.0
2005-10-05,14.0,14.0,12.825,13.15,2.1834,2165200.0,0.0,1.0
2005-10-06,13.2,13.49,13.1,13.41,2.2266,824200.0,0.0,1.0
2005-10-07,13.8,13.8,13.46,13.5,2.2415,434900.0,0.0,1.0
2005-10-10,13.57,13.64,12.44,12.55,2.0838,488600.0,0.0,1.0
2005-10-11,12.65,12.65,12.01,12.15,2.0174,651300.0,0.0,1.0
2005-10-12,12.12,12.18,11.8001,11.94,1.9825,509100.0,0.0,1.0
2005-10-13,11.93,11.93,11.19,11.3,1.8763,711000.0,0.0,1.0
2005-10-14,11.34,12.5,11.32,12.36,2.0523,1445900.0,0.0,1.0
2005-10-17,12.36,12.39,12.1,12.2,2.0257,601400.0,0.0,1.0
2005-10-18,12.2,12.2,11.94,12.0,1.9925,515000.0,0.0,1.0
2005-10-19,12.1,12.26,11.94,12.16,2.0191,1010400.0,0.0,1.0
2005-10-20,12.2,13.09,12.19,12.82,2.1286,1513700.0,0.0,1.0
2005-10-21,12.83,13.07,12.77,12.96,2.1519,805900.0,0.0,1.0
2005-10-24,12.96,13.2,12.96,13.13,2.1801,432000.0,0.0,1.0
2005-10-25,13.23,13.41,13.08,13.2,2.1917,525900.0,0.0,1.0
2005-10-26,13.15,13.35,12.95,13.09,2.1735,567900.0,0.0,1.0
2005-10-27,13.05,13.18,12.95,13.0,2.1585,162000.0,0.0,1.0
2005-10-28,13.2,13.46,13.2,13.35,2.2166,332900.0,0.0,1.0
2005-10-31,13.5,13.99,13.5,13.82,2.2947,783000.0,0.0,1.0
