date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-09-24,21.5,23.22,21.35,23.08,21.5691,60428679.0,0.0,1.0
2014-09-25,22.56,23.41,22.45,23.05,21.5411,8430006.0,0.0,1.0
2014-09-26,23.18,23.37,22.91,23.25,21.728,2504353.0,0.0,1.0
2014-09-29,23.14,23.45,22.91,23.23,21.7093,4832586.0,0.0,1.0
2014-09-30,23.11,23.57,23.05,23.42,21.8869,4103103.0,0.0,1.0
2014-10-01,23.22,23.61,23.11,23.44,21.9055,3915508.0,0.0,1.0
2014-10-02,23.34,23.59,23.303,23.34,21.8121,3121384.0,0.0,1.0
2014-10-03,23.38,23.47,23.01,23.23,21.7093,1585901.0,0.0,1.0
2014-10-06,23.28,23.37,22.61,22.64,21.1579,1208403.0,0.0,1.0
2014-10-07,22.56,22.74,22.26,22.52,21.0458,1508726.0,0.0,1.0
2014-10-08,22.11,23.15,22.11,22.75,21.2607,1649208.0,0.0,1.0
2014-10-09,23.0,23.0,22.24,22.48,21.0084,1229058.0,0.0,1.0
2014-10-10,22.39,22.56,22.135,22.28,20.8215,924069.0,0.0,1.0
2014-10-13,22.13,22.66,22.12,22.45,20.9804,1382774.0,0.0,1.0
2014-10-14,22.5,22.79,22.3,22.45,20.9804,1605776.0,0.0,1.0
2014-10-15,22.13,22.2,21.5,21.85,20.4196,3405401.0,0.0,1.0
2014-10-16,21.51,21.95,21.47,21.8,20.3729,3105758.0,0.0,1.0
2014-10-17,21.89,22.07,21.73,21.92,20.485,2750608.0,0.0,1.0
2014-10-20,21.82,22.38,21.82,22.38,20.9149,1870599.0,0.0,1.0
2014-10-21,22.11,22.93,22.11,22.82,21.3261,1165506.0,0.0,1.0
2014-10-22,22.78,23.0,22.4025,22.6,21.1205,884653.0,0.0,1.0
2014-10-23,22.97,23.08,22.59,23.03,21.5224,1154177.0,0.0,1.0
2014-10-24,23.32,23.49,22.77,23.18,21.6626,1357806.0,0.0,1.0
2014-10-27,23.15,23.19,22.725,22.85,21.3542,2898819.0,0.0,1.0
2014-10-28,23.16,23.59,22.93,23.28,21.756,1500595.0,0.0,1.0
2014-10-29,23.35,23.53,23.2,23.48,21.9429,1302330.0,0.0,1.0
2014-10-30,23.62,23.96,23.58,23.82,22.2607,1153487.0,0.0,1.0
2014-10-31,23.59,23.92,23.37,23.62,22.0738,1238628.0,0.0,1.0
2014-11-03,23.49,24.0,23.16,24.0,22.4289,1826936.0,0.0,1.0
2014-11-04,23.74,23.91,23.43,23.6,22.1485,1474474.0,0.1,1.0
2014-11-05,23.8,23.95,23.55,23.9,22.4301,1097594.0,0.0,1.0
2014-11-06,23.79,24.46,23.75,24.3,22.8055,1010740.0,0.0,1.0
2014-11-07,24.48,24.48,23.96,23.97,22.4958,600659.0,0.0,1.0
2014-11-10,24.04,24.25,23.75,23.95,22.477,1531257.0,0.0,1.0
2014-11-11,23.97,24.22,23.75,23.94,22.4676,658274.0,0.0,1.0
2014-11-12,23.75,23.98,23.51,23.86,22.3925,940834.0,0.0,1.0
2014-11-13,23.62,23.96,23.58,23.82,22.355,1149713.0,0.0,1.0
2014-11-14,23.74,24.0,23.74,23.96,22.4864,1111501.0,0.0,1.0
2014-11-17,24.11,24.11,23.56,24.0,22.5239,992390.0,0.0,1.0
2014-11-18,24.04,24.04,23.71,23.73,22.2705,586010.0,0.0,1.0
2014-11-19,23.8,24.0,23.51,23.72,22.2611,812772.0,0.0,1.0
2014-11-20,23.57,23.87,23.5001,23.71,22.2518,745775.0,0.0,1.0
2014-11-21,23.95,24.21,23.695,23.77,22.3081,725247.0,0.0,1.0
2014-11-24,23.8,24.36,23.68,24.25,22.7585,836847.0,0.0,1.0
2014-11-25,24.24,24.3,24.02,24.03,22.5521,701615.0,0.0,1.0
2014-11-26,24.11,24.27,23.92,24.23,22.7398,703711.0,0.0,1.0
2014-11-28,24.22,25.09,24.05,24.63,23.1152,713406.0,0.0,1.0
2014-12-01,24.62,24.895,23.49,23.98,22.5052,2282591.0,0.0,1.0
2014-12-02,24.02,24.43,23.8,24.2,22.7116,1369272.0,0.0,1.0
2014-12-03,24.33,24.59,24.19,24.23,22.7398,1854537.0,0.0,1.0
2014-12-04,24.32,24.56,24.09,24.4,22.8993,1433907.0,0.0,1.0
2014-12-05,24.45,25.22,24.45,25.15,23.6032,1008380.0,0.0,1.0
2014-12-08,25.08,25.14,24.68,25.04,23.5,2244927.0,0.0,1.0
2014-12-09,24.71,25.33,24.5,25.16,23.6126,1141758.0,0.0,1.0
2014-12-10,25.15,25.41,24.62,24.65,23.1339,630958.0,0.0,1.0
2014-12-11,24.85,25.28,24.51,24.69,23.1715,1709147.0,0.0,1.0
2014-12-12,24.52,24.83,24.4,24.46,22.9556,950809.0,0.0,1.0
2014-12-15,24.68,24.805,24.27,24.49,22.9838,1175223.0,0.0,1.0
2014-12-16,24.53,24.875,24.22,24.25,22.7585,1314152.0,0.0,1.0
2014-12-17,24.22,24.8,24.22,24.56,23.0495,2160460.0,0.0,1.0
2014-12-18,24.75,25.14,24.68,25.08,23.5375,1768470.0,0.0,1.0
2014-12-19,25.04,25.6,24.84,25.0,23.4624,7523121.0,0.0,1.0
2014-12-22,25.16,25.2786,24.66,25.1,23.5563,1689581.0,0.0,1.0
2014-12-23,25.31,25.5,25.12,25.44,23.8754,1174551.0,0.0,1.0
2014-12-24,25.45,25.59,25.18,25.51,23.9411,547225.0,0.0,1.0
2014-12-26,25.51,25.51,25.25,25.31,23.7534,304036.0,0.0,1.0
2014-12-29,25.2,25.51,25.18,25.37,23.8097,1070954.0,0.0,1.0
2014-12-30,25.46,25.5,25.16,25.19,23.6407,511820.0,0.0,1.0
2014-12-31,25.25,25.285,24.83,24.86,23.331,621617.0,0.0,1.0
2015-01-02,24.97,25.0,24.29,24.76,23.2372,643550.0,0.0,1.0
2015-01-05,24.58,24.68,23.84,24.18,22.6929,1330389.0,0.0,1.0
2015-01-06,24.17,24.22,23.7,23.91,22.4395,2075044.0,0.0,1.0
2015-01-07,23.99,24.13,23.79,24.0,22.5239,1160199.0,0.0,1.0
2015-01-08,24.07,24.48,23.94,24.18,22.6929,661452.0,0.0,1.0
2015-01-09,24.15,24.18,23.78,23.89,22.4207,718867.0,0.0,1.0
2015-01-12,23.8,24.04,23.62,23.88,22.4113,941126.0,0.0,1.0
2015-01-13,23.94,24.19,23.61,23.87,22.4019,990061.0,0.0,1.0
2015-01-14,23.6,23.744,23.1,23.44,21.9984,962525.0,0.0,1.0
2015-01-15,23.37,23.61,22.67,22.96,21.5479,1558030.0,0.0,1.0
2015-01-16,22.83,23.24,22.79,23.19,21.7637,1951966.0,0.0,1.0
2015-01-20,23.16,23.85,22.91,23.1,21.6793,1742114.0,0.0,1.0
2015-01-21,23.07,23.59,23.01,23.28,21.8482,787349.0,0.0,1.0
2015-01-22,23.3,24.16,23.28,24.14,22.6553,486535.0,0.0,1.0
2015-01-23,24.04,24.04,23.67,23.71,22.2518,656610.0,0.0,1.0
2015-01-26,23.75,24.31,23.53,24.09,22.6084,1167764.0,0.0,1.0
2015-01-27,23.86,24.64,23.7601,24.15,22.6647,1308167.0,0.0,1.0
2015-01-28,24.17,24.35,23.84,23.86,22.3925,1301860.0,0.0,1.0
2015-01-29,23.92,24.35,23.26,24.24,22.7492,1818610.0,0.0,1.0
2015-01-30,24.1,24.24,23.81,23.9,22.4301,1882316.0,0.0,1.0
2015-02-02,23.85,24.16,23.69,24.0,22.5239,1445837.0,0.0,1.0
2015-02-03,23.91,24.45,23.8,24.29,22.8899,1351750.0,0.1,1.0
2015-02-04,24.27,24.38,23.93,24.01,22.6261,1102434.0,0.0,1.0
2015-02-05,24.09,24.41,23.98,24.35,22.9465,984601.0,0.0,1.0
2015-02-06,24.41,25.0,24.22,24.5,23.0878,1748389.0,0.0,1.0
2015-02-09,24.48,24.53,24.11,24.26,22.8617,781608.0,0.0,1.0
2015-02-10,24.73,24.96,24.53,24.82,23.3894,1384891.0,0.0,1.0
2015-02-11,24.88,25.0,24.55,24.97,23.5307,1393061.0,0.0,1.0
2015-02-12,24.8,25.37,24.75,25.33,23.87,985050.0,0.0,1.0
2015-02-13,25.28,25.67,25.14,25.45,23.9831,1164524.0,0.0,1.0
2015-02-17,25.71,25.74,25.26,25.56,24.0867,1807100.0,0.0,1.0
2015-02-18,25.63,25.63,25.06,25.21,23.7569,1783474.0,0.0,1.0
2015-02-19,25.02,25.22,24.85,25.02,23.5779,896846.0,0.0,1.0
2015-02-20,25.1,25.26,24.862,25.25,23.7946,744802.0,0.0,1.0
2015-02-23,25.1,25.1,24.675,24.91,23.4742,743580.0,0.0,1.0
2015-02-24,24.86,25.07,24.77,24.93,23.493,530683.0,0.0,1.0
2015-02-25,24.87,25.0,24.72,24.96,23.5213,612615.0,0.0,1.0
