date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,27.06,27.19,25.25,26.0,3.4412,119867.0,0.0,1.0
2000-01-04,26.0,26.19,25.19,25.38,3.3592,136067.0,0.0,1.0
2000-01-05,25.5,25.75,25.25,25.44,3.3671,127800.0,0.0,1.0
2000-01-06,25.38,26.38,25.25,26.25,3.4743,161667.0,0.0,1.0
2000-01-07,26.25,27.25,26.25,27.25,3.6067,78400.0,0.0,1.0
2000-01-10,27.38,27.44,26.56,26.88,3.5577,51067.0,0.0,1.0
2000-01-11,27.0,27.13,26.44,26.63,3.5246,99867.0,0.0,1.0
2000-01-12,26.69,26.88,25.94,26.13,3.4584,69200.0,0.0,1.0
2000-01-13,26.63,27.38,26.13,27.31,3.6146,89067.0,0.0,1.0
2000-01-14,27.25,27.75,27.0,27.06,3.5815,93667.0,0.0,1.0
2000-01-18,26.94,26.94,25.25,26.19,3.4664,87467.0,0.0,1.0
2000-01-19,26.06,26.13,25.5,25.88,3.4254,47800.0,0.0,1.0
2000-01-20,26.0,26.13,25.44,25.75,3.4082,46667.0,0.0,1.0
2000-01-21,25.81,25.81,24.75,24.81,3.2837,90600.0,0.0,1.0
2000-01-24,24.81,25.06,23.94,24.31,3.2176,105867.0,0.0,1.0
2000-01-25,24.25,24.5,21.75,22.88,3.0283,232600.0,0.0,1.0
2000-01-26,23.13,23.38,23.0,23.31,3.0852,69600.0,0.0,1.0
2000-01-27,23.75,23.94,22.88,22.94,3.0362,97467.0,0.0,1.0
2000-01-28,23.13,23.38,22.13,22.19,2.937,99400.0,0.0,1.0
2000-01-31,22.25,22.63,21.69,22.06,2.9198,104600.0,0.0,1.0
2000-02-01,22.19,22.19,20.56,20.56,2.7212,197867.0,0.0,1.0
2000-02-02,20.75,21.81,20.75,21.25,2.8126,125467.0,0.0,1.0
2000-02-03,21.5,21.81,20.44,20.69,2.7384,121667.0,0.0,1.0
2000-02-04,20.81,20.88,19.81,20.25,2.6802,108400.0,0.0,1.0
2000-02-07,20.0,20.13,19.38,19.38,2.565,207667.0,0.0,1.0
2000-02-08,19.0,19.69,17.0,18.25,2.4247,388267.0,0.07,1.0
2000-02-09,18.0,18.0,15.25,16.44,2.1843,886000.0,0.0,1.0
2000-02-10,16.5,17.25,15.75,16.38,2.1763,532067.0,0.0,1.0
2000-02-11,16.38,16.75,15.63,15.94,2.1178,240667.0,0.0,1.0
2000-02-14,16.31,16.81,16.19,16.81,2.2334,260000.0,0.0,1.0
2000-02-15,17.06,18.5,17.06,18.5,2.458,243867.0,0.0,1.0
2000-02-16,18.38,19.69,17.38,18.06,2.3995,241200.0,0.0,1.0
2000-02-17,18.19,18.31,17.5,18.06,2.3995,100800.0,0.0,1.0
2000-02-18,17.88,18.31,17.0,17.06,2.2666,141467.0,0.0,1.0
2000-02-22,16.94,17.56,16.69,17.19,2.2839,106800.0,0.0,1.0
2000-02-23,17.63,17.63,17.25,17.31,2.2999,139267.0,0.0,1.0
2000-02-24,17.25,17.5,16.81,16.88,2.2427,123200.0,0.0,1.0
2000-02-25,16.81,17.0,16.56,16.63,2.2095,86667.0,0.0,1.0
2000-02-28,16.75,17.38,16.31,17.19,2.2839,170067.0,0.0,1.0
2000-02-29,17.13,17.63,17.06,17.06,2.2666,241667.0,0.0,1.0
2000-03-01,17.06,17.5,16.88,17.06,2.2666,112800.0,0.0,1.0
2000-03-02,17.06,17.31,16.81,16.94,2.2507,104467.0,0.0,1.0
2000-03-03,16.88,17.63,16.88,17.63,2.3424,327600.0,0.0,1.0
2000-03-06,17.88,18.13,17.56,17.88,2.3756,174200.0,0.0,1.0
2000-03-07,17.75,17.81,17.0,17.13,2.2759,174667.0,0.0,1.0
2000-03-08,17.13,17.63,16.81,16.81,2.2334,168267.0,0.0,1.0
2000-03-09,16.94,17.44,16.88,16.94,2.2507,141600.0,0.0,1.0
2000-03-10,16.44,16.63,14.94,14.94,1.985,318400.0,0.0,1.0
2000-03-13,15.0,15.5,14.69,15.0,1.9929,273200.0,0.0,1.0
2000-03-14,15.0,15.38,14.75,14.81,1.9677,270067.0,0.0,1.0
2000-03-15,14.94,15.44,14.69,15.19,2.0182,292800.0,0.0,1.0
2000-03-16,15.31,16.5,15.25,15.75,2.0926,403667.0,0.0,1.0
2000-03-17,15.38,16.13,15.25,15.31,2.0341,258467.0,0.0,1.0
2000-03-20,15.25,16.06,14.75,16.0,2.1258,458000.0,0.0,1.0
2000-03-21,15.88,15.94,15.38,15.94,2.1178,141200.0,0.0,1.0
2000-03-22,15.88,16.0,15.63,15.81,2.1006,64267.0,0.0,1.0
2000-03-23,15.75,16.63,15.69,16.13,2.1431,124400.0,0.0,1.0
2000-03-24,16.19,16.31,15.31,15.38,2.0434,158467.0,0.0,1.0
2000-03-27,15.5,15.63,15.25,15.25,2.0262,84200.0,0.0,1.0
2000-03-28,15.38,15.38,15.0,15.0,1.9929,249600.0,0.0,1.0
2000-03-29,15.13,15.38,15.0,15.06,2.0009,101800.0,0.0,1.0
2000-03-30,15.19,16.88,15.19,16.44,2.1843,209200.0,0.0,1.0
2000-03-31,16.5,17.5,16.31,17.19,2.2839,306800.0,0.0,1.0
2000-04-03,17.19,17.88,16.56,17.88,2.3756,122867.0,0.0,1.0
2000-04-04,17.88,17.94,16.69,17.06,2.2666,109400.0,0.0,1.0
2000-04-05,16.88,17.38,16.75,17.06,2.2666,77400.0,0.0,1.0
2000-04-06,17.0,17.19,16.63,16.69,2.2175,54800.0,0.0,1.0
2000-04-07,16.63,16.69,16.38,16.5,2.1922,99467.0,0.0,1.0
2000-04-10,16.63,17.25,16.63,17.0,2.2587,85467.0,0.0,1.0
2000-04-11,17.25,17.25,16.69,16.81,2.2334,58200.0,0.0,1.0
2000-04-12,16.94,17.38,16.5,16.63,2.2095,219067.0,0.0,1.0
2000-04-13,16.75,17.25,16.63,17.13,2.2759,107800.0,0.0,1.0
2000-04-14,17.06,17.06,16.06,16.38,2.1763,201600.0,0.0,1.0
2000-04-17,16.56,17.13,16.38,16.75,2.2255,214000.0,0.0,1.0
2000-04-18,16.69,16.69,16.25,16.63,2.2095,84467.0,0.0,1.0
2000-04-19,16.56,16.56,16.0,16.38,2.1763,127467.0,0.0,1.0
2000-04-20,16.38,17.0,16.25,16.75,2.2255,76000.0,0.0,1.0
2000-04-24,16.63,17.06,16.5,16.88,2.2427,85667.0,0.0,1.0
2000-04-25,16.81,16.81,16.13,16.13,2.1431,115267.0,0.0,1.0
2000-04-26,16.13,16.75,16.0,16.69,2.2175,79467.0,0.0,1.0
2000-04-27,16.31,16.81,16.06,16.81,2.2334,73267.0,0.0,1.0
2000-04-28,17.06,18.38,17.06,17.88,2.3756,223600.0,0.0,1.0
2000-05-01,17.94,19.06,17.88,18.88,2.5085,170200.0,0.0,1.0
2000-05-02,18.63,19.06,18.38,19.0,2.5244,78867.0,0.0,1.0
2000-05-03,19.0,19.0,18.56,18.81,2.4992,47267.0,0.0,1.0
2000-05-04,18.88,19.5,18.88,19.19,2.5496,87000.0,0.0,1.0
2000-05-05,19.13,19.69,19.06,19.63,2.6081,70800.0,0.0,1.0
2000-05-08,19.63,19.63,18.94,19.19,2.5496,85800.0,0.0,1.0
2000-05-09,19.38,19.38,18.63,19.06,2.5324,124067.0,0.0,1.0
2000-05-10,19.0,19.0,18.38,18.94,2.5257,80867.0,0.07,1.0
2000-05-11,19.06,19.19,18.81,19.19,2.5591,72867.0,0.0,1.0
2000-05-12,19.25,19.25,18.13,18.19,2.4257,92667.0,0.0,1.0
2000-05-15,18.19,18.56,17.81,18.56,2.4751,112067.0,0.0,1.0
2000-05-16,18.75,18.88,18.06,18.44,2.459,75200.0,0.0,1.0
2000-05-17,18.44,18.5,18.13,18.25,2.4337,35800.0,0.0,1.0
2000-05-18,18.19,18.38,18.06,18.25,2.4337,41200.0,0.0,1.0
2000-05-19,18.13,18.19,17.56,17.88,2.3844,56200.0,0.0,1.0
2000-05-22,17.75,17.94,17.5,17.81,2.375,44000.0,0.0,1.0
2000-05-23,17.81,18.0,17.56,17.63,2.351,37667.0,0.0,1.0
2000-05-24,17.69,18.44,17.63,18.19,2.4257,53000.0,0.0,1.0
2000-05-25,18.19,18.56,17.5,17.5,2.3337,75667.0,0.0,1.0
2000-05-26,17.56,17.88,17.44,17.69,2.359,31000.0,0.0,1.0
2000-05-30,17.56,18.13,17.56,17.94,2.3924,33800.0,0.0,1.0
2000-05-31,17.94,18.0,17.81,17.94,2.3924,80400.0,0.0,1.0
2000-06-01,18.13,19.5,18.13,19.0,2.5337,112667.0,0.0,1.0
2000-06-02,19.13,19.5,18.75,18.94,2.5257,47867.0,0.0,1.0
2000-06-05,18.5,18.75,18.31,18.5,2.4671,39467.0,0.0,1.0
2000-06-06,18.38,19.0,18.38,18.44,2.459,43400.0,0.0,1.0
2000-06-07,18.56,18.94,18.25,18.38,2.451,44200.0,0.0,1.0
2000-06-08,18.44,18.63,18.06,18.44,2.459,67067.0,0.0,1.0
2000-06-09,18.44,18.63,18.31,18.56,2.4751,74067.0,0.0,1.0
2000-06-12,18.69,19.0,18.38,19.0,2.5337,72800.0,0.0,1.0
2000-06-13,19.0,19.44,18.75,19.44,2.5924,79467.0,0.0,1.0
2000-06-14,19.44,19.44,19.0,19.19,2.5591,37000.0,0.0,1.0
2000-06-15,19.25,20.5,19.13,20.38,2.7178,142400.0,0.0,1.0
2000-06-16,20.5,20.88,19.44,19.44,2.5924,204200.0,0.0,1.0
2000-06-19,19.19,19.56,19.0,19.56,2.6084,54067.0,0.0,1.0
2000-06-20,19.81,19.81,19.38,19.69,2.6257,78067.0,0.0,1.0
2000-06-21,19.75,19.88,19.56,19.63,2.6177,46067.0,0.0,1.0
2000-06-22,19.63,19.63,18.81,18.88,2.5177,85467.0,0.0,1.0
2000-06-23,18.69,18.94,18.25,18.56,2.4751,136667.0,0.0,1.0
2000-06-26,18.56,19.38,18.44,19.38,2.5844,56800.0,0.0,1.0
2000-06-27,19.38,19.63,18.81,19.0,2.5337,75667.0,0.0,1.0
2000-06-28,19.0,19.5,18.31,19.44,2.5924,178667.0,0.0,1.0
2000-06-29,19.31,19.31,19.0,19.06,2.5417,50867.0,0.0,1.0
2000-06-30,19.13,19.13,18.0,18.0,2.4004,144467.0,0.0,1.0
2000-07-03,17.75,19.0,17.75,18.88,2.5177,123267.0,0.0,1.0
2000-07-05,18.88,18.94,18.44,18.44,2.459,77867.0,0.0,1.0
2000-07-06,18.5,18.63,18.31,18.31,2.4417,115667.0,0.0,1.0
2000-07-07,18.31,18.81,18.25,18.44,2.459,215400.0,0.0,1.0
2000-07-10,18.5,19.19,18.5,19.0,2.5337,65667.0,0.0,1.0
2000-07-11,19.0,19.63,18.75,18.88,2.5177,84000.0,0.0,1.0
2000-07-12,18.88,19.38,18.88,18.88,2.5177,40467.0,0.0,1.0
2000-07-13,18.75,18.81,18.0,18.06,2.4084,60067.0,0.0,1.0
2000-07-14,18.13,18.81,18.13,18.25,2.4337,64067.0,0.0,1.0
2000-07-17,18.31,18.44,18.13,18.31,2.4417,33400.0,0.0,1.0
2000-07-18,18.13,18.88,18.13,18.31,2.4417,78067.0,0.0,1.0
2000-07-19,18.25,18.94,18.25,18.5,2.4671,73067.0,0.0,1.0
2000-07-20,18.75,18.75,18.25,18.44,2.459,33000.0,0.0,1.0
2000-07-21,18.38,18.63,17.94,18.06,2.4084,79267.0,0.0,1.0
2000-07-24,18.06,18.13,17.69,17.69,2.359,49467.0,0.0,1.0
2000-07-25,17.81,18.88,17.69,18.63,2.4844,68667.0,0.0,1.0
2000-07-26,18.56,18.94,18.25,18.94,2.5257,54467.0,0.0,1.0
2000-07-27,18.75,18.81,18.19,18.19,2.4257,39667.0,0.0,1.0
2000-07-28,18.25,18.5,18.06,18.19,2.4257,27067.0,0.0,1.0
2000-07-31,18.19,18.44,17.63,17.75,2.367,59667.0,0.0,1.0
2000-08-01,17.69,18.13,17.56,18.06,2.4084,26600.0,0.0,1.0
2000-08-02,18.0,18.0,17.56,17.63,2.351,64867.0,0.0,1.0
2000-08-03,17.63,19.5,17.63,18.81,2.5084,158800.0,0.0,1.0
2000-08-04,18.88,19.31,18.88,19.13,2.5511,113267.0,0.0,1.0
2000-08-07,19.25,19.38,17.81,17.88,2.3844,166800.0,0.0,1.0
2000-08-08,17.88,18.0,17.56,17.56,2.3417,45667.0,0.0,1.0
2000-08-09,17.5,17.69,17.31,17.56,2.351,96200.0,0.07,1.0
2000-08-10,18.0,18.63,18.0,18.31,2.4514,104400.0,0.0,1.0
2000-08-11,18.31,18.94,18.31,18.81,2.5184,69667.0,0.0,1.0
2000-08-14,18.81,19.19,18.81,18.88,2.5278,38400.0,0.0,1.0
2000-08-15,18.88,19.0,18.63,18.63,2.4943,54667.0,0.0,1.0
2000-08-16,18.75,18.75,18.0,18.06,2.418,38467.0,0.0,1.0
2000-08-17,18.13,18.13,18.0,18.06,2.418,22867.0,0.0,1.0
2000-08-18,18.06,18.13,17.88,17.94,2.4019,60067.0,0.0,1.0
2000-08-21,17.94,18.13,17.81,17.94,2.4019,23467.0,0.0,1.0
2000-08-22,18.0,18.19,17.81,17.88,2.3939,52067.0,0.0,1.0
