date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,40.0,40.0,38.88,39.12,7.226,257400.0,0.0,1.0
2000-01-04,38.5,38.5,37.81,37.81,6.984,201400.0,0.0,1.0
2000-01-05,37.5,37.75,37.5,37.63,6.9508,202400.0,0.0,1.0
2000-01-06,37.0,37.5,37.0,37.5,6.9268,267700.0,0.0,1.0
2000-01-07,37.56,38.0,37.19,38.0,7.0191,138700.0,0.0,1.0
2000-01-10,38.25,39.88,38.0,39.69,7.3313,75200.0,0.0,1.0
2000-01-11,39.5,39.88,38.81,39.06,7.2149,61900.0,0.0,1.0
2000-01-12,39.13,39.88,39.0,39.38,7.274,120700.0,0.0,1.0
2000-01-13,39.25,39.88,39.25,39.75,7.3424,30700.0,0.0,1.0
2000-01-14,39.5,40.13,39.44,40.0,7.3885,76000.0,0.0,1.0
2000-01-18,39.81,40.0,39.63,39.69,7.3313,52000.0,0.0,1.0
2000-01-19,39.56,40.94,39.5,40.88,7.5511,88300.0,0.0,1.0
2000-01-20,40.81,40.81,40.19,40.44,7.4698,65600.0,0.0,1.0
2000-01-21,40.41,40.41,39.25,39.31,7.2611,134500.0,0.0,1.0
2000-01-24,39.5,41.38,39.25,41.19,7.6083,151500.0,0.0,1.0
2000-01-25,41.13,42.06,40.19,40.5,7.4809,281700.0,0.0,1.0
2000-01-26,40.88,40.88,39.56,40.75,7.5271,198700.0,0.0,1.0
2000-01-27,40.75,40.75,39.88,39.94,7.3775,27900.0,0.0,1.0
2000-01-28,39.88,41.5,39.75,41.5,7.6656,122100.0,0.0,1.0
2000-01-31,41.06,42.13,40.0,40.69,7.516,94000.0,0.0,1.0
2000-02-01,40.75,41.25,39.38,41.25,7.6194,102800.0,0.0,1.0
2000-02-02,40.78,43.0,40.5,42.5,7.8503,198400.0,0.0,1.0
2000-02-03,42.56,42.63,42.0,42.5,7.8503,46000.0,0.0,1.0
2000-02-04,42.5,43.06,42.31,42.81,7.9076,72600.0,0.0,1.0
2000-02-07,42.63,43.5,42.05,43.5,8.035,105600.0,0.0,1.0
2000-02-08,43.5,45.25,43.44,44.19,8.1625,171500.0,0.0,1.0
2000-02-09,44.25,49.0,44.25,47.88,8.8441,367800.0,0.0,1.0
2000-02-10,48.25,48.38,47.13,47.19,8.7166,174000.0,0.0,1.0
2000-02-11,47.63,47.63,43.56,43.56,8.0461,243200.0,0.0,1.0
2000-02-14,44.13,44.25,41.75,43.25,7.9889,121100.0,0.0,1.0
2000-02-15,43.25,43.5,41.13,41.75,7.7118,179500.0,0.0,1.0
2000-02-16,42.25,42.88,42.23,42.5,7.8503,66700.0,0.0,1.0
2000-02-17,42.72,42.94,41.88,42.13,7.782,70600.0,0.0,1.0
2000-02-18,42.5,42.5,40.75,40.75,7.5271,56000.0,0.0,1.0
2000-02-22,40.63,42.13,40.0,41.5,7.6656,122200.0,0.0,1.0
2000-02-23,44.5,46.25,43.88,44.69,8.2548,682000.0,0.0,1.0
2000-02-24,44.5,46.5,44.38,45.25,8.3583,365800.0,0.0,1.0
2000-02-25,45.38,46.38,45.25,45.91,8.4802,234600.0,0.0,1.0
2000-02-28,46.0,50.13,45.56,49.5,9.1433,336900.0,0.0,1.0
2000-02-29,49.5,51.38,48.88,51.0,9.4204,2922200.0,0.0,1.0
2000-03-01,50.41,50.56,49.81,50.25,9.2818,808500.0,0.0,1.0
2000-03-02,50.38,50.44,49.63,49.66,9.1729,600400.0,0.0,1.0
2000-03-03,50.0,50.05,49.56,49.63,9.1673,476500.0,0.0,1.0
2000-03-06,49.69,49.69,49.5,49.56,9.1692,178700.0,0.08,1.0
2000-03-07,49.5,50.94,49.38,50.94,9.4245,214800.0,0.0,1.0
2000-03-08,50.38,51.88,50.38,50.88,9.4134,203000.0,0.0,1.0
2000-03-09,51.25,51.25,50.38,50.38,9.3209,84600.0,0.0,1.0
2000-03-10,50.38,50.44,49.38,49.44,9.147,122000.0,0.0,1.0
2000-03-13,49.25,49.25,47.5,48.63,8.9971,140100.0,0.0,1.0
2000-03-14,48.63,48.88,43.38,46.06,8.5216,405500.0,0.0,1.0
2000-03-15,46.25,46.5,45.38,45.44,8.4069,589600.0,0.0,1.0
2000-03-16,45.63,46.0,42.88,44.06,8.1516,253100.0,0.0,1.0
2000-03-17,42.22,43.06,41.69,41.69,7.7131,240100.0,0.0,1.0
2000-03-20,43.38,43.5,40.0,40.13,7.4245,244100.0,0.0,1.0
2000-03-21,40.63,41.13,39.31,41.06,7.5966,151200.0,0.0,1.0
2000-03-22,41.56,42.06,41.13,42.06,7.7816,143700.0,0.0,1.0
2000-03-23,42.0,42.25,41.69,42.06,7.7816,265000.0,0.0,1.0
2000-03-24,42.5,42.5,42.0,42.0,7.7705,143400.0,0.0,1.0
2000-03-27,42.38,42.38,41.44,41.88,7.7483,57000.0,0.0,1.0
