date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,64.0,64.0,62.0,62.25,21.2864,1217400.0,0.0,1.0
2000-01-04,61.25,61.94,60.5,60.63,20.7324,1179200.0,0.0,1.0
2000-01-05,60.75,61.25,58.5,58.63,20.0485,1584700.0,0.0,1.0
2000-01-06,58.0,60.0,57.88,58.44,19.9836,2901100.0,0.0,1.0
2000-01-07,59.13,62.31,58.0,61.94,21.1804,2785100.0,0.0,1.0
2000-01-10,63.5,63.63,61.75,63.63,21.7583,1524800.0,0.0,1.0
2000-01-11,63.0,64.81,62.94,63.94,21.8643,1925400.0,0.0,1.0
2000-01-12,63.25,64.44,62.81,64.38,22.0147,1166300.0,0.0,1.0
2000-01-13,64.13,65.69,63.81,64.81,22.1618,1321500.0,0.0,1.0
2000-01-14,66.0,66.75,62.06,63.31,21.6489,2347900.0,0.0,1.0
2000-01-18,63.06,63.63,62.06,63.0,21.5428,1451000.0,0.0,1.0
2000-01-19,63.0,63.25,61.13,61.5,21.0299,1235100.0,0.0,1.0
2000-01-20,61.38,63.75,60.5,61.94,21.1804,1541000.0,0.0,1.0
2000-01-21,63.25,63.25,60.38,61.31,20.965,1821100.0,0.0,1.0
2000-01-24,62.75,63.0,60.5,60.69,20.807,1512400.0,0.158,1.0
2000-01-25,61.75,61.81,59.25,59.63,20.4436,964500.0,0.0,1.0
2000-01-26,59.75,60.63,58.94,60.19,20.6356,684000.0,0.0,1.0
2000-01-27,59.75,61.31,59.75,60.31,20.6767,1037600.0,0.0,1.0
2000-01-28,60.56,61.13,58.5,59.5,20.399,1569200.0,0.0,1.0
2000-01-31,58.75,59.69,58.5,59.25,20.3133,1705900.0,0.0,1.0
2000-02-01,59.25,60.19,58.44,59.63,20.4436,1545400.0,0.0,1.0
2000-02-02,60.5,61.56,59.75,61.31,21.0195,1505200.0,0.0,1.0
2000-02-03,61.0,61.75,58.38,60.0,20.5704,2134300.0,0.0,1.0
2000-02-04,56.25,59.56,55.0,56.25,19.2848,3248900.0,0.0,1.0
2000-02-07,56.25,56.81,53.56,56.38,19.3293,2953100.0,0.0,1.0
