date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,46.25,46.25,44.56,45.0,26.7817,1102400.0,0.0,1.0
2000-01-04,44.63,44.63,42.94,43.13,25.6688,665700.0,0.0,1.0
2000-01-05,42.63,43.5,42.63,43.0,25.5914,774000.0,0.0,1.0
2000-01-06,43.0,44.5,43.0,44.25,26.3353,573100.0,0.0,1.0
2000-01-07,44.38,44.5,43.88,44.19,26.2996,490800.0,0.0,1.0
2000-01-10,42.75,44.0,42.44,42.75,25.4426,592100.0,0.0,1.0
2000-01-11,42.25,42.25,41.44,41.63,24.776,646700.0,0.0,1.0
2000-01-12,41.63,42.5,41.56,42.38,25.2224,572700.0,0.0,1.0
2000-01-13,42.5,43.25,42.44,42.81,25.4783,1152500.0,0.0,1.0
2000-01-14,43.75,44.38,43.56,44.06,26.2223,698400.0,0.0,1.0
2000-01-18,44.0,44.0,42.5,43.06,25.6271,462200.0,0.0,1.0
2000-01-19,43.25,44.13,43.13,43.19,25.7045,986900.0,0.0,1.0
2000-01-20,43.19,43.19,41.31,41.31,24.5856,734800.0,0.0,1.0
2000-01-21,41.31,41.38,40.56,40.81,24.288,646900.0,0.0,1.0
2000-01-24,41.06,41.31,40.06,40.44,24.0678,491400.0,0.0,1.0
2000-01-25,40.19,41.0,40.06,40.38,24.0321,513900.0,0.0,1.0
2000-01-26,40.0,42.38,39.94,42.19,25.1093,501700.0,0.0,1.0
2000-01-27,42.31,43.0,42.13,42.88,25.52,454100.0,0.0,1.0
2000-01-28,42.88,43.06,42.13,42.5,25.2938,1044000.0,0.0,1.0
2000-01-31,42.88,44.44,42.75,44.19,26.2996,542400.0,0.0,1.0
2000-02-01,44.25,44.5,43.88,44.06,26.2223,713300.0,0.0,1.0
2000-02-02,44.06,44.13,43.75,43.81,26.0735,673800.0,0.0,1.0
2000-02-03,43.75,44.06,43.25,44.0,26.1866,838100.0,0.0,1.0
2000-02-04,43.31,44.25,43.31,43.31,25.7759,698000.0,0.0,1.0
2000-02-07,43.31,43.38,42.25,42.44,25.2581,397800.0,0.0,1.0
2000-02-08,42.69,43.38,42.63,42.75,25.4426,344100.0,0.0,1.0
2000-02-09,42.63,42.75,41.88,41.94,24.9605,409300.0,0.0,1.0
2000-02-10,41.75,41.81,40.0,40.31,23.9905,531800.0,0.0,1.0
2000-02-11,40.25,41.44,39.88,40.38,24.0321,660500.0,0.0,1.0
2000-02-14,40.38,40.75,39.5,39.81,23.6929,390800.0,0.0,1.0
2000-02-15,39.88,40.94,39.44,40.63,24.1809,414700.0,0.0,1.0
2000-02-16,40.38,40.94,39.69,40.56,24.1392,520100.0,0.0,1.0
2000-02-17,40.88,41.25,39.44,39.75,23.6572,490800.0,0.0,1.0
2000-02-18,39.5,39.5,37.31,38.0,22.6157,946500.0,0.0,1.0
2000-02-22,38.0,38.5,36.88,37.75,22.4669,1064300.0,0.0,1.0
2000-02-23,37.13,37.25,36.44,37.06,22.0562,799700.0,0.0,1.0
2000-02-24,37.19,37.19,35.75,36.75,21.8717,801000.0,0.0,1.0
2000-02-25,36.5,37.75,35.0,35.31,21.0147,1301200.0,0.0,1.0
2000-02-28,36.25,38.0,36.13,37.63,22.3955,997700.0,0.0,1.0
2000-02-29,37.63,37.63,36.19,36.81,21.9074,461200.0,0.0,1.0
2000-03-01,36.56,36.69,35.69,36.25,21.5741,483600.0,0.0,1.0
2000-03-02,35.88,36.0,34.94,35.81,21.3123,457200.0,0.0,1.0
2000-03-03,36.81,36.88,35.69,36.69,21.836,633700.0,0.0,1.0
2000-03-06,36.38,36.69,35.88,36.19,21.5384,351700.0,0.0,1.0
2000-03-07,36.13,36.13,34.31,34.75,20.6814,412500.0,0.0,1.0
2000-03-08,35.0,35.0,33.44,33.81,20.122,605000.0,0.0,1.0
2000-03-09,33.75,34.38,33.75,34.13,20.3124,429500.0,0.0,1.0
2000-03-10,34.31,34.56,34.0,34.06,20.2708,347300.0,0.0,1.0
2000-03-13,33.38,34.44,32.94,34.06,20.5088,426100.0,0.4,1.0
2000-03-14,33.81,35.19,33.31,34.25,20.6232,773800.0,0.0,1.0
2000-03-15,34.19,37.0,34.19,37.0,22.2791,1151200.0,0.0,1.0
2000-03-16,39.75,43.0,39.38,41.44,24.9526,1825200.0,0.0,1.0
2000-03-17,41.56,42.63,41.31,41.5,24.9887,785500.0,0.0,1.0
2000-03-20,41.25,41.25,39.38,39.56,23.8206,438400.0,0.0,1.0
2000-03-21,39.75,42.63,39.75,42.13,25.3681,760700.0,0.0,1.0
2000-03-22,42.13,43.13,41.75,43.0,25.8919,696300.0,0.0,1.0
2000-03-23,43.0,44.31,42.38,44.19,26.6085,703000.0,0.0,1.0
2000-03-24,44.0,44.5,42.88,43.44,26.1569,989700.0,0.0,1.0
2000-03-27,43.31,43.38,41.75,42.06,25.3259,717400.0,0.0,1.0
2000-03-28,42.13,43.38,41.75,42.5,25.5909,692800.0,0.0,1.0
