date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,48.44,49.0,46.75,46.75,12.9916,777867.0,0.0,1.0
2000-01-04,45.63,47.13,42.0,43.25,12.019,354467.0,0.0,1.0
2000-01-05,42.75,43.0,40.88,42.06,11.6883,276267.0,0.0,1.0
2000-01-06,41.75,45.13,41.38,43.75,12.1579,367667.0,0.0,1.0
2000-01-07,43.88,43.88,41.63,42.38,11.7772,246200.0,0.0,1.0
2000-01-10,45.69,49.25,44.88,47.81,13.2862,780067.0,0.0,1.0
2000-01-11,48.5,48.75,43.0,43.44,12.0718,704667.0,0.0,1.0
2000-01-12,43.88,46.88,42.88,45.19,12.5581,510000.0,0.0,1.0
2000-01-13,45.94,47.94,45.81,47.75,13.2695,241200.0,0.0,1.0
2000-01-14,48.56,49.63,48.0,48.81,13.5641,328600.0,0.0,1.0
2000-01-18,48.13,49.38,46.94,48.5,13.4779,570867.0,0.0,1.0
2000-01-19,49.0,52.0,48.88,51.44,14.295,607667.0,0.0,1.0
2000-01-20,52.03,52.38,49.38,49.88,13.8614,280400.0,0.0,1.0
2000-01-21,50.38,50.75,48.81,49.63,13.792,271800.0,0.0,1.0
2000-01-24,50.0,50.44,48.19,48.5,13.4779,202467.0,0.0,1.0
2000-01-25,47.75,48.0,44.63,45.69,12.6971,249600.0,0.0,1.0
2000-01-26,45.56,47.0,44.88,46.56,12.9388,175000.0,0.0,1.0
2000-01-27,46.88,49.73,46.31,46.56,12.9388,163000.0,0.0,1.0
2000-01-28,46.31,46.31,42.88,43.0,11.9495,179467.0,0.0,1.0
2000-01-31,43.53,43.56,40.75,43.13,11.9856,300600.0,0.0,1.0
2000-02-01,43.06,44.56,41.88,44.25,12.2969,156800.0,0.0,1.0
2000-02-02,45.63,48.0,44.88,46.88,13.0278,197400.0,0.0,1.0
2000-02-03,48.34,48.5,45.75,48.31,13.4251,179200.0,0.0,1.0
2000-02-04,48.41,49.38,48.19,48.5,13.4779,187200.0,0.0,1.0
2000-02-07,49.44,49.5,47.0,47.63,13.2362,190267.0,0.0,1.0
2000-02-08,48.38,48.38,47.13,47.81,13.2862,108067.0,0.0,1.0
2000-02-09,48.0,48.06,45.38,45.38,12.6109,100200.0,0.0,1.0
2000-02-10,45.5,46.63,45.0,46.63,12.9583,105467.0,0.0,1.0
2000-02-11,46.63,47.0,46.06,46.5,12.9222,142600.0,0.0,1.0
2000-02-14,46.38,46.63,44.06,44.44,12.3497,120067.0,0.0,1.0
2000-02-15,44.47,46.72,43.95,45.75,12.7137,86800.0,0.0,1.0
2000-02-16,45.38,45.38,43.0,43.38,12.0551,131600.0,0.0,1.0
2000-02-17,43.81,44.19,41.31,43.06,11.9662,168000.0,0.0,1.0
2000-02-18,43.06,43.13,39.5,39.5,10.9769,130267.0,0.0,1.0
2000-02-22,39.84,41.0,39.38,40.0,11.1158,373667.0,0.0,1.0
2000-02-23,40.38,42.88,39.75,42.31,11.7578,188000.0,0.0,1.0
2000-02-24,42.81,42.81,38.88,39.63,11.013,122200.0,0.0,1.0
2000-02-25,39.63,42.38,39.5,41.75,11.6021,200867.0,0.0,1.0
2000-02-28,42.25,42.81,40.88,41.38,11.4993,355667.0,0.0,1.0
2000-02-29,42.06,42.06,39.19,40.0,11.1158,273000.0,0.0,1.0
2000-03-01,39.97,41.31,37.25,40.63,11.2909,556200.0,0.0,1.0
2000-03-02,40.94,41.5,38.0,38.38,10.6656,275667.0,0.0,1.0
2000-03-03,38.75,39.88,37.5,39.31,10.9241,334400.0,0.0,1.0
2000-03-06,39.81,40.0,38.75,39.13,10.8741,231667.0,0.0,1.0
2000-03-07,39.66,39.75,38.25,38.44,10.6823,157467.0,0.0,1.0
2000-03-08,38.5,39.5,38.31,39.25,10.9074,129267.0,0.0,1.0
2000-03-09,39.25,39.81,38.06,39.81,11.063,339467.0,0.0,1.0
2000-03-10,39.56,40.31,38.06,38.13,10.5962,453667.0,0.0,1.0
2000-03-13,38.31,38.31,35.5,36.25,10.0737,767400.0,0.0,1.0
2000-03-14,36.81,37.31,34.56,36.5,10.1432,433200.0,0.0,1.0
2000-03-15,37.75,38.75,37.0,38.06,10.5767,348400.0,0.0,1.0
2000-03-16,38.75,40.69,38.25,40.69,11.3076,293200.0,0.0,1.0
2000-03-17,39.88,40.28,39.0,39.31,10.9241,83067.0,0.0,1.0
2000-03-20,39.88,40.69,38.63,38.69,10.7518,235200.0,0.0,1.0
2000-03-21,39.0,39.5,37.56,38.31,10.6462,288400.0,0.0,1.0
2000-03-22,38.25,38.31,36.81,37.5,10.4211,648667.0,0.0,1.0
2000-03-23,36.94,38.19,36.38,37.94,10.5434,447267.0,0.0,1.0
2000-03-24,38.25,38.44,36.87,37.81,10.5072,580200.0,0.0,1.0
2000-03-27,37.63,38.81,36.13,38.19,10.6128,391200.0,0.0,1.0
2000-03-28,38.25,38.25,36.38,36.56,10.1599,265867.0,0.0,1.0
2000-03-29,36.5,37.19,36.0,36.88,10.2488,259667.0,0.0,1.0
2000-03-30,36.75,38.38,36.63,37.38,10.3877,211667.0,0.0,1.0
2000-03-31,37.63,41.25,37.63,41.25,11.4632,233267.0,0.0,1.0
2000-04-03,40.13,42.75,40.0,41.75,11.6021,287200.0,0.0,1.0
2000-04-04,41.5,43.25,38.25,40.94,11.3771,322000.0,0.0,1.0
2000-04-05,39.75,41.44,38.88,38.94,10.8213,234400.0,0.0,1.0
2000-04-06,39.44,39.81,38.13,39.22,10.8991,141200.0,0.0,1.0
2000-04-07,39.38,39.69,38.63,39.31,10.9241,50800.0,0.0,1.0
2000-04-10,38.56,39.31,37.75,37.75,10.4906,98400.0,0.0,1.0
2000-04-11,37.91,38.0,36.0,36.13,10.0404,305267.0,0.0,1.0
2000-04-12,36.25,40.31,36.06,39.56,10.9936,400600.0,0.0,1.0
2000-04-13,39.56,40.5,36.94,36.94,10.2655,116000.0,0.0,1.0
2000-04-14,36.5,37.13,35.0,35.06,9.743,394600.0,0.0,1.0
2000-04-17,35.25,36.44,33.5,36.44,10.1265,433867.0,0.0,1.0
2000-04-18,36.0,36.25,34.75,35.81,9.9514,387067.0,0.0,1.0
2000-04-19,36.13,36.5,35.44,36.13,10.0404,294200.0,0.0,1.0
2000-04-20,35.88,36.5,34.63,36.31,10.0904,152267.0,0.0,1.0
2000-04-24,35.81,38.0,34.75,37.75,10.4906,251400.0,0.0,1.0
2000-04-25,37.88,40.69,36.94,40.5,11.2548,253200.0,0.0,1.0
