date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,30.94,31.0,29.5,29.5,16.5628,1615200.0,0.0,1.0
2000-01-04,29.56,30.0,29.56,29.88,16.7762,456400.0,0.0,1.0
2000-01-05,29.81,31.0,29.69,30.75,17.2646,1842300.0,0.0,1.0
2000-01-06,30.69,31.13,30.13,30.44,17.0906,366500.0,0.0,1.0
2000-01-07,30.88,31.25,30.63,31.13,17.478,531300.0,0.0,1.0
2000-01-10,30.94,31.31,30.44,30.69,17.231,257800.0,0.0,1.0
2000-01-11,30.56,31.56,30.56,31.5,17.6857,1471100.0,0.0,1.0
2000-01-12,31.31,31.5,31.06,31.31,17.5791,1518200.0,0.0,1.0
2000-01-13,31.56,32.0,31.31,31.63,17.7587,492700.0,0.0,1.0
2000-01-14,31.63,31.63,30.88,31.19,17.5117,276700.0,0.0,1.0
2000-01-18,31.0,31.0,30.44,30.56,17.158,418900.0,0.0,1.0
2000-01-19,30.63,31.13,30.5,30.88,17.3376,512300.0,0.0,1.0
2000-01-20,30.94,31.13,30.31,30.94,17.3713,391500.0,0.0,1.0
2000-01-21,31.0,31.63,30.63,31.38,17.6184,567300.0,0.0,1.0
2000-01-24,31.5,32.06,31.25,31.25,17.5454,657300.0,0.0,1.0
2000-01-25,31.31,31.31,30.5,30.69,17.231,714500.0,0.0,1.0
2000-01-26,30.88,30.88,30.0,30.44,17.0906,1105700.0,0.0,1.0
2000-01-27,30.69,30.69,29.94,30.0,16.8436,572300.0,0.0,1.0
2000-01-28,29.75,30.25,29.44,29.5,16.5628,514300.0,0.0,1.0
2000-01-31,29.75,30.38,29.31,30.0,16.8436,982200.0,0.0,1.0
2000-02-01,26.13,26.63,22.75,23.5,13.1941,4026100.0,0.0,1.0
2000-02-02,23.0,23.0,20.31,21.38,12.0038,6256700.0,0.0,1.0
2000-02-03,21.19,22.31,21.06,21.94,12.3183,5044000.0,0.0,1.0
2000-02-04,21.88,22.0,20.13,20.38,11.6473,3314200.0,0.365,1.0
2000-02-07,20.38,20.56,20.06,20.31,11.6073,698100.0,0.0,1.0
2000-02-08,20.38,20.69,20.25,20.31,11.6073,807100.0,0.0,1.0
2000-02-09,20.31,20.38,19.81,19.94,11.3959,1282000.0,0.0,1.0
2000-02-10,19.94,19.94,18.06,18.75,10.7158,2792300.0,0.0,1.0
2000-02-11,18.81,18.81,18.06,18.63,10.6472,1121200.0,0.0,1.0
2000-02-14,18.75,19.38,18.63,19.19,10.9672,714400.0,0.0,1.0
2000-02-15,19.5,19.75,19.25,19.38,11.0758,746200.0,0.0,1.0
2000-02-16,19.13,19.31,18.5,18.69,10.6815,920000.0,0.0,1.0
2000-02-17,18.69,18.69,18.0,18.38,10.5043,1281500.0,0.0,1.0
2000-02-18,18.31,18.5,17.94,18.31,10.4643,907200.0,0.0,1.0
2000-02-22,18.31,18.38,17.94,18.25,10.43,685400.0,0.0,1.0
2000-02-23,18.44,18.44,17.5,17.56,10.0357,1077400.0,0.0,1.0
2000-02-24,17.69,17.69,16.88,17.0,9.7156,697500.0,0.0,1.0
2000-02-25,17.0,17.0,16.19,16.44,9.3956,757300.0,0.0,1.0
2000-02-28,16.69,16.69,16.06,16.5,9.4299,816200.0,0.0,1.0
2000-02-29,16.63,16.94,16.56,16.75,9.5727,914200.0,0.0,1.0
2000-03-01,16.75,17.0,16.69,16.94,9.6813,487000.0,0.0,1.0
2000-03-02,16.94,17.25,16.88,16.88,9.647,1122500.0,0.0,1.0
2000-03-03,17.0,17.13,16.81,17.06,9.7499,899300.0,0.0,1.0
2000-03-06,17.75,18.0,17.0,17.31,9.8928,1817500.0,0.0,1.0
2000-03-07,17.31,17.5,17.13,17.25,9.8585,842300.0,0.0,1.0
2000-03-08,17.25,17.38,17.06,17.19,9.8242,850000.0,0.0,1.0
2000-03-09,17.19,17.25,16.88,17.13,9.7899,589200.0,0.0,1.0
2000-03-10,17.06,17.38,17.06,17.19,9.8242,450800.0,0.0,1.0
2000-03-13,17.25,17.44,17.13,17.19,9.8242,537800.0,0.0,1.0
2000-03-14,17.25,17.5,17.06,17.5,10.0014,1938700.0,0.0,1.0
2000-03-15,17.5,18.88,17.31,17.88,10.2186,2766700.0,0.0,1.0
2000-03-16,19.13,19.63,18.75,19.44,11.1101,455000.0,0.0,1.0
2000-03-17,19.5,19.69,19.0,19.06,10.8929,819300.0,0.0,1.0
2000-03-20,19.25,19.56,19.19,19.44,11.1101,579900.0,0.0,1.0
2000-03-21,19.31,19.63,19.13,19.38,11.0758,431100.0,0.0,1.0
2000-03-22,19.38,19.56,18.44,18.88,10.7901,1017200.0,0.0,1.0
2000-03-23,19.06,19.13,18.5,19.0,10.8586,709900.0,0.0,1.0
2000-03-24,19.0,19.31,18.81,19.06,10.8929,328400.0,0.0,1.0
2000-03-27,19.25,19.75,19.0,19.0,10.8586,625600.0,0.0,1.0
2000-03-28,19.06,19.38,18.75,18.94,10.8244,835300.0,0.0,1.0
2000-03-29,18.69,19.25,18.63,18.88,10.7901,851200.0,0.0,1.0
2000-03-30,19.25,19.38,18.63,18.75,10.7158,946900.0,0.0,1.0
2000-03-31,18.75,18.75,18.0,18.13,10.3614,2418300.0,0.0,1.0
2000-04-03,18.19,18.25,17.88,18.0,10.2871,1082900.0,0.0,1.0
2000-04-04,18.0,18.63,17.75,18.19,10.3957,661400.0,0.0,1.0
2000-04-05,18.19,18.69,18.06,18.44,10.5386,681100.0,0.0,1.0
2000-04-06,18.5,18.56,18.25,18.25,10.43,677200.0,0.0,1.0
2000-04-07,18.31,18.38,18.19,18.25,10.43,786100.0,0.0,1.0
2000-04-10,18.25,18.63,18.06,18.44,10.5386,456700.0,0.0,1.0
2000-04-11,18.69,18.75,18.5,18.56,10.6072,406700.0,0.0,1.0
2000-04-12,18.63,19.19,18.63,18.75,10.7158,609500.0,0.0,1.0
2000-04-13,18.63,19.69,18.63,19.5,11.1444,1084900.0,0.0,1.0
2000-04-14,19.69,19.69,18.69,19.38,11.0758,815500.0,0.0,1.0
2000-04-17,19.25,19.38,18.63,19.38,11.0758,459700.0,0.0,1.0
2000-04-18,19.25,19.63,18.94,19.44,11.1101,926800.0,0.0,1.0
2000-04-19,18.88,19.19,18.88,19.19,10.9672,433500.0,0.0,1.0
2000-04-20,19.0,19.19,18.88,18.88,10.7901,314300.0,0.0,1.0
2000-04-24,18.94,19.56,18.75,19.5,11.1444,496600.0,0.0,1.0
2000-04-25,19.25,19.88,18.75,19.81,11.3216,591600.0,0.0,1.0
2000-04-26,19.88,19.88,19.25,19.5,11.1444,744100.0,0.0,1.0
2000-04-27,19.44,19.44,18.56,18.69,10.6815,3672100.0,0.0,1.0
2000-04-28,18.75,19.13,18.38,19.0,11.0672,3329900.0,0.365,1.0
2000-05-01,19.13,20.13,19.13,20.06,11.6847,2123000.0,0.0,1.0
2000-05-02,20.06,21.19,20.06,20.94,12.1973,3229800.0,0.0,1.0
2000-05-03,20.69,20.69,20.19,20.56,11.9759,593500.0,0.0,1.0
2000-05-04,20.63,21.75,20.44,21.38,12.4536,1067300.0,0.0,1.0
2000-05-05,21.38,21.38,20.75,21.06,12.2672,400100.0,0.0,1.0
2000-05-08,21.5,21.88,21.5,21.56,12.5584,1243100.0,0.0,1.0
2000-05-09,21.63,21.63,21.38,21.44,12.4885,860200.0,0.0,1.0
2000-05-10,21.44,21.44,21.13,21.31,12.4128,586400.0,0.0,1.0
2000-05-11,21.44,21.88,21.25,21.88,12.7448,997000.0,0.0,1.0
2000-05-12,21.94,22.19,21.19,21.25,12.3778,536400.0,0.0,1.0
2000-05-15,21.5,21.94,21.38,21.75,12.6691,1092100.0,0.0,1.0
2000-05-16,21.94,22.44,21.56,22.13,12.8904,495100.0,0.0,1.0
2000-05-17,22.38,22.38,21.63,21.81,12.704,425600.0,0.0,1.0
2000-05-18,21.69,22.63,21.56,22.13,12.8904,568700.0,0.0,1.0
2000-05-19,21.88,22.19,21.63,21.69,12.6341,505100.0,0.0,1.0
2000-05-22,21.81,22.06,21.56,21.88,12.7448,531600.0,0.0,1.0
2000-05-23,21.88,21.94,21.31,21.5,12.5235,599200.0,0.0,1.0
2000-05-24,21.75,22.63,21.69,22.06,12.8496,498700.0,0.0,1.0
2000-05-25,22.19,22.25,21.69,21.94,12.7798,703500.0,0.0,1.0
2000-05-26,21.81,22.5,21.75,22.38,13.036,322300.0,0.0,1.0
2000-05-30,22.75,22.94,22.0,22.13,12.8904,318700.0,0.0,1.0
2000-05-31,22.25,23.0,22.19,22.81,13.2865,819000.0,0.0,1.0
2000-06-01,23.25,23.5,23.06,23.13,13.4729,1701800.0,0.0,1.0
2000-06-02,23.5,23.69,23.13,23.5,13.6884,726200.0,0.0,1.0
2000-06-05,23.31,23.38,22.63,22.69,13.2166,552700.0,0.0,1.0
2000-06-06,22.75,23.13,22.25,22.44,13.071,564500.0,0.0,1.0
2000-06-07,22.69,22.88,22.31,22.31,12.9953,286400.0,0.0,1.0
2000-06-08,22.44,22.44,21.94,22.13,12.8904,302600.0,0.0,1.0
2000-06-09,22.31,22.69,22.25,22.69,13.2166,340100.0,0.0,1.0
2000-06-12,22.5,23.13,22.5,23.06,13.4321,661900.0,0.0,1.0
2000-06-13,23.13,23.19,22.75,22.88,13.3273,411600.0,0.0,1.0
2000-06-14,23.06,23.06,22.75,22.88,13.3273,339600.0,0.0,1.0
2000-06-15,22.75,23.31,22.75,23.31,13.5778,739400.0,0.0,1.0
2000-06-16,23.31,23.5,23.0,23.25,13.5428,1240000.0,0.0,1.0
2000-06-19,23.31,23.44,22.88,23.0,13.3972,438300.0,0.0,1.0
2000-06-20,22.88,23.0,22.63,22.63,13.1817,393400.0,0.0,1.0
2000-06-21,22.75,23.06,22.63,22.69,13.2166,436100.0,0.0,1.0
2000-06-22,22.94,22.94,22.38,22.69,13.2166,594100.0,0.0,1.0
2000-06-23,22.63,22.88,22.44,22.5,13.1059,1001600.0,0.0,1.0
2000-06-26,22.38,22.94,22.38,22.56,13.1409,725100.0,0.0,1.0
2000-06-27,22.81,22.81,22.13,22.25,12.9603,759900.0,0.0,1.0
2000-06-28,22.25,22.94,21.81,22.58,13.1525,482700.0,0.0,1.0
2000-06-29,22.44,23.0,22.25,22.5,13.1059,524300.0,0.0,1.0
2000-06-30,22.31,23.06,21.88,22.13,12.8904,966200.0,0.0,1.0
2000-07-03,22.19,23.31,22.06,22.88,13.3273,376800.0,0.0,1.0
2000-07-05,22.88,23.44,22.38,22.75,13.2516,553300.0,0.0,1.0
2000-07-06,22.75,23.19,22.5,22.5,13.1059,287100.0,0.0,1.0
2000-07-07,22.69,22.94,22.5,22.81,13.2865,502000.0,0.0,1.0
2000-07-10,22.81,22.94,22.69,22.75,13.2516,595700.0,0.0,1.0
2000-07-11,22.94,23.19,22.56,22.69,13.2166,590400.0,0.0,1.0
2000-07-12,22.81,23.38,22.81,23.13,13.4729,351500.0,0.0,1.0
2000-07-13,23.0,23.44,23.0,23.44,13.6535,621600.0,0.0,1.0
2000-07-14,23.38,23.75,23.31,23.56,13.7234,508800.0,0.0,1.0
2000-07-17,23.56,23.69,23.25,23.41,13.636,374200.0,0.0,1.0
2000-07-18,23.5,23.94,23.25,23.88,13.9098,557700.0,0.0,1.0
2000-07-19,24.38,24.88,24.31,24.88,14.4923,628100.0,0.0,1.0
2000-07-20,24.88,25.0,24.75,24.81,14.4515,734700.0,0.0,1.0
2000-07-21,24.88,25.0,24.56,24.81,14.4515,1173100.0,0.0,1.0
2000-07-24,24.75,24.81,24.56,24.75,14.4165,451700.0,0.0,1.0
2000-07-25,24.75,24.81,24.63,24.81,14.4515,746000.0,0.0,1.0
2000-07-26,24.75,25.0,24.56,24.81,14.4515,685100.0,0.0,1.0
2000-07-27,24.75,25.88,24.75,25.63,14.9291,1974900.0,0.0,1.0
2000-07-28,25.63,25.81,25.25,25.5,14.8534,1020200.0,0.0,1.0
2000-07-31,25.69,25.69,25.25,25.56,14.8884,907800.0,0.0,1.0
2000-08-01,25.63,26.06,25.56,26.06,15.1796,491400.0,0.0,1.0
2000-08-02,25.88,26.31,25.81,26.25,15.2903,1328300.0,0.0,1.0
2000-08-03,26.0,26.44,24.81,25.58,14.9,1810400.0,0.0,1.0
2000-08-04,25.81,25.88,24.94,25.75,14.999,802200.0,0.0,1.0
2000-08-07,25.94,26.58,25.5,26.58,15.4825,487600.0,0.0,1.0
2000-08-08,26.19,26.5,25.5,26.44,15.6135,1164500.0,0.365,1.0
2000-08-09,26.31,26.38,26.06,26.25,15.5013,516500.0,0.0,1.0
2000-08-10,26.25,26.44,26.06,26.33,15.5486,846500.0,0.0,1.0
2000-08-11,26.25,26.64,26.0,26.63,15.7257,381700.0,0.0,1.0
2000-08-14,26.63,27.06,26.25,27.0,15.9442,510000.0,0.0,1.0
2000-08-15,27.0,27.88,27.0,27.56,16.2749,1597900.0,0.0,1.0
2000-08-16,27.5,27.88,26.88,26.88,15.8734,2319600.0,0.0,1.0
2000-08-17,26.5,26.94,26.38,26.56,15.6844,1653900.0,0.0,1.0
2000-08-18,26.31,26.94,26.25,26.81,15.832,494900.0,0.0,1.0
2000-08-21,26.88,26.88,26.13,26.38,15.5781,284000.0,0.0,1.0
2000-08-22,26.13,26.38,25.81,26.25,15.5013,515300.0,0.0,1.0
2000-08-23,26.31,26.44,25.75,26.0,15.3537,478000.0,0.0,1.0
2000-08-24,26.0,26.0,25.69,25.75,15.2061,316400.0,0.0,1.0
2000-08-25,25.88,26.0,25.44,26.0,15.3537,624900.0,0.0,1.0
2000-08-28,26.0,26.56,25.75,26.38,15.5781,406400.0,0.0,1.0
2000-08-29,26.56,26.56,26.06,26.19,15.4659,639600.0,0.0,1.0
2000-08-30,26.0,26.75,26.0,26.19,15.4659,373100.0,0.0,1.0
2000-08-31,25.94,26.5,25.75,26.14,15.4364,458300.0,0.0,1.0
2000-09-01,26.13,26.56,26.13,26.25,15.5013,730200.0,0.0,1.0
2000-09-05,26.25,26.69,26.25,26.5,15.649,308000.0,0.0,1.0
2000-09-06,26.63,27.5,26.56,27.19,16.0564,905100.0,0.0,1.0
2000-09-07,27.06,27.63,26.88,27.44,16.2041,807800.0,0.0,1.0
2000-09-08,27.44,28.96,27.44,28.96,17.1017,1166700.0,0.0,1.0
2000-09-11,28.94,29.56,28.75,28.83,17.0249,992900.0,0.0,1.0
2000-09-12,28.81,29.0,28.13,28.38,16.7592,423900.0,0.0,1.0
2000-09-13,28.38,28.94,28.13,28.31,16.7178,575600.0,0.0,1.0
2000-09-14,28.38,28.81,27.81,28.75,16.9777,702000.0,0.0,1.0
2000-09-15,29.13,29.69,29.0,29.5,17.4206,789000.0,0.0,1.0
2000-09-18,29.31,29.38,28.5,28.63,16.9068,579000.0,0.0,1.0
2000-09-19,28.56,28.56,26.88,27.06,15.9797,1047800.0,0.0,1.0
2000-09-20,27.06,27.25,26.31,27.19,16.0564,359300.0,0.0,1.0
2000-09-21,27.13,27.5,26.25,26.5,15.649,464200.0,0.0,1.0
2000-09-22,26.13,26.63,26.06,26.19,15.4659,739900.0,0.0,1.0
2000-09-25,26.06,26.31,25.38,25.88,15.2829,708900.0,0.0,1.0
2000-09-26,26.0,26.88,25.81,26.88,15.8734,1200900.0,0.0,1.0
2000-09-27,26.88,27.0,26.25,26.89,15.8793,370200.0,0.0,1.0
2000-09-28,26.88,27.06,26.5,26.56,15.6844,670300.0,0.0,1.0
2000-09-29,26.75,27.06,26.56,26.96,15.9206,617900.0,0.0,1.0
2000-10-02,28.19,28.25,26.69,28.19,16.647,1420700.0,0.0,1.0
2000-10-03,28.19,29.25,27.63,28.69,16.9422,2064900.0,0.0,1.0
2000-10-04,27.56,27.88,26.88,27.38,16.1686,1237600.0,0.0,1.0
2000-10-05,27.44,28.0,27.25,27.38,16.1686,1046900.0,0.0,1.0
2000-10-06,27.38,27.63,27.25,27.5,16.2395,676800.0,0.0,1.0
2000-10-09,27.63,27.88,27.38,27.56,16.2749,395700.0,0.0,1.0
2000-10-10,27.81,28.13,27.38,27.69,16.3517,475300.0,0.0,1.0
2000-10-11,27.69,28.25,27.63,27.63,16.3163,1074000.0,0.0,1.0
2000-10-12,27.69,28.38,27.06,28.31,16.7178,1011100.0,0.0,1.0
2000-10-13,28.75,28.88,28.0,28.44,16.7946,471700.0,0.0,1.0
2000-10-16,28.63,28.94,28.0,28.94,17.0899,591800.0,0.0,1.0
2000-10-17,27.63,27.81,26.5,26.69,15.7612,4233500.0,0.0,1.0
2000-10-18,26.63,26.81,25.56,26.44,15.6135,1187500.0,0.0,1.0
2000-10-19,26.81,27.25,26.31,27.06,15.9797,796300.0,0.0,1.0
2000-10-20,26.5,26.94,26.25,26.44,15.6135,378400.0,0.0,1.0
2000-10-23,26.19,26.75,26.06,26.19,15.4659,426100.0,0.0,1.0
2000-10-24,26.44,26.63,25.44,26.0,15.3537,510600.0,0.0,1.0
2000-10-25,26.38,26.81,25.94,26.38,15.5781,954900.0,0.0,1.0
2000-10-26,26.25,26.25,25.38,25.75,15.2061,1089700.0,0.0,1.0
2000-10-27,25.75,27.0,25.13,27.0,15.9442,1537100.0,0.0,1.0
2000-10-30,27.0,27.63,26.69,27.63,16.3163,667200.0,0.0,1.0
2000-10-31,27.31,27.69,26.63,27.0,16.1598,906900.0,0.365,1.0
2000-11-01,27.06,27.56,26.88,27.56,16.495,892800.0,0.0,1.0
