date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,22.75,22.81,22.12,22.25,9.4368,682300.0,0.0,1.0
2000-01-04,22.12,22.56,22.12,22.5,9.5429,1258000.0,0.0,1.0
2000-01-05,22.44,23.88,22.44,23.44,9.9416,780700.0,0.0,1.0
2000-01-06,23.75,24.0,23.56,23.56,9.9925,1140500.0,0.0,1.0
2000-01-07,23.81,24.12,23.69,23.94,10.1536,674600.0,0.0,1.0
2000-01-10,23.81,23.94,23.56,23.62,10.0179,307900.0,0.0,1.0
2000-01-11,23.5,23.75,23.19,23.44,9.9416,631000.0,0.0,1.0
2000-01-12,23.19,23.94,23.19,23.81,10.0985,412400.0,0.0,1.0
2000-01-13,23.81,23.94,23.44,23.75,10.073,633700.0,0.0,1.0
2000-01-14,23.25,23.44,23.12,23.12,9.8058,506800.0,0.0,1.0
2000-01-18,23.0,23.25,22.75,22.94,9.7295,518100.0,0.0,1.0
2000-01-19,22.81,23.31,22.81,23.12,9.8058,431700.0,0.0,1.0
2000-01-20,23.0,23.06,22.75,22.88,9.704,367600.0,0.0,1.0
2000-01-21,23.0,23.19,22.75,23.06,9.7804,875100.0,0.0,1.0
2000-01-24,23.06,23.12,22.38,22.44,9.5174,663200.0,0.0,1.0
2000-01-25,22.69,22.88,21.19,21.44,9.0933,799400.0,0.0,1.0
2000-01-26,21.56,22.44,21.38,22.31,9.4623,897800.0,0.0,1.0
2000-01-27,22.19,22.69,22.19,22.44,9.5174,481100.0,0.0,1.0
2000-01-28,22.25,22.62,21.94,22.19,9.4114,793000.0,0.0,1.0
2000-01-31,22.25,22.81,22.19,22.81,9.6744,435300.0,0.0,1.0
2000-02-01,22.75,22.81,22.12,22.31,9.4623,365600.0,0.0,1.0
2000-02-02,22.62,22.69,22.31,22.5,9.5429,613200.0,0.0,1.0
2000-02-03,23.0,24.12,22.88,24.06,10.2045,1693300.0,0.0,1.0
2000-02-04,24.06,24.06,23.0,23.31,9.8864,1217700.0,0.0,1.0
2000-02-07,23.19,23.25,22.81,23.0,9.7549,537800.0,0.0,1.0
2000-02-08,23.0,23.25,22.94,23.19,9.8355,744100.0,0.0,1.0
2000-02-09,23.19,23.38,23.12,23.19,9.8355,978400.0,0.0,1.0
2000-02-10,23.25,23.62,22.94,23.06,9.7804,1032600.0,0.0,1.0
2000-02-11,23.0,23.06,22.31,22.5,9.5429,1212800.0,0.0,1.0
2000-02-14,22.31,22.62,22.25,22.31,9.6213,2345300.0,0.375,1.0
2000-02-15,22.38,22.38,21.81,22.12,9.5394,472500.0,0.0,1.0
2000-02-16,22.06,22.12,21.69,21.81,9.4057,469800.0,0.0,1.0
2000-02-17,21.81,21.94,21.19,21.31,9.1901,414300.0,0.0,1.0
2000-02-18,21.12,21.25,20.75,21.19,9.1383,726500.0,0.0,1.0
2000-02-22,21.38,21.81,21.19,21.19,9.1383,1409000.0,0.0,1.0
2000-02-23,21.25,21.38,21.0,21.25,9.1642,744200.0,0.0,1.0
2000-02-24,21.19,21.44,20.06,20.5,8.8408,1280000.0,0.0,1.0
2000-02-25,20.88,20.88,20.12,20.25,8.733,1045300.0,0.0,1.0
2000-02-28,20.38,20.88,20.12,20.75,8.9486,1283500.0,0.0,1.0
2000-02-29,20.88,20.94,20.44,20.56,8.8666,606900.0,0.0,1.0
2000-03-01,20.62,20.81,20.25,20.44,8.8149,700400.0,0.0,1.0
2000-03-02,20.25,20.69,20.12,20.69,8.9227,1009000.0,0.0,1.0
2000-03-03,20.75,21.25,20.69,21.06,9.0823,995100.0,0.0,1.0
2000-03-06,20.94,21.12,20.06,20.12,8.6769,1681100.0,0.0,1.0
2000-03-07,20.12,20.44,19.75,19.88,8.5734,1897900.0,0.0,1.0
2000-03-08,19.81,21.06,19.75,20.56,8.8666,1658100.0,0.0,1.0
2000-03-09,20.5,21.12,20.5,21.12,9.1081,1034900.0,0.0,1.0
2000-03-10,21.0,21.25,20.75,21.12,9.1081,697300.0,0.0,1.0
2000-03-13,21.5,21.81,21.12,21.75,9.3798,915000.0,0.0,1.0
2000-03-14,21.56,21.56,21.19,21.25,9.1642,699300.0,0.0,1.0
2000-03-15,21.12,22.88,21.12,22.69,9.7852,677700.0,0.0,1.0
