date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,30.38,30.38,28.88,29.5,14.433,71200.0,0.0,1.0
2000-01-04,29.38,30.0,29.0,29.75,14.5553,78800.0,0.0,1.0
2000-01-05,29.75,30.69,29.75,29.94,14.6483,216700.0,0.0,1.0
2000-01-06,29.94,29.94,29.5,29.94,14.6483,31700.0,0.0,1.0
2000-01-07,29.94,30.19,29.81,30.19,14.7706,213400.0,0.0,1.0
2000-01-10,30.19,30.25,30.0,30.25,14.8,112100.0,0.0,1.0
2000-01-11,30.12,30.25,29.88,30.06,14.707,58400.0,0.0,1.0
2000-01-12,29.94,30.56,29.94,30.38,14.8636,65500.0,0.0,1.0
2000-01-13,30.44,30.94,30.31,30.94,15.1376,89900.0,0.0,1.0
2000-01-14,30.94,31.25,30.56,31.0,15.1669,138300.0,0.0,1.0
2000-01-18,30.75,31.12,30.75,31.06,15.1963,48300.0,0.0,1.0
2000-01-19,31.06,32.69,31.0,32.5,15.9008,120100.0,0.0,1.0
2000-01-20,32.5,33.62,32.5,32.56,15.9302,146100.0,0.0,1.0
2000-01-21,32.31,32.38,31.56,32.19,15.7491,94700.0,0.0,1.0
2000-01-24,32.19,32.44,31.19,31.25,15.2892,65500.0,0.0,1.0
2000-01-25,31.12,31.62,31.12,31.56,15.4409,33500.0,0.0,1.0
2000-01-26,31.75,31.94,31.0,31.19,15.2599,268300.0,0.0,1.0
2000-01-27,31.0,31.38,30.75,31.38,15.3528,164000.0,0.0,1.0
2000-01-28,31.25,31.38,30.88,31.0,15.1669,48600.0,0.0,1.0
2000-01-31,30.75,30.94,29.62,30.25,14.8,66200.0,0.0,1.0
2000-02-01,30.31,30.94,30.19,30.88,15.1082,42200.0,0.0,1.0
2000-02-02,30.75,30.75,30.12,30.5,14.9223,31100.0,0.0,1.0
2000-02-03,30.38,31.25,30.06,31.25,15.2892,39900.0,0.0,1.0
2000-02-04,31.12,31.75,31.06,31.31,15.3186,82600.0,0.0,1.0
2000-02-07,31.12,31.62,31.0,31.38,15.3528,39800.0,0.0,1.0
2000-02-08,31.25,31.56,30.44,30.5,14.9223,52900.0,0.0,1.0
2000-02-09,30.31,31.06,30.25,30.69,15.0152,39100.0,0.0,1.0
2000-02-10,30.56,30.88,30.25,30.62,14.981,44600.0,0.0,1.0
2000-02-11,30.75,30.94,30.25,30.25,14.8,26000.0,0.0,1.0
2000-02-14,30.19,30.19,29.75,29.81,14.5847,90200.0,0.0,1.0
2000-02-15,29.81,30.0,29.75,29.81,14.5847,17000.0,0.0,1.0
2000-02-16,29.62,30.0,29.5,29.56,14.4624,52900.0,0.0,1.0
2000-02-17,29.75,30.12,29.56,29.94,14.6483,101800.0,0.0,1.0
2000-02-18,30.19,30.19,29.88,29.94,14.6483,70100.0,0.0,1.0
2000-02-22,30.06,30.06,29.44,29.94,14.6483,100200.0,0.0,1.0
2000-02-23,30.06,30.5,30.06,30.38,14.8636,55500.0,0.0,1.0
2000-02-24,30.62,31.25,30.5,30.56,14.9516,119500.0,0.0,1.0
2000-02-25,30.56,30.62,29.12,29.12,14.2471,46100.0,0.0,1.0
2000-02-28,29.12,29.19,28.06,28.25,13.8215,76700.0,0.0,1.0
2000-02-29,28.25,28.44,27.12,27.12,13.2686,124000.0,0.0,1.0
2000-03-01,27.44,27.69,26.81,27.0,13.2099,75800.0,0.0,1.0
2000-03-02,27.0,27.75,26.62,27.75,13.5768,119600.0,0.0,1.0
2000-03-03,27.88,29.0,27.88,28.75,14.0661,99400.0,0.0,1.0
2000-03-06,28.62,28.94,28.0,28.75,14.0661,52600.0,0.0,1.0
2000-03-07,28.0,28.0,27.25,27.5,13.4545,56900.0,0.0,1.0
2000-03-08,27.38,27.38,26.88,27.12,13.2686,38000.0,0.0,1.0
2000-03-09,27.0,27.25,26.62,26.88,13.1512,26400.0,0.0,1.0
2000-03-10,26.75,26.75,25.69,25.69,12.569,76700.0,0.0,1.0
2000-03-13,25.62,25.62,25.0,25.38,12.4271,78700.0,0.02,1.0
2000-03-14,25.25,25.94,25.25,25.56,12.5152,103800.0,0.0,1.0
2000-03-15,25.31,26.0,25.0,25.94,12.7013,58000.0,0.0,1.0
2000-03-16,25.88,28.62,25.69,28.62,14.0135,163600.0,0.0,1.0
2000-03-17,28.62,28.62,28.12,28.44,13.9254,55300.0,0.0,1.0
2000-03-20,28.44,29.81,28.44,29.81,14.5962,147800.0,0.0,1.0
2000-03-21,29.81,30.06,29.44,30.0,14.6892,95300.0,0.0,1.0
2000-03-22,30.38,31.5,30.38,31.25,15.3013,111900.0,0.0,1.0
2000-03-23,36.0,36.0,33.25,33.94,16.6184,919700.0,0.0,1.0
2000-03-24,34.19,34.25,30.56,31.62,15.4824,199200.0,0.0,1.0
2000-03-27,31.56,31.56,30.81,30.81,15.0858,79100.0,0.0,1.0
2000-03-28,30.81,31.31,30.62,31.31,15.3307,134500.0,0.0,1.0
2000-03-29,31.31,32.38,31.25,31.94,15.6391,127300.0,0.0,1.0
2000-03-30,32.19,32.56,30.31,30.38,14.8753,44900.0,0.0,1.0
2000-03-31,30.38,32.19,30.38,32.19,15.7615,93600.0,0.0,1.0
2000-04-03,32.19,33.94,31.56,33.38,16.3442,150500.0,0.0,1.0
2000-04-04,33.31,33.31,32.19,33.06,16.1875,111900.0,0.0,1.0
2000-04-05,33.06,35.5,32.5,34.5,16.8926,258200.0,0.0,1.0
2000-04-06,35.0,35.25,34.06,34.25,16.7702,122000.0,0.0,1.0
2000-04-07,34.88,35.12,34.38,35.0,17.1374,113600.0,0.0,1.0
2000-04-10,35.5,35.62,34.62,34.88,17.0787,70900.0,0.0,1.0
2000-04-11,34.0,34.38,34.0,34.0,16.6478,83100.0,0.0,1.0
