date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,46.5,46.63,45.25,45.31,9.6668,931100.0,0.0,1.0
2000-01-04,44.88,45.25,44.19,44.44,9.4811,736400.0,0.0,1.0
2000-01-05,44.69,44.94,43.19,43.63,9.3083,2037950.0,0.0,1.0
2000-01-06,43.75,45.63,43.25,45.13,9.6284,1359900.0,0.0,1.0
2000-01-07,45.5,45.81,45.0,45.13,9.6284,881350.0,0.0,1.0
2000-01-10,45.31,45.31,44.56,45.0,9.6006,752300.0,0.0,1.0
2000-01-11,45.0,45.25,44.5,44.94,9.5878,556950.0,0.0,1.0
2000-01-12,44.69,44.88,43.88,44.06,9.4001,1126550.0,0.0,1.0
2000-01-13,44.63,44.69,44.0,44.13,9.415,968850.0,0.0,1.0
2000-01-14,44.13,44.13,43.0,43.75,9.3339,554850.0,0.0,1.0
2000-01-18,43.56,44.5,43.56,44.44,9.4811,768700.0,0.0,1.0
2000-01-19,44.81,44.81,43.63,44.06,9.4001,738100.0,0.0,1.0
2000-01-20,43.88,43.88,42.38,42.81,9.1334,610350.0,0.0,1.0
2000-01-21,43.19,43.69,42.25,42.69,9.1078,1663600.0,0.0,1.0
2000-01-24,43.06,43.19,41.5,41.75,8.9072,1152500.0,0.0,1.0
2000-01-25,42.06,42.56,41.19,42.25,9.0139,750050.0,0.0,1.0
2000-01-26,42.5,42.5,40.75,41.19,8.7878,1185300.0,0.0,1.0
2000-01-27,41.19,41.19,39.94,40.5,8.6406,710850.0,0.0,1.0
2000-01-28,40.44,40.69,39.25,39.88,8.5083,686950.0,0.0,1.0
2000-01-31,39.75,41.0,39.25,40.88,8.7216,1030250.0,0.0,1.0
2000-02-01,40.88,41.13,39.94,40.69,8.6811,843600.0,0.0,1.0
2000-02-02,40.5,41.38,39.81,40.13,8.5616,632900.0,0.0,1.0
2000-02-03,40.13,40.38,39.31,39.38,8.4016,1637200.0,0.0,1.0
2000-02-04,39.13,39.31,38.44,39.0,8.3205,952200.0,0.0,1.0
2000-02-07,40.0,40.13,39.56,40.0,8.5339,1630000.0,0.0,1.0
2000-02-08,40.56,40.56,38.63,39.0,8.3205,1091650.0,0.0,1.0
2000-02-09,39.75,39.75,37.88,38.13,8.1349,1006750.0,0.0,1.0
2000-02-10,38.19,39.38,37.81,38.0,8.1072,1462600.0,0.0,1.0
2000-02-11,38.25,38.31,37.06,37.44,7.9877,750600.0,0.0,1.0
2000-02-14,37.5,38.13,36.94,37.63,8.0283,1309250.0,0.0,1.0
2000-02-15,37.88,38.44,37.75,38.25,8.1605,1276350.0,0.0,1.0
2000-02-16,37.88,39.63,37.69,39.5,8.4997,1147250.0,0.34,1.0
2000-02-17,39.31,39.75,39.13,39.5,8.4997,996650.0,0.0,1.0
2000-02-18,40.5,40.5,38.06,38.75,8.3384,1304300.0,0.0,1.0
2000-02-22,38.63,39.31,38.38,39.06,8.4051,1376300.0,0.0,1.0
2000-02-23,38.94,38.94,37.25,37.56,8.0823,725900.0,0.0,1.0
2000-02-24,37.31,37.5,36.06,36.25,7.8004,714000.0,0.0,1.0
2000-02-25,36.75,37.31,35.94,36.88,7.936,683000.0,0.0,1.0
2000-02-28,37.25,37.88,36.31,37.13,7.9898,889500.0,0.0,1.0
2000-02-29,36.25,38.44,36.25,38.13,8.2049,1129950.0,0.0,1.0
2000-03-01,38.25,38.69,37.0,38.69,8.3254,974350.0,0.0,1.0
2000-03-02,38.44,38.94,37.38,38.06,8.1899,1173900.0,0.0,1.0
2000-03-03,38.25,38.25,37.44,38.13,8.2049,1435050.0,0.0,1.0
2000-03-06,38.06,38.5,37.44,38.5,8.2846,698500.0,0.0,1.0
2000-03-07,38.75,40.56,38.25,40.5,8.7149,1645900.0,0.0,1.0
2000-03-08,40.25,41.19,39.19,40.44,8.702,1290250.0,0.0,1.0
2000-03-09,40.63,40.75,39.25,40.25,8.6611,718550.0,0.0,1.0
2000-03-10,40.5,41.25,39.63,39.75,8.5535,1058850.0,0.0,1.0
2000-03-13,39.5,40.44,39.31,39.44,8.4868,857600.0,0.0,1.0
2000-03-14,39.44,39.44,37.81,39.44,8.4868,1264150.0,0.0,1.0
2000-03-15,39.75,40.0,38.25,40.0,8.6073,1226650.0,0.0,1.0
2000-03-16,42.5,43.81,41.56,43.13,9.2809,2583800.0,0.0,1.0
2000-03-17,43.0,43.38,41.06,41.44,8.9172,1376850.0,0.0,1.0
2000-03-20,41.69,41.81,40.69,41.56,8.943,1073550.0,0.0,1.0
2000-03-21,42.0,43.5,41.88,43.5,9.3605,1129800.0,0.0,1.0
2000-03-22,43.5,43.94,42.25,42.56,9.1582,1419050.0,0.0,1.0
2000-03-23,42.81,43.0,42.5,42.63,9.1733,730650.0,0.0,1.0
2000-03-24,43.88,44.13,42.81,42.94,9.24,951700.0,0.0,1.0
2000-03-27,42.75,43.38,41.44,43.0,9.2529,1023150.0,0.0,1.0
