date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-06-13,17.5,17.52,16.9,17.36,15.7971,46263100.0,0.0,1.0
2013-06-14,17.45,17.55,17.2,17.52,15.9427,9049500.0,0.0,1.0
2013-06-17,17.61,17.65,17.31,17.39,15.8244,5489500.0,0.0,1.0
2013-06-18,17.39,17.42,17.16,17.3,15.7425,6717200.0,0.0,1.0
2013-06-19,17.25,17.35,16.4,17.19,15.6424,7128600.0,0.0,1.0
2013-06-20,16.8,16.85,16.31,16.75,15.242,2785200.0,0.0,1.0
2013-06-21,16.75,17.07,16.5,16.99,15.4604,2542800.0,0.0,1.0
2013-06-24,16.8,16.82,16.46,16.61,15.1146,1206100.0,0.0,1.0
2013-06-25,16.7,16.88,16.55,16.75,15.242,1074800.0,0.0,1.0
2013-06-26,16.8,17.14,16.8,17.02,15.4877,3420800.0,0.0,1.0
2013-06-27,17.07,17.24,16.97,17.24,15.6879,1773800.0,0.0,1.0
2013-06-28,17.2,17.23,16.91,17.18,15.6333,1904600.0,0.0,1.0
2013-07-01,17.18,17.25,17.07,17.18,15.6333,1188800.0,0.0,1.0
2013-07-02,17.18,17.35,17.1,17.26,15.7061,665300.0,0.0,1.0
2013-07-03,17.2,17.28,17.14,17.25,15.697,332000.0,0.0,1.0
2013-07-05,17.3,17.31,17.19,17.26,15.7061,573400.0,0.0,1.0
2013-07-08,17.34,17.34,17.02,17.27,15.7152,855900.0,0.0,1.0
2013-07-09,17.25,17.4,17.24,17.38,15.8153,521300.0,0.0,1.0
2013-07-10,17.4,17.48,17.3,17.39,15.8244,524300.0,0.0,1.0
2013-07-11,17.45,17.49,17.26,17.45,15.879,990200.0,0.0,1.0
2013-07-12,17.4,17.52,17.35,17.5,15.9245,1258600.0,0.0,1.0
2013-07-15,17.5,17.55,17.12,17.18,15.6333,242900.0,0.0,1.0
2013-07-16,17.29,17.34,17.2,17.32,15.7607,507600.0,0.0,1.0
2013-07-17,17.13,17.4,17.05,17.3,15.7425,995700.0,0.0,1.0
2013-07-18,17.35,17.43,17.11,17.15,15.606,682700.0,0.0,1.0
2013-07-19,17.15,17.27,17.05,17.08,15.5423,599500.0,0.0,1.0
2013-07-22,17.08,17.08,16.93,16.95,15.424,462000.0,0.0,1.0
2013-07-23,17.15,17.22,16.85,17.06,15.5241,1619500.0,0.0,1.0
2013-07-24,17.18,17.22,16.9201,17.13,15.5878,373600.0,0.0,1.0
2013-07-25,17.06,17.4,16.97,17.35,15.788,743800.0,0.0,1.0
2013-07-26,17.32,17.34,17.0,17.11,15.5696,311800.0,0.0,1.0
2013-07-29,17.05,17.26,16.91,17.22,15.6697,400800.0,0.0,1.0
2013-07-30,17.25,17.2897,17.01,17.13,15.5878,531000.0,0.0,1.0
2013-07-31,17.15,17.3,17.02,17.19,15.6424,291100.0,0.0,1.0
2013-08-01,17.27,17.39,17.12,17.27,15.7152,577100.0,0.0,1.0
2013-08-02,17.34,17.36,17.07,17.26,15.7061,344100.0,0.0,1.0
2013-08-05,17.25,17.54,17.17,17.48,15.9063,1976900.0,0.0,1.0
2013-08-06,17.46,17.74,17.28,17.51,15.9336,1702000.0,0.0,1.0
2013-08-07,17.5,17.5,17.1,17.28,15.7243,801000.0,0.0,1.0
2013-08-08,17.28,17.36,16.65,16.81,15.2966,1275600.0,0.0,1.0
2013-08-09,16.77,17.11,16.7,16.94,15.4149,381300.0,0.0,1.0
