date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,53.0,53.0,50.81,52.16,27.5549,468467.0,0.0,1.0
2000-01-04,52.0,52.69,49.25,50.13,26.4825,583467.0,0.0,1.0
2000-01-05,50.38,51.63,49.75,51.0,26.9421,691800.0,0.0,1.0
2000-01-06,50.06,52.0,49.88,50.97,26.9263,811200.0,0.0,1.0
2000-01-07,50.94,54.13,50.5,53.53,28.2787,686600.0,0.0,1.0
2000-01-10,54.0,55.5,53.63,54.75,28.9232,623200.0,0.0,1.0
2000-01-11,54.19,54.19,51.19,51.56,27.2379,826667.0,0.0,1.0
2000-01-12,51.25,51.38,50.13,50.13,26.4825,1036200.0,0.0,1.0
2000-01-13,50.0,54.38,50.0,54.31,28.6907,635467.0,0.0,1.0
2000-01-14,54.5,55.63,53.5,54.56,28.8228,682400.0,0.0,1.0
2000-01-18,53.81,55.63,53.38,55.31,29.219,620667.0,0.0,1.0
2000-01-19,55.5,55.5,51.56,52.0,27.4704,461067.0,0.0,1.0
2000-01-20,52.44,52.63,51.0,51.25,27.0742,821600.0,0.0,1.0
2000-01-21,50.75,51.0,48.88,49.25,26.0176,1024200.0,0.0,1.0
2000-01-24,49.19,49.75,49.0,49.06,25.9173,711400.0,0.0,1.0
2000-01-25,48.69,48.69,44.95,47.25,24.9611,1545600.0,0.0,1.0
2000-01-26,47.25,48.63,47.06,47.69,25.1935,663400.0,0.0,1.0
2000-01-27,47.75,48.75,47.0,47.56,25.1248,528800.0,0.0,1.0
2000-01-28,46.94,48.0,44.63,44.88,23.7091,1373400.0,0.0,1.0
2000-01-31,45.38,47.13,45.19,46.84,24.7445,946667.0,0.0,1.0
2000-02-01,47.09,47.38,45.97,46.5,24.5649,504867.0,0.0,1.0
2000-02-02,46.81,48.06,46.08,48.0,25.5052,827267.0,0.28,1.0
2000-02-03,47.75,49.56,47.06,48.69,25.8718,670867.0,0.0,1.0
2000-02-04,48.5,50.17,48.25,49.38,26.2385,538400.0,0.0,1.0
2000-02-07,49.38,49.63,45.0,45.38,24.113,794000.0,0.0,1.0
2000-02-08,46.63,46.75,41.0,43.63,23.1832,1721467.0,0.0,1.0
2000-02-09,43.5,43.56,41.5,42.56,22.6146,3019200.0,0.0,1.0
2000-02-10,42.13,42.13,39.75,40.25,21.3872,2061600.0,0.0,1.0
2000-02-11,40.31,40.38,38.5,38.81,20.622,1881867.0,0.0,1.0
2000-02-14,39.19,40.75,38.25,39.84,21.1693,1366867.0,0.0,1.0
2000-02-15,39.0,41.25,38.44,40.75,21.6529,1154600.0,0.0,1.0
2000-02-16,40.38,40.5,39.25,39.44,20.9568,582800.0,0.0,1.0
2000-02-17,40.0,40.69,39.25,40.56,21.5519,599000.0,0.0,1.0
2000-02-18,40.56,41.06,37.0,37.38,19.8622,1238200.0,0.0,1.0
2000-02-22,36.81,36.94,34.75,36.44,19.3627,2185467.0,0.0,1.0
2000-02-23,36.38,37.5,35.75,36.38,19.3308,1059667.0,0.0,1.0
2000-02-24,36.88,38.25,36.0,38.19,20.2926,1052667.0,0.0,1.0
2000-02-25,38.13,40.88,38.06,38.38,20.3935,982267.0,0.0,1.0
2000-02-28,37.5,39.81,36.19,38.69,20.5583,899267.0,0.0,1.0
2000-02-29,38.69,40.38,37.94,39.94,21.2225,667600.0,0.0,1.0
2000-03-01,40.13,41.44,37.88,40.75,21.6529,727400.0,0.0,1.0
2000-03-02,40.38,42.0,40.0,40.56,21.5519,561600.0,0.0,1.0
2000-03-03,41.5,42.75,40.63,41.25,21.9185,747067.0,0.0,1.0
2000-03-06,40.91,41.14,40.25,40.56,21.5519,660667.0,0.0,1.0
2000-03-07,40.5,40.81,39.88,40.0,21.2543,876400.0,0.0,1.0
2000-03-08,27.0,27.0,25.31,26.69,21.2729,824800.0,0.0,1.5
2000-03-09,26.56,27.5,26.25,27.25,21.7193,1455300.0,0.0,1.0
2000-03-10,27.0,28.63,26.88,27.69,22.07,1278100.0,0.0,1.0
2000-03-13,26.75,27.75,25.63,26.88,21.4244,1089100.0,0.0,1.0
2000-03-14,26.88,28.13,26.31,26.38,21.0259,881200.0,0.0,1.0
2000-03-15,27.0,31.25,25.75,29.88,23.8155,2065700.0,0.0,1.0
2000-03-16,29.56,37.88,29.5,36.25,28.8926,4676400.0,0.0,1.0
2000-03-17,34.75,35.75,33.63,34.13,27.2029,2144500.0,0.0,1.0
2000-03-20,33.5,33.5,31.0,32.06,25.553,1252900.0,0.0,1.0
2000-03-21,32.25,35.25,32.25,35.06,27.9441,1323700.0,0.0,1.0
2000-03-22,35.0,35.25,33.88,34.88,27.8007,1267200.0,0.0,1.0
2000-03-23,34.31,35.69,33.75,35.06,27.9441,759400.0,0.0,1.0
2000-03-24,35.5,36.88,35.5,36.81,29.339,1317500.0,0.0,1.0
2000-03-27,36.75,37.13,35.75,36.44,29.044,660000.0,0.0,1.0
2000-03-28,36.38,36.63,35.63,36.06,28.7412,661800.0,0.0,1.0
2000-03-29,35.44,36.25,34.25,34.81,27.7449,923200.0,0.0,1.0
2000-03-30,34.63,36.81,34.56,36.06,28.7412,1673900.0,0.0,1.0
2000-03-31,36.0,39.63,34.75,39.19,31.2359,2071600.0,0.0,1.0
2000-04-03,38.38,40.0,38.06,39.06,31.1323,978700.0,0.0,1.0
2000-04-04,39.0,41.25,38.25,40.38,32.1844,2293100.0,0.0,1.0
2000-04-05,39.69,40.88,37.81,38.33,30.5504,688600.0,0.0,1.0
2000-04-06,38.31,38.44,36.94,37.63,29.9925,726300.0,0.0,1.0
2000-04-07,37.38,38.94,36.94,38.94,31.0366,566500.0,0.0,1.0
2000-04-10,39.31,39.31,37.13,37.13,29.594,702300.0,0.0,1.0
2000-04-11,37.0,38.94,36.5,37.75,30.0882,926000.0,0.0,1.0
2000-04-12,37.25,38.44,37.0,37.88,30.1918,1144100.0,0.0,1.0
2000-04-13,38.0,38.44,36.25,38.25,30.4867,1132700.0,0.0,1.0
2000-04-14,37.81,38.13,33.44,33.75,26.9,1464800.0,0.0,1.0
2000-04-17,33.0,40.0,33.0,39.88,31.7859,1627300.0,0.0,1.0
2000-04-18,39.0,39.38,37.44,37.63,29.9925,1572400.0,0.0,1.0
2000-04-19,37.38,37.44,35.5,36.25,28.8926,872800.0,0.0,1.0
2000-04-20,36.31,38.19,36.31,37.88,30.1918,896500.0,0.0,1.0
2000-04-24,37.25,39.31,37.0,38.88,30.9888,894300.0,0.0,1.0
2000-04-25,38.63,42.63,38.63,42.13,33.5792,1509400.0,0.0,1.0
2000-04-26,42.06,42.06,37.0,37.63,29.9925,1168600.0,0.0,1.0
2000-04-27,37.06,41.0,36.75,40.0,31.8815,1050400.0,0.0,1.0
