date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,47.12,47.31,44.75,45.25,19.3692,298800.0,0.0,1.0
2000-01-04,44.75,44.88,43.0,43.44,18.5945,479400.0,0.0,1.0
2000-01-05,43.94,44.88,43.44,43.5,18.6201,509800.0,0.0,1.0
2000-01-06,43.38,43.63,42.44,43.25,18.5131,479400.0,0.0,1.0
2000-01-07,44.75,45.0,42.69,42.88,18.3548,706400.0,0.0,1.0
2000-01-10,43.38,44.13,42.63,44.13,18.8898,501900.0,0.0,1.0
2000-01-11,43.75,44.88,42.81,43.81,18.7528,515800.0,0.0,1.0
2000-01-12,43.81,44.63,43.75,44.19,18.9155,339600.0,0.0,1.0
2000-01-13,43.94,45.5,43.69,44.25,18.9412,334500.0,0.0,1.0
2000-01-14,44.0,45.06,43.75,44.63,19.1038,267200.0,0.0,1.0
2000-01-18,44.38,45.88,44.25,45.38,19.4249,493200.0,0.0,1.0
2000-01-19,45.44,45.5,43.5,44.19,18.9155,505100.0,0.0,1.0
2000-01-20,44.44,44.63,43.13,43.75,18.7272,359100.0,0.0,1.0
2000-01-21,44.0,44.0,43.31,43.63,18.6758,563000.0,0.0,1.0
2000-01-24,44.13,44.13,42.5,42.94,18.3804,373600.0,0.0,1.0
2000-01-25,42.69,42.94,41.56,41.88,17.9267,369300.0,0.0,1.0
2000-01-26,42.13,42.31,41.31,41.81,17.8967,539800.0,0.0,1.0
2000-01-27,42.31,42.56,39.25,39.94,17.0963,914800.0,0.0,1.0
2000-01-28,39.94,39.94,36.06,37.69,16.1332,1496900.0,0.0,1.0
2000-01-31,37.69,38.63,37.0,38.63,16.5355,2163900.0,0.0,1.0
2000-02-01,38.38,38.75,38.0,38.63,16.5355,1081600.0,0.0,1.0
2000-02-02,39.0,39.75,38.81,39.56,16.9336,1488100.0,0.0,1.0
2000-02-03,39.5,40.13,39.25,39.69,16.9893,1060700.0,0.0,1.0
2000-02-04,40.0,40.31,38.81,39.06,16.7196,542200.0,0.0,1.0
2000-02-07,38.88,39.38,38.38,38.69,16.5612,701500.0,0.0,1.0
2000-02-08,38.69,39.38,38.69,39.06,16.7196,776100.0,0.0,1.0
2000-02-09,39.0,39.31,38.25,38.31,16.3986,729000.0,0.0,1.0
