date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,110.25,111.0,83.0,96.0,1.977,82400.0,0.0,1.0
2000-01-04,94.06,98.13,89.13,92.75,1.9101,61900.0,0.0,1.0
2000-01-05,89.63,94.13,81.0,92.69,1.9088,59100.0,0.0,1.0
2000-01-06,97.5,98.0,92.88,92.88,1.9127,23900.0,0.0,1.0
2000-01-07,92.13,94.0,86.0,94.0,1.9358,27600.0,0.0,1.0
2000-01-10,99.0,106.6,95.0,95.81,1.9731,58100.0,0.0,1.0
2000-01-11,96.0,100.8,93.75,94.81,1.9525,43000.0,0.0,1.0
2000-01-12,94.44,94.88,88.19,90.75,1.8689,14400.0,0.0,1.0
2000-01-13,91.38,94.0,90.38,94.0,1.9358,18900.0,0.0,1.0
2000-01-14,98.0,99.44,90.0,91.25,1.8792,29100.0,0.0,1.0
2000-01-18,90.5,94.5,80.0,81.38,1.6759,48000.0,0.0,1.0
2000-01-19,81.38,90.75,80.88,87.88,1.8098,29400.0,0.0,1.0
2000-01-20,90.0,94.0,83.75,84.94,1.7492,47800.0,0.0,1.0
2000-01-21,83.94,85.63,79.63,82.0,1.6887,42300.0,0.0,1.0
2000-01-24,80.75,90.0,80.75,87.75,1.8071,59000.0,0.0,1.0
2000-01-25,87.94,89.94,85.88,89.75,1.8483,19100.0,0.0,1.0
2000-01-26,90.0,101.8,89.69,91.0,1.874,53700.0,0.0,1.0
2000-01-27,93.44,97.25,91.0,91.0,1.874,19000.0,0.0,1.0
2000-01-28,94.5,94.5,89.13,89.63,1.8458,6200.0,0.0,1.0
2000-01-31,87.69,93.0,73.0,75.25,1.5497,114400.0,0.0,1.0
2000-02-01,79.38,90.0,76.0,88.0,1.8122,63700.0,0.0,1.0
2000-02-02,91.0,94.0,89.25,92.0,1.8946,26100.0,0.0,1.0
2000-02-03,92.38,95.0,88.5,93.25,1.9203,41400.0,0.0,1.0
2000-02-04,97.75,97.75,93.13,96.75,1.9924,22900.0,0.0,1.0
2000-02-07,96.63,109.0,96.63,108.6,2.2365,104400.0,0.0,1.0
2000-02-08,118.2,128.6,112.3,123.6,2.5454,212800.0,0.0,1.0
2000-02-09,126.0,126.0,116.0,122.3,2.5186,78900.0,0.0,1.0
2000-02-10,121.0,124.7,116.1,123.8,2.5495,51100.0,0.0,1.0
2000-02-11,123.8,131.8,118.8,130.0,2.6772,207800.0,0.0,1.0
2000-02-14,134.8,134.9,124.0,129.1,2.6586,104600.0,0.0,1.0
2000-02-15,131.0,131.0,124.0,127.6,2.6277,26500.0,0.0,1.0
2000-02-16,126.8,128.0,124.0,124.0,2.5536,35600.0,0.0,1.0
2000-02-17,125.0,127.5,120.0,122.9,2.5309,118900.0,0.0,1.0
2000-02-18,122.9,122.9,115.6,115.6,2.3806,51600.0,0.0,1.0
2000-02-22,115.5,117.1,111.0,115.1,2.3703,52000.0,0.0,1.0
2000-02-23,115.0,115.4,113.8,113.9,2.3456,60700.0,0.0,1.0
2000-02-24,114.0,114.8,109.0,109.0,2.2447,54800.0,0.0,1.0
2000-02-25,110.0,114.8,109.5,113.0,2.3271,52200.0,0.0,1.0
2000-02-28,113.9,115.6,107.9,107.9,2.222,42800.0,0.0,1.0
2000-02-29,110.8,111.3,106.1,109.1,2.2468,30000.0,0.0,1.0
2000-03-01,110.0,110.0,106.0,108.3,2.2303,36700.0,0.0,1.0
2000-03-02,112.5,122.0,111.3,118.4,2.4383,199800.0,0.0,1.0
2000-03-03,119.0,125.0,118.6,121.1,2.4939,117200.0,0.0,1.0
2000-03-06,128.3,129.0,123.0,126.4,2.603,126900.0,0.0,1.0
2000-03-07,128.0,130.4,122.5,122.5,2.5227,35600.0,0.0,1.0
2000-03-08,124.5,124.5,115.1,122.7,2.5268,39800.0,0.0,1.0
2000-03-09,121.0,134.0,117.9,131.3,2.7039,42000.0,0.0,1.0
2000-03-10,132.6,134.0,119.5,122.9,2.5309,44100.0,0.0,1.0
2000-03-13,119.5,130.4,117.6,120.0,2.4712,44200.0,0.0,1.0
2000-03-14,127.0,127.0,108.5,112.0,2.3065,84100.0,0.0,1.0
2000-03-15,113.2,113.2,90.06,100.9,2.0779,126200.0,0.0,1.0
2000-03-16,98.81,102.5,95.75,98.0,2.0182,120800.0,0.0,1.0
2000-03-17,49.0,57.5,48.75,56.25,2.3168,78300.0,0.0,2.0
2000-03-20,56.5,61.97,55.5,56.81,2.3398,105700.0,0.0,1.0
2000-03-21,55.0,60.0,53.75,59.69,2.4585,128700.0,0.0,1.0
2000-03-22,60.94,62.5,60.0,61.92,2.5503,67100.0,0.0,1.0
2000-03-23,64.88,69.75,63.0,64.88,2.6722,259500.0,0.0,1.0
2000-03-24,65.25,70.0,64.75,66.56,2.7414,101900.0,0.0,1.0
2000-03-27,69.38,72.13,66.0,68.75,2.8316,81400.0,0.0,1.0
2000-03-28,70.88,72.0,68.0,69.88,2.8782,84400.0,0.0,1.0
2000-03-29,70.22,70.44,56.5,66.0,2.7183,193200.0,0.0,1.0
