date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,130.3,130.5,125.0,128.1,40.4567,2300600.0,0.0,1.0
2000-01-04,126.0,127.3,121.3,121.8,38.467,1379200.0,0.0,1.0
2000-01-05,120.6,121.0,112.9,116.0,36.6352,2534200.0,0.0,1.0
2000-01-06,116.0,117.4,105.0,105.0,33.1612,2258300.0,0.0,1.0
2000-01-07,102.5,112.3,100.0,111.6,35.2456,2766300.0,0.0,1.0
2000-01-10,117.9,127.5,115.4,124.3,39.2566,1461500.0,0.0,1.0
2000-01-11,121.4,124.8,113.0,115.0,36.3194,1769400.0,0.0,1.0
2000-01-12,115.6,121.5,110.3,120.6,38.088,1883800.0,0.0,1.0
2000-01-13,124.1,126.6,119.9,121.8,38.467,2024900.0,0.0,1.0
2000-01-14,125.8,139.7,124.5,135.6,42.8253,4610800.0,0.0,1.0
2000-01-18,135.6,157.4,132.8,152.6,48.1943,3267300.0,0.0,1.0
2000-01-19,153.5,160.6,144.0,155.0,48.9523,3611600.0,0.0,1.0
2000-01-20,160.0,164.8,146.5,146.8,46.3625,2968500.0,0.0,1.0
2000-01-21,150.2,152.9,146.2,149.6,47.2468,2078900.0,0.0,1.0
2000-01-24,154.5,154.5,138.4,139.6,44.0886,2240300.0,0.0,1.0
2000-01-25,141.1,141.5,133.9,140.1,44.2465,1710700.0,0.0,1.0
2000-01-26,140.1,143.1,136.5,139.6,44.0886,1702300.0,0.0,1.0
2000-01-27,140.6,145.4,135.3,138.3,43.6781,1483500.0,0.0,1.0
2000-01-28,136.9,139.9,132.3,134.9,42.6043,1457900.0,0.0,1.0
2000-01-31,133.0,137.4,123.3,137.3,43.3622,1928700.0,0.0,1.0
2000-02-01,137.6,142.4,130.1,142.4,44.9729,1350600.0,0.0,1.0
2000-02-02,142.5,148.5,141.0,143.0,45.1624,1753800.0,0.0,1.0
2000-02-03,145.2,153.5,143.3,151.2,47.7521,2488200.0,0.0,1.0
2000-02-04,154.0,159.8,151.0,153.6,48.5101,2096300.0,0.0,1.0
2000-02-07,156.5,159.5,149.1,159.1,50.2471,1183100.0,0.0,1.0
2000-02-08,161.8,170.8,160.0,169.8,53.6264,2337600.0,0.0,1.0
2000-02-09,172.7,181.9,168.5,175.2,55.3319,2210000.0,0.0,1.0
2000-02-10,178.8,183.0,173.0,181.2,57.2268,1579400.0,0.0,1.0
