date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-05-03,21.75,21.95,20.55,20.72,19.2919,8052800.0,0.0,1.0
2007-05-04,21.05,21.35,20.7,20.98,19.534,5437300.0,0.0,1.0
2007-05-07,21.2,21.29,20.2,20.36,18.9567,2646300.0,0.0,1.0
2007-05-08,20.0,20.0,19.3,19.63,18.277,4166100.0,0.0,1.0
2007-05-09,19.75,20.2,19.63,19.79,18.426,7541100.0,0.0,1.0
2007-05-10,19.79,19.99,19.55,19.7,18.3422,3170600.0,0.0,1.0
2007-05-11,19.71,19.8,19.11,19.3,17.9698,3539400.0,0.0,1.0
2007-05-14,19.15,19.39,18.75,18.89,17.588,1924800.0,0.0,1.0
2007-05-15,18.66,18.85,18.15,18.2,16.9456,3438700.0,0.0,1.0
2007-05-16,18.06,18.48,18.02,18.34,17.0759,2607600.0,0.0,1.0
2007-05-17,18.75,19.75,18.67,19.02,17.7091,8979000.0,0.0,1.0
2007-05-18,19.25,19.49,18.54,19.31,17.9791,6562200.0,0.0,1.0
2007-05-21,19.2,19.34,19.0,19.0,17.6904,2077700.0,0.0,1.0
2007-05-22,19.1,19.53,19.0,19.48,18.1374,4014700.0,0.0,1.0
2007-05-23,19.5,19.7,19.1,19.21,17.886,2387100.0,0.0,1.0
2007-05-24,19.21,19.33,18.85,19.02,17.7091,2362000.0,0.0,1.0
2007-05-25,19.02,19.05,18.69,18.76,17.467,895000.0,0.0,1.0
2007-05-29,18.91,19.2,18.85,19.09,17.7742,2918800.0,0.0,1.0
2007-05-30,19.05,19.15,18.81,18.98,17.6718,2829300.0,0.0,1.0
2007-05-31,19.15,19.28,19.03,19.05,17.737,3435200.0,0.0,1.0
2007-06-01,19.1,19.8,19.05,19.55,18.2025,2299400.0,0.0,1.0
2007-06-04,18.73,19.05,18.69,18.84,17.5415,5692700.0,0.0,1.0
2007-06-05,18.85,19.04,18.73,18.95,17.6439,4510000.0,0.0,1.0
2007-06-06,18.7,18.93,18.65,18.93,17.6253,2595300.0,0.0,1.0
2007-06-07,18.77,18.85,18.15,18.48,17.2063,3062100.0,0.0,1.0
2007-06-08,18.2,18.83,18.2,18.83,17.5322,2124100.0,0.0,1.0
2007-06-11,18.55,18.82,18.22,18.38,17.1132,1870000.0,0.0,1.0
2007-06-12,18.03,18.71,18.02,18.4,17.1318,8636200.0,0.0,1.0
2007-06-13,18.48,18.7,18.36,18.64,17.3553,3110200.0,0.0,1.0
2007-06-14,18.5,19.01,18.425,18.9,17.5973,8069700.0,0.0,1.0
2007-06-15,18.89,19.14,18.45,18.88,17.5787,3418900.0,0.0,1.0
2007-06-18,18.65,18.9,18.5,18.54,17.2622,1339900.0,0.0,1.0
2007-06-19,18.59,19.08,18.55,18.87,17.5694,3113000.0,0.0,1.0
2007-06-20,19.0,19.49,18.82,19.36,18.0256,4031500.0,0.0,1.0
2007-06-21,19.2,19.6,19.02,19.51,18.1653,3985700.0,0.0,1.0
2007-06-22,19.5,19.85,19.37,19.75,18.3888,11822000.0,0.0,1.0
2007-06-25,19.69,19.74,19.11,19.43,18.0908,1974400.0,0.0,1.0
2007-06-26,19.5,19.66,19.27,19.49,18.1467,2237000.0,0.0,1.0
2007-06-27,19.4,19.59,19.13,19.42,18.0815,2216000.0,0.0,1.0
2007-06-28,19.75,19.89,19.6225,19.67,18.3143,2547200.0,0.0,1.0
2007-06-29,19.55,19.83,19.51,19.7,18.3422,2022200.0,0.0,1.0
2007-07-02,19.57,19.76,19.53,19.58,18.2305,1831600.0,0.0,1.0
2007-07-03,19.71,20.26,19.71,20.25,18.8543,2960900.0,0.0,1.0
2007-07-05,20.01,20.73,19.92,20.52,19.1057,2640100.0,0.0,1.0
2007-07-06,20.55,20.9,20.38,20.83,19.3943,1966900.0,0.0,1.0
2007-07-09,20.94,21.39,20.855,21.33,19.8599,2872800.0,0.0,1.0
2007-07-10,21.18,21.25,20.53,20.65,19.2267,2367100.0,0.0,1.0
2007-07-11,20.18,20.59,20.0,20.12,18.7333,2387700.0,0.0,1.0
2007-07-12,20.43,20.63,20.11,20.43,19.0219,3455400.0,0.0,1.0
2007-07-13,20.35,20.54,20.08,20.5,19.0871,1751700.0,0.0,1.0
2007-07-16,20.45,21.0,20.31,20.94,19.4967,2891700.0,0.0,1.0
2007-07-17,21.0,21.25,20.78,21.19,19.7295,4383100.0,0.0,1.0
2007-07-18,21.79,21.8,21.15,21.37,19.8971,9011300.0,0.0,1.0
2007-07-19,21.48,21.8,21.4,21.51,20.0275,8636500.0,0.0,1.0
2007-07-20,21.41,21.58,21.0,21.4,19.925,4248400.0,0.0,1.0
2007-07-23,21.4,21.5,21.01,21.11,19.655,4399000.0,0.0,1.0
2007-07-24,21.15,21.6,20.73,21.33,19.8599,6101200.0,0.0,1.0
2007-07-25,21.3,21.31,20.45,20.78,19.3478,2779100.0,0.0,1.0
2007-07-26,20.56,20.56,18.87,19.36,18.0256,9754300.0,0.0,1.0
2007-07-27,19.71,19.72,18.37,18.59,17.3087,4562800.0,0.0,1.0
2007-07-30,18.5,18.59,17.32,18.05,16.8059,8926900.0,0.0,1.0
2007-07-31,18.28,18.54,17.72,17.82,16.5918,3582900.0,0.0,1.0
2007-08-01,18.0,18.65,17.18,18.35,17.0853,7082200.0,0.0,1.0
2007-08-02,18.67,19.5,18.26,18.88,17.5787,7427800.0,0.0,1.0
2007-08-03,18.88,19.17,18.19,18.7,17.4111,3412800.0,0.0,1.0
2007-08-06,18.94,19.0,17.71,18.02,16.778,5659800.0,0.0,1.0
2007-08-07,17.85,18.77,17.85,18.45,17.1784,2725000.0,0.0,1.0
2007-08-08,18.38,18.85,18.05,18.49,17.2156,2724100.0,0.0,1.0
2007-08-09,18.04,18.13,17.65,17.87,16.6383,3314300.0,0.0,1.0
2007-08-10,17.5,17.61,16.95,17.56,16.3497,3903000.0,0.0,1.0
2007-08-13,17.65,18.05,17.18,17.29,16.0983,2050800.0,0.0,1.0
2007-08-14,17.29,17.579,15.96,16.97,15.8004,5720100.0,0.0,1.0
2007-08-15,16.85,16.95,15.02,15.75,14.6645,3556000.0,0.0,1.0
2007-08-16,15.25,16.2,14.94,15.92,14.8227,6312100.0,0.0,1.0
2007-08-17,16.55,16.6,15.02,16.0,14.8972,4152000.0,0.0,1.0
2007-08-20,16.1,16.65,15.86,16.08,14.9717,1933600.0,0.0,1.0
2007-08-21,16.01,17.83,15.95,17.71,16.4894,5527200.0,0.0,1.0
2007-08-22,18.15,18.65,17.64,18.1,16.8525,4715900.0,0.0,1.0
2007-08-23,18.0,18.15,17.55,18.0,16.7594,2271300.0,0.0,1.0
2007-08-24,17.79,18.28,17.62,18.24,16.9828,983600.0,0.0,1.0
2007-08-27,17.61,18.23,17.5,17.7,16.4801,1321100.0,0.0,1.0
2007-08-28,17.55,17.68,17.23,17.35,16.1542,1240500.0,0.0,1.0
2007-08-29,17.46,17.64,17.31,17.36,16.1635,1092700.0,0.0,1.0
2007-08-30,17.05,17.3,16.82,16.98,15.8097,1210500.0,0.0,1.0
2007-08-31,17.05,17.27,16.82,16.88,15.7166,1239900.0,0.0,1.0
2007-09-04,17.04,17.68,16.9701,17.53,16.3218,1992800.0,0.0,1.0
2007-09-05,17.5,17.98,17.5,17.62,16.4056,1847900.0,0.0,1.0
2007-09-06,17.75,18.3,17.26,18.07,16.8245,2205500.0,0.0,1.0
2007-09-07,17.58,17.74,17.39,17.62,16.4056,1533800.0,0.0,1.0
2007-09-10,17.73,17.99,17.26,17.44,16.238,2483400.0,0.0,1.0
2007-09-11,17.4,17.9,17.31,17.69,16.4707,2066700.0,0.0,1.0
2007-09-12,17.65,17.65,17.06,17.15,15.968,2217800.0,0.0,1.0
2007-09-13,17.31,17.62,17.16,17.59,16.3776,1365600.0,0.0,1.0
2007-09-14,17.34,17.7,17.27,17.65,16.4335,873900.0,0.0,1.0
2007-09-17,17.57,17.67,17.11,17.15,15.968,939100.0,0.0,1.0
2007-09-18,17.35,17.56,16.87,17.45,16.2473,1800800.0,0.0,1.0
2007-09-19,17.5,18.34,17.5,18.29,17.0294,3484000.0,0.0,1.0
2007-09-20,18.17,18.18,17.64,17.72,16.4987,1631700.0,0.0,1.0
2007-09-21,18.19,18.19,17.46,17.56,16.3497,1767300.0,0.0,1.0
2007-09-24,17.52,17.57,16.01,16.03,14.9252,5237600.0,0.0,1.0
2007-09-25,16.0,17.08,15.9,17.08,15.9028,3470300.0,0.0,1.0
