date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,30.81,30.94,29.75,30.0,6.2468,98700.0,0.0,1.0
2000-01-04,29.81,30.06,29.63,29.94,6.2343,231100.0,0.0,1.0
2000-01-05,30.0,30.0,29.5,29.69,6.1822,156000.0,0.0,1.0
2000-01-06,29.56,29.81,29.13,29.81,6.2072,112600.0,0.0,1.0
2000-01-07,29.81,31.06,29.69,31.0,6.455,402100.0,0.0,1.0
2000-01-10,31.06,32.44,31.06,31.56,6.5716,155200.0,0.0,1.0
2000-01-11,31.38,31.88,31.19,31.5,6.5591,143900.0,0.0,1.0
2000-01-12,31.44,31.44,31.0,31.38,6.5341,169200.0,0.0,1.0
2000-01-13,31.56,32.81,31.56,32.56,6.7798,175000.0,0.0,1.0
2000-01-14,32.63,32.63,31.13,31.13,6.4821,61200.0,0.0,1.0
2000-01-18,31.0,31.75,30.94,31.69,6.5987,121300.0,0.0,1.0
2000-01-19,31.56,32.0,31.5,31.5,6.5591,185400.0,0.0,1.0
2000-01-20,31.69,31.75,31.44,31.69,6.5987,83000.0,0.0,1.0
2000-01-21,31.38,31.81,31.38,31.69,6.5987,240000.0,0.0,1.0
2000-01-24,31.63,31.88,31.63,31.75,6.6112,92800.0,0.0,1.0
2000-01-25,31.75,32.31,31.63,32.06,6.6757,410800.0,0.0,1.0
2000-01-26,32.06,36.88,32.06,36.0,7.4961,395500.0,0.0,1.0
2000-01-27,36.06,36.38,33.0,33.0,6.8714,348000.0,0.0,1.0
2000-01-28,33.25,34.44,33.25,33.63,7.0026,269500.0,0.0,1.0
2000-01-31,33.81,34.13,33.81,34.0,7.0797,150000.0,0.0,1.0
2000-02-01,34.0,34.0,33.19,33.5,6.9755,53500.0,0.0,1.0
2000-02-02,33.62,34.12,33.38,33.56,6.988,114000.0,0.0,1.0
2000-02-03,34.0,34.88,33.94,34.44,7.1713,124200.0,0.0,1.0
2000-02-04,34.5,35.63,34.5,35.19,7.3275,115500.0,0.0,1.0
2000-02-07,35.06,35.56,35.06,35.44,7.3795,191900.0,0.0,1.0
2000-02-08,35.44,35.75,35.44,35.75,7.4441,108600.0,0.0,1.0
2000-02-09,36.0,36.56,35.5,36.13,7.5232,221600.0,0.0,1.0
2000-02-10,36.5,36.63,36.19,36.38,7.5752,98600.0,0.0,1.0
2000-02-11,36.44,36.44,35.31,35.31,7.3524,84200.0,0.0,1.0
2000-02-14,35.13,35.13,34.44,34.63,7.2108,53600.0,0.0,1.0
2000-02-15,34.75,35.0,34.69,34.88,7.2629,142500.0,0.0,1.0
2000-02-16,34.94,35.19,34.91,35.19,7.3275,328800.0,0.0,1.0
2000-02-17,35.44,36.25,35.31,35.31,7.3524,214400.0,0.0,1.0
2000-02-18,35.44,35.44,34.5,34.56,7.1963,46800.0,0.0,1.0
2000-02-22,34.56,35.25,34.38,35.25,7.3399,51100.0,0.0,1.0
2000-02-23,35.19,35.56,35.19,35.5,7.392,221600.0,0.0,1.0
2000-02-24,35.38,35.88,35.06,35.06,7.3004,93100.0,0.0,1.0
2000-02-25,34.94,35.31,34.75,35.0,7.2879,227600.0,0.0,1.0
2000-02-28,35.06,35.06,34.06,34.13,7.1067,57000.0,0.0,1.0
2000-02-29,34.19,34.31,33.75,34.31,7.1442,94800.0,0.0,1.0
2000-03-01,34.5,36.31,34.38,35.88,7.4711,110300.0,0.0,1.0
2000-03-02,36.13,36.19,35.63,36.0,7.4961,60400.0,0.0,1.0
2000-03-03,36.13,36.88,36.13,36.88,7.6794,238000.0,0.0,1.0
2000-03-06,38.5,40.38,38.5,38.56,8.0292,244100.0,0.0,1.0
2000-03-07,39.13,39.13,36.06,36.88,7.6794,206100.0,0.0,1.0
2000-03-08,36.88,37.75,36.88,37.19,7.7439,177500.0,0.0,1.0
2000-03-09,37.06,37.63,37.06,37.56,7.8209,127500.0,0.0,1.0
2000-03-10,37.5,37.5,36.75,36.81,7.6648,74800.0,0.0,1.0
2000-03-13,36.75,36.88,36.5,36.69,7.6398,49100.0,0.0,1.0
2000-03-14,36.63,37.38,35.75,35.75,7.4441,195000.0,0.0,1.0
2000-03-15,35.75,36.5,34.5,36.19,7.5357,71700.0,0.0,1.0
2000-03-16,36.44,39.25,36.44,39.25,8.1728,69400.0,0.0,1.0
2000-03-17,39.25,39.88,39.25,39.69,8.2645,109700.0,0.0,1.0
2000-03-20,39.56,40.0,37.38,38.0,7.9126,142300.0,0.0,1.0
2000-03-21,37.25,37.25,35.0,35.75,7.4441,108300.0,0.0,1.0
2000-03-22,35.69,37.44,35.69,37.06,7.7168,158500.0,0.0,1.0
2000-03-23,37.06,37.88,36.75,36.75,7.6523,203700.0,0.0,1.0
2000-03-24,36.62,36.81,35.75,35.81,7.4566,63200.0,0.0,1.0
2000-03-27,36.0,36.0,35.44,35.44,7.3795,58300.0,0.0,1.0
2000-03-28,35.88,38.63,35.63,37.69,7.848,315300.0,0.0,1.0
2000-03-29,37.69,37.81,36.5,37.0,7.7043,103600.0,0.0,1.0
2000-03-30,36.5,37.0,36.44,36.94,7.6918,147000.0,0.0,1.0
2000-03-31,37.0,39.75,36.88,39.75,8.277,150000.0,0.0,1.0
2000-04-03,40.0,41.25,39.5,39.81,8.2895,113600.0,0.0,1.0
2000-04-04,39.75,39.75,37.0,38.38,7.9917,201700.0,0.0,1.0
2000-04-05,38.38,40.25,37.63,40.13,8.3561,532000.0,0.0,1.0
2000-04-06,40.13,42.5,39.88,41.44,8.6289,284100.0,0.0,1.0
2000-04-07,41.44,42.5,41.44,42.0,8.7455,259400.0,0.0,1.0
2000-04-10,42.0,42.88,41.25,41.5,8.6414,84800.0,0.0,1.0
2000-04-11,41.5,42.0,41.25,41.94,8.733,97400.0,0.0,1.0
