date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,13.81,13.81,13.12,13.25,2.0748,280000.0,0.0,1.0
2000-01-04,13.38,13.38,12.25,12.75,1.9965,189467.0,0.0,1.0
2000-01-05,12.81,13.0,12.69,12.94,2.0263,167233.0,0.0,1.0
2000-01-06,12.88,12.88,12.25,12.25,1.9182,827767.0,0.0,1.0
2000-01-07,12.38,12.88,12.31,12.69,1.9871,228167.0,0.0,1.0
2000-01-10,12.69,12.94,12.44,12.94,2.0263,193867.0,0.0,1.0
2000-01-11,12.94,12.94,12.06,12.13,1.8995,976167.0,0.0,1.0
2000-01-12,12.13,12.25,11.94,12.0,1.8791,403367.0,0.0,1.0
2000-01-13,12.25,12.31,11.94,12.13,1.8995,394033.0,0.0,1.0
2000-01-14,12.19,12.69,11.88,12.69,1.9871,324000.0,0.0,1.0
2000-01-18,12.13,12.19,11.88,12.06,1.8885,294400.0,0.0,1.0
2000-01-19,12.25,12.25,11.63,11.75,1.84,260967.0,0.0,1.0
2000-01-20,11.88,11.88,11.38,11.75,1.84,417867.0,0.0,1.0
2000-01-21,11.75,11.75,11.31,11.63,1.8212,377200.0,0.0,1.0
2000-01-24,12.06,12.13,11.5,11.63,1.8212,594400.0,0.0,1.0
2000-01-25,11.75,11.75,10.88,11.0,1.7225,355200.0,0.0,1.0
2000-01-26,11.13,11.5,11.13,11.19,1.7523,389200.0,0.0,1.0
2000-01-27,11.25,11.63,11.25,11.31,1.7711,373633.0,0.0,1.0
2000-01-28,11.25,11.38,11.13,11.13,1.7429,354833.0,0.0,1.0
2000-01-31,12.0,12.0,11.38,11.63,1.8212,492033.0,0.0,1.0
2000-02-01,11.69,11.69,11.31,11.44,1.7914,342800.0,0.0,1.0
2000-02-02,11.88,11.88,11.44,11.63,1.8212,500567.0,0.0,1.0
2000-02-03,11.69,12.44,11.69,12.19,1.914,705467.0,0.033,1.0
2000-02-04,12.63,12.63,12.06,12.13,1.9046,298433.0,0.0,1.0
2000-02-07,12.38,12.38,12.13,12.31,1.9329,333633.0,0.0,1.0
2000-02-08,12.31,12.75,12.25,12.38,1.9439,420433.0,0.0,1.0
2000-02-09,12.94,13.0,12.38,12.44,1.9533,255233.0,0.0,1.0
2000-02-10,13.31,13.31,12.31,12.38,1.9439,576433.0,0.0,1.0
2000-02-11,12.38,12.38,11.88,12.06,1.8936,226833.0,0.0,1.0
2000-02-14,12.06,12.63,12.06,12.44,1.9533,291233.0,0.0,1.0
2000-02-15,12.5,12.63,12.25,12.44,1.9533,365233.0,0.0,1.0
2000-02-16,12.5,12.5,11.69,11.69,1.8355,351200.0,0.0,1.0
2000-02-17,12.19,12.44,11.88,11.88,1.8653,356833.0,0.0,1.0
2000-02-18,11.69,11.94,11.12,11.87,1.8638,584033.0,0.0,1.0
2000-02-22,11.88,11.88,11.31,11.75,1.8449,272833.0,0.0,1.0
2000-02-23,11.56,11.75,11.25,11.44,1.7963,229867.0,0.0,1.0
2000-02-24,11.38,11.56,11.13,11.19,1.757,208833.0,0.0,1.0
2000-02-25,11.44,11.44,11.25,11.25,1.7664,402667.0,0.0,1.0
2000-02-28,11.25,11.5,11.13,11.31,1.7758,193767.0,0.0,1.0
