date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-10-29,12.0,12.01,12.0,12.0,6.761,5951800.0,0.0,1.0
2004-11-01,12.0,12.01,12.0,12.0,6.761,764400.0,0.0,1.0
2004-11-02,12.0,12.01,12.0,12.0,6.761,950100.0,0.0,1.0
2004-11-03,12.02,12.2,12.01,12.15,6.8456,433600.0,0.0,1.0
2004-11-04,12.18,12.18,12.05,12.06,6.7948,311200.0,0.0,1.0
2004-11-05,12.05,12.1,12.0,12.08,6.8061,391800.0,0.0,1.0
2004-11-08,12.13,12.13,12.0,12.01,6.7667,91100.0,0.0,1.0
2004-11-09,12.0,12.06,12.0,12.01,6.7667,97600.0,0.0,1.0
2004-11-10,12.0,12.04,12.0,12.01,6.7667,177500.0,0.0,1.0
2004-11-11,12.0,12.02,12.0,12.02,6.7723,92700.0,0.0,1.0
2004-11-12,12.01,12.38,12.01,12.29,6.9244,354900.0,0.0,1.0
2004-11-15,12.32,12.45,12.2,12.39,6.9808,268100.0,0.0,1.0
2004-11-16,12.49,12.65,12.31,12.5,7.0427,252500.0,0.0,1.0
2004-11-17,12.55,12.6,12.35,12.51,7.0484,425000.0,0.0,1.0
2004-11-18,12.5,12.74,12.5,12.72,7.1667,179700.0,0.0,1.0
2004-11-19,12.72,12.74,12.5,12.71,7.1611,202600.0,0.0,1.0
2004-11-22,12.61,12.73,12.51,12.63,7.116,105200.0,0.0,1.0
2004-11-23,12.55,12.95,12.52,12.8,7.2118,204200.0,0.0,1.0
2004-11-24,12.75,12.95,12.7,12.79,7.2061,141700.0,0.0,1.0
2004-11-26,12.4,12.78,12.4,12.65,7.1273,42900.0,0.0,1.0
2004-11-29,12.65,12.75,12.55,12.68,7.1442,174200.0,0.0,1.0
2004-11-30,12.66,12.85,12.65,12.76,7.1892,148800.0,0.0,1.0
2004-12-01,12.66,13.17,12.66,13.15,7.409,162500.0,0.0,1.0
2004-12-02,13.05,13.07,12.78,12.95,7.2963,212800.0,0.0,1.0
2004-12-03,12.9,13.2,12.9,13.15,7.409,138300.0,0.0,1.0
2004-12-06,13.16,13.19,13.05,13.12,7.3921,126600.0,0.0,1.0
2004-12-07,13.06,13.2,13.0,13.0,7.3245,116200.0,0.0,1.0
2004-12-08,12.8,13.0,12.7,12.86,7.2456,112300.0,0.0,1.0
2004-12-09,12.86,12.95,12.5,12.85,7.2399,139200.0,0.0,1.0
2004-12-10,12.75,13.05,12.55,12.97,7.3076,186000.0,0.0,1.0
2004-12-13,12.87,13.04,12.7,12.91,7.2738,215700.0,0.0,1.0
2004-12-14,12.81,13.1,12.79,12.9,7.2681,169400.0,0.0,1.0
2004-12-15,13.0,13.14,12.89,13.05,7.3526,200300.0,0.0,1.0
2004-12-16,13.03,13.09,12.93,13.05,7.3526,230000.0,0.0,1.0
2004-12-17,13.05,13.55,12.94,13.4,7.5498,887700.0,0.0,1.0
2004-12-20,13.5,13.5,13.0,13.34,7.516,222800.0,0.0,1.0
2004-12-21,13.4,13.5,13.29,13.45,7.578,82700.0,0.0,1.0
2004-12-22,13.4,13.7,13.21,13.7,7.7189,194000.0,0.0,1.0
2004-12-23,13.7,14.1,13.65,13.94,7.8541,107900.0,0.0,1.0
2004-12-27,14.0,14.04,13.52,13.6,7.6625,112500.0,0.0,1.0
2004-12-28,13.68,13.77,13.47,13.53,7.6231,111100.0,0.0,1.0
2004-12-29,12.95,13.47,12.95,13.28,7.5703,109400.0,0.1563,1.0
2004-12-30,13.33,13.57,13.2,13.3,7.5817,48900.0,0.0,1.0
2004-12-31,13.29,13.69,13.29,13.47,7.6786,55500.0,0.0,1.0
2005-01-03,13.54,13.6,13.39,13.59,7.747,189100.0,0.0,1.0
2005-01-04,13.61,13.77,13.55,13.65,7.7812,154400.0,0.0,1.0
2005-01-05,13.6,13.66,12.5,13.2,7.5247,302600.0,0.0,1.0
2005-01-06,13.1,13.65,13.0,13.39,7.633,93300.0,0.0,1.0
2005-01-07,13.42,13.42,13.08,13.26,7.5589,124300.0,0.0,1.0
2005-01-10,13.2,13.74,13.1,13.3,7.5817,79800.0,0.0,1.0
2005-01-11,13.3,13.53,13.05,13.26,7.5589,136400.0,0.0,1.0
2005-01-12,13.27,13.4,13.2,13.3,7.5817,111600.0,0.0,1.0
2005-01-13,13.3,13.6,13.28,13.37,7.6216,77500.0,0.0,1.0
2005-01-14,13.38,13.77,13.38,13.59,7.747,28100.0,0.0,1.0
2005-01-18,13.49,13.8,13.23,13.7,7.8097,185900.0,0.0,1.0
2005-01-19,13.7,13.87,13.5,13.65,7.7812,233600.0,0.0,1.0
2005-01-20,13.6,13.65,13.4,13.56,7.7299,42100.0,0.0,1.0
2005-01-21,13.6,13.64,13.46,13.6,7.7527,51400.0,0.0,1.0
2005-01-24,13.7,13.75,13.45,13.52,7.7071,48000.0,0.0,1.0
2005-01-25,13.5,13.66,13.5,13.5,7.6957,61100.0,0.0,1.0
2005-01-26,13.55,13.84,13.55,13.71,7.8154,105300.0,0.0,1.0
2005-01-27,13.63,13.8,13.57,13.7,7.8097,106000.0,0.0,1.0
2005-01-28,13.7,13.83,13.65,13.8,7.8667,48100.0,0.0,1.0
2005-01-31,13.85,14.0,13.79,13.8,7.8667,64800.0,0.0,1.0
2005-02-01,13.75,13.83,13.6,13.8,7.8667,102900.0,0.0,1.0
2005-02-02,13.85,14.03,13.84,13.95,7.9522,118100.0,0.0,1.0
2005-02-03,13.97,14.05,13.85,13.98,7.9693,51200.0,0.0,1.0
