date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,31.38,31.38,29.88,30.06,13.1242,572300.0,0.0,1.0
2000-01-04,29.56,30.13,29.56,30.13,13.1548,561200.0,0.0,1.0
2000-01-05,30.31,31.44,30.31,31.19,13.6176,378200.0,0.0,1.0
2000-01-06,31.0,31.38,30.69,30.94,13.5084,288500.0,0.0,1.0
2000-01-07,31.0,31.25,30.88,31.25,13.6438,567300.0,0.0,1.0
2000-01-10,31.94,32.13,31.31,31.44,13.7267,632800.0,0.0,1.0
2000-01-11,31.31,31.44,31.0,31.44,13.7267,359700.0,0.0,1.0
2000-01-12,31.31,31.94,31.25,31.56,13.7791,1021700.0,0.0,1.0
2000-01-13,31.69,31.75,31.19,31.5,13.7529,321400.0,0.0,1.0
2000-01-14,31.56,31.75,31.0,31.19,13.6176,409900.0,0.0,1.0
2000-01-18,31.19,31.31,30.5,30.81,13.4517,251200.0,0.0,1.0
2000-01-19,31.0,32.13,30.88,31.88,13.9188,581500.0,0.0,1.0
2000-01-20,32.0,34.06,31.88,33.88,14.792,985800.0,0.0,1.0
2000-01-21,34.75,37.5,33.88,37.19,16.2372,1231300.0,0.0,1.0
2000-01-24,39.0,41.31,37.38,37.56,16.3987,1822600.0,0.0,1.0
2000-01-25,37.63,38.0,35.25,35.75,15.6085,773400.0,0.0,1.0
2000-01-26,35.81,35.88,35.38,35.88,15.6652,443300.0,0.0,1.0
2000-01-27,35.75,35.75,34.5,35.0,15.281,963600.0,0.0,1.0
2000-01-28,34.5,34.69,33.25,33.25,14.517,394300.0,0.0,1.0
2000-01-31,33.63,35.0,33.38,34.75,15.1719,906000.0,0.0,1.0
2000-02-01,34.88,35.31,34.69,34.75,15.1719,637000.0,0.0,1.0
2000-02-02,34.44,34.56,33.62,33.69,14.7091,386000.0,0.0,1.0
2000-02-03,33.69,34.56,33.69,34.25,14.9536,623600.0,0.0,1.0
2000-02-04,34.31,34.38,33.13,33.25,14.517,546600.0,0.0,1.0
2000-02-07,33.25,33.25,32.63,33.0,14.4078,372800.0,0.0,1.0
2000-02-08,33.19,33.25,32.94,33.0,14.4078,580600.0,0.0,1.0
2000-02-09,33.0,33.38,32.38,32.38,14.1371,521800.0,0.0,1.0
2000-02-10,32.63,32.69,31.88,32.19,14.0542,662500.0,0.0,1.0
2000-02-11,32.19,32.69,32.19,32.5,14.1895,327200.0,0.0,1.0
2000-02-14,32.75,33.38,32.44,32.69,14.2725,509800.0,0.0,1.0
2000-02-15,32.81,33.25,32.63,33.0,14.4078,517600.0,0.0,1.0
2000-02-16,33.06,33.25,32.5,32.56,14.2157,377800.0,0.0,1.0
2000-02-17,33.0,33.19,32.38,32.5,14.1895,475400.0,0.0,1.0
