date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-02-01,62.38,62.83,61.69,62.25,61.6142,14632.0,0.0,1.0
2017-02-02,62.04,63.08,61.6,62.95,62.307,14242.0,0.0,1.0
2017-02-03,65.45,70.47,65.01,69.95,69.2355,86383.0,0.0,1.0
2017-02-06,69.95,71.5,69.81,71.38,70.6509,44191.0,0.0,1.0
2017-02-07,71.45,71.79,70.56,70.69,69.968,26749.0,0.0,1.0
2017-02-08,70.64,71.18,70.33,70.77,70.0471,17361.0,0.0,1.0
2017-02-09,70.37,71.22,70.28,71.0,70.2748,14249.0,0.0,1.0
2017-02-10,71.09,71.6,70.79,70.82,70.0966,11178.0,0.0,1.0
2017-02-13,71.3,71.44,70.29,70.39,69.671,21933.0,0.0,1.0
2017-02-14,69.96,70.79,69.61,70.14,69.4236,13189.0,0.0,1.0
2017-02-15,70.23,70.81,69.95,70.2,69.483,12724.0,0.0,1.0
2017-02-16,70.61,70.93,70.29,70.84,70.1164,18500.0,0.0,1.0
2017-02-17,70.57,70.8,70.18,70.56,69.8393,8180.0,0.0,1.0
2017-02-21,70.94,71.24,70.41,71.06,70.3342,10085.0,0.0,1.0
2017-02-22,70.71,71.6,70.53,70.73,70.0075,7405.0,0.0,1.0
2017-02-23,71.11,71.12,68.99,69.75,69.0376,12544.0,0.0,1.0
2017-02-24,67.99,69.29,67.27,69.1,68.3942,21117.0,0.0,1.0
2017-02-27,69.16,69.16,67.41,68.56,67.8597,13194.0,0.0,1.0
2017-02-28,68.54,69.27,68.29,68.56,67.8597,22170.0,0.0,1.0
2017-03-01,69.17,71.19,69.17,70.58,69.8591,16211.0,0.0,1.0
2017-03-02,70.21,70.77,69.72,70.03,69.3147,11945.0,0.0,1.0
2017-03-03,70.14,70.18,69.27,69.85,69.1365,11100.0,0.0,1.0
2017-03-06,69.2,69.36,68.61,68.66,67.9587,8277.0,0.0,1.0
2017-03-07,68.41,68.95,68.18,68.29,67.5925,10139.0,0.0,1.0
2017-03-08,68.35,68.98,68.1,68.59,67.8894,6808.0,0.0,1.0
2017-03-09,68.41,69.24,68.37,69.0,68.2952,7643.0,0.0,1.0
2017-03-10,68.73,69.33,67.98,69.06,68.3546,9491.0,0.0,1.0
2017-03-13,68.98,69.22,68.54,68.81,68.1072,15457.0,0.0,1.0
2017-03-14,68.31,68.79,67.63,68.54,67.8399,6870.0,0.0,1.0
2017-03-15,68.72,69.59,68.72,69.38,68.6713,10831.0,0.0,1.0
2017-03-16,69.48,70.01,68.59,68.79,68.0874,8672.0,0.0,1.0
2017-03-17,69.18,69.21,66.34,66.58,65.8999,30224.0,0.0,1.0
2017-03-20,66.77,67.62,66.0,66.75,66.0682,13057.0,0.0,1.0
2017-03-21,66.8,67.41,63.94,65.03,64.3658,29042.0,0.0,1.0
2017-03-22,65.49,66.4,64.79,65.83,65.1576,15079.0,0.0,1.0
