date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,34.38,34.44,33.75,33.75,12.9069,581900.0,0.0,1.0
2000-01-04,33.56,34.31,33.56,34.19,13.0752,602400.0,0.0,1.0
2000-01-05,34.38,35.56,34.38,35.5,13.5761,817800.0,0.0,1.0
2000-01-06,35.25,35.88,35.06,35.81,13.6947,680900.0,0.0,1.0
2000-01-07,35.81,36.19,35.63,36.06,13.7903,391100.0,0.0,1.0
2000-01-10,36.13,36.13,35.0,35.13,13.4346,481700.0,0.0,1.0
2000-01-11,35.06,35.19,34.31,34.44,13.1708,544600.0,0.0,1.0
2000-01-12,34.44,35.0,34.38,34.56,13.2166,749000.0,0.0,1.0
2000-01-13,34.88,34.88,34.0,34.25,13.0981,452600.0,0.0,1.0
2000-01-14,34.13,34.38,33.56,33.69,12.8839,646700.0,0.0,1.0
2000-01-18,33.25,33.44,32.5,32.63,12.4786,740500.0,0.0,1.0
2000-01-19,32.88,33.5,32.81,33.25,12.7157,453700.0,0.0,1.0
2000-01-20,33.25,33.38,32.81,32.88,12.5742,526300.0,0.0,1.0
2000-01-21,33.13,34.25,33.0,33.56,12.8342,695400.0,0.0,1.0
2000-01-24,34.38,34.5,34.0,34.0,13.0025,643500.0,0.0,1.0
2000-01-25,34.13,34.25,32.88,33.0,12.6201,492000.0,0.0,1.0
2000-01-26,33.25,34.0,33.0,34.0,13.0025,341600.0,0.0,1.0
2000-01-27,34.0,34.25,32.81,33.31,12.7386,469300.0,0.0,1.0
2000-01-28,33.31,33.81,32.5,32.56,12.4518,631600.0,0.0,1.0
2000-01-31,32.63,32.88,32.31,32.69,12.5015,555800.0,0.0,1.0
2000-02-01,32.75,33.06,32.5,32.88,12.5742,626500.0,0.0,1.0
2000-02-02,32.88,33.0,32.38,32.5,12.4289,394000.0,0.0,1.0
2000-02-03,32.56,33.13,32.5,32.81,12.5474,1015300.0,0.0,1.0
2000-02-04,32.25,32.25,31.63,32.25,12.3332,864300.0,0.0,1.0
2000-02-07,32.31,32.38,31.56,31.56,12.0694,467400.0,0.0,1.0
