date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,50.44,51.25,48.56,49.56,19.2422,809500.0,0.0,1.0
2000-01-04,49.25,49.25,48.5,48.69,18.9044,483000.0,0.0,1.0
2000-01-05,48.5,48.63,47.25,47.44,18.4191,476100.0,0.0,1.0
2000-01-06,47.0,48.56,46.94,48.44,18.8074,462700.0,0.0,1.0
2000-01-07,48.69,50.19,48.5,50.13,19.4635,381900.0,0.0,1.0
2000-01-10,51.25,51.88,50.63,51.75,20.0925,378600.0,0.0,1.0
2000-01-11,51.0,51.19,49.13,50.44,19.5839,546100.0,0.0,1.0
2000-01-12,50.44,51.13,49.38,50.19,19.4868,595200.0,0.0,1.0
2000-01-13,50.19,50.94,49.75,50.38,19.5606,433400.0,0.0,1.0
2000-01-14,50.38,52.69,50.38,52.69,20.4575,711300.0,0.0,1.0
2000-01-18,52.0,54.0,51.63,53.19,20.6516,782200.0,0.0,1.0
2000-01-19,53.19,54.0,52.13,53.69,20.8458,446500.0,0.0,1.0
2000-01-20,53.75,54.13,53.06,53.69,20.8458,522100.0,0.0,1.0
2000-01-21,53.44,55.5,52.88,53.5,20.772,579800.0,0.0,1.0
2000-01-24,54.13,55.88,53.56,54.0,20.9661,841300.0,0.0,1.0
2000-01-25,54.25,55.38,53.19,54.13,21.0166,398200.0,0.0,1.0
2000-01-26,54.0,55.63,53.5,55.25,21.4514,476800.0,0.0,1.0
2000-01-27,55.0,55.19,51.63,53.19,20.6516,569100.0,0.0,1.0
2000-01-28,53.06,53.13,51.44,51.94,20.1663,672100.0,0.0,1.0
2000-01-31,51.0,51.94,49.5,51.13,19.8518,1196700.0,0.0,1.0
2000-02-01,51.75,51.94,50.75,51.75,20.0925,729400.0,0.0,1.0
2000-02-02,51.75,53.88,50.69,51.44,19.9722,549100.0,0.0,1.0
2000-02-03,51.5,53.13,51.44,51.81,20.1158,334800.0,0.0,1.0
2000-02-04,51.88,51.94,50.75,50.81,19.7276,130600.0,0.0,1.0
2000-02-07,50.88,50.88,49.19,50.38,19.5606,407700.0,0.0,1.0
2000-02-08,50.0,50.06,49.0,50.0,19.4131,691000.0,0.0,1.0
2000-02-09,51.0,51.0,48.25,50.44,19.5839,456700.0,0.0,1.0
2000-02-10,50.0,50.31,49.0,49.88,19.3665,855300.0,0.0,1.0
2000-02-11,50.0,50.13,49.06,49.75,19.316,658800.0,0.0,1.0
2000-02-14,49.88,49.88,48.69,49.38,19.1723,234100.0,0.0,1.0
2000-02-15,49.13,50.31,48.75,49.94,19.3898,307400.0,0.0,1.0
2000-02-16,50.5,51.38,49.44,49.94,19.3898,200900.0,0.0,1.0
2000-02-17,50.13,51.44,49.88,51.0,19.8013,352400.0,0.0,1.0
2000-02-18,51.06,51.38,50.88,51.13,19.8518,359100.0,0.0,1.0
2000-02-22,50.88,51.63,49.88,51.63,20.0459,270500.0,0.0,1.0
2000-02-23,51.63,51.63,50.63,51.0,19.8013,253300.0,0.0,1.0
2000-02-24,51.38,51.38,46.81,48.38,18.7841,465400.0,0.0,1.0
2000-02-25,47.88,47.88,46.06,46.44,18.0309,294400.0,0.0,1.0
2000-02-28,46.19,47.0,41.5,45.94,17.8367,1222100.0,0.0,1.0
2000-02-29,46.25,46.56,42.56,43.38,16.8428,905500.0,0.0,1.0
2000-03-01,45.0,45.5,44.25,45.0,17.4718,1051700.0,0.0,1.0
2000-03-02,44.75,46.0,44.31,44.56,17.3009,618900.0,0.0,1.0
2000-03-03,45.13,46.06,44.94,45.75,17.763,391500.0,0.0,1.0
2000-03-06,46.0,46.38,44.75,45.06,17.4951,495500.0,0.0,1.0
2000-03-07,42.63,42.63,38.13,41.25,16.0158,1646000.0,0.0,1.0
2000-03-08,41.75,42.25,40.0,42.13,16.3574,1300300.0,0.0,1.0
2000-03-09,42.31,43.13,41.25,43.0,16.6952,352300.0,0.0,1.0
2000-03-10,44.25,44.25,39.75,40.0,15.5305,1089800.0,0.0,1.0
2000-03-13,39.5,41.0,39.13,40.25,15.6275,647400.0,0.0,1.0
2000-03-14,40.69,41.63,40.06,40.56,15.7673,658800.0,0.05,1.0
2000-03-15,40.63,45.06,40.06,45.0,17.4933,676000.0,0.0,1.0
2000-03-16,45.0,47.94,42.88,47.19,18.3446,665500.0,0.0,1.0
2000-03-17,47.19,47.19,44.0,44.94,17.47,439300.0,0.0,1.0
2000-03-20,44.25,45.63,43.06,44.63,17.3495,661200.0,0.0,1.0
2000-03-21,46.38,46.63,45.63,46.5,18.0764,566700.0,0.0,1.0
2000-03-22,46.88,48.88,46.56,48.5,18.8539,1125600.0,0.0,1.0
2000-03-23,48.5,50.63,47.88,50.38,19.5847,754500.0,0.0,1.0
2000-03-24,50.44,50.75,46.88,48.5,18.8539,480900.0,0.0,1.0
2000-03-27,48.5,48.5,44.56,45.75,17.7849,734400.0,0.0,1.0
2000-03-28,45.75,48.69,43.56,48.5,18.8539,1366000.0,0.0,1.0
2000-03-29,48.5,49.13,47.94,49.0,19.0483,1077200.0,0.0,1.0
2000-03-30,49.0,51.06,49.0,50.5,19.6314,894200.0,0.0,1.0
2000-03-31,52.38,53.25,50.0,50.06,19.4603,1222800.0,0.0,1.0
