date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,56.88,57.56,56.63,57.56,16.9807,1123400.0,0.0,1.0
2000-01-04,57.5,57.56,56.81,56.88,16.7801,854100.0,0.0,1.0
2000-01-05,56.88,58.25,56.81,58.06,17.1282,1095100.0,0.0,1.0
2000-01-06,57.5,60.0,57.38,59.56,17.5707,1296600.0,0.0,1.0
2000-01-07,60.5,62.69,59.75,62.25,18.3643,1331600.0,0.0,1.0
2000-01-10,62.0,62.06,58.63,59.0,17.4055,1278500.0,0.0,1.0
2000-01-11,58.75,60.0,58.63,58.88,17.3701,947500.0,0.0,1.0
2000-01-12,59.06,60.38,59.0,59.69,17.6091,680600.0,0.0,1.0
2000-01-13,59.94,62.19,59.75,61.5,18.1431,1065900.0,0.0,1.0
2000-01-14,61.38,61.75,60.88,60.94,17.9779,1343800.0,0.0,1.0
2000-01-18,60.69,60.75,59.38,60.19,17.7566,1050800.0,0.0,1.0
2000-01-19,60.44,62.38,60.38,61.69,18.1991,1161800.0,0.0,1.0
2000-01-20,61.88,62.38,60.31,60.44,17.8304,1172500.0,0.0,1.0
2000-01-21,59.75,60.56,59.63,60.06,17.7183,1234300.0,0.0,1.0
2000-01-24,60.31,60.31,57.75,58.13,17.1489,1251900.0,0.0,1.0
2000-01-25,57.63,58.0,57.13,57.19,16.8716,958700.0,0.0,1.0
2000-01-26,57.44,57.5,55.81,56.5,16.668,1277500.0,0.0,1.0
2000-01-27,56.5,57.5,55.25,55.69,16.4291,1328500.0,0.0,1.0
2000-01-28,55.63,57.0,55.25,56.0,16.5205,1634000.0,0.0,1.0
2000-01-31,55.5,56.06,55.06,55.06,16.2432,997100.0,0.0,1.0
2000-02-01,55.13,55.44,54.38,54.63,16.1164,1176500.0,0.0,1.0
2000-02-02,54.88,54.94,53.5,53.5,15.783,1823800.0,0.0,1.0
2000-02-03,52.63,55.44,52.63,54.13,15.9688,1564900.0,0.0,1.0
2000-02-04,53.25,53.75,51.44,51.75,15.2667,2395800.0,0.0,1.0
2000-02-07,50.25,51.06,49.31,49.94,14.7328,2126900.0,0.0,1.0
2000-02-08,50.0,50.88,49.56,49.88,14.7151,2127500.0,0.0,1.0
2000-02-09,49.63,49.81,47.94,48.0,14.1604,1615000.0,0.0,1.0
2000-02-10,48.06,48.44,46.06,46.69,13.774,2082600.0,0.0,1.0
2000-02-11,46.94,47.44,46.19,46.38,13.6825,1693000.0,0.0,1.0
2000-02-14,46.63,46.75,45.69,46.38,13.6825,1228500.0,0.0,1.0
2000-02-15,46.13,48.44,45.75,47.88,14.125,2253500.0,0.0,1.0
2000-02-16,47.69,49.31,47.13,48.88,14.5257,1480000.0,0.358,1.0
2000-02-17,49.5,49.56,48.5,49.38,14.6742,2082800.0,0.0,1.0
2000-02-18,49.44,51.13,49.06,50.0,14.8585,1929500.0,0.0,1.0
2000-02-22,49.25,50.63,49.06,49.63,14.7485,1466300.0,0.0,1.0
2000-02-23,49.5,49.69,48.38,48.56,14.4306,1555900.0,0.0,1.0
2000-02-24,48.5,49.25,47.5,48.44,14.3949,1332600.0,0.0,1.0
2000-02-25,50.0,50.06,47.56,47.63,14.1542,1348400.0,0.0,1.0
2000-02-28,47.63,48.0,46.5,46.5,13.8184,1353000.0,0.0,1.0
2000-02-29,46.5,46.94,45.31,45.56,13.5391,1924400.0,0.0,1.0
2000-03-01,45.0,45.44,44.19,44.63,13.2627,2437500.0,0.0,1.0
2000-03-02,44.13,44.75,43.63,44.06,13.0933,1743100.0,0.0,1.0
2000-03-03,44.06,44.94,43.06,43.63,12.9655,1892100.0,0.0,1.0
2000-03-06,43.56,43.63,41.5,42.0,12.4811,2085500.0,0.0,1.0
2000-03-07,42.25,42.75,41.5,41.88,12.4455,1475300.0,0.0,1.0
2000-03-08,42.13,42.75,41.31,42.25,12.5554,1996200.0,0.0,1.0
2000-03-09,42.06,42.25,41.0,41.5,12.3325,1404600.0,0.0,1.0
2000-03-10,41.63,42.56,40.94,41.13,12.2226,1535200.0,0.0,1.0
2000-03-13,40.63,42.69,40.5,42.5,12.6297,1238500.0,0.0,1.0
2000-03-14,42.56,42.94,41.56,42.31,12.5733,1424100.0,0.0,1.0
2000-03-15,42.06,43.56,41.19,43.31,12.8704,2400000.0,0.0,1.0
2000-03-16,43.63,46.0,43.25,45.75,13.5955,3160300.0,0.0,1.0
2000-03-17,45.5,48.0,45.0,45.0,13.3726,2886200.0,0.0,1.0
2000-03-20,46.0,47.75,45.75,46.94,13.9492,2487000.0,0.0,1.0
2000-03-21,46.5,47.06,45.06,46.13,13.7084,1839400.0,0.0,1.0
2000-03-22,45.75,45.94,44.69,45.38,13.4856,2044800.0,0.0,1.0
2000-03-23,44.88,47.0,44.25,46.81,13.9105,1781000.0,0.0,1.0
2000-03-24,46.75,49.13,46.63,47.25,14.0413,1969200.0,0.0,1.0
2000-03-27,46.75,47.69,46.25,47.0,13.967,1214800.0,0.0,1.0
2000-03-28,46.81,47.63,46.81,47.19,14.0234,1191600.0,0.0,1.0
2000-03-29,47.13,49.13,47.13,48.69,14.4692,1407700.0,0.0,1.0
2000-03-30,50.0,54.25,49.75,53.25,15.8243,2748800.0,0.0,1.0
2000-03-31,55.0,55.0,52.88,53.13,15.7886,2390500.0,0.0,1.0
2000-04-03,53.0,53.38,51.31,53.0,15.75,1299800.0,0.0,1.0
2000-04-04,54.75,56.75,54.13,55.38,16.4573,3148900.0,0.0,1.0
2000-04-05,55.0,55.44,54.06,54.63,16.2344,1638700.0,0.0,1.0
2000-04-06,54.06,55.5,54.06,55.0,16.3443,1119600.0,0.0,1.0
2000-04-07,55.0,55.5,54.63,54.81,16.2879,814300.0,0.0,1.0
2000-04-10,54.63,55.19,54.0,54.88,16.3087,1045900.0,0.0,1.0
2000-04-11,55.0,57.75,54.75,57.0,16.9387,1589200.0,0.0,1.0
2000-04-12,57.13,58.13,55.88,56.5,16.7901,1555300.0,0.0,1.0
2000-04-13,57.13,57.88,56.13,57.0,16.9387,1225700.0,0.0,1.0
2000-04-14,56.25,57.13,53.75,54.31,16.1393,1088200.0,0.0,1.0
2000-04-17,54.56,55.13,52.25,55.06,16.3622,1797000.0,0.0,1.0
2000-04-18,54.88,55.0,52.5,54.13,16.0858,1192200.0,0.0,1.0
2000-04-19,53.25,53.38,51.13,52.31,15.545,1407400.0,0.0,1.0
2000-04-20,52.38,52.81,51.56,52.56,15.6192,1382900.0,0.0,1.0
2000-04-24,51.88,54.19,51.81,53.88,16.0115,1856200.0,0.0,1.0
2000-04-25,54.25,56.81,53.56,56.19,16.698,1158000.0,0.0,1.0
2000-04-26,55.38,56.0,54.0,54.44,16.1779,748500.0,0.0,1.0
2000-04-27,53.44,55.38,53.44,54.63,16.2344,1035900.0,0.0,1.0
2000-04-28,54.63,55.5,54.25,54.88,16.3087,1419600.0,0.0,1.0
2000-05-01,54.63,56.06,54.56,55.75,16.5672,1050700.0,0.0,1.0
2000-05-02,55.81,56.94,55.44,55.44,16.4751,1244700.0,0.0,1.0
2000-05-03,54.81,55.06,53.06,53.69,15.955,1276700.0,0.0,1.0
2000-05-04,53.88,55.5,53.63,54.25,16.1215,907700.0,0.0,1.0
2000-05-05,54.25,55.19,54.13,54.44,16.1779,696700.0,0.0,1.0
2000-05-08,54.0,55.38,53.81,55.19,16.4008,643700.0,0.0,1.0
2000-05-09,54.56,56.19,54.5,55.75,16.5672,890700.0,0.0,1.0
2000-05-10,55.25,56.31,54.63,54.94,16.4329,1309800.0,0.358,1.0
2000-05-11,55.5,56.31,55.13,55.81,16.6931,825700.0,0.0,1.0
2000-05-12,55.38,56.31,53.94,56.06,16.7679,1195900.0,0.0,1.0
2000-05-15,56.81,58.19,56.13,56.94,17.0311,1766700.0,0.0,1.0
2000-05-16,59.13,59.5,57.94,58.13,17.387,1686700.0,0.0,1.0
2000-05-17,57.25,58.0,56.31,56.88,17.0132,1427900.0,0.0,1.0
2000-05-18,56.63,57.31,56.63,57.06,17.067,818200.0,0.0,1.0
2000-05-19,56.81,57.63,56.44,57.13,17.0879,641100.0,0.0,1.0
2000-05-22,57.13,57.31,56.44,57.13,17.0879,1172700.0,0.0,1.0
2000-05-23,57.0,58.31,57.0,58.0,17.3482,1743100.0,0.0,1.0
2000-05-24,58.06,59.19,58.0,59.13,17.6862,1559400.0,0.0,1.0
2000-05-25,60.0,60.56,59.63,59.88,17.9105,1946100.0,0.0,1.0
2000-05-26,59.63,59.75,59.06,59.13,17.6862,835200.0,0.0,1.0
2000-05-30,59.25,59.63,59.0,59.25,17.722,1429200.0,0.0,1.0
2000-05-31,59.38,59.44,59.0,59.13,17.6862,992200.0,0.0,1.0
2000-06-01,59.0,61.31,59.0,61.0,18.2455,1332600.0,0.0,1.0
2000-06-02,63.0,63.25,61.25,62.5,18.6941,1598100.0,0.0,1.0
2000-06-05,62.25,62.69,60.0,60.0,17.9464,1009300.0,0.0,1.0
2000-06-06,60.19,60.38,59.38,60.13,17.9853,1014600.0,0.0,1.0
2000-06-07,59.88,61.0,59.75,59.94,17.9284,808500.0,0.0,1.0
2000-06-08,59.5,59.56,58.31,58.88,17.6114,762900.0,0.0,1.0
2000-06-09,58.88,59.25,58.56,59.06,17.6652,942300.0,0.0,1.0
2000-06-12,59.0,60.56,58.81,59.0,17.6473,707400.0,0.0,1.0
2000-06-13,59.25,61.13,59.19,60.06,17.9643,763500.0,0.0,1.0
2000-06-14,60.0,60.25,58.13,58.13,17.387,898800.0,0.0,1.0
2000-06-15,58.06,58.44,57.31,57.38,17.1627,1425500.0,0.0,1.0
2000-06-16,57.38,58.38,57.25,57.5,17.1986,1445300.0,0.0,1.0
2000-06-19,57.63,58.75,57.38,58.13,17.387,1655600.0,0.0,1.0
2000-06-20,62.25,62.25,58.88,59.75,17.8716,4672800.0,0.0,1.0
2000-06-21,59.63,60.13,59.06,59.38,17.7609,3147600.0,0.0,1.0
2000-06-22,57.5,60.56,57.5,60.06,17.9643,2469300.0,0.0,1.0
2000-06-23,62.0,62.0,60.63,61.0,18.2455,1959000.0,0.0,1.0
2000-06-26,62.44,64.75,61.88,63.19,18.9005,2045000.0,0.0,1.0
2000-06-27,64.5,65.25,63.94,64.34,19.2445,2813900.0,0.0,1.0
2000-06-28,65.0,65.06,63.56,63.68,19.0471,2619400.0,0.0,1.0
2000-06-29,63.5,63.63,61.94,63.0,18.8437,1687000.0,0.0,1.0
2000-06-30,62.88,64.56,60.13,60.38,18.06,2104600.0,0.0,1.0
2000-07-03,60.5,61.5,60.5,60.81,18.1887,734100.0,0.0,1.0
2000-07-05,61.5,63.19,60.63,61.5,18.395,2528600.0,0.0,1.0
2000-07-06,61.5,61.88,60.38,61.63,18.4339,1764700.0,0.0,1.0
2000-07-07,61.38,63.06,61.31,61.31,18.3382,1720400.0,0.0,1.0
2000-07-10,61.94,63.5,61.88,63.19,18.9005,1151600.0,0.0,1.0
2000-07-11,63.25,64.5,62.13,64.0,19.1428,1550000.0,0.0,1.0
2000-07-12,65.0,65.0,64.0,64.63,19.3312,1200800.0,0.0,1.0
2000-07-13,64.63,64.63,63.13,63.63,19.0321,1088100.0,0.0,1.0
2000-07-14,63.38,64.25,62.81,63.5,18.9932,1302700.0,0.0,1.0
2000-07-17,62.75,63.0,61.38,61.66,18.4429,1363700.0,0.0,1.0
2000-07-18,60.5,61.75,60.5,61.34,18.3472,1198900.0,0.0,1.0
2000-07-19,62.38,62.44,61.0,61.59,18.422,2086300.0,0.0,1.0
2000-07-20,61.88,65.0,61.88,64.72,19.3582,1464200.0,0.0,1.0
2000-07-21,65.13,65.44,64.25,65.13,19.4808,1725300.0,0.0,1.0
2000-07-24,64.88,65.38,64.0,65.0,19.4419,987700.0,0.0,1.0
2000-07-25,65.19,65.75,64.63,65.53,19.6004,1158800.0,0.0,1.0
2000-07-26,65.25,65.25,63.44,63.44,18.9753,1237800.0,0.0,1.0
2000-07-27,63.81,65.19,63.63,64.75,19.3671,926800.0,0.0,1.0
2000-07-28,64.63,64.63,61.25,61.5,18.395,1637800.0,0.0,1.0
2000-07-31,61.44,62.75,60.63,61.5,18.395,1369800.0,0.0,1.0
2000-08-01,60.75,62.75,60.19,62.25,18.6194,2043500.0,0.0,1.0
2000-08-02,61.44,63.75,60.63,63.19,18.9005,1953600.0,0.0,1.0
2000-08-03,63.19,63.19,61.75,61.94,18.5266,1885100.0,0.0,1.0
2000-08-04,63.25,63.31,61.63,62.38,18.6582,1334800.0,0.0,1.0
2000-08-07,62.94,65.75,62.69,65.06,19.4599,1540800.0,0.0,1.0
2000-08-08,65.06,67.75,64.31,67.38,20.1538,2024400.0,0.0,1.0
2000-08-09,68.25,68.63,67.0,67.5,20.2966,1948800.0,0.3575,1.0
2000-08-10,67.5,67.5,66.5,67.25,20.2214,1023100.0,0.0,1.0
2000-08-11,67.25,69.81,67.13,69.25,20.8228,1796300.0,0.0,1.0
2000-08-14,69.06,70.38,68.56,70.19,21.1055,1746600.0,0.0,1.0
2000-08-15,69.94,69.94,67.5,67.94,20.4289,1702200.0,0.0,1.0
2000-08-16,67.69,68.0,67.44,68.0,20.4469,1044800.0,0.0,1.0
2000-08-17,66.88,68.75,66.81,68.19,20.5041,1172400.0,0.0,1.0
2000-08-18,67.88,68.13,67.0,67.81,20.3898,767300.0,0.0,1.0
2000-08-21,67.56,69.0,67.44,68.75,20.6725,496300.0,0.0,1.0
2000-08-22,68.56,68.81,67.44,67.88,20.4109,872600.0,0.0,1.0
2000-08-23,68.0,68.5,67.44,67.81,20.3898,753600.0,0.0,1.0
2000-08-24,67.88,68.5,67.88,68.25,20.5221,1075500.0,0.0,1.0
2000-08-25,68.25,69.25,67.75,69.06,20.7657,832000.0,0.0,1.0
2000-08-28,69.0,69.94,68.88,69.75,20.9732,1388900.0,0.0,1.0
2000-08-29,69.25,69.31,67.5,67.5,20.2966,840600.0,0.0,1.0
2000-08-30,66.63,66.75,65.88,66.31,19.9388,1072200.0,0.0,1.0
2000-08-31,66.81,67.06,66.19,66.21,19.9087,1324800.0,0.0,1.0
2000-09-01,66.38,66.94,65.5,66.31,19.9388,682200.0,0.0,1.0
2000-09-05,67.0,68.0,66.75,67.94,20.4289,981400.0,0.0,1.0
