date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-08-11,12.75,14.0,12.0,13.12,359.8625,25360000.0,0.0,1.0
2000-08-14,13.09,13.12,12.0,12.0,329.1426,2566400.0,0.0,1.0
2000-08-15,12.16,12.38,12.0,12.12,332.434,1548800.0,0.0,1.0
2000-08-16,12.06,13.06,12.06,12.38,339.5654,1347200.0,0.0,1.0
2000-08-17,12.25,12.5,11.94,12.0,329.1426,1510400.0,0.0,1.0
2000-08-18,12.53,14.38,12.38,14.31,392.5025,1932800.0,0.0,1.0
2000-08-21,15.06,16.25,13.94,15.19,416.6396,2128000.0,0.0,1.0
2000-08-22,15.38,15.69,13.5,13.5,370.2854,1081600.0,0.0,1.0
2000-08-23,13.56,13.75,12.75,13.0,356.5711,572800.0,0.0,1.0
2000-08-24,12.94,13.06,12.06,12.06,330.7883,588800.0,0.0,1.0
2000-08-25,12.56,12.94,12.12,12.88,353.2797,643200.0,0.0,1.0
2000-08-28,13.41,13.55,12.5,13.12,359.8625,620800.0,0.0,1.0
2000-08-29,13.44,13.5,12.62,13.38,366.9939,726400.0,0.0,1.0
2000-08-30,13.34,14.69,13.25,14.19,389.2111,633600.0,0.0,1.0
2000-08-31,15.06,16.5,14.88,16.19,444.0682,2793600.0,0.0,1.0
2000-09-01,16.12,16.25,15.0,15.75,431.9996,886400.0,0.0,1.0
2000-09-05,15.81,16.25,15.5,15.56,426.7882,736000.0,0.0,1.0
2000-09-06,16.12,16.25,15.25,15.5,425.1425,656000.0,0.0,1.0
2000-09-07,16.0,16.0,13.38,14.38,394.4225,764800.0,0.0,1.0
2000-09-08,14.27,14.5,13.75,14.0,383.9996,508800.0,0.0,1.0
2000-09-11,13.81,14.0,13.5,13.88,380.7082,1104000.0,0.0,1.0
2000-09-12,13.59,13.81,12.88,13.0,356.5711,1081600.0,0.0,1.0
2000-09-13,12.75,13.12,12.38,12.5,342.8568,329600.0,0.0,1.0
2000-09-14,13.88,13.88,12.5,12.69,348.0682,259200.0,0.0,1.0
2000-09-15,12.56,13.0,12.5,12.56,344.5025,115200.0,0.0,1.0
2000-09-18,13.12,13.25,11.94,12.06,330.7883,595200.0,0.0,1.0
2000-09-19,13.09,13.12,10.75,11.25,308.5711,1536000.0,0.0,1.0
2000-09-20,11.5,11.56,9.75,10.38,284.7083,771200.0,0.0,1.0
2000-09-21,10.31,10.75,10.19,10.62,291.2912,806400.0,0.0,1.0
2000-09-22,9.59,10.81,9.44,10.56,289.6454,268800.0,0.0,1.0
2000-09-25,10.62,10.81,9.38,9.44,258.9255,672000.0,0.0,1.0
2000-09-26,9.88,9.94,9.0,9.25,253.714,627200.0,0.0,1.0
2000-09-27,9.41,9.44,8.62,9.34,256.1826,534400.0,0.0,1.0
2000-09-28,9.25,10.75,9.12,10.0,274.2855,704000.0,0.0,1.0
2000-09-29,10.09,10.12,8.72,8.88,243.5655,611200.0,0.0,1.0
2000-10-02,9.38,9.41,8.38,8.5,233.1426,217600.0,0.0,1.0
2000-10-03,8.59,8.88,7.75,7.94,217.7827,323200.0,0.0,1.0
2000-10-04,8.0,8.06,6.75,7.12,195.2912,467200.0,0.0,1.0
2000-10-05,6.94,8.12,6.5,6.56,179.9313,483200.0,0.0,1.0
2000-10-06,6.95,7.0,5.94,6.09,167.0398,364800.0,0.0,1.0
2000-10-09,6.56,6.69,5.78,6.19,169.7827,339200.0,0.0,1.0
2000-10-10,6.31,6.38,5.5,5.69,156.0684,422400.0,0.0,1.0
2000-10-11,5.25,5.75,4.06,4.12,113.0056,1356800.0,0.0,1.0
2000-10-12,5.09,5.25,4.5,5.19,142.3542,1190400.0,0.0,1.0
2000-10-13,5.69,7.88,5.53,7.56,207.3598,1369600.0,0.0,1.0
2000-10-16,8.12,8.19,7.38,8.12,222.7198,1232000.0,0.0,1.0
2000-10-17,8.5,8.56,7.62,7.81,214.2169,352000.0,0.0,1.0
2000-10-18,7.75,8.38,5.94,8.06,221.0741,617600.0,0.0,1.0
2000-10-19,8.5,9.31,6.75,6.91,189.5313,828800.0,0.0,1.0
2000-10-20,7.5,7.5,7.0,7.31,200.5027,694400.0,0.0,1.0
2000-10-23,7.38,8.41,7.12,8.25,226.2855,569600.0,0.0,1.0
2000-10-24,8.3,8.5,8.12,8.44,231.4969,630400.0,0.0,1.0
2000-10-25,8.36,8.5,7.88,8.5,233.1426,422400.0,0.0,1.0
2000-10-26,8.47,9.62,8.44,9.06,248.5026,278400.0,0.0,1.0
2000-10-27,9.11,9.12,8.62,9.0,246.8569,105600.0,0.0,1.0
2000-10-30,8.94,9.38,8.62,8.94,245.2112,243200.0,0.0,1.0
2000-10-31,9.12,10.25,8.75,9.75,267.4283,332800.0,0.0,1.0
2000-11-01,9.73,10.5,9.56,9.75,267.4283,368000.0,0.0,1.0
2000-11-02,9.73,9.88,8.88,9.25,253.714,249600.0,0.0,1.0
2000-11-03,8.97,9.44,8.97,9.12,250.1483,246400.0,0.0,1.0
2000-11-06,9.25,9.38,8.69,8.88,243.5655,310400.0,0.0,1.0
2000-11-07,9.0,9.0,8.75,8.88,243.5655,211200.0,0.0,1.0
2000-11-08,8.88,8.88,7.53,8.06,221.0741,668800.0,0.0,1.0
2000-11-09,7.5,8.0,7.5,7.91,216.9598,403200.0,0.0,1.0
2000-11-10,7.64,7.75,7.44,7.44,204.0684,579200.0,0.0,1.0
2000-11-13,6.94,7.06,6.81,7.06,193.6455,438400.0,0.0,1.0
2000-11-14,7.03,7.31,6.5,6.62,181.577,502400.0,0.0,1.0
2000-11-15,6.88,6.94,6.31,6.31,173.0741,652800.0,0.0,1.0
2000-11-16,6.52,6.62,6.25,6.34,173.897,124800.0,0.0,1.0
2000-11-17,6.84,6.88,6.38,6.62,181.577,451200.0,0.0,1.0
2000-11-20,6.53,6.56,6.31,6.31,173.0741,172800.0,0.0,1.0
2000-11-21,6.34,6.5,6.19,6.19,169.7827,262400.0,0.0,1.0
2000-11-22,6.25,6.25,6.0,6.0,164.5713,364800.0,0.0,1.0
