date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,20.5,20.69,20.44,20.69,11.6918,276400.0,0.0,1.0
2000-01-04,20.5,20.88,20.38,20.69,11.6918,291500.0,0.0,1.0
2000-01-05,20.56,21.0,20.56,20.94,11.8331,284400.0,0.0,1.0
2000-01-06,20.56,21.31,20.56,21.06,11.9009,130000.0,0.0,1.0
2000-01-07,20.94,21.25,20.81,21.25,12.0082,85700.0,0.0,1.0
2000-01-10,21.13,21.31,20.75,21.06,11.9009,151400.0,0.0,1.0
2000-01-11,21.06,21.13,21.0,21.0,11.867,299700.0,0.0,1.0
2000-01-12,21.0,21.13,20.94,21.13,11.9404,412000.0,0.0,1.0
2000-01-13,21.06,21.13,20.63,20.94,11.8331,547700.0,0.0,1.0
2000-01-14,20.94,21.0,20.63,20.63,11.6579,239400.0,0.0,1.0
2000-01-18,20.63,20.63,20.0,20.13,11.3753,169600.0,0.0,1.0
2000-01-19,20.13,20.63,20.06,20.13,11.3753,302300.0,0.0,1.0
2000-01-20,20.31,20.63,20.31,20.63,11.6579,211700.0,0.0,1.0
2000-01-21,20.63,20.63,20.38,20.56,11.6183,158200.0,0.0,1.0
2000-01-24,20.38,20.44,19.56,19.75,11.1606,957100.0,0.0,1.0
2000-01-25,19.88,20.0,19.63,19.88,11.2341,1354700.0,0.0,1.0
2000-01-26,20.13,20.31,20.0,20.25,11.4431,618400.0,0.0,1.0
2000-01-27,20.25,20.63,20.25,20.56,11.6183,407300.0,0.0,1.0
2000-01-28,20.56,20.75,20.38,20.44,11.5505,178200.0,0.0,1.0
2000-01-31,20.44,20.5,20.0,20.5,11.5844,199600.0,0.0,1.0
2000-02-01,20.38,20.5,20.13,20.31,11.4771,189800.0,0.0,1.0
2000-02-02,20.31,20.69,20.31,20.31,11.4771,652200.0,0.0,1.0
2000-02-03,20.25,20.56,20.25,20.44,11.5505,189400.0,0.0,1.0
2000-02-04,20.44,20.5,20.13,20.19,11.4092,124200.0,0.0,1.0
2000-02-07,20.06,20.19,20.0,20.19,11.4092,256900.0,0.0,1.0
2000-02-08,20.06,20.31,20.06,20.13,11.3753,225400.0,0.0,1.0
2000-02-09,20.13,20.5,20.06,20.25,11.4431,132400.0,0.0,1.0
2000-02-10,20.06,20.25,19.88,19.88,11.2341,163800.0,0.0,1.0
2000-02-11,20.0,20.0,19.19,19.38,10.9515,350900.0,0.0,1.0
2000-02-14,19.5,19.56,19.31,19.31,10.912,577800.0,0.0,1.0
2000-02-15,19.31,19.44,19.19,19.19,10.8441,489100.0,0.0,1.0
2000-02-16,19.19,19.25,18.5,18.94,10.7029,1361000.0,0.0,1.0
2000-02-17,19.0,19.44,18.75,19.19,10.8441,266900.0,0.0,1.0
2000-02-18,19.0,19.06,18.88,18.94,10.7029,254000.0,0.0,1.0
2000-02-22,18.94,19.0,18.44,18.44,10.4203,246300.0,0.0,1.0
2000-02-23,18.44,18.75,18.44,18.75,10.5955,253000.0,0.0,1.0
2000-02-24,18.63,18.69,18.0,18.31,10.3469,321200.0,0.0,1.0
2000-02-25,18.19,18.38,18.13,18.25,10.313,341300.0,0.0,1.0
2000-02-28,18.25,18.88,18.19,18.81,10.6294,342600.0,0.0,1.0
2000-02-29,18.75,18.81,18.5,18.81,10.6294,280800.0,0.0,1.0
2000-03-01,18.81,19.31,18.63,19.19,10.8441,736600.0,0.0,1.0
2000-03-02,19.13,19.5,19.13,19.38,10.9515,1770700.0,0.0,1.0
2000-03-03,19.38,19.5,19.0,19.5,11.0193,245200.0,0.0,1.0
2000-03-06,19.75,19.75,18.81,19.19,10.8441,215600.0,0.0,1.0
2000-03-07,19.19,19.56,19.13,19.5,11.0193,239900.0,0.0,1.0
2000-03-08,19.44,19.75,19.38,19.63,11.0928,211800.0,0.0,1.0
2000-03-09,19.69,19.69,19.19,19.38,10.9515,378400.0,0.0,1.0
2000-03-10,19.44,19.88,19.38,19.88,11.2341,305500.0,0.0,1.0
2000-03-13,19.63,19.75,19.5,19.56,11.0532,250500.0,0.0,1.0
2000-03-14,19.44,19.5,19.38,19.38,10.9515,383500.0,0.0,1.0
2000-03-15,19.38,19.63,18.88,19.38,10.9515,956500.0,0.0,1.0
2000-03-16,19.5,20.06,19.44,19.81,11.1945,519200.0,0.0,1.0
2000-03-17,19.56,19.94,19.56,19.88,11.2341,228100.0,0.0,1.0
2000-03-20,19.81,20.19,19.75,20.13,11.3753,206400.0,0.0,1.0
2000-03-21,19.94,20.25,19.94,20.06,11.3358,251500.0,0.0,1.0
2000-03-22,20.06,20.19,19.56,20.13,11.3753,257700.0,0.0,1.0
2000-03-23,20.0,20.63,19.94,20.63,11.6579,260600.0,0.0,1.0
2000-03-24,20.5,20.56,20.38,20.5,11.5844,232800.0,0.0,1.0
2000-03-27,20.38,20.88,20.31,20.88,11.7992,557600.0,0.0,1.0
2000-03-28,20.75,20.94,20.63,20.94,11.8331,282000.0,0.0,1.0
2000-03-29,20.63,20.94,20.63,20.88,11.7992,180400.0,0.0,1.0
2000-03-30,20.94,21.13,20.88,21.06,11.9009,321400.0,0.0,1.0
2000-03-31,21.13,21.5,21.0,21.5,12.1495,450500.0,0.0,1.0
2000-04-03,21.38,21.5,20.88,21.0,11.867,420900.0,0.0,1.0
2000-04-04,21.0,21.19,20.88,21.0,11.867,199000.0,0.0,1.0
2000-04-05,21.19,21.38,20.88,20.88,11.7992,91200.0,0.0,1.0
2000-04-06,21.0,21.0,20.94,20.94,11.8331,31500.0,0.0,1.0
2000-04-07,20.94,21.0,20.88,21.0,11.867,68100.0,0.0,1.0
2000-04-10,21.0,21.44,20.94,21.38,12.0817,225100.0,0.0,1.0
2000-04-11,21.38,21.44,21.06,21.19,11.9743,168000.0,0.0,1.0
2000-04-12,21.19,21.63,21.19,21.38,12.0817,119400.0,0.0,1.0
2000-04-13,21.13,21.5,21.0,21.5,12.1495,136400.0,0.0,1.0
2000-04-14,21.5,21.81,21.44,21.63,12.223,179700.0,0.0,1.0
2000-04-17,21.63,21.88,21.5,21.56,12.1834,425100.0,0.0,1.0
2000-04-18,21.5,21.5,20.88,21.0,11.867,336100.0,0.0,1.0
2000-04-19,21.06,21.5,20.81,21.5,12.1495,216100.0,0.0,1.0
