date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,34.5,34.62,33.0,33.88,8.5178,458700.0,0.0,1.0
2000-01-04,33.5,34.12,33.12,33.62,8.4525,445300.0,0.0,1.0
2000-01-05,33.62,35.75,33.62,35.25,8.8623,517600.0,0.0,1.0
2000-01-06,34.88,36.0,34.38,35.31,8.8773,437100.0,0.0,1.0
2000-01-07,35.38,37.38,35.0,35.31,8.8773,1343300.0,0.0,1.0
2000-01-10,36.81,37.69,36.56,37.44,9.4128,510200.0,0.0,1.0
2000-01-11,37.25,37.69,37.12,37.19,9.35,487200.0,0.0,1.0
2000-01-12,37.0,37.88,36.81,37.5,9.4279,691100.0,0.0,1.0
2000-01-13,37.69,38.81,37.38,38.62,9.7095,550300.0,0.0,1.0
2000-01-14,38.38,39.0,38.06,38.5,9.6793,520000.0,0.0,1.0
2000-01-18,38.25,38.44,37.25,37.69,9.4757,453400.0,0.0,1.0
2000-01-19,37.81,38.56,37.69,38.38,9.6492,521400.0,0.0,1.0
2000-01-20,38.12,38.19,37.25,37.81,9.5059,480700.0,0.0,1.0
2000-01-21,38.25,39.06,37.56,38.88,9.7749,1798100.0,0.0,1.0
2000-01-24,38.88,41.0,38.75,40.62,10.2123,1303000.0,0.0,1.0
2000-01-25,40.56,40.56,39.69,40.0,10.0565,1263800.0,0.0,1.0
2000-01-26,39.88,41.12,39.44,40.88,10.2777,769000.0,0.0,1.0
2000-01-27,41.0,42.19,40.94,42.0,10.5593,4612100.0,0.0,1.0
2000-01-28,41.81,42.5,41.19,41.19,10.3556,1718000.0,0.0,1.0
2000-01-31,41.25,41.75,40.56,41.75,10.4964,1486100.0,0.0,1.0
2000-02-01,41.62,42.12,41.22,41.56,10.4487,1373000.0,0.0,1.0
2000-02-02,41.56,42.31,41.5,41.69,10.4813,540000.0,0.0,1.0
2000-02-03,41.94,43.69,41.94,43.5,10.9364,882700.0,0.0,1.0
2000-02-04,43.44,43.5,42.94,43.0,10.8107,2919500.0,0.0,1.0
2000-02-07,42.62,42.88,42.0,42.0,10.5593,578000.0,0.0,1.0
2000-02-08,42.06,42.5,42.06,42.38,10.6548,554100.0,0.0,1.0
2000-02-09,42.38,42.94,42.31,42.5,10.685,2216500.0,0.0,1.0
2000-02-10,42.25,42.5,41.94,41.94,10.5442,1330300.0,0.0,1.0
2000-02-11,41.81,42.0,41.19,41.25,10.3707,720800.0,0.0,1.0
2000-02-14,41.25,41.5,40.81,41.19,10.3556,1618300.0,0.0,1.0
2000-02-15,41.0,41.31,40.69,40.88,10.2777,954400.0,0.0,1.0
2000-02-16,40.5,40.94,40.12,40.75,10.245,1026400.0,0.0,1.0
2000-02-17,40.25,41.06,40.12,40.25,10.1193,667600.0,0.0,1.0
2000-02-18,40.06,40.31,39.44,39.56,9.9458,486600.0,0.0,1.0
2000-02-22,39.62,40.38,39.62,39.81,10.0087,773100.0,0.0,1.0
2000-02-23,39.56,40.62,39.56,40.38,10.2148,1230300.0,0.25,1.0
2000-02-24,40.38,40.38,37.62,38.0,9.6128,997900.0,0.0,1.0
2000-02-25,38.56,38.56,38.0,38.56,9.7544,743000.0,0.0,1.0
2000-02-28,38.56,39.81,38.12,39.31,9.9442,443600.0,0.0,1.0
2000-02-29,39.06,39.06,37.31,37.31,9.4382,806900.0,0.0,1.0
