date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-08-16,12.5,12.53,12.5,12.5,6.8076,188800.0,0.0,1.0
2004-08-17,12.5,12.54,12.5,12.51,6.8131,153600.0,0.0,1.0
2004-08-18,12.5,12.65,12.5,12.51,6.8131,149800.0,0.0,1.0
2004-08-19,12.5,12.55,12.5,12.53,6.824,126900.0,0.0,1.0
2004-08-20,12.53,12.59,12.5,12.55,6.8349,144900.0,0.0,1.0
2004-08-23,12.55,12.59,12.5,12.55,6.8349,64400.0,0.0,1.0
2004-08-24,12.55,12.99,12.55,12.98,7.069,382900.0,0.0,1.0
2004-08-25,12.75,13.09,12.75,13.0,7.0799,500200.0,0.0,1.0
2004-08-26,13.05,13.45,12.95,13.38,7.2869,435200.0,0.0,1.0
2004-08-27,13.4,13.63,13.21,13.45,7.325,694300.0,0.0,1.0
2004-08-30,13.45,13.59,13.35,13.48,7.3413,119100.0,0.0,1.0
2004-08-31,13.54,13.8,13.0,13.8,7.5156,261900.0,0.0,1.0
2004-09-01,14.3,14.38,13.42,13.65,7.4339,170900.0,0.0,1.0
2004-09-02,13.65,13.88,13.1,13.79,7.5102,149200.0,0.0,1.0
2004-09-03,13.55,13.84,13.5,13.65,7.4339,88600.0,0.0,1.0
2004-09-07,13.55,13.85,13.46,13.8,7.5156,101100.0,0.0,1.0
2004-09-08,13.8,13.83,13.61,13.65,7.4339,93800.0,0.0,1.0
2004-09-09,13.65,13.71,13.41,13.49,7.3468,113900.0,0.0,1.0
2004-09-10,13.4,13.73,13.25,13.6,7.4067,139900.0,0.0,1.0
2004-09-13,13.1,13.75,12.94,13.71,7.5272,223700.0,0.1113,1.0
2004-09-14,13.65,13.65,13.3,13.51,7.4174,130000.0,0.0,1.0
2004-09-15,13.3,13.55,13.09,13.35,7.3296,138800.0,0.0,1.0
2004-09-16,13.35,13.48,13.1,13.33,7.3186,126300.0,0.0,1.0
2004-09-17,12.55,13.64,12.55,13.64,7.4888,400200.0,0.0,1.0
2004-09-20,13.54,13.64,13.13,13.35,7.3296,112300.0,0.0,1.0
2004-09-21,13.3,13.6,13.28,13.47,7.3955,243700.0,0.0,1.0
2004-09-22,13.2,13.62,13.05,13.5,7.4119,455800.0,0.0,1.0
2004-09-23,13.4,13.65,13.22,13.29,7.2966,211000.0,0.0,1.0
2004-09-24,13.3,13.55,13.25,13.5,7.4119,67500.0,0.0,1.0
2004-09-27,13.55,13.55,12.93,13.05,7.1649,182200.0,0.0,1.0
2004-09-28,13.06,13.14,12.63,12.91,7.088,202900.0,0.0,1.0
2004-09-29,13.11,13.12,12.6,12.88,7.0715,159900.0,0.0,1.0
2004-09-30,12.85,12.85,12.3,12.75,7.0002,1156500.0,0.0,1.0
2004-10-01,12.76,13.06,12.6,13.0,7.1374,217900.0,0.0,1.0
2004-10-04,13.01,13.05,12.9,12.94,7.1045,122500.0,0.0,1.0
2004-10-05,12.9,13.03,12.82,12.86,7.0605,128300.0,0.0,1.0
2004-10-06,12.86,13.15,12.86,13.1,7.1923,447600.0,0.0,1.0
2004-10-07,13.0,13.39,12.96,13.02,7.1484,160200.0,0.0,1.0
2004-10-08,13.05,13.22,13.0,13.22,7.2582,118000.0,0.0,1.0
2004-10-11,13.22,13.25,13.0,13.1,7.1923,90300.0,0.0,1.0
2004-10-12,13.1,13.25,12.97,13.1,7.1923,69000.0,0.0,1.0
2004-10-13,13.15,13.3,12.95,12.96,7.1154,75500.0,0.0,1.0
2004-10-14,12.96,13.06,12.93,13.06,7.1704,44100.0,0.0,1.0
2004-10-15,13.04,13.17,12.87,12.98,7.1264,73600.0,0.0,1.0
2004-10-18,13.05,13.4,12.91,13.12,7.2033,52000.0,0.0,1.0
2004-10-19,13.1,13.5,13.05,13.05,7.1649,56200.0,0.0,1.0
2004-10-20,12.95,13.1,12.85,13.1,7.1923,57400.0,0.0,1.0
2004-10-21,13.05,13.4,12.9,13.38,7.346,49500.0,0.0,1.0
2004-10-22,13.38,13.5,13.29,13.3,7.3021,75200.0,0.0,1.0
2004-10-25,13.27,13.49,13.2,13.3,7.3021,99500.0,0.0,1.0
2004-10-26,13.25,13.7,13.2,13.55,7.4394,137200.0,0.0,1.0
2004-10-27,13.5,14.0,13.4,13.9,7.6315,173800.0,0.0,1.0
2004-10-28,14.0,14.26,13.8,13.92,7.6425,107400.0,0.0,1.0
2004-10-29,13.95,13.96,13.5,13.86,7.6096,233700.0,0.0,1.0
2004-11-01,13.76,13.96,13.59,13.74,7.5437,60200.0,0.0,1.0
2004-11-02,13.84,14.1,13.8,13.86,7.6096,93500.0,0.0,1.0
2004-11-03,13.9,14.05,13.6,13.9,7.6315,84400.0,0.0,1.0
2004-11-04,13.9,14.24,13.8,14.0,7.6864,47500.0,0.0,1.0
2004-11-05,14.0,14.15,13.8,14.05,7.7139,55700.0,0.0,1.0
2004-11-08,14.1,14.18,13.95,14.05,7.7139,63500.0,0.0,1.0
2004-11-09,14.05,14.24,13.8,14.08,7.7304,129100.0,0.0,1.0
2004-11-10,14.07,14.47,13.7,14.13,7.7578,59300.0,0.0,1.0
2004-11-11,14.13,14.2,14.0,14.15,7.7688,44800.0,0.0,1.0
2004-11-12,14.15,14.21,14.04,14.1,7.7413,39100.0,0.0,1.0
2004-11-15,14.1,14.55,13.85,14.35,7.8786,133400.0,0.0,1.0
2004-11-16,14.2,14.2,13.65,14.1,7.7413,74900.0,0.0,1.0
2004-11-17,14.15,14.39,14.1,14.2,7.7962,120700.0,0.0,1.0
2004-11-18,14.1,14.25,13.83,14.05,7.7139,43800.0,0.0,1.0
2004-11-19,14.06,14.15,13.91,14.05,7.7139,22100.0,0.0,1.0
2004-11-22,14.05,14.18,13.8,14.18,7.7853,71600.0,0.0,1.0
2004-11-23,14.4,14.4,13.7,14.14,7.7633,108600.0,0.0,1.0
2004-11-24,14.14,14.2,13.9,13.98,7.6755,80900.0,0.0,1.0
2004-11-26,13.98,14.0,13.86,13.9,7.6315,25400.0,0.0,1.0
2004-11-29,13.95,14.1,13.85,14.0,7.6864,115500.0,0.0,1.0
2004-11-30,14.1,14.1,13.71,13.9,7.6315,83400.0,0.0,1.0
2004-12-01,13.85,14.11,13.71,14.0,7.6864,145900.0,0.0,1.0
2004-12-02,14.05,14.25,14.05,14.2,7.7962,46500.0,0.0,1.0
2004-12-03,14.2,14.4,14.2,14.35,7.8786,75400.0,0.0,1.0
2004-12-06,14.45,14.45,14.0,14.15,7.7688,94800.0,0.0,1.0
2004-12-07,14.15,14.2,13.89,14.0,7.6864,326800.0,0.0,1.0
2004-12-08,14.01,14.15,14.0,14.05,7.7139,621000.0,0.0,1.0
2004-12-09,13.85,13.86,13.65,13.75,7.6741,84700.0,0.2275,1.0
2004-12-10,13.75,13.79,13.58,13.68,7.635,83300.0,0.0,1.0
2004-12-13,13.75,13.88,13.27,13.69,7.6406,98600.0,0.0,1.0
2004-12-14,13.58,13.7,13.45,13.51,7.5401,139100.0,0.0,1.0
2004-12-15,13.51,13.68,13.35,13.36,7.4564,75000.0,0.0,1.0
2004-12-16,13.36,13.6,13.26,13.39,7.4732,192700.0,0.0,1.0
2004-12-17,13.47,13.47,13.22,13.29,7.4174,134800.0,0.0,1.0
2004-12-20,13.2,13.4,13.19,13.28,7.4118,63600.0,0.0,1.0
2004-12-21,13.3,13.37,13.25,13.36,7.4564,112300.0,0.0,1.0
2004-12-22,13.36,13.6,13.26,13.56,7.568,71200.0,0.0,1.0
2004-12-23,13.65,13.79,13.5,13.55,7.5625,44100.0,0.0,1.0
2004-12-27,13.55,13.67,13.32,13.43,7.4955,31500.0,0.0,1.0
2004-12-28,13.43,13.67,13.35,13.6,7.5904,50400.0,0.0,1.0
2004-12-29,13.65,13.66,13.2,13.35,7.4508,58800.0,0.0,1.0
2004-12-30,13.4,13.63,13.33,13.4,7.4787,98600.0,0.0,1.0
2004-12-31,13.5,13.5,13.26,13.33,7.4397,43700.0,0.0,1.0
2005-01-03,13.35,13.48,12.82,13.29,7.4174,157500.0,0.0,1.0
2005-01-04,13.4,13.8,13.4,13.42,7.4899,74700.0,0.0,1.0
2005-01-05,13.5,13.5,12.96,13.0,7.2555,77800.0,0.0,1.0
2005-01-06,13.1,13.58,13.0,13.45,7.5067,60800.0,0.0,1.0
2005-01-07,13.5,13.95,13.28,13.76,7.6797,68600.0,0.0,1.0
2005-01-10,13.66,13.72,13.4,13.41,7.4843,123200.0,0.0,1.0
2005-01-11,13.4,13.49,13.1,13.46,7.5122,41800.0,0.0,1.0
2005-01-12,13.55,13.57,13.11,13.5,7.5346,120200.0,0.0,1.0
2005-01-13,13.4,13.43,13.0,13.05,7.2834,281100.0,0.0,1.0
