date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,72.75,72.75,68.69,69.87,29.4259,980800.0,0.0,1.0
2000-01-04,68.31,68.5,65.88,66.94,28.1919,1047400.0,0.0,1.0
2000-01-05,67.13,67.44,65.5,66.44,27.9814,745667.0,0.0,1.0
2000-01-06,66.0,68.31,65.0,68.25,28.7437,1189667.0,0.0,1.0
2000-01-07,68.0,69.0,66.81,67.81,28.5583,565800.0,0.0,1.0
2000-01-10,67.63,68.0,65.31,66.03,27.8087,616867.0,0.0,1.0
2000-01-11,65.75,66.0,63.63,64.06,26.979,561600.0,0.0,1.0
2000-01-12,64.0,64.38,63.25,63.69,26.8232,928867.0,0.0,1.0
2000-01-13,64.0,65.88,63.88,65.5,27.5855,1129267.0,0.0,1.0
2000-01-14,65.94,67.06,65.63,66.38,27.9561,1210267.0,0.0,1.0
2000-01-18,66.38,66.38,64.44,65.0,27.3749,943067.0,0.0,1.0
2000-01-19,65.25,65.75,60.69,61.81,26.0314,1169200.0,0.0,1.0
2000-01-20,62.06,62.06,59.69,60.0,25.2691,1289267.0,0.0,1.0
2000-01-21,61.0,61.13,59.63,60.13,25.3239,1259000.0,0.0,1.0
2000-01-24,60.06,60.63,57.56,57.72,24.3089,551067.0,0.0,1.0
2000-01-25,58.25,61.38,58.06,60.56,25.505,849867.0,0.0,1.0
2000-01-26,61.06,63.44,60.5,63.19,26.6126,914867.0,0.0,1.0
2000-01-27,63.19,64.69,63.13,63.94,26.9285,688067.0,0.0,1.0
2000-01-28,63.88,63.88,61.88,62.94,26.5073,742667.0,0.0,1.0
2000-01-31,62.63,66.38,62.25,66.38,27.9561,897867.0,0.0,1.0
2000-02-01,66.0,66.0,63.38,64.44,27.1391,653400.0,0.0,1.0
2000-02-02,65.25,65.25,62.44,62.5,26.322,640000.0,0.0,1.0
2000-02-03,62.5,65.63,62.44,65.44,27.5602,937200.0,0.0,1.0
2000-02-04,65.38,65.38,62.06,62.25,26.2167,729600.0,0.0,1.0
2000-02-07,62.63,62.63,60.5,61.88,26.0609,865867.0,0.0,1.0
2000-02-08,61.63,62.5,61.31,61.94,26.0862,822067.0,0.0,1.0
2000-02-09,61.75,62.06,60.0,60.56,25.505,519000.0,0.0,1.0
2000-02-10,60.81,61.94,60.19,60.25,25.3744,539000.0,0.0,1.0
2000-02-11,60.63,61.56,59.88,60.03,25.2818,686467.0,0.0,1.0
2000-02-14,59.94,60.13,57.38,58.0,24.4268,792467.0,0.0,1.0
2000-02-15,58.06,58.75,57.13,58.75,24.7427,1137200.0,0.0,1.0
2000-02-16,58.88,59.25,57.44,59.22,24.9406,635667.0,0.0,1.0
2000-02-17,59.19,59.38,57.38,57.38,24.1657,1074600.0,0.0,1.0
2000-02-18,57.88,58.06,55.44,55.44,23.3487,1782467.0,0.0,1.0
2000-02-22,55.88,55.88,53.88,54.44,22.9275,2792267.0,0.0,1.0
2000-02-23,54.5,54.5,52.5,52.88,22.2705,1016067.0,0.0,1.0
2000-02-24,53.0,53.06,50.63,52.44,22.0852,1287600.0,0.0,1.0
2000-02-25,52.44,53.13,49.5,50.13,21.1124,1087600.0,0.0,1.0
2000-02-28,50.38,52.81,49.69,52.75,22.2158,1607067.0,0.0,1.0
2000-02-29,52.81,52.81,50.06,52.06,21.9252,876400.0,0.0,1.0
2000-03-01,51.88,52.38,49.81,50.06,21.0829,1086067.0,0.0,1.0
2000-03-02,50.25,50.38,49.44,49.44,20.8218,1267067.0,0.0,1.0
2000-03-03,50.19,50.19,48.63,49.19,20.7165,708200.0,0.0,1.0
2000-03-06,49.5,49.5,46.63,46.75,19.6889,990667.0,0.0,1.0
2000-03-07,46.94,46.94,44.88,46.13,19.4278,619400.0,0.0,1.0
2000-03-08,46.13,46.19,44.0,45.0,18.9519,777600.0,0.0,1.0
2000-03-09,45.13,47.38,44.69,47.27,19.9079,720867.0,0.0,1.0
2000-03-10,47.69,48.13,45.63,45.88,19.3225,723267.0,0.0,1.0
2000-03-13,45.44,47.0,44.94,46.0,19.373,644667.0,0.0,1.0
2000-03-14,46.63,49.25,46.13,48.44,20.4006,1701267.0,0.0,1.0
2000-03-15,48.5,53.75,48.13,53.0,22.3211,1328000.0,0.0,1.0
2000-03-16,54.13,61.38,53.75,58.94,24.8227,3146800.0,0.0,1.0
2000-03-17,59.38,60.75,58.19,60.25,25.3744,2041800.0,0.0,1.0
2000-03-20,59.69,59.75,55.63,56.88,23.9552,904800.0,0.0,1.0
2000-03-21,55.94,60.44,55.13,59.69,25.1386,1332600.0,0.0,1.0
2000-03-22,59.5,61.13,59.5,60.25,25.3744,779067.0,0.0,1.0
2000-03-23,59.75,63.69,59.0,63.06,26.5579,913467.0,0.0,1.0
2000-03-24,62.88,64.94,61.88,63.44,26.7179,1081267.0,0.0,1.0
2000-03-27,63.25,63.31,61.06,62.19,26.1915,832600.0,0.0,1.0
2000-03-28,61.38,64.38,61.0,63.5,26.7432,954467.0,0.0,1.0
2000-03-29,63.56,63.94,62.38,62.56,26.4484,676467.0,0.24,1.0
2000-03-30,62.31,63.25,61.31,61.5,26.0002,537200.0,0.0,1.0
2000-03-31,61.56,65.13,59.75,63.0,26.6344,982667.0,0.0,1.0
2000-04-03,63.38,67.48,63.38,67.13,28.3804,1549200.0,0.0,1.0
2000-04-04,66.81,68.31,63.03,65.09,27.518,994400.0,0.0,1.0
2000-04-05,64.5,66.7,62.75,63.25,26.7401,549067.0,0.0,1.0
2000-04-06,63.31,64.69,62.63,64.45,27.2474,363000.0,0.0,1.0
2000-04-07,64.5,64.63,61.81,62.06,26.237,429867.0,0.0,1.0
2000-04-10,61.5,65.06,60.75,64.31,27.1882,708600.0,0.0,1.0
2000-04-11,63.81,66.0,63.75,64.31,27.1882,469200.0,0.0,1.0
2000-04-12,64.94,67.5,64.25,64.31,27.1882,1136000.0,0.0,1.0
2000-04-13,64.31,64.63,62.63,63.31,26.7654,853000.0,0.0,1.0
2000-04-14,62.56,62.56,57.69,59.06,24.9687,1896000.0,0.0,1.0
2000-04-17,59.38,62.69,59.0,61.94,26.1863,1174667.0,0.0,1.0
2000-04-18,61.63,65.94,61.38,65.0,27.4799,1306467.0,0.0,1.0
2000-04-19,64.5,64.56,61.5,63.0,26.6344,446467.0,0.0,1.0
2000-04-20,62.88,64.0,62.38,63.63,26.9007,682000.0,0.0,1.0
2000-04-24,62.38,65.0,62.31,64.58,27.3024,810467.0,0.0,1.0
2000-04-25,65.06,69.25,65.06,68.0,28.7482,1600467.0,0.0,1.0
2000-04-26,67.5,67.5,65.13,65.5,27.6913,935800.0,0.0,1.0
2000-04-27,63.63,64.25,62.25,63.44,26.8204,1213067.0,0.0,1.0
2000-04-28,63.44,63.44,60.5,63.13,26.6894,1073000.0,0.0,1.0
2000-05-01,62.69,64.63,62.19,63.19,26.7147,925200.0,0.0,1.0
2000-05-02,63.19,63.63,61.69,63.38,26.795,1337600.0,0.0,1.0
2000-05-03,63.38,63.44,59.81,61.0,25.7889,588200.0,0.0,1.0
2000-05-04,61.0,61.5,58.75,58.75,24.8376,655067.0,0.0,1.0
2000-05-05,58.75,59.56,56.63,59.13,24.9983,565467.0,0.0,1.0
2000-05-08,58.88,61.53,57.5,60.94,25.7635,652467.0,0.0,1.0
2000-05-09,60.94,62.31,60.0,62.13,26.2666,461400.0,0.0,1.0
2000-05-10,61.81,62.69,60.88,61.81,26.1313,572067.0,0.0,1.0
2000-05-11,62.17,65.16,62.06,64.25,27.1629,1035400.0,0.0,1.0
2000-05-12,64.25,66.56,64.0,66.13,27.9577,1405467.0,0.0,1.0
2000-05-15,66.16,66.94,65.25,66.88,28.2747,543600.0,0.0,1.0
2000-05-16,66.88,67.0,65.13,66.25,28.0084,756667.0,0.0,1.0
2000-05-17,65.06,65.69,64.13,65.5,27.6913,375400.0,0.0,1.0
2000-05-18,65.5,67.63,65.25,66.94,28.3001,728067.0,0.0,1.0
2000-05-19,65.88,66.94,65.13,65.69,27.7716,924600.0,0.0,1.0
2000-05-22,65.69,67.63,65.19,67.44,28.5115,484867.0,0.0,1.0
2000-05-23,67.25,67.91,66.5,66.94,28.3001,785600.0,0.0,1.0
2000-05-24,67.25,67.88,66.0,67.69,28.6172,1987467.0,0.0,1.0
2000-05-25,67.75,67.94,66.94,67.38,28.4861,1347267.0,0.0,1.0
2000-05-26,67.5,68.25,66.63,68.13,28.8032,682467.0,0.0,1.0
2000-05-30,68.19,68.94,67.44,68.56,28.985,836000.0,0.0,1.0
2000-05-31,68.38,68.56,67.5,68.0,28.7482,710800.0,0.0,1.0
2000-06-01,68.19,71.0,68.0,70.0,29.5938,2197067.0,0.0,1.0
2000-06-02,70.81,72.0,70.75,71.56,30.2533,1382267.0,0.0,1.0
2000-06-05,70.88,71.19,69.56,70.06,29.6191,843400.0,0.0,1.0
2000-06-06,69.78,70.19,69.56,70.0,29.5938,2338800.0,0.0,1.0
2000-06-07,69.56,71.69,69.31,70.94,29.9912,1275000.0,0.0,1.0
2000-06-08,70.88,70.94,68.0,68.75,29.0653,575800.0,0.0,1.0
2000-06-09,68.94,69.88,66.44,67.13,28.3804,385400.0,0.0,1.0
2000-06-12,67.75,68.75,67.31,67.94,28.7229,359200.0,0.0,1.0
2000-06-13,67.38,67.88,66.5,67.75,28.6425,448600.0,0.0,1.0
2000-06-14,67.88,68.0,66.25,67.44,28.5115,501000.0,0.0,1.0
2000-06-15,66.94,67.0,63.06,64.06,27.0825,1496067.0,0.0,1.0
2000-06-16,61.63,63.0,59.38,60.06,25.3915,2299200.0,0.0,1.0
2000-06-19,60.06,63.88,59.63,63.61,26.8923,1824200.0,0.0,1.0
2000-06-20,63.44,63.44,60.25,62.0,26.2116,907467.0,0.0,1.0
2000-06-21,61.94,62.0,59.38,60.75,25.6832,630867.0,0.0,1.0
2000-06-22,60.25,62.0,60.13,61.88,26.1609,680867.0,0.0,1.0
2000-06-23,62.25,62.47,61.0,61.56,26.0256,467267.0,0.0,1.0
2000-06-26,61.38,63.25,61.38,62.75,26.5287,434267.0,0.0,1.0
2000-06-27,62.88,65.13,62.81,64.06,27.0825,735267.0,0.0,1.0
2000-06-28,64.06,65.25,63.81,64.13,27.2263,998667.0,0.27,1.0
2000-06-29,63.63,63.75,62.13,62.75,26.6404,776200.0,0.0,1.0
2000-06-30,62.75,64.06,62.52,63.25,26.8527,1285000.0,0.0,1.0
2000-07-03,63.19,66.13,62.88,65.19,27.6763,741800.0,0.0,1.0
2000-07-05,65.42,67.63,65.38,66.56,28.2579,794200.0,0.0,1.0
2000-07-06,66.5,68.25,65.5,68.19,28.9499,743667.0,0.0,1.0
2000-07-07,68.31,70.75,68.25,70.63,29.9858,1092200.0,0.0,1.0
2000-07-10,69.94,70.06,68.63,68.94,29.2683,962467.0,0.0,1.0
2000-07-11,69.5,69.63,67.56,68.06,28.8947,734667.0,0.0,1.0
2000-07-12,68.13,68.5,68.0,68.06,28.8947,632467.0,0.0,1.0
2000-07-13,68.25,68.31,66.81,67.31,28.5763,635800.0,0.0,1.0
2000-07-14,67.19,70.06,66.81,69.63,29.5613,980600.0,0.0,1.0
2000-07-17,46.75,46.88,44.13,44.63,28.4214,677667.0,0.0,1.5
2000-07-18,44.44,44.44,42.88,43.31,27.5808,1226700.0,0.0,1.0
2000-07-19,43.31,44.13,43.0,43.19,27.5043,914100.0,0.0,1.0
2000-07-20,43.63,44.88,43.59,44.25,28.1794,821000.0,0.0,1.0
2000-07-21,43.19,44.75,42.31,43.0,27.3833,1131700.0,0.0,1.0
2000-07-24,42.56,43.36,42.38,42.5,27.0649,791400.0,0.0,1.0
2000-07-25,42.81,43.13,42.31,42.31,26.9439,450900.0,0.0,1.0
2000-07-26,42.25,42.44,41.19,41.25,26.2689,1311100.0,0.0,1.0
2000-07-27,41.88,43.0,41.56,42.69,27.1859,1253900.0,0.0,1.0
2000-07-28,42.69,43.13,42.0,42.38,26.9885,1200800.0,0.0,1.0
2000-07-31,42.38,42.5,41.19,41.31,26.3071,1167200.0,0.0,1.0
2000-08-01,41.56,42.31,40.94,42.0,26.7465,483600.0,0.0,1.0
2000-08-02,41.97,42.25,41.5,41.69,26.5491,433600.0,0.0,1.0
2000-08-03,41.69,43.55,41.25,43.5,27.7018,897600.0,0.0,1.0
2000-08-04,43.63,45.38,43.63,44.81,28.536,870600.0,0.0,1.0
2000-08-07,44.75,45.06,43.5,44.88,28.5806,585000.0,0.0,1.0
2000-08-08,44.78,44.78,43.5,44.25,28.1794,620700.0,0.0,1.0
2000-08-09,44.06,45.0,43.38,44.13,28.103,527600.0,0.0,1.0
2000-08-10,44.13,46.06,44.13,45.63,29.0582,753600.0,0.0,1.0
2000-08-11,45.44,46.31,45.38,46.14,29.383,803300.0,0.0,1.0
2000-08-14,46.06,46.44,45.0,45.81,29.1728,571100.0,0.0,1.0
2000-08-15,45.63,45.75,45.06,45.13,28.7398,771300.0,0.0,1.0
2000-08-16,45.06,45.75,45.0,45.31,28.8544,605100.0,0.0,1.0
2000-08-17,44.63,45.38,44.56,45.06,28.6952,540800.0,0.0,1.0
2000-08-18,44.75,45.13,44.38,44.44,28.3004,703300.0,0.0,1.0
2000-08-21,44.5,44.63,42.94,43.75,27.861,912400.0,0.0,1.0
2000-08-22,43.69,45.0,43.5,44.81,28.536,747600.0,0.0,1.0
2000-08-23,44.25,44.63,43.75,44.44,28.3004,1225900.0,0.0,1.0
2000-08-24,44.5,44.98,44.44,44.63,28.4214,762800.0,0.0,1.0
2000-08-25,44.69,44.81,44.38,44.5,28.3386,1037800.0,0.0,1.0
2000-08-28,44.5,45.38,44.06,44.88,28.5806,850600.0,0.0,1.0
2000-08-29,44.56,44.69,43.63,43.75,27.861,640600.0,0.0,1.0
2000-08-30,43.63,44.88,43.63,44.38,28.2622,709500.0,0.0,1.0
2000-08-31,44.38,46.44,44.38,46.19,29.4148,1184700.0,0.0,1.0
2000-09-01,46.25,46.5,45.19,45.44,28.9372,1004700.0,0.0,1.0
2000-09-05,45.63,46.38,45.25,45.75,29.1346,751400.0,0.0,1.0
2000-09-06,45.81,47.5,45.75,47.13,30.0134,1275100.0,0.0,1.0
2000-09-07,47.06,47.94,46.88,47.56,30.2873,1224000.0,0.0,1.0
2000-09-08,47.56,49.0,47.44,48.75,31.0451,2135900.0,0.0,1.0
2000-09-11,48.25,49.56,48.25,49.44,31.4845,1534400.0,0.0,1.0
2000-09-12,49.38,49.75,49.13,49.38,31.4463,1283300.0,0.0,1.0
2000-09-13,49.34,49.69,48.81,48.88,31.1279,917000.0,0.0,1.0
2000-09-14,48.81,49.56,48.44,48.69,31.0069,974300.0,0.0,1.0
2000-09-15,48.56,48.81,47.19,47.69,30.37,1970400.0,0.0,1.0
2000-09-18,47.88,47.91,46.06,46.38,29.5358,1473300.0,0.0,1.0
2000-09-19,46.44,47.94,46.25,47.94,30.5293,1224300.0,0.0,1.0
2000-09-20,47.5,47.94,46.13,47.56,30.2873,1274400.0,0.0,1.0
2000-09-21,47.25,47.63,46.94,47.56,30.2873,895700.0,0.0,1.0
2000-09-22,47.31,48.63,47.25,48.5,30.8859,924500.0,0.0,1.0
2000-09-25,48.38,49.5,48.19,49.19,31.3253,1289300.0,0.0,1.0
2000-09-26,49.41,50.81,49.0,50.56,32.1977,2302600.0,0.0,1.0
2000-09-27,50.25,53.13,50.19,53.0,33.8662,2682400.0,0.18,1.0
2000-09-28,53.0,54.75,52.94,53.19,33.9876,3154800.0,0.0,1.0
2000-09-29,53.25,54.5,53.13,53.88,34.4285,2105400.0,0.0,1.0
2000-10-02,53.94,57.31,53.31,57.25,36.5819,2568100.0,0.0,1.0
2000-10-03,56.5,56.81,55.06,56.5,36.1026,2055400.0,0.0,1.0
2000-10-04,56.0,57.56,55.88,57.0,36.4221,1885300.0,0.0,1.0
2000-10-05,56.81,57.56,56.69,57.38,36.665,1607000.0,0.0,1.0
2000-10-06,57.06,57.88,55.5,55.94,35.7448,1434600.0,0.0,1.0
2000-10-09,55.66,55.88,54.38,54.81,35.0228,468500.0,0.0,1.0
2000-10-10,54.94,55.0,51.88,52.83,33.7576,936600.0,0.0,1.0
2000-10-11,52.88,53.13,51.0,52.31,33.4253,949500.0,0.0,1.0
2000-10-12,52.38,53.5,48.63,49.13,31.3933,1461800.0,0.0,1.0
2000-10-13,49.06,52.88,48.81,52.81,33.7448,1774200.0,0.0,1.0
2000-10-16,52.56,55.13,52.31,54.0,34.5052,1121800.0,0.0,1.0
2000-10-17,54.0,54.81,52.06,52.69,33.6681,887900.0,0.0,1.0
2000-10-18,52.44,52.63,50.38,52.0,33.2272,1174700.0,0.0,1.0
2000-10-19,52.25,53.63,52.25,53.5,34.1857,1776500.0,0.0,1.0
2000-10-20,53.13,53.44,52.0,52.06,33.2656,1297800.0,0.0,1.0
2000-10-23,51.94,52.19,50.88,51.06,32.6266,876200.0,0.0,1.0
2000-10-24,51.63,51.94,50.69,51.44,32.8694,1938700.0,0.0,1.0
2000-10-25,51.38,51.38,50.88,51.38,32.831,1266800.0,0.0,1.0
2000-10-26,51.25,51.72,49.69,50.94,32.5499,854900.0,0.0,1.0
2000-10-27,50.81,52.19,50.5,52.13,33.3103,1281800.0,0.0,1.0
2000-10-30,51.81,52.25,51.06,52.0,33.2272,1796000.0,0.0,1.0
2000-10-31,52.0,52.06,50.25,51.38,32.831,1179300.0,0.0,1.0
2000-11-01,51.44,51.5,50.81,51.44,32.8694,1085500.0,0.0,1.0
2000-11-02,51.44,52.25,51.38,52.0,33.2272,1046500.0,0.0,1.0
2000-11-03,51.88,52.31,51.75,51.94,33.1889,1086000.0,0.0,1.0
2000-11-06,52.13,52.5,51.38,51.81,33.1058,929300.0,0.0,1.0
2000-11-07,51.75,51.88,50.25,51.25,32.748,1152600.0,0.0,1.0
2000-11-08,51.0,51.13,49.56,49.94,31.9109,1137500.0,0.0,1.0
2000-11-09,50.06,51.13,49.69,51.0,32.5882,1575500.0,0.0,1.0
2000-11-10,51.0,51.31,50.44,50.94,32.5499,665000.0,0.0,1.0
2000-11-13,50.84,51.0,49.19,49.63,31.7128,1302800.0,0.0,1.0
2000-11-14,50.25,51.06,50.25,50.94,32.5499,1747800.0,0.0,1.0
2000-11-15,50.78,50.88,49.63,50.69,32.3901,1296900.0,0.0,1.0
2000-11-16,50.56,51.0,50.06,50.19,32.0707,873000.0,0.0,1.0
2000-11-17,50.25,50.5,47.63,48.06,30.7096,2023800.0,0.0,1.0
2000-11-20,43.88,47.38,43.31,46.38,29.6361,8233900.0,0.0,1.0
2000-11-21,46.25,47.0,45.81,46.5,29.7128,2657400.0,0.0,1.0
2000-11-22,46.5,47.06,45.38,46.94,29.9939,2133400.0,0.0,1.0
2000-11-24,46.97,47.19,46.94,47.06,30.0706,464600.0,0.0,1.0
2000-11-27,47.19,49.38,47.13,48.81,31.1889,2716800.0,0.0,1.0
2000-11-28,48.63,49.88,48.13,49.81,31.8278,2028000.0,0.0,1.0
2000-11-29,49.81,53.19,49.75,52.88,33.7895,3631800.0,0.0,1.0
2000-11-30,52.75,54.0,51.88,53.63,34.2688,3550000.0,0.0,1.0
2000-12-01,53.94,53.94,52.13,52.38,33.47,2695000.0,0.0,1.0
2000-12-04,52.0,53.31,51.75,53.0,33.8662,2087000.0,0.0,1.0
2000-12-05,53.06,55.88,52.13,55.81,35.6617,3605900.0,0.0,1.0
2000-12-06,55.56,58.63,55.25,55.25,35.3039,6310000.0,0.0,1.0
2000-12-07,55.5,57.38,54.25,56.88,36.3455,2829100.0,0.0,1.0
2000-12-08,57.0,58.06,55.94,56.19,35.9046,2379000.0,0.0,1.0
2000-12-11,56.31,57.13,56.31,57.0,36.4221,2121900.0,0.0,1.0
2000-12-12,56.81,57.25,56.13,57.0,36.4221,1342700.0,0.0,1.0
2000-12-13,57.38,57.63,56.13,56.13,35.8662,958100.0,0.0,1.0
2000-12-14,55.13,55.88,53.56,55.5,35.4637,1790500.0,0.0,1.0
2000-12-15,55.0,55.38,54.0,54.0,34.5052,2823500.0,0.0,1.0
2000-12-18,55.0,57.0,54.44,56.81,36.3007,2365100.0,0.0,1.0
2000-12-19,56.81,58.75,55.94,56.13,35.8662,2464000.0,0.0,1.0
2000-12-20,55.75,57.94,54.88,57.56,36.78,1561000.0,0.0,1.0
2000-12-21,57.56,59.19,56.69,59.13,37.7832,3932300.0,0.0,1.0
2000-12-22,59.13,60.69,59.0,59.88,38.2624,2924800.0,0.0,1.0
2000-12-26,60.0,60.62,59.25,60.44,38.6202,1899900.0,0.0,1.0
2000-12-27,60.31,60.88,59.63,60.5,38.7736,3139900.0,0.18,1.0
2000-12-28,60.56,60.88,59.75,60.25,38.6134,1637100.0,0.0,1.0
2000-12-29,60.25,60.75,59.69,59.75,38.2929,1581000.0,0.0,1.0
2001-01-02,59.19,59.31,56.89,57.23,36.6779,1906500.0,0.0,1.0
2001-01-03,57.25,60.25,56.63,59.7,38.2609,3815600.0,0.0,1.0
2001-01-04,59.81,61.31,59.25,59.81,38.3314,4692800.0,0.0,1.0
2001-01-05,59.81,59.81,57.13,59.19,37.934,4087600.0,0.0,1.0
2001-01-08,58.59,58.75,57.63,57.94,37.1329,2053600.0,0.0,1.0
2001-01-09,57.88,58.69,56.63,57.13,36.6138,1777800.0,0.0,1.0
2001-01-10,56.81,57.88,55.5,56.94,36.492,1958100.0,0.0,1.0
2001-01-11,56.75,56.94,54.63,56.31,36.0883,2997200.0,0.0,1.0
2001-01-12,56.38,56.38,54.0,55.13,35.332,1322000.0,0.0,1.0
2001-01-16,55.0,57.63,54.38,56.42,36.1588,2951900.0,0.0,1.0
2001-01-17,56.75,58.25,56.63,57.56,36.8894,2872300.0,0.0,1.0
2001-01-18,57.88,58.0,56.44,56.56,36.2485,1874200.0,0.0,1.0
2001-01-19,57.13,57.25,54.63,54.88,35.1718,1979100.0,0.0,1.0
2001-01-22,54.88,56.31,54.19,56.0,35.8896,1814400.0,0.0,1.0
2001-01-23,56.19,57.75,56.13,57.13,36.6138,1947300.0,0.0,1.0
2001-01-24,57.13,57.44,56.63,57.13,36.6138,1149900.0,0.0,1.0
2001-01-25,57.38,58.44,56.13,56.38,36.1332,1883500.0,0.0,1.0
2001-01-26,56.31,57.38,56.0,57.25,36.6907,2480900.0,0.0,1.0
2001-01-29,57.5,58.75,56.75,57.69,36.9727,1902100.0,0.0,1.0
2001-01-30,57.63,58.81,57.44,58.75,37.6521,2874200.0,0.0,1.0
2001-01-31,58.69,59.38,58.25,59.25,37.9725,2109100.0,0.0,1.0
2001-02-01,58.63,58.88,58.25,58.44,37.4534,2173900.0,0.0,1.0
2001-02-02,58.5,58.94,58.13,58.31,37.3701,1254500.0,0.0,1.0
2001-02-05,58.13,58.38,57.06,57.94,37.1329,1075200.0,0.0,1.0
2001-02-06,57.94,58.19,57.06,57.25,36.6907,900500.0,0.0,1.0
2001-02-07,57.31,58.63,57.0,58.5,37.4918,1430200.0,0.0,1.0
2001-02-08,58.81,59.0,57.75,58.06,37.2098,1051200.0,0.0,1.0
2001-02-09,58.13,58.19,57.06,57.69,36.9727,1103800.0,0.0,1.0
2001-02-12,57.69,59.0,57.31,59.0,37.8123,1749300.0,0.0,1.0
2001-02-13,58.88,59.5,58.63,59.13,37.8956,1903800.0,0.0,1.0
2001-02-14,59.06,59.38,58.31,58.38,37.4149,1595300.0,0.0,1.0
2001-02-15,58.5,58.56,57.13,57.75,37.0112,1483200.0,0.0,1.0
2001-02-16,56.75,58.69,56.75,58.69,37.6136,1861700.0,0.0,1.0
2001-02-20,58.31,58.44,56.69,57.69,36.9727,1759800.0,0.0,1.0
2001-02-21,57.13,57.19,55.63,55.88,35.8127,1479200.0,0.0,1.0
2001-02-22,56.25,56.44,53.69,54.31,34.8065,2694000.0,0.0,1.0
2001-02-23,53.94,54.5,53.44,54.19,34.7296,1775500.0,0.0,1.0
2001-02-26,54.47,54.88,53.88,54.56,34.9667,2033000.0,0.0,1.0
2001-02-27,54.75,55.5,54.38,55.13,35.332,2249600.0,0.0,1.0
2001-02-28,55.38,55.63,53.63,53.81,34.4861,1481000.0,0.0,1.0
