date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,7.06,7.44,6.94,7.0,4.7385,240000.0,0.0,1.0
2000-01-04,6.75,6.88,6.62,6.88,4.6573,393600.0,0.0,1.0
2000-01-05,6.88,6.88,6.69,6.81,4.6099,138500.0,0.0,1.0
2000-01-06,6.94,6.94,6.75,6.94,4.6979,184900.0,0.0,1.0
2000-01-07,7.0,7.0,6.62,6.62,4.4813,1886200.0,0.0,1.0
2000-01-10,6.75,7.19,6.69,7.06,4.7791,519900.0,0.0,1.0
2000-01-11,7.06,7.06,6.81,6.88,4.6573,153700.0,0.0,1.0
2000-01-12,6.81,6.81,6.69,6.81,4.6099,1544900.0,0.0,1.0
2000-01-13,6.81,7.0,6.44,6.69,4.5287,823100.0,0.0,1.0
2000-01-14,6.75,6.75,6.5,6.5,4.4001,462600.0,0.0,1.0
2000-01-18,6.56,6.75,6.56,6.75,4.5693,732400.0,0.0,1.0
2000-01-19,6.62,6.75,6.56,6.69,4.5287,337500.0,0.0,1.0
2000-01-20,6.62,6.69,6.56,6.69,4.5287,313700.0,0.0,1.0
2000-01-21,6.62,6.75,6.5,6.56,4.4407,589900.0,0.0,1.0
2000-01-24,6.5,6.5,6.38,6.38,4.3188,483900.0,0.0,1.0
2000-01-25,6.5,7.0,6.44,6.5,4.4001,4488000.0,0.0,1.0
2000-01-26,6.5,6.75,6.44,6.44,4.3594,735700.0,0.0,1.0
2000-01-27,6.44,6.56,6.44,6.44,4.3594,1071200.0,0.0,1.0
2000-01-28,6.44,6.44,5.88,5.94,4.021,2029500.0,0.0,1.0
2000-01-31,5.94,6.0,5.62,6.0,4.0616,1365100.0,0.0,1.0
2000-02-01,6.06,6.44,6.06,6.38,4.3188,377700.0,0.0,1.0
2000-02-02,6.25,6.44,6.06,6.44,4.3594,879500.0,0.0,1.0
2000-02-03,6.5,6.56,6.06,6.06,4.1022,540600.0,0.0,1.0
2000-02-04,6.12,6.25,5.94,6.19,4.1902,1520000.0,0.0,1.0
2000-02-07,6.06,6.25,6.06,6.12,4.1428,226800.0,0.0,1.0
2000-02-08,6.25,6.38,5.88,6.06,4.1022,904700.0,0.0,1.0
2000-02-09,5.88,5.94,5.56,5.69,3.8517,1506600.0,0.0,1.0
2000-02-10,5.69,5.81,5.19,5.75,3.8924,1204100.0,0.0,1.0
2000-02-11,5.75,6.25,5.62,6.06,4.1022,445900.0,0.0,1.0
2000-02-14,6.0,6.06,5.81,6.0,4.0616,273500.0,0.0,1.0
2000-02-15,5.94,6.0,5.69,5.69,3.8517,90800.0,0.0,1.0
2000-02-16,5.94,5.94,5.75,5.75,3.8924,131800.0,0.0,1.0
2000-02-17,5.75,5.81,5.5,5.75,3.8924,244000.0,0.0,1.0
2000-02-18,5.69,5.75,5.62,5.75,3.8924,245700.0,0.0,1.0
2000-02-22,5.62,5.75,5.38,5.69,3.8517,242300.0,0.0,1.0
2000-02-23,5.69,5.69,5.44,5.5,3.7231,168300.0,0.0,1.0
2000-02-24,5.44,5.69,5.25,5.62,3.8044,400300.0,0.0,1.0
2000-02-25,5.69,5.88,5.38,5.5,3.7231,248400.0,0.0,1.0
2000-02-28,5.44,5.44,5.19,5.31,3.5945,460800.0,0.0,1.0
2000-02-29,5.31,5.75,5.0,5.69,3.8517,3310900.0,0.0,1.0
2000-03-01,5.69,6.12,5.5,6.06,4.1022,690400.0,0.0,1.0
2000-03-02,6.31,7.25,6.25,6.88,4.6573,963100.0,0.0,1.0
2000-03-03,7.0,7.19,6.81,6.94,4.6979,599200.0,0.0,1.0
2000-03-06,6.94,6.94,6.44,6.81,4.6099,168800.0,0.0,1.0
2000-03-07,6.81,7.0,6.62,6.75,4.5693,485700.0,0.0,1.0
2000-03-08,6.75,7.12,6.56,7.0,4.7385,1398400.0,0.0,1.0
